년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,226,-1.9,-6.9,3.2
2000,2,226,-2.2,-8.1,3.9
2000,3,226,4.9,-2.7,12.8
2000,4,226,10.8,3.1,18.4
2000,5,226,16.6,10.2,23.7
2000,6,226,21.4,16.3,27.2
2000,7,226,24.7,20.5,30.3
2000,8,226,24.6,21.1,29.4
2000,9,226,18.0,13.8,23.6
2000,10,226,12.4,6.4,19.9
2000,11,226,4.9,-0.8,12.3
2000,12,226,-0.5,-6.3,6.7
2001,1,226,-3.5,-8.3,1.5
2001,2,226,-0.3,-5.3,5.5
2001,3,226,4.2,-2.4,11.5
2001,4,226,12.1,3.6,20.2
2001,5,226,17.6,10.9,24.4
2001,6,226,21.2,16.4,26.7
2001,7,226,24.7,20.7,30.0
2001,8,226,24.1,19.5,30.2
2001,9,226,18.8,12.5,25.9
2001,10,226,13.5,8.5,20.3
2001,11,226,4.5,-1.7,12.5
2001,12,226,-1.8,-7.3,4.5
2002,1,226,0.0,-4.5,4.9
2002,2,226,0.3,-5.9,7.4
2002,3,226,6.8,-0.4,14.3
2002,4,226,12.6,5.3,19.7
2002,5,226,15.9,10.2,22.2
2002,6,226,19.9,13.5,26.2
2002,7,226,23.4,19.8,27.9
2002,8,226,23.1,20.4,26.9
2002,9,226,18.5,14.1,24.7
2002,10,226,10.1,4.7,17.2
2002,11,226,2.8,-3.0,9.3
2002,12,226,0.6,-4.2,6.4
2003,1,226,-3.7,-9.2,2.1
2003,2,226,1.1,-3.8,6.7
2003,3,226,5.3,-0.5,11.4
2003,4,226,11.5,5.4,17.7
2003,5,226,16.6,10.2,23.3
2003,6,226,19.1,14.7,24.2
2003,7,226,21.9,18.8,25.9
2003,8,226,23.0,20.0,27.6
2003,9,226,19.9,16.1,25.7
2003,10,226,11.4,5.0,19.8
2003,11,226,8.1,2.4,14.7
2003,12,226,0.2,-4.7,5.8
2004,1,226,-2.8,-8.4,3.8
2004,2,226,1.3,-5.2,8.5
2004,3,226,4.7,-2.5,12.5
2004,4,226,12.0,4.0,20.1
2004,5,226,16.6,11.0,22.7
2004,6,226,21.4,15.8,27.6
2004,7,226,24.3,20.8,29.0
2004,8,226,23.9,20.0,29.1
2004,9,226,19.0,14.6,25.2
2004,10,226,11.7,4.8,20.2
2004,11,226,6.4,0.4,13.9
2004,12,226,0.6,-4.9,7.5
2005,1,226,-3.2,-8.9,3.0
2005,2,226,-2.3,-7.7,3.2
2005,3,226,3.5,-3.2,10.8
2005,4,226,12.1,4.3,20.1
2005,5,226,16.2,9.0,23.8
2005,6,226,21.8,16.9,28.0
2005,7,226,24.1,20.6,28.9
2005,8,226,23.9,20.4,29.1
2005,9,226,20.4,16.1,25.8
2005,10,226,11.9,6.1,19.5
2005,11,226,5.6,-1.2,13.9
2005,12,226,-5.1,-11.1,1.1
2006,1,226,-1.4,-6.7,4.8
2006,2,226,-0.8,-6.3,5.2
2006,3,226,4.5,-2.2,11.5
2006,4,226,10.3,3.7,17.0
2006,5,226,17.0,11.2,23.4
2006,6,226,21.0,16.0,27.2
2006,7,226,22.4,19.7,26.2
2006,8,226,25.4,21.2,31.7
2006,9,226,17.6,12.5,24.0
2006,10,226,14.5,8.4,22.6
2006,11,226,7.3,2.0,13.4
2006,12,226,0.9,-3.8,6.9
2007,1,226,0.1,-4.7,6.0
2007,2,226,2.9,-2.9,9.8
2007,3,226,4.9,-1.2,11.9
2007,4,226,10.1,2.3,17.9
2007,5,226,16.7,10.1,24.1
2007,6,226,21.2,15.6,27.4
2007,7,226,23.1,19.7,27.9
2007,8,226,25.2,21.6,30.4
2007,9,226,20.0,16.5,24.8
2007,10,226,12.5,7.0,20.1
2007,11,226,3.7,-2.6,12.1
2007,12,226,-0.5,-5.1,5.4
2008,1,226,-2.8,-7.1,2.5
2008,2,226,-3.3,-10.0,4.0
2008,3,226,5.6,-1.1,12.9
2008,4,226,12.2,4.3,20.0
2008,5,226,16.7,9.6,24.1
2008,6,226,20.0,15.4,25.3
2008,7,226,25.4,21.8,30.5
2008,8,226,23.6,19.0,28.8
2008,9,226,19.9,14.9,26.7
2008,10,226,13.5,7.5,21.3
2008,11,226,5.4,-0.5,12.7
2008,12,226,-0.5,-6.0,6.1
2009,1,226,-3.8,-9.8,3.2
2009,2,226,2.0,-3.9,8.4
2009,3,226,5.6,-1.2,12.5
2009,4,226,11.6,3.8,19.4
2009,5,226,17.3,10.1,25.0
2009,6,226,21.6,15.6,27.7
2009,7,226,23.2,19.6,27.9
2009,8,226,23.5,19.3,28.6
2009,9,226,19.2,13.9,25.7
