년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,221,-3.9,-8.8,1.3
2000,2,221,-4.6,-11.5,2.2
2000,3,221,3.2,-4.0,11.0
2000,4,221,9.3,1.5,17.0
2000,5,221,15.9,9.3,22.9
2000,6,221,21.3,15.8,27.8
2000,7,221,24.3,19.7,30.0
2000,8,221,23.9,20.2,29.0
2000,9,221,17.6,13.0,23.4
2000,10,221,11.3,4.8,19.5
2000,11,221,3.1,-3.0,10.8
2000,12,221,-2.4,-8.9,4.6
2001,1,221,-6.7,-12.9,-0.5
2001,2,221,-3.2,-9.8,3.3
2001,3,221,2.5,-4.2,9.4
2001,4,221,11.1,2.3,19.4
2001,5,221,17.1,9.8,24.7
2001,6,221,21.2,15.9,26.9
2001,7,221,24.3,19.9,29.9
2001,8,221,24.0,18.7,30.8
2001,9,221,18.4,11.2,26.5
2001,10,221,12.8,6.9,20.4
2001,11,221,2.4,-3.9,10.9
2001,12,221,-4.4,-11.2,3.0
2002,1,221,-2.9,-8.5,2.7
2002,2,221,-1.4,-8.4,5.9
2002,3,221,5.4,-2.4,12.9
2002,4,221,11.6,3.7,19.3
2002,5,221,16.2,9.8,22.8
2002,6,221,20.2,13.7,26.8
2002,7,221,23.9,19.9,28.9
2002,8,221,22.7,19.7,26.9
2002,9,221,18.2,13.4,24.6
2002,10,221,10.0,3.8,17.3
2002,11,221,1.5,-4.4,8.0
2002,12,221,-0.8,-5.5,4.9
2003,1,221,-5.3,-11.2,0.9
2003,2,221,-0.2,-5.4,5.8
2003,3,221,4.3,-1.7,10.6
2003,4,221,11.0,4.5,17.8
2003,5,221,16.8,10.0,24.2
2003,6,221,20.1,15.4,25.7
2003,7,221,22.0,17.9,27.1
2003,8,221,22.5,18.9,27.0
2003,9,221,18.8,14.6,24.3
2003,10,221,10.1,3.5,18.8
2003,11,221,7.0,1.2,13.2
2003,12,221,-1.7,-7.3,4.1
2004,1,221,-4.7,-10.6,2.3
2004,2,221,-0.2,-6.5,6.6
2004,3,221,3.6,-3.8,11.1
2004,4,221,11.0,2.9,19.1
2004,5,221,15.9,10.0,22.1
2004,6,221,20.8,15.1,27.2
2004,7,221,23.6,20.1,28.3
2004,8,221,23.4,19.2,28.9
2004,9,221,18.7,13.8,25.1
2004,10,221,11.2,3.9,20.2
2004,11,221,5.6,-0.4,13.0
2004,12,221,-0.8,-6.5,6.5
2005,1,221,-4.9,-11.3,1.7
2005,2,221,-3.8,-10.0,2.4
2005,3,221,2.4,-4.3,9.2
2005,4,221,11.3,3.2,18.9
2005,5,221,15.8,8.6,23.3
2005,6,221,21.5,16.6,27.7
2005,7,221,23.9,20.5,28.7
2005,8,221,23.5,19.9,28.5
2005,9,221,20.1,16.1,25.5
2005,10,221,11.7,6.3,19.3
2005,11,221,5.3,-1.2,13.2
2005,12,221,-6.1,-12.6,0.3
2006,1,221,-2.3,-7.8,4.0
2006,2,221,-1.3,-6.9,4.5
2006,3,221,3.9,-3.0,10.9
2006,4,221,10.3,3.7,16.8
2006,5,221,17.0,11.2,23.4
2006,6,221,20.9,15.5,27.0
2006,7,221,22.1,19.4,26.2
2006,8,221,25.4,21.3,31.4
2006,9,221,17.6,12.2,24.3
2006,10,221,14.1,8.4,21.8
2006,11,221,6.4,1.1,12.2
2006,12,221,-0.6,-4.9,5.5
2007,1,221,-3.3,-8.8,3.6
2007,2,221,0.6,-6.2,8.7
2007,3,221,4.1,-1.8,10.7
2007,4,221,9.9,2.8,17.2
2007,5,221,16.0,9.7,23.3
2007,6,221,20.7,14.8,27.2
2007,7,221,22.2,18.9,26.9
2007,8,221,24.0,20.5,28.9
2007,9,221,19.7,16.2,24.4
2007,10,221,12.6,7.0,20.0
2007,11,221,3.4,-2.7,11.0
2007,12,221,-1.3,-6.1,4.3
2008,1,221,-4.2,-9.8,2.0
2008,2,221,-4.3,-11.5,3.1
2008,3,221,4.2,-2.1,11.4
