년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,131,-1.2,-5.1,2.9
2000,2,131,-1.6,-6.3,3.4
2000,3,131,5.7,-0.2,12.3
2000,4,131,11.5,5.5,17.8
2000,5,131,17.2,12.1,23.0
2000,6,131,22.7,18.5,27.6
2000,7,131,26.2,22.5,30.6
2000,8,131,26.1,22.8,30.3
2000,9,131,19.7,16.0,24.3
2000,10,131,14.4,9.1,20.5
2000,11,131,6.4,1.5,12.3
2000,12,131,0.9,-4.2,6.3
2001,1,131,-3.0,-7.4,1.5
2001,2,131,0.4,-3.6,5.5
2001,3,131,5.5,-0.1,11.7
2001,4,131,14.1,7.1,21.2
2001,5,131,19.7,14.5,25.7
2001,6,131,22.9,18.9,27.6
2001,7,131,26.3,22.9,30.5
2001,8,131,25.8,21.7,30.7
2001,9,131,21.5,16.4,27.2
2001,10,131,15.5,10.9,21.1
2001,11,131,6.3,0.9,12.2
2001,12,131,-0.5,-5.1,4.6
2002,1,131,0.7,-3.2,5.0
2002,2,131,1.7,-3.5,7.5
2002,3,131,8.1,2.0,14.7
2002,4,131,14.4,8.0,20.8
2002,5,131,18.1,12.9,23.6
2002,6,131,22.2,17.2,27.5
2002,7,131,25.5,22.1,29.5
2002,8,131,24.2,21.6,27.6
2002,9,131,20.5,16.2,25.5
2002,10,131,12.2,7.0,17.8
2002,11,131,4.1,-0.8,9.3
2002,12,131,1.6,-2.6,6.3
2003,1,131,-2.9,-7.5,2.1
2003,2,131,2.2,-2.1,7.1
2003,3,131,6.3,1.2,11.6
2003,4,131,13.2,7.9,18.8
2003,5,131,19.1,13.3,24.9
2003,6,131,21.9,18.1,26.2
2003,7,131,23.4,20.3,27.1
2003,8,131,24.1,21.2,27.8
2003,9,131,20.8,16.9,25.5
2003,10,131,13.4,7.6,19.9
2003,11,131,9.3,4.3,14.6
2003,12,131,1.0,-3.4,5.7
2004,1,131,-1.7,-6.5,3.6
2004,2,131,2.6,-3.0,8.8
2004,3,131,6.1,-0.3,12.7
2004,4,131,13.4,6.7,20.4
2004,5,131,18.2,13.4,23.3
2004,6,131,23.1,18.3,28.2
2004,7,131,26.0,22.7,29.8
2004,8,131,25.8,22.3,30.2
2004,9,131,21.4,17.2,26.3
2004,10,131,14.7,8.6,21.6
2004,11,131,8.7,3.1,14.9
2004,12,131,2.5,-2.1,7.8
2005,1,131,-1.6,-6.1,3.6
2005,2,131,-0.9,-5.4,4.1
2005,3,131,5.2,-0.3,11.4
2005,4,131,14.0,7.7,20.6
2005,5,131,17.9,12.0,24.1
2005,6,131,23.0,18.9,28.1
2005,7,131,25.5,22.3,29.3
2005,8,131,25.4,22.3,29.6
2005,9,131,22.4,18.7,26.9
2005,10,131,14.4,9.3,20.2
2005,11,131,8.2,2.3,14.4
2005,12,131,-3.5,-8.3,1.3
2006,1,131,0.2,-4.1,5.1
2006,2,131,0.7,-4.0,5.9
2006,3,131,6.1,0.2,12.4
2006,4,131,12.1,7.0,17.8
2006,5,131,18.9,13.8,24.5
2006,6,131,22.9,18.5,27.9
2006,7,131,23.8,21.4,27.1
2006,8,131,26.9,23.1,31.6
2006,9,131,20.2,15.3,25.7
2006,10,131,17.3,11.6,23.7
2006,11,131,8.7,3.7,13.9
2006,12,131,1.5,-3.1,6.8
2007,1,131,0.5,-3.9,5.7
2007,2,131,4.3,-1.3,10.5
2007,3,131,7.2,2.1,13.1
2007,4,131,12.4,6.5,18.9
2007,5,131,18.9,13.7,24.8
2007,6,131,23.1,18.8,28.2
2007,7,131,24.7,21.7,28.4
2007,8,131,26.6,23.4,30.7
2007,9,131,21.7,18.5,25.7
2007,10,131,15.4,11.0,20.7
2007,11,131,7.0,2.0,12.7
2007,12,131,2.2,-1.4,6.5
2008,1,131,-1.0,-4.6,3.1
2008,2,131,-1.0,-6.0,4.9
2008,3,131,7.7,2.5,13.9
2008,4,131,14.4,8.1,21.2
2008,5,131,18.9,13.2,25.1
2008,6,131,22.1,17.9,26.8
2008,7,131,27.1,23.6,31.6
2008,8,131,25.7,21.7,30.3
2008,9,131,22.5,18.1,27.9
2008,10,131,16.0,11.0,21.9
2008,11,131,7.0,2.1,12.6
2008,12,131,0.9,-3.6,6.1
2009,1,131,-2.7,-7.3,2.9
2009,2,131,2.8,-1.8,7.8
2009,3,131,6.3,0.9,12.4
2009,4,131,12.5,6.5,19.1
2009,5,131,18.8,12.9,25.2
2009,6,131,22.9,18.0,28.3
2009,7,131,24.4,20.8,28.9
2009,8,131,25.6,21.7,30.4
2009,9,131,21.7,17.1,27.0
2009,10,131,15.9,10.5,22.4
2009,11,131,7.4,3.6,11.8
2009,12,131,-0.1,-3.8,4.0
2010,1,131,-3.2,-7.6,1.7
2010,2,131,2.1,-1.9,6.7
2010,3,131,5.3,1.3,9.9
2010,4,131,10.4,5.0,16.4
2010,5,131,18.5,12.8,24.6
2010,6,131,24.0,19.1,29.4
2010,7,131,26.6,23.2,30.8
2010,8,131,28.0,25.0,32.1
2010,9,131,22.8,19.0,27.5
2010,10,131,14.8,10.1,20.5
2010,11,131,7.0,1.8,12.9
2010,12,131,0.0,-4.4,4.8
2011,1,131,-5.9,-10.4,-1.1
2011,2,131,1.8,-3.0,7.3
2011,3,131,4.5,-0.3,10.3
2011,4,131,11.9,6.3,18.4
2011,5,131,19.3,14.3,24.9
2011,6,131,23.7,19.1,29.1
2011,7,131,26.1,23.2,30.0
2011,8,131,26.1,23.0,30.0
2011,9,131,21.3,17.2,26.2
2011,10,131,13.6,8.5,19.6
2011,11,131,11.2,7.0,16.1
2011,12,131,0.0,-3.7,4.1
2012,1,131,-1.9,-5.8,2.4
2012,2,131,-1.3,-5.7,4.0
2012,3,131,5.8,1.6,10.7
2012,4,131,13.3,7.4,19.8
2012,5,131,19.9,14.6,26.1
2012,6,131,23.8,19.4,29.2
2012,7,131,26.3,22.7,30.6
2012,8,131,27.3,23.8,31.5
2012,9,131,21.1,17.3,25.7
2012,10,131,14.8,9.5,20.8
2012,11,131,6.2,2.2,10.6
2012,12,131,-3.1,-7.0,0.9
2013,1,131,-2.7,-7.1,1.8
2013,2,131,0.0,-4.0,4.6
2013,3,131,6.4,0.6,13.3
2013,4,131,10.8,5.1,16.9
2013,5,131,19.2,13.6,25.5
2013,6,131,24.6,20.3,29.7
2013,7,131,27.2,24.3,31.1
2013,8,131,28.0,24.3,32.8
2013,9,131,21.8,17.9,26.3
2013,10,131,15.9,10.7,21.8
2013,11,131,6.7,2.6,11.4
2013,12,131,1.1,-2.7,5.2
2014,1,131,0.1,-4.5,5.1
2014,2,131,2.9,-1.4,7.8
2014,3,131,8.5,3.7,14.2
2014,4,131,14.7,9.1,21.3
2014,5,131,19.8,13.9,26.3
2014,6,131,23.5,19.5,28.6
2014,7,131,26.5,22.6,31.3
2014,8,131,24.9,21.7,28.9
2014,9,131,22.3,17.8,27.5
2014,10,131,15.5,10.1,21.6
2014,11,131,9.0,4.6,13.9
2014,12,131,-1.2,-4.9,3.1
2015,1,131,0.3,-3.4,4.6
2015,2,131,2.2,-1.9,7.1
2015,3,131,7.5,1.4,14.3
2015,4,131,13.9,8.6,19.8
2015,5,131,20.0,14.0,26.6
2015,6,131,23.7,19.2,29.2
2015,7,131,25.4,22.0,29.7
2015,8,131,26.3,22.6,31.0
2015,9,131,21.5,16.6,26.9
2015,10,131,15.3,10.4,21.1
2015,11,131,9.6,6.5,13.1
2015,12,131,2.5,-1.2,6.5
2016,1,131,-1.8,-5.4,2.3
2016,2,131,1.0,-3.3,5.9
2016,3,131,7.3,2.2,13.2
2016,4,131,14.7,9.0,21.2
2016,5,131,19.9,13.8,26.2
2016,6,131,23.6,19.3,28.7
