년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,135,-2.8,-6.8,1.5
2000,2,135,-1.6,-6.1,3.4
2000,3,135,5.5,-1.1,12.6
2000,4,135,11.3,4.3,18.4
2000,5,135,17.0,10.5,24.4
2000,6,135,21.5,16.4,27.7
2000,7,135,24.8,20.4,30.9
2000,8,135,24.2,20.7,29.3
2000,9,135,18.2,14.2,23.5
2000,10,135,13.0,7.1,20.0
2000,11,135,5.4,-0.1,12.3
2000,12,135,0.0,-5.7,6.4
2001,1,135,-3.7,-8.2,0.8
2001,2,135,-0.5,-5.7,5.4
2001,3,135,5.0,-1.5,11.9
2001,4,135,13.0,4.5,21.3
2001,5,135,18.4,11.8,25.3
2001,6,135,21.9,16.8,27.9
2001,7,135,25.2,20.5,31.3
2001,8,135,24.7,19.8,31.0
2001,9,135,19.5,13.2,26.8
2001,10,135,14.1,9.0,20.8
2001,11,135,5.5,-0.4,12.3
2001,12,135,-0.9,-5.3,4.2
2002,1,135,-0.5,-4.8,4.6
2002,2,135,1.4,-4.3,7.9
2002,3,135,7.7,0.9,14.8
2002,4,135,13.4,6.1,21.1
2002,5,135,16.6,10.5,23.2
2002,6,135,21.1,14.5,28.3
2002,7,135,24.0,20.4,29.1
2002,8,135,22.8,20.1,26.9
2002,9,135,18.7,14.0,25.3
2002,10,135,11.4,5.7,18.2
2002,11,135,3.5,-1.9,9.5
2002,12,135,1.0,-2.9,5.8
2003,1,135,-2.8,-7.0,1.6
2003,2,135,1.3,-3.3,6.6
2003,3,135,5.2,-0.4,11.2
2003,4,135,12.0,6.0,18.4
2003,5,135,16.7,10.4,23.7
2003,6,135,20.1,15.5,25.5
2003,7,135,21.0,18.1,25.1
2003,8,135,22.6,19.6,27.2
2003,9,135,19.9,15.9,25.3
2003,10,135,12.1,6.3,19.3
2003,11,135,8.4,3.2,14.2
2003,12,135,1.3,-2.7,5.9
2004,1,135,-1.7,-6.2,3.6
2004,2,135,2.0,-3.8,8.5
2004,3,135,5.8,-0.9,12.6
2004,4,135,12.8,5.4,20.4
2004,5,135,16.8,11.4,23.1
2004,6,135,21.1,15.6,27.5
2004,7,135,24.7,20.8,29.6
2004,8,135,23.8,20.2,28.9
2004,9,135,19.4,15.2,25.0
2004,10,135,13.1,6.7,20.9
2004,11,135,7.8,2.1,14.3
2004,12,135,1.6,-3.2,7.4
2005,1,135,-2.1,-6.2,2.4
2005,2,135,-1.8,-6.2,2.8
2005,3,135,4.3,-1.3,10.7
2005,4,135,13.1,6.1,20.2
2005,5,135,17.0,10.2,24.2
2005,6,135,22.1,17.0,28.3
2005,7,135,24.4,20.8,29.3
2005,8,135,23.8,20.3,28.9
2005,9,135,20.1,16.1,25.3
2005,10,135,12.6,7.3,19.0
2005,11,135,6.8,0.4,13.4
2005,12,135,-3.6,-8.0,0.8
2006,1,135,-0.5,-4.8,4.3
2006,2,135,-0.3,-4.8,4.9
