년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,127,-2.9,-7.5,2.1
2000,2,127,-3.1,-9.2,3.1
2000,3,127,4.6,-2.3,12.2
2000,4,127,10.1,2.9,17.6
2000,5,127,16.3,10.0,23.4
2000,6,127,21.2,16.2,27.3
2000,7,127,26.0,21.4,31.8
2000,8,127,25.6,21.9,30.9
2000,9,127,19.1,14.7,24.9
2000,10,127,12.9,7.1,20.6
2000,11,127,4.7,-0.5,12.0
2000,12,127,-0.7,-6.0,5.9
2001,1,127,-4.4,-9.2,0.8
2001,2,127,-0.9,-5.4,4.6
2001,3,127,4.3,-2.0,11.6
2001,4,127,12.7,4.3,21.3
2001,5,127,18.9,11.9,26.1
2001,6,127,22.4,17.4,27.6
2001,7,127,26.0,21.8,30.9
2001,8,127,25.6,20.5,31.6
2001,9,127,20.5,13.7,27.6
2001,10,127,14.1,9.0,20.5
2001,11,127,3.8,-1.8,10.8
2001,12,127,-3.0,-8.6,3.3
2002,1,127,-1.5,-6.2,3.4
2002,2,127,-0.3,-6.0,6.0
2002,3,127,6.6,-0.3,13.6
2002,4,127,12.9,5.6,19.9
2002,5,127,17.0,11.0,23.3
2002,6,127,21.0,15.0,27.0
2002,7,127,24.8,20.8,29.4
2002,8,127,23.4,20.6,27.2
2002,9,127,19.0,14.4,25.0
2002,10,127,10.5,5.3,16.9
2002,11,127,2.1,-3.6,7.9
2002,12,127,-0.7,-5.1,4.5
2003,1,127,-4.9,-9.7,0.1
2003,2,127,0.2,-4.4,5.3
2003,3,127,4.7,-0.8,10.2
2003,4,127,12.0,6.0,18.5
2003,5,127,18.4,11.6,25.5
2003,6,127,21.4,16.8,26.6
2003,7,127,23.5,19.5,28.0
2003,8,127,24.0,20.9,28.2
2003,9,127,20.5,16.3,26.0
2003,10,127,11.8,5.4,19.8
2003,11,127,8.4,2.9,14.3
2003,12,127,-0.3,-4.8,4.7
2004,1,127,-3.1,-8.0,3.0
2004,2,127,1.6,-4.4,8.4
2004,3,127,5.4,-1.5,12.2
2004,4,127,12.6,5.2,20.4
2004,5,127,17.8,12.2,23.7
2004,6,127,23.0,17.2,29.2
2004,7,127,25.7,22.3,30.1
2004,8,127,25.6,21.5,30.9
2004,9,127,20.5,15.8,26.7
2004,10,127,12.8,6.0,21.3
2004,11,127,7.0,1.4,14.0
2004,12,127,0.3,-4.6,6.6
2005,1,127,-3.5,-9.0,2.2
2005,2,127,-2.2,-7.4,3.1
2005,3,127,4.0,-1.8,10.3
2005,4,127,13.0,5.6,20.3
2005,5,127,16.8,9.6,23.9
2005,6,127,22.7,17.8,28.3
2005,7,127,25.1,21.7,29.5
2005,8,127,24.8,21.2,29.6
2005,9,127,21.2,17.1,26.3
2005,10,127,12.5,7.2,19.2
2005,11,127,6.0,-0.2,13.2
2005,12,127,-5.9,-11.4,-0.1
2006,1,127,-1.8,-6.4,3.6
2006,2,127,-1.1,-6.2,4.3
2006,3,127,4.5,-1.8,11.0
2006,4,127,10.5,4.2,16.8
2006,5,127,16.9,11.1,23.1
2006,6,127,21.1,16.0,26.9
2006,7,127,22.6,19.9,26.5
2006,8,127,26.1,21.9,31.6
2006,9,127,19.0,13.6,25.7
2006,10,127,15.2,8.8,23.3
2006,11,127,6.4,0.7,12.4
2006,12,127,-0.9,-5.5,4.9
2007,1,127,-1.7,-6.7,4.5
2007,2,127,2.1,-3.9,9.3
2007,3,127,5.5,-0.1,11.7
2007,4,127,10.9,4.1,17.8
2007,5,127,17.5,11.4,24.3
2007,6,127,22.1,16.3,28.2
2007,7,127,23.8,20.4,28.0
2007,8,127,25.8,22.1,30.3
2007,9,127,21.1,17.5,25.5
2007,10,127,13.8,8.8,20.4
2007,11,127,4.5,-0.9,11.4
2007,12,127,-0.1,-4.0,5.0
2008,1,127,-2.3,-6.6,2.9
2008,2,127,-2.7,-8.9,4.1
2008,3,127,6.2,0.5,12.8
2008,4,127,12.9,5.7,20.5
2008,5,127,17.3,10.4,24.4
2008,6,127,21.4,16.3,27.2
2008,7,127,26.1,22.6,30.8
2008,8,127,24.8,20.6,30.3
2008,9,127,20.8,16.0,27.5
2008,10,127,14.1,8.5,21.5
2008,11,127,5.8,0.2,12.4
2008,12,127,-0.1,-5.5,6.2
2009,1,127,-4.2,-9.9,2.5
2009,2,127,2.4,-3.1,8.2
2009,3,127,6.1,-0.2,12.4
2009,4,127,11.9,4.9,19.4
2009,5,127,18.1,11.2,25.4
2009,6,127,22.3,16.6,28.1
2009,7,127,23.9,20.2,28.7
2009,8,127,24.7,20.2,29.9
2009,9,127,20.2,15.4,26.3
2009,10,127,13.5,7.3,21.4
2009,11,127,6.0,1.6,11.0
2009,12,127,-1.6,-5.9,3.1
2010,1,127,-5.5,-11.2,0.2
2010,2,127,0.5,-4.2,5.6
2010,3,127,4.3,-0.1,8.8
2010,4,127,9.4,3.0,15.6
2010,5,127,17.2,10.6,23.7
2010,6,127,22.9,17.2,29.0
2010,7,127,25.7,22.0,30.1
2010,8,127,26.8,23.9,31.2
2010,9,127,21.1,17.2,26.6
2010,10,127,13.1,7.9,19.8
2010,11,127,4.7,-1.4,12.1
2010,12,127,-1.8,-7.3,4.0
2011,1,127,-8.0,-14.0,-1.9
2011,2,127,0.0,-6.0,6.9
2011,3,127,3.2,-2.8,9.5
2011,4,127,10.6,3.8,17.4
2011,5,127,17.6,11.5,23.7
2011,6,127,22.3,17.0,28.1
2011,7,127,25.4,22.3,29.6
2011,8,127,25.5,22.2,29.8
2011,9,127,20.0,15.4,25.8
2011,10,127,12.0,6.3,19.4
2011,11,127,9.8,4.7,15.4
2011,12,127,-1.7,-6.4,3.4
2012,1,127,-3.4,-8.5,2.2
2012,2,127,-2.5,-8.5,3.8
2012,3,127,5.1,0.3,10.3
2012,4,127,12.8,6.2,19.7
2012,5,127,18.5,12.0,25.5
2012,6,127,23.5,18.2,29.5
2012,7,127,25.7,21.9,30.3
2012,8,127,26.5,22.7,31.2
2012,9,127,19.6,15.4,25.0
2012,10,127,12.6,6.7,19.9
2012,11,127,4.4,-0.3,9.8
2012,12,127,-5.0,-9.7,0.3
2013,1,127,-5.0,-10.4,0.9
2013,2,127,-1.3,-6.5,4.1
2013,3,127,5.2,-1.4,12.6
2013,4,127,9.7,3.4,16.0
2013,5,127,18.0,11.3,24.8
2013,6,127,23.6,18.6,29.1
2013,7,127,26.2,23.2,30.2
2013,8,127,26.6,22.3,31.9
2013,9,127,20.3,16.1,25.8
2013,10,127,14.0,7.9,21.3
2013,11,127,4.9,-0.1,10.6
2013,12,127,-1.0,-5.5,3.9
2014,1,127,-2.1,-7.2,3.8
2014,2,127,1.3,-3.7,7.2
2014,3,127,6.9,0.6,13.3
2014,4,127,13.1,6.2,20.4
2014,5,127,18.5,11.2,26.0
2014,6,127,22.7,18.1,28.5
2014,7,127,25.5,21.1,30.7
2014,8,127,23.8,20.5,28.3
2014,9,127,20.4,15.3,26.8
2014,10,127,13.1,7.1,20.7
2014,11,127,6.8,1.6,13.2
2014,12,127,-3.7,-8.4,1.6
2015,1,127,-1.7,-6.3,3.4
2015,2,127,0.6,-4.3,6.2
2015,3,127,5.6,-1.6,13.2
2015,4,127,12.5,6.3,19.0
2015,5,127,18.5,10.9,26.0
2015,6,127,23.0,17.2,29.4
2015,7,127,25.0,21.2,29.7
2015,8,127,25.3,21.0,30.8
2015,9,127,19.9,14.1,27.0
2015,10,127,13.4,7.1,21.0
2015,11,127,8.7,5.0,12.8
2015,12,127,1.2,-3.3,6.2
2016,1,127,-3.2,-8.1,2.2
2016,2,127,-0.1,-5.7,6.0
