년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,238,-2.2,-7.3,3.4
2000,2,238,-2.2,-8.3,4.1
2000,3,238,4.2,-3.5,12.4
2000,4,238,9.9,2.3,17.6
2000,5,238,16.4,9.4,23.9
2000,6,238,21.8,16.7,27.8
2000,7,238,25.3,20.9,31.1
2000,8,238,24.8,21.0,30.1
2000,9,238,18.7,14.5,24.4
2000,10,238,12.8,6.9,20.8
2000,11,238,5.0,-0.7,12.7
2000,12,238,0.0,-6.3,7.6
2001,1,238,-3.2,-8.7,2.8
2001,2,238,-0.2,-5.7,6.7
2001,3,238,4.6,-2.2,12.2
2001,4,238,12.1,3.5,20.7
2001,5,238,18.1,11.1,25.1
2001,6,238,22.0,16.9,27.7
2001,7,238,25.4,21.3,31.1
2001,8,238,24.4,19.6,30.6
2001,9,238,19.5,13.2,27.0
2001,10,238,13.8,8.7,21.3
2001,11,238,4.6,-1.6,13.3
2001,12,238,-1.2,-6.8,5.4
2002,1,238,0.6,-4.3,6.4
2002,2,238,0.7,-5.9,8.5
2002,3,238,6.8,-0.7,14.8
2002,4,238,13.4,5.9,21.0
2002,5,238,16.5,10.3,23.2
2002,6,238,21.0,14.8,27.9
2002,7,238,24.6,20.8,29.5
2002,8,238,23.7,20.8,27.8
2002,9,238,19.3,14.8,25.9
2002,10,238,11.3,5.7,19.0
2002,11,238,3.6,-2.6,10.4
2002,12,238,0.9,-4.0,7.0
2003,1,238,-3.3,-9.1,3.0
2003,2,238,1.3,-4.0,7.7
2003,3,238,5.3,-0.9,12.0
2003,4,238,12.1,5.8,18.9
2003,5,238,17.5,11.1,24.7
2003,6,238,20.6,15.8,26.3
2003,7,238,22.3,19.1,26.6
2003,8,238,23.3,20.2,28.3
2003,9,238,20.3,16.1,26.3
2003,10,238,11.6,5.2,20.3
2003,11,238,8.2,2.6,15.0
2003,12,238,0.6,-4.7,6.8
2004,1,238,-2.5,-8.3,4.7
2004,2,238,1.7,-5.7,9.4
2004,3,238,5.4,-2.2,13.1
2004,4,238,11.8,3.5,20.4
2004,5,238,17.2,11.1,23.5
2004,6,238,21.7,16.1,28.1
2004,7,238,25.4,21.3,30.5
2004,8,238,24.4,20.7,29.9
2004,9,238,19.9,15.4,26.0
2004,10,238,12.3,5.4,21.1
2004,11,238,6.9,1.0,15.0
2004,12,238,1.3,-4.3,8.5
2005,1,238,-2.3,-8.0,3.6
2005,2,238,-1.4,-6.7,4.0
2005,3,238,3.9,-2.7,10.9
2005,4,238,12.9,5.0,21.0
2005,5,238,16.6,9.1,24.8
2005,6,238,22.2,17.0,28.7
2005,7,238,25.0,21.2,30.1
2005,8,238,24.6,21.2,29.8
2005,9,238,21.3,17.2,26.8
2005,10,238,12.5,7.3,20.1
2005,11,238,6.4,-0.3,14.7
2005,12,238,-3.8,-9.7,2.5
2006,1,238,-0.5,-5.4,5.6
2006,2,238,0.2,-5.4,6.1
2006,3,238,5.2,-1.7,12.6
2006,4,238,10.9,4.4,17.3
2006,5,238,17.4,11.5,24.1
2006,6,238,21.8,16.2,28.5
2006,7,238,23.2,20.3,27.6
2006,8,238,25.9,21.9,32.0
2006,9,238,18.7,14.5,24.3
2006,10,238,15.9,11.2,22.6
2006,11,238,7.1,0.7,14.2
2006,12,238,-0.5,-5.4,6.6
2007,1,238,-1.4,-6.8,5.6
2007,2,238,2.3,-4.1,10.5
2007,3,238,5.7,-0.8,13.1
2007,4,238,10.5,2.4,18.6
2007,5,238,17.4,10.4,25.0
2007,6,238,22.0,16.5,28.2
2007,7,238,24.1,20.4,29.4
2007,8,238,26.0,22.3,31.7
2007,9,238,21.3,17.5,26.3
2007,10,238,13.5,8.1,21.2
2007,11,238,4.9,-1.3,13.5
2007,12,238,0.6,-3.9,6.9
2008,1,238,-1.8,-6.1,3.4
2008,2,238,-2.3,-8.8,4.6
2008,3,238,5.8,-1.3,13.4
2008,4,238,12.3,4.9,20.0
2008,5,238,16.7,9.2,24.2
2008,6,238,20.6,15.6,26.4
2008,7,238,26.5,22.6,31.6
2008,8,238,24.4,19.8,30.3
2008,9,238,20.2,14.9,27.5
2008,10,238,13.6,7.7,22.0
2008,11,238,5.7,-0.1,13.5
2008,12,238,0.2,-5.4,6.9
2009,1,238,-3.4,-9.3,4.0
2009,2,238,2.2,-3.7,9.0
2009,3,238,5.8,-1.2,12.7
2009,4,238,11.5,3.8,19.6
2009,5,238,17.3,9.6,25.1
2009,6,238,21.8,15.5,28.2
2009,7,238,23.3,19.5,28.2
2009,8,238,24.0,19.5,29.3
2009,9,238,20.0,14.5,27.1
2009,10,238,13.5,6.8,22.3
2009,11,238,6.0,1.1,11.9
2009,12,238,-1.0,-5.8,4.7
2010,1,238,-3.5,-9.4,3.0
2010,2,238,0.9,-4.1,6.6
2010,3,238,4.5,-0.7,9.6
2010,4,238,9.0,2.3,15.7
2010,5,238,16.8,9.4,24.0
2010,6,238,22.5,16.4,29.3
2010,7,238,25.2,21.4,30.3
2010,8,238,26.5,23.2,31.7
2010,9,238,21.0,16.8,27.1
2010,10,238,12.7,7.0,20.4
2010,11,238,4.9,-2.0,13.6
2010,12,238,-1.2,-6.9,5.7
2011,1,238,-7.3,-13.9,-0.4
2011,2,238,0.0,-6.2,7.8
2011,3,238,3.2,-3.6,10.5
2011,4,238,10.4,2.8,18.3
2011,5,238,17.3,10.8,23.6
2011,6,238,22.4,16.5,28.9
2011,7,238,25.0,21.6,29.7
2011,8,238,24.7,21.2,29.4
2011,9,238,19.9,15.2,26.3
2011,10,238,11.6,5.7,19.9
2011,11,238,9.7,4.7,16.3
2011,12,238,-1.3,-6.6,4.6
2012,1,238,-3.2,-8.7,3.0
2012,2,238,-2.4,-8.3,4.2
2012,3,238,4.5,-1.2,10.6
2012,4,238,12.0,4.3,19.7
2012,5,238,18.3,11.2,25.7
2012,6,238,22.1,17.0,28.3
2012,7,238,25.4,21.3,30.5
2012,8,238,25.9,21.9,30.9
2012,9,238,18.9,14.5,25.0
2012,10,238,11.9,5.5,20.6
2012,11,238,4.6,-0.7,11.2
2012,12,238,-4.3,-9.9,2.0
2013,1,238,-4.6,-10.8,2.6
2013,2,238,-0.8,-6.3,5.2
2013,3,238,5.6,-2.2,14.2
2013,4,238,9.4,2.0,16.6
2013,5,238,17.5,10.3,24.7
2013,6,238,22.8,17.9,28.9
2013,7,238,26.4,22.5,30.9
2013,8,238,26.6,22.4,32.4
2013,9,238,19.8,15.3,26.3
2013,10,238,13.6,8.0,21.4
2013,11,238,5.4,0.2,12.2
2013,12,238,0.0,-4.7,5.9
2014,1,238,-1.5,-7.8,5.9
2014,2,238,1.4,-4.5,8.1
2014,3,238,6.8,0.3,13.7
2014,4,238,12.5,5.3,20.3
2014,5,238,17.8,10.2,25.7
2014,6,238,21.8,16.8,27.7
2014,7,238,24.9,20.5,30.2
2014,8,238,23.2,19.9,27.8
2014,9,238,19.8,14.5,27.0
2014,10,238,13.2,7.2,21.1
2014,11,238,6.8,1.6,13.7
2014,12,238,-2.1,-7.1,3.2
2015,1,238,-1.0,-5.8,4.5
2015,2,238,1.0,-3.9,6.4
2015,3,238,5.8,-1.5,13.3
2015,4,238,12.4,5.9,18.8
2015,5,238,18.3,10.4,25.8
2015,6,238,21.8,16.0,28.2
2015,7,238,24.4,20.4,29.3
2015,8,238,24.5,20.1,30.4
2015,9,238,19.4,13.4,26.6
2015,10,238,13.3,7.2,21.7
2015,11,238,9.0,5.3,13.5
2015,12,238,1.9,-2.5,7.5
2016,1,238,-2.3,-6.8,2.9
2016,2,238,0.3,-5.3,6.5
2016,3,238,5.9,-1.0,13.3
2016,4,238,13.5,6.7,21.2
2016,5,238,18.1,10.6,25.9
2016,6,238,22.3,17.0,28.2
2016,7,238,25.8,21.6,30.9
2016,8,238,26.2,21.4,32.6
2016,9,238,21.0,16.9,26.4
2016,10,238,14.6,10.4,20.5
2016,11,238,5.7,-0.1,12.5
2016,12,238,1.0,-4.2,7.1
2017,1,238,-2.0,-7.7,4.9
2017,2,238,0.1,-6.0,6.8
2017,3,238,4.9,-2.0,12.3
2017,4,238,13.0,5.7,20.5
2017,5,238,17.5,9.7,25.5
2017,6,238,21.7,15.3,28.6
2017,7,238,26.1,22.7,30.7
2017,8,238,24.6,20.7,30.0
2017,9,238,19.1,13.6,25.8
2017,10,238,13.6,8.7,20.6
2017,11,238,4.8,-1.5,12.2
2017,12,238,-1.8,-7.1,4.1
2018,1,238,-3.9,-8.9,2.0
2018,2,238,-1.8,-8.5,5.0
2018,3,238,7.2,0.5,14.5
2018,4,238,12.5,5.1,20.0
2018,5,238,17.9,11.7,24.4
2018,6,238,22.2,16.3,28.7
2018,7,238,26.8,22.2,32.2
2018,8,238,27.2,22.2,33.2
