년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,235,0.1,-3.7,4.0
2000,2,235,-1.3,-5.5,3.7
2000,3,235,5.1,-0.5,11.0
2000,4,235,10.3,4.7,15.7
2000,5,235,15.2,11.0,20.2
2000,6,235,20.9,17.4,25.2
2000,7,235,25.9,23.0,29.7
2000,8,235,26.8,23.3,31.0
2000,9,235,20.9,17.3,25.5
2000,10,235,15.5,10.8,21.1
2000,11,235,7.8,3.3,13.2
2000,12,235,2.6,-2.0,7.8
2001,1,235,-1.2,-5.1,2.9
2001,2,235,1.3,-2.9,6.1
2001,3,235,5.2,-0.1,10.3
2001,4,235,11.9,6.0,18.3
2001,5,235,17.8,13.5,23.2
2001,6,235,21.2,18.1,25.2
2001,7,235,26.4,23.7,29.9
2001,8,235,26.8,23.1,31.0
2001,9,235,22.3,17.4,27.9
2001,10,235,16.8,12.4,22.1
2001,11,235,8.6,4.1,13.7
2001,12,235,2.1,-1.5,6.3
2002,1,235,2.6,-1.0,6.8
2002,2,235,2.1,-2.4,7.5
2002,3,235,7.0,1.8,12.3
2002,4,235,13.0,8.1,18.4
2002,5,235,16.0,12.2,20.8
2002,6,235,20.6,16.4,25.4
2002,7,235,24.3,21.6,27.6
2002,8,235,24.2,21.5,27.4
2002,9,235,20.7,17.1,25.6
2002,10,235,13.7,9.2,18.8
2002,11,235,6.2,2.1,10.6
2002,12,235,3.6,-0.2,7.8
2003,1,235,-0.5,-4.4,3.7
2003,2,235,3.2,-0.9,7.6
2003,3,235,5.7,1.4,10.5
2003,4,235,11.4,7.1,16.3
2003,5,235,17.4,12.6,22.9
2003,6,235,20.3,16.7,24.6
2003,7,235,23.6,20.8,27.0
2003,8,235,24.0,21.2,27.6
2003,9,235,21.3,17.5,25.7
2003,10,235,14.5,9.6,20.0
2003,11,235,10.5,6.0,15.1
2003,12,235,2.3,-1.6,6.5
2004,1,235,-0.9,-4.8,3.7
2004,2,235,2.5,-2.2,7.8
2004,3,235,5.2,-0.1,10.9
2004,4,235,11.0,5.1,16.9
2004,5,235,15.8,11.6,20.5
2004,6,235,21.3,17.2,25.7
2004,7,235,24.5,22.1,27.7
2004,8,235,25.7,22.2,30.3
2004,9,235,21.5,17.1,26.7
2004,10,235,15.0,9.5,21.2
2004,11,235,9.7,5.2,15.2
2004,12,235,3.7,-0.8,8.5
2005,1,235,-0.7,-4.6,3.6
2005,2,235,-0.5,-4.6,3.7
2005,3,235,3.7,-1.2,8.7
2005,4,235,12.0,6.8,17.5
2005,5,235,16.1,10.7,22.0
2005,6,235,21.5,18.1,25.7
2005,7,235,24.8,21.9,28.2
2005,8,235,25.5,22.7,29.2
2005,9,235,22.4,18.8,26.9
2005,10,235,14.8,10.1,20.6
2005,11,235,9.2,3.9,14.9
2005,12,235,-1.9,-5.8,2.4
2006,1,235,0.7,-3.1,5.3
2006,2,235,0.7,-4.0,5.4
2006,3,235,4.6,-0.9,10.1
2006,4,235,10.0,5.1,14.6
