년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,236,-1.0,-5.7,3.8
2000,2,236,-1.1,-6.8,5.3
2000,3,236,5.3,-2.3,13.4
2000,4,236,11.2,3.8,18.7
2000,5,236,17.1,11.0,24.2
2000,6,236,22.7,18.1,28.7
2000,7,236,26.5,22.6,31.8
2000,8,236,26.4,22.5,31.8
2000,9,236,20.1,15.7,26.0
2000,10,236,14.0,7.9,21.8
2000,11,236,6.0,0.3,13.5
2000,12,236,0.7,-4.9,7.5
2001,1,236,-2.3,-6.9,2.8
2001,2,236,0.6,-4.5,6.7
2001,3,236,4.8,-1.6,12.0
2001,4,236,12.3,4.1,21.0
2001,5,236,19.0,13.1,26.1
2001,6,236,22.9,18.6,28.2
2001,7,236,26.8,23.3,31.9
2001,8,236,26.2,21.6,32.1
2001,9,236,21.8,15.7,29.0
2001,10,236,15.1,9.4,22.2
2001,11,236,5.7,-0.4,13.4
2001,12,236,-0.4,-5.4,5.7
2002,1,236,0.8,-3.8,6.2
2002,2,236,1.0,-5.0,8.6
2002,3,236,7.0,-0.1,14.7
2002,4,236,13.4,6.6,20.6
2002,5,236,16.9,11.9,23.1
2002,6,236,21.6,16.0,27.9
2002,7,236,25.1,21.6,29.6
2002,8,236,24.2,21.4,28.5
2002,9,236,20.2,15.5,26.7
2002,10,236,11.3,5.6,18.8
2002,11,236,3.6,-1.8,9.8
2002,12,236,1.2,-3.4,6.7
2003,1,236,-3.5,-8.5,2.2
2003,2,236,1.4,-3.6,7.3
2003,3,236,5.3,-0.4,11.7
2003,4,236,11.9,6.3,18.2
2003,5,236,18.2,12.2,25.2
2003,6,236,20.9,16.3,26.4
2003,7,236,23.0,19.8,27.4
2003,8,236,23.7,20.3,28.2
2003,9,236,20.6,16.3,26.5
2003,10,236,11.8,5.1,20.1
2003,11,236,8.1,2.7,14.5
2003,12,236,0.6,-4.3,6.5
2004,1,236,-2.6,-7.7,4.0
2004,2,236,1.3,-4.9,8.6
2004,3,236,5.4,-1.4,13.0
2004,4,236,12.1,4.6,20.0
2004,5,236,17.5,12.1,23.4
2004,6,236,22.6,17.5,28.5
2004,7,236,25.5,22.1,29.6
2004,8,236,25.9,21.9,31.1
2004,9,236,20.9,16.0,26.9
2004,10,236,13.9,6.8,22.0
2004,11,236,7.8,2.1,15.2
2004,12,236,2.3,-3.0,9.0
2005,1,236,-1.4,-6.7,4.3
2005,2,236,-0.5,-5.4,4.9
2005,3,236,4.4,-1.9,11.3
2005,4,236,12.8,5.6,20.6
2005,5,236,17.2,10.5,24.7
2005,6,236,22.4,18.0,28.2
2005,7,236,25.0,21.4,29.4
2005,8,236,24.9,21.6,29.5
2005,9,236,21.9,17.9,27.1
2005,10,236,13.3,7.5,20.9
2005,11,236,6.8,0.1,15.1
2005,12,236,-4.0,-9.3,1.9
2006,1,236,-0.3,-5.1,5.7
2006,2,236,0.5,-5.0,6.5
2006,3,236,5.0,-2.5,12.5
2006,4,236,10.6,4.7,17.0
2006,5,236,18.2,12.4,24.7
2006,6,236,22.4,17.5,28.9
2006,7,236,24.0,21.3,27.6
2006,8,236,27.2,22.8,33.1
2006,9,236,19.8,14.1,26.8
2006,10,236,16.3,9.8,24.9
2006,11,236,8.4,2.1,15.2
2006,12,236,1.0,-3.6,7.7
2007,1,236,-0.2,-5.3,6.3
2007,2,236,3.3,-3.1,11.3
2007,3,236,6.3,0.5,13.2
2007,4,236,11.0,4.0,18.5
2007,5,236,17.9,11.8,24.7
2007,6,236,22.7,17.9,28.5
2007,7,236,24.6,21.3,29.1
2007,8,236,26.5,23.0,31.3
2007,9,236,21.4,17.8,26.2
2007,10,236,14.4,9.1,21.5
2007,11,236,5.8,-0.1,13.8
2007,12,236,1.5,-2.9,7.2
2008,1,236,-0.8,-4.8,4.2
2008,2,236,-1.4,-7.2,5.5
2008,3,236,6.6,0.0,14.4
2008,4,236,13.2,6.2,21.2
2008,5,236,17.6,11.1,24.9
2008,6,236,21.6,17.2,27.3
2008,7,236,26.3,23.1,30.9
2008,8,236,25.1,21.0,30.4
2008,9,236,21.8,17.0,28.0
2008,10,236,15.1,9.3,22.7
2008,11,236,7.1,1.3,14.2
2008,12,236,1.2,-3.9,7.5
2009,1,236,-1.6,-7.4,5.1
2009,2,236,3.3,-2.4,9.5
2009,3,236,6.5,0.3,13.1
2009,4,236,12.0,4.9,20.0
2009,5,236,18.1,11.4,25.1
2009,6,236,22.1,16.7,28.1
2009,7,236,24.0,20.3,28.5
2009,8,236,25.1,20.9,30.3
2009,9,236,21.0,16.0,27.5
2009,10,236,15.1,8.7,23.1
2009,11,236,7.3,2.7,12.9
2009,12,236,0.3,-4.3,5.5
2010,1,236,-2.4,-7.5,3.4
2010,2,236,2.2,-2.5,7.5
2010,3,236,5.7,0.9,10.4
2010,4,236,9.7,3.6,16.2
2010,5,236,17.3,11.4,23.8
2010,6,236,23.0,17.8,29.3
2010,7,236,25.9,22.3,30.5
2010,8,236,27.2,24.0,31.7
2010,9,236,22.4,18.5,27.9
2010,10,236,14.1,8.5,21.1
2010,11,236,6.6,0.6,13.7
2010,12,236,0.1,-5.2,6.3
2011,1,236,-5.8,-11.6,0.3
2011,2,236,1.2,-4.4,8.2
2011,3,236,4.0,-2.3,10.9
2011,4,236,11.0,4.3,18.1
2011,5,236,18.0,12.1,24.3
2011,6,236,22.4,17.7,28.3
2011,7,236,25.8,22.9,29.6
2011,8,236,25.6,22.6,29.9
2011,9,236,20.7,16.3,26.3
2011,10,236,12.6,6.5,20.0
2011,11,236,10.5,5.9,16.4
2011,12,236,-0.2,-4.9,4.8
2012,1,236,-2.0,-6.7,3.1
2012,2,236,-1.5,-7.2,4.4
2012,3,236,4.9,-0.5,10.5
2012,4,236,11.7,4.9,19.0
2012,5,236,18.5,12.5,25.7
2012,6,236,22.9,18.0,28.6
2012,7,236,25.2,21.6,29.7
2012,8,236,26.5,23.0,30.9
2012,9,236,19.7,15.6,25.1
2012,10,236,13.2,7.2,20.9
2012,11,236,5.5,0.7,11.3
2012,12,236,-3.2,-7.8,1.8
2013,1,236,-3.6,-9.2,2.5
2013,2,236,-0.3,-5.3,5.2
2013,3,236,5.2,-1.5,12.9
2013,4,236,9.3,2.4,15.9
2013,5,236,17.3,11.2,24.2
2013,6,236,23.1,18.5,28.9
2013,7,236,26.1,23.0,29.8
2013,8,236,26.8,22.8,32.0
2013,9,236,20.7,16.4,26.6
2013,10,236,14.8,9.1,21.9
2013,11,236,6.1,1.2,12.0
2013,12,236,0.8,-3.5,6.1
2014,1,236,-0.8,-6.7,6.0
2014,2,236,2.6,-2.6,8.4
2014,3,236,7.2,1.2,13.7
2014,4,236,13.2,6.8,20.8
2014,5,236,17.8,11.5,25.2
2014,6,236,22.4,17.9,28.1
2014,7,236,25.1,21.5,30.0
2014,8,236,23.8,20.7,27.9
2014,9,236,20.7,15.7,27.1
2014,10,236,14.2,8.4,21.4
2014,11,236,7.9,3.1,14.2
2014,12,236,-1.6,-6.1,3.4
2015,1,236,-0.6,-5.5,4.9
2015,2,236,1.2,-3.7,6.8
2015,3,236,5.7,-1.5,13.6
2015,4,236,12.3,6.4,18.8
2015,5,236,17.8,11.1,25.3
2015,6,236,21.9,16.8,28.1
2015,7,236,24.5,21.1,29.0
2015,8,236,25.4,21.4,30.8
2015,9,236,20.6,15.1,27.3
2015,10,236,14.0,7.9,21.9
2015,11,236,9.6,6.0,14.1
2015,12,236,2.8,-1.5,7.9
2016,1,236,-1.5,-6.0,3.5
2016,2,236,0.9,-4.5,6.7
2016,3,236,6.2,-0.1,13.8
2016,4,236,13.5,7.1,21.4
2016,5,236,18.6,11.9,26.0
2016,6,236,22.6,18.0,28.2
2016,7,236,26.0,22.1,30.9
2016,8,236,27.1,22.4,33.0
2016,9,236,21.9,17.8,27.3
2016,10,236,15.4,11.1,21.3
2016,11,236,6.9,1.6,13.0
2016,12,236,2.1,-3.0,8.1
2017,1,236,-1.1,-6.5,5.1
2017,2,236,0.5,-5.6,7.0
2017,3,236,5.5,-1.5,13.1
2017,4,236,12.9,6.1,20.5
2017,5,236,18.1,11.2,25.7
2017,6,236,21.9,16.1,28.6
2017,7,236,26.5,23.5,30.7
