년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,129,-1.0,-4.9,2.8
2000,2,129,-2.4,-7.6,2.8
2000,3,129,3.9,-3.0,10.7
2000,4,129,9.7,3.2,15.8
2000,5,129,15.1,10.3,20.5
2000,6,129,20.8,16.8,25.9
2000,7,129,25.0,21.5,29.6
2000,8,129,25.2,21.7,29.6
2000,9,129,19.2,15.0,24.1
2000,10,129,13.7,8.1,20.1
2000,11,129,5.8,0.3,11.5
2000,12,129,0.6,-4.8,5.9
2001,1,129,-3.8,-8.6,0.7
2001,2,129,-0.8,-5.6,4.5
2001,3,129,3.4,-2.5,9.2
2001,4,129,11.0,4.0,18.5
2001,5,129,17.5,12.4,23.6
2001,6,129,21.5,17.9,26.0
2001,7,129,25.4,22.1,29.5
2001,8,129,25.6,21.2,30.9
2001,9,129,21.1,15.2,27.7
2001,10,129,15.0,9.4,21.5
2001,11,129,6.1,0.2,12.6
2001,12,129,-0.7,-5.3,4.7
2002,1,129,0.3,-4.1,5.2
2002,2,129,0.4,-5.4,7.2
2002,3,129,5.8,-0.7,12.7
2002,4,129,12.3,6.2,18.9
2002,5,129,16.3,11.2,22.2
2002,6,129,21.0,15.6,27.0
2002,7,129,24.5,21.1,28.9
2002,8,129,24.0,20.7,27.8
2002,9,129,20.2,15.4,26.2
2002,10,129,12.0,6.3,18.3
2002,11,129,3.7,-1.7,9.0
2002,12,129,1.1,-3.6,6.1
2003,1,129,-3.5,-8.6,1.8
2003,2,129,0.9,-4.3,7.3
2003,3,129,4.6,-0.9,10.7
2003,4,129,11.7,6.2,17.6
2003,5,129,18.2,12.5,24.7
2003,6,129,20.8,16.6,25.7
2003,7,129,23.5,20.3,27.9
2003,8,129,23.7,20.5,28.1
2003,9,129,20.5,16.2,25.4
2003,10,129,13.2,6.9,19.8
2003,11,129,8.9,3.9,14.3
2003,12,129,1.0,-3.8,6.1
2004,1,129,-1.8,-6.6,4.4
2004,2,129,1.7,-4.2,8.1
2004,3,129,4.9,-1.5,11.4
2004,4,129,11.1,4.3,18.2
2004,5,129,16.6,11.8,21.9
2004,6,129,21.9,17.5,27.3
2004,7,129,24.8,22.2,28.5
2004,8,129,26.0,22.1,31.3
2004,9,129,21.3,16.3,27.2
2004,10,129,14.2,7.5,21.5
2004,11,129,8.1,2.3,14.8
2004,12,129,2.1,-3.2,7.8
2005,1,129,-2.0,-6.8,3.1
2005,2,129,-1.7,-6.3,3.0
2005,3,129,3.3,-2.3,9.1
2005,4,129,11.4,5.2,18.0
2005,5,129,16.3,9.8,23.1
2005,6,129,21.7,17.9,26.7
2005,7,129,24.9,21.8,29.2
2005,8,129,25.0,21.8,29.2
2005,9,129,21.7,17.8,26.7
2005,10,129,13.4,7.7,20.1
2005,11,129,7.5,1.2,14.2
2005,12,129,-3.4,-8.0,1.2
2006,1,129,-0.8,-5.1,3.9
2006,2,129,-0.4,-5.3,4.2
2006,3,129,3.8,-2.4,9.5
2006,4,129,9.7,4.8,14.5
2006,5,129,16.3,11.6,21.4
2006,6,129,20.2,16.5,24.8
2006,7,129,22.8,20.5,25.7
2006,8,129,26.0,22.4,30.6
2006,9,129,20.5,15.7,25.7
2006,10,129,17.2,12.3,23.1
2006,11,129,8.7,3.7,13.5
2006,12,129,1.9,-2.6,7.2
2007,1,129,0.2,-4.6,5.4
2007,2,129,3.2,-2.4,9.4
2007,3,129,5.8,0.9,11.1
2007,4,129,10.1,4.6,15.5
2007,5,129,16.4,11.8,21.5
2007,6,129,21.3,17.2,25.8
2007,7,129,23.3,20.5,26.8
2007,8,129,25.3,22.4,28.6
2007,9,129,20.8,17.6,24.6
2007,10,129,14.6,10.1,20.1
2007,11,129,6.5,1.0,12.3
2007,12,129,1.6,-2.7,6.2
2008,1,129,-2.5,-6.5,1.7
2008,2,129,-2.4,-7.9,3.1
2008,3,129,5.6,-0.3,11.9
2008,4,129,11.8,5.4,18.2
2008,5,129,15.6,10.7,21.1
2008,6,129,20.7,16.7,25.5
2008,7,129,24.6,21.9,28.2
2008,8,129,24.4,20.5,28.9
2008,9,129,21.2,16.7,26.6
2008,10,129,15.2,9.9,21.5
2008,11,129,7.6,2.2,13.3
2008,12,129,2.3,-2.5,7.2
2009,1,129,-1.5,-6.7,4.2
2009,2,129,2.6,-2.8,8.1
2009,3,129,5.6,-0.1,11.0
2009,4,129,10.9,4.8,17.5
2009,5,129,17.3,12.1,22.8
2009,6,129,20.9,16.7,25.5
2009,7,129,23.2,19.5,27.2
2009,8,129,24.6,20.7,29.0
2009,9,129,20.5,15.6,26.2
2009,10,129,15.1,9.4,21.7
2009,11,129,7.9,4.0,12.0
2009,12,129,0.6,-3.4,4.8
2010,1,129,-2.7,-7.2,1.9
2010,2,129,1.1,-3.3,5.5
2010,3,129,4.3,-0.3,8.5
2010,4,129,8.4,3.0,13.8
2010,5,129,15.2,10.5,20.3
2010,6,129,21.0,16.7,26.3
2010,7,129,24.4,21.7,27.8
2010,8,129,25.7,22.8,29.1
2010,9,129,21.3,17.6,25.6
2010,10,129,13.7,8.6,19.3
2010,11,129,7.0,1.2,12.4
2010,12,129,0.8,-4.0,5.5
2011,1,129,-5.1,-10.3,-0.6
2011,2,129,0.8,-4.0,6.6
2011,3,129,3.5,-1.6,8.4
2011,4,129,9.5,3.8,15.2
2011,5,129,16.5,11.9,21.6
2011,6,129,20.3,16.5,24.9
2011,7,129,24.1,21.8,27.3
2011,8,129,24.5,21.9,28.2
2011,9,129,20.4,16.2,25.3
2011,10,129,13.0,7.3,19.1
2011,11,129,11.2,6.8,16.0
2011,12,129,0.7,-3.7,4.8
2012,1,129,-2.4,-6.9,2.1
2012,2,129,-2.0,-7.1,3.4
2012,3,129,3.7,-0.9,8.6
2012,4,129,10.3,4.5,16.6
2012,5,129,17.8,12.4,24.0
2012,6,129,22.5,17.9,28.2
2012,7,129,24.9,21.7,29.0
2012,8,129,26.2,23.0,30.4
2012,9,129,19.8,15.7,24.6
2012,10,129,13.9,8.0,20.3
2012,11,129,6.0,1.5,10.6
2012,12,129,-2.7,-6.6,1.2
2013,1,129,-2.8,-7.7,1.8
2013,2,129,-0.9,-5.8,3.7
2013,3,129,3.8,-1.7,10.2
2013,4,129,8.6,2.6,14.4
2013,5,129,16.3,10.8,22.5
2013,6,129,22.2,17.6,27.9
2013,7,129,25.1,22.7,28.0
2013,8,129,26.6,23.0,30.8
2013,9,129,20.7,16.2,25.7
2013,10,129,14.8,9.2,21.1
2013,11,129,6.3,1.2,11.5
2013,12,129,0.5,-3.9,5.4
2014,1,129,-0.8,-6.6,4.6
2014,2,129,1.5,-2.9,6.7
2014,3,129,6.4,0.8,12.0
2014,4,129,12.2,6.2,19.4
2014,5,129,16.9,11.6,22.9
2014,6,129,21.9,18.0,27.0
2014,7,129,24.5,21.1,28.9
2014,8,129,23.6,20.4,27.7
2014,9,129,20.6,15.3,26.6
2014,10,129,14.4,8.4,21.0
2014,11,129,8.2,3.4,13.7
2014,12,129,-1.4,-5.6,2.8
2015,1,129,-0.4,-4.8,4.3
2015,2,129,1.0,-3.7,6.0
2015,3,129,4.9,-1.9,12.2
2015,4,129,11.9,6.3,17.6
2015,5,129,16.8,10.7,23.3
2015,6,129,21.3,17.0,26.9
2015,7,129,24.1,20.9,28.2
2015,8,129,24.9,21.2,29.6
2015,9,129,20.7,15.3,26.9
2015,10,129,14.8,8.9,21.2
