년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,232,-2.3,-7.0,2.0
2000,2,232,-2.5,-8.4,3.1
2000,3,232,4.4,-3.2,12.2
2000,4,232,9.2,1.8,16.2
2000,5,232,15.0,9.7,21.3
2000,6,232,19.9,15.4,25.2
2000,7,232,25.3,21.1,30.4
2000,8,232,25.3,21.6,30.2
2000,9,232,19.0,14.4,24.6
2000,10,232,13.1,7.0,20.2
2000,11,232,5.3,-0.4,12.0
2000,12,232,0.0,-5.7,6.2
2001,1,232,-4.2,-10.4,1.1
2001,2,232,-0.3,-4.8,4.7
2001,3,232,4.3,-2.3,10.7
2001,4,232,11.9,3.9,19.9
2001,5,232,18.6,12.6,25.2
2001,6,232,22.1,17.7,27.1
2001,7,232,25.7,21.9,30.2
2001,8,232,25.1,20.3,31.0
2001,9,232,20.3,13.6,27.7
2001,10,232,14.0,7.8,21.0
2001,11,232,4.9,-1.6,12.2
2001,12,232,-2.0,-7.7,3.9
2002,1,232,0.0,-4.6,4.8
2002,2,232,0.2,-5.7,7.0
2002,3,232,6.3,-1.2,14.1
2002,4,232,13.1,6.0,20.4
2002,5,232,17.3,11.7,23.3
2002,6,232,21.4,15.6,27.6
2002,7,232,25.0,21.1,29.6
2002,8,232,24.0,20.9,27.8
2002,9,232,19.8,14.8,26.0
2002,10,232,11.0,5.0,18.0
2002,11,232,3.0,-2.9,8.8
2002,12,232,0.1,-4.7,5.4
2003,1,232,-4.2,-9.4,1.4
2003,2,232,0.8,-4.1,6.2
2003,3,232,5.0,-0.7,10.8
2003,4,232,12.1,6.1,18.1
2003,5,232,18.1,12.3,24.4
2003,6,232,21.0,16.9,25.8
2003,7,232,22.7,19.3,26.9
2003,8,232,22.8,19.4,27.0
2003,9,232,20.1,15.7,25.6
2003,10,232,12.2,5.5,19.8
2003,11,232,8.4,2.6,14.4
2003,12,232,0.2,-4.5,5.4
2004,1,232,-3.1,-8.8,3.4
2004,2,232,1.7,-4.4,8.4
2004,3,232,5.2,-1.8,12.0
2004,4,232,11.9,4.3,19.6
2004,5,232,17.1,11.8,22.7
2004,6,232,21.7,16.5,27.4
2004,7,232,24.7,21.3,29.0
2004,8,232,25.2,21.0,30.6
2004,9,232,19.7,14.6,25.8
2004,10,232,13.2,6.0,21.7
2004,11,232,8.2,2.5,14.9
2004,12,232,2.3,-2.9,7.9
2005,1,232,-2.0,-7.6,3.7
2005,2,232,-1.1,-6.5,3.8
2005,3,232,4.5,-1.7,10.8
2005,4,232,12.8,5.5,20.3
2005,5,232,17.0,10.3,24.0
2005,6,232,22.5,18.1,28.0
2005,7,232,25.2,21.5,29.9
2005,8,232,24.8,21.2,29.9
2005,9,232,21.5,17.4,27.0
2005,10,232,13.3,7.6,20.3
2005,11,232,7.1,0.7,14.2
2005,12,232,-4.6,-10.3,0.9
2006,1,232,-0.9,-5.3,4.0
2006,2,232,-0.3,-5.2,4.9
2006,3,232,4.5,-2.6,11.1
2006,4,232,10.7,4.7,16.7
2006,5,232,17.8,12.2,23.7
2006,6,232,20.7,16.1,26.3
2006,7,232,22.3,19.7,26.0
2006,8,232,25.0,20.7,30.6
2006,9,232,17.8,12.1,24.5
2006,10,232,14.4,8.0,22.2
2006,11,232,6.2,0.3,12.3
2006,12,232,-0.5,-5.1,5.4
2007,1,232,-1.9,-7.1,3.8
2007,2,232,2.1,-3.6,9.1
2007,3,232,6.0,0.4,12.3
2007,4,232,10.9,3.9,17.7
2007,5,232,17.5,11.8,24.0
2007,6,232,22.1,17.2,27.5
2007,7,232,23.9,20.6,28.1
2007,8,232,25.8,22.6,30.1
2007,9,232,21.2,17.9,25.3
2007,10,232,14.5,9.5,20.6
2007,11,232,6.0,0.4,12.6
2007,12,232,1.4,-2.7,6.5
2008,1,232,-2.0,-6.1,2.3
2008,2,232,-2.5,-8.8,3.8
2008,3,232,6.2,0.2,12.9
2008,4,232,12.9,5.6,20.0
2008,5,232,17.6,11.7,23.8
2008,6,232,21.1,16.9,26.0
2008,7,232,25.8,22.4,30.1
2008,8,232,24.6,20.2,29.6
2008,9,232,21.0,16.3,27.1
2008,10,232,14.6,8.6,21.9
2008,11,232,6.6,0.9,12.9
2008,12,232,1.1,-3.6,6.4
2009,1,232,-3.0,-8.7,3.4
2009,2,232,2.5,-2.6,7.6
2009,3,232,6.1,0.0,12.2
2009,4,232,11.7,4.6,19.0
2009,5,232,18.4,12.1,25.0
2009,6,232,22.3,16.9,28.0
2009,7,232,24.0,20.0,28.7
2009,8,232,24.8,20.5,29.8
2009,9,232,20.4,15.1,26.5
2009,10,232,14.6,8.1,22.1
2009,11,232,6.9,2.2,11.6
2009,12,232,-0.6,-5.2,3.9
2010,1,232,-3.9,-9.4,1.4
2010,2,232,1.6,-2.7,6.2
2010,3,232,5.0,0.5,9.3
2010,4,232,9.6,3.8,15.6
2010,5,232,17.6,11.8,23.7
2010,6,232,23.1,17.9,28.8
2010,7,232,26.0,22.3,30.3
2010,8,232,26.9,23.8,31.1
2010,9,232,21.6,17.5,26.8
2010,10,232,13.2,7.2,20.1
2010,11,232,6.1,0.0,12.7
2010,12,232,-0.3,-5.5,5.0
2011,1,232,-6.9,-12.7,-1.4
2011,2,232,0.9,-4.5,7.0
2011,3,232,3.6,-2.0,9.3
2011,4,232,10.6,3.9,17.4
