년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,143,1.1,-2.7,5.1
2000,2,143,1.3,-2.9,6.0
2000,3,143,7.9,2.8,13.6
2000,4,143,13.0,7.9,18.5
2000,5,143,19.5,14.2,25.1
2000,6,143,23.3,19.2,28.1
2000,7,143,26.9,23.4,31.5
2000,8,143,26.5,23.6,30.4
2000,9,143,21.2,18.0,25.1
2000,10,143,16.7,12.4,21.5
2000,11,143,9.4,5.2,14.4
2000,12,143,3.9,-0.8,9.2
2001,1,143,0.7,-2.9,4.7
2001,2,143,4.2,-0.4,8.9
2001,3,143,9.1,4.0,14.8
2001,4,143,15.8,9.6,22.3
2001,5,143,20.5,15.5,25.8
2001,6,143,23.9,20.1,28.6
2001,7,143,27.7,24.1,32.0
2001,8,143,27.2,23.7,31.4
2001,9,143,22.0,17.8,27.0
2001,10,143,16.6,12.5,21.7
2001,11,143,8.3,3.5,14.1
2001,12,143,1.9,-1.9,6.6
2002,1,143,2.3,-1.4,6.7
2002,2,143,4.0,-1.3,10.0
2002,3,143,10.1,4.5,16.4
2002,4,143,15.6,9.5,21.5
2002,5,143,18.5,13.3,24.0
2002,6,143,23.3,17.9,29.3
2002,7,143,26.1,22.8,30.4
2002,8,143,24.9,22.1,28.5
2002,9,143,21.0,16.7,26.1
2002,10,143,14.3,9.6,19.9
2002,11,143,6.2,1.2,11.6
2002,12,143,3.4,-0.2,7.6
2003,1,143,-0.4,-4.4,4.3
2003,2,143,4.0,-0.2,8.6
2003,3,143,7.8,3.1,12.8
2003,4,143,14.1,9.3,19.5
2003,5,143,18.5,13.1,24.1
2003,6,143,22.2,18.3,26.6
2003,7,143,22.5,19.8,26.1
2003,8,143,25.0,21.7,29.2
2003,9,143,22.1,18.5,26.7
2003,10,143,15.0,9.7,20.9
2003,11,143,10.9,6.6,15.5
2003,12,143,3.3,-0.8,8.2
2004,1,143,0.8,-3.3,6.0
2004,2,143,4.8,-0.5,10.6
2004,3,143,8.4,2.8,14.6
2004,4,143,15.4,9.3,22.0
2004,5,143,19.4,14.7,24.4
2004,6,143,23.1,18.1,28.7
2004,7,143,27.3,23.4,31.9
2004,8,143,25.8,22.4,30.7
2004,9,143,21.6,18.0,26.3
2004,10,143,15.7,10.6,21.5
2004,11,143,11.0,6.0,16.9
2004,12,143,4.8,0.5,9.9
2005,1,143,0.7,-3.3,5.4
2005,2,143,1.4,-2.6,6.0
2005,3,143,7.2,2.0,13.1
2005,4,143,16.0,9.8,22.3
2005,5,143,19.5,13.8,25.9
2005,6,143,24.9,20.3,30.4
2005,7,143,26.4,23.0,30.8
2005,8,143,26.3,22.9,31.0
2005,9,143,22.6,19.3,27.1
2005,10,143,15.8,11.3,21.2
2005,11,143,10.0,4.9,15.8
2005,12,143,-0.3,-4.4,4.5
2006,1,143,2.6,-1.2,7.0
2006,2,143,3.1,-1.3,8.1
2006,3,143,8.2,2.8,14.1
2006,4,143,13.4,8.6,19.1
2006,5,143,18.9,14.2,24.3
2006,6,143,23.4,18.6,28.8
2006,7,143,24.2,21.5,27.7
2006,8,143,28.2,24.3,33.3
2006,9,143,20.6,16.5,25.4
2006,10,143,18.6,13.7,24.7
2006,11,143,10.2,5.8,15.0
2006,12,143,3.6,-0.5,8.6
2007,1,143,3.3,-0.6,8.1
2007,2,143,6.2,1.2,11.9
2007,3,143,8.8,4.2,14.4
2007,4,143,14.2,8.6,19.9
2007,5,143,19.9,14.3,26.3
2007,6,143,23.0,18.6,28.3
2007,7,143,24.8,21.5,28.8
2007,8,143,27.6,24.2,32.0
2007,9,143,22.4,19.4,25.8
2007,10,143,16.7,12.4,21.7
2007,11,143,9.0,4.0,14.8
2007,12,143,4.3,0.8,8.5
2008,1,143,1.5,-2.0,5.6
2008,2,143,1.5,-3.2,7.0
2008,3,143,9.1,3.9,14.8
2008,4,143,14.8,9.3,21.0
2008,5,143,19.7,14.2,25.7
2008,6,143,21.1,17.2,25.8
2008,7,143,28.4,24.8,33.1
2008,8,143,25.8,22.2,30.7
2008,9,143,23.0,18.9,28.0
2008,10,143,17.8,12.6,23.6
2008,11,143,9.5,4.9,14.7
2008,12,143,3.3,-1.2,8.7
2009,1,143,0.7,-3.7,5.8
2009,2,143,6.4,1.7,11.5
2009,3,143,9.0,3.7,14.5
2009,4,143,15.4,9.5,21.9
2009,5,143,20.9,15.1,27.7
2009,6,143,24.0,19.3,29.6
2009,7,143,24.8,21.3,29.4
2009,8,143,25.5,22.2,29.7
2009,9,143,22.6,18.2,28.0
2009,10,143,17.2,11.7,23.4
2009,11,143,9.1,4.9,14.1
2009,12,143,2.5,-1.3,7.2
2010,1,143,0.0,-4.3,5.0
2010,2,143,3.9,-0.1,8.7
2010,3,143,6.9,3.1,11.1
2010,4,143,11.5,6.5,17.0
2010,5,143,19.4,13.7,25.3
2010,6,143,24.8,19.5,30.5
2010,7,143,26.7,23.5,31.3
2010,8,143,28.7,25.0,33.6
2010,9,143,23.3,19.2,28.6
2010,10,143,16.4,11.7,21.9
2010,11,143,8.6,3.2,14.9
2010,12,143,2.0,-2.5,7.3
2011,1,143,-2.5,-6.6,2.2
2011,2,143,4.2,-0.5,9.5
2011,3,143,7.0,1.8,12.6
2011,4,143,13.7,8.0,19.8
2011,5,143,18.8,13.8,24.2
2011,6,143,24.3,19.6,29.6
2011,7,143,26.8,23.4,31.3
2011,8,143,26.2,23.1,30.3
2011,9,143,23.0,18.9,27.9
2011,10,143,15.7,10.8,21.2
2011,11,143,11.9,8.2,16.3
2011,12,143,2.3,-1.5,6.9
2012,1,143,0.8,-2.8,5.1
2012,2,143,1.1,-3.2,5.9
2012,3,143,7.7,3.5,12.7
2012,4,143,15.1,9.5,21.3
2012,5,143,20.1,15.1,26.2
2012,6,143,23.2,19.2,28.3
2012,7,143,27.5,23.7,32.1
2012,8,143,27.9,24.5,32.4
2012,9,143,21.7,17.6,26.8
2012,10,143,15.8,10.5,22.2
2012,11,143,8.2,3.9,13.2
2012,12,143,-0.3,-3.9,3.9
2013,1,143,-0.1,-4.5,4.8
2013,2,143,2.6,-1.8,7.5
2013,3,143,9.8,3.3,16.6
2013,4,143,12.3,6.6,18.8
2013,5,143,20.3,14.6,26.8
2013,6,143,24.3,20.2,29.5
2013,7,143,28.7,25.1,33.3
2013,8,143,29.0,25.0,34.4
2013,9,143,23.0,19.0,28.0
2013,10,143,17.2,12.5,22.9
2013,11,143,8.9,4.7,14.0
2013,12,143,3.5,-0.5,8.1
2014,1,143,2.8,-1.7,8.1
2014,2,143,4.5,0.3,9.3
2014,3,143,9.7,4.6,15.3
2014,4,143,15.5,10.1,21.5
2014,5,143,21.2,15.1,27.9
2014,6,143,23.4,19.4,28.4
2014,7,143,27.0,23.1,31.9
2014,8,143,24.7,21.7,28.8
2014,9,143,22.5,18.1,27.8
2014,10,143,16.4,11.6,22.0
2014,11,143,10.3,5.9,15.7
2014,12,143,1.2,-2.8,5.8
2015,1,143,2.3,-1.7,6.8
2015,2,143,3.8,-0.6,9.0
2015,3,143,9.2,3.3,15.5
2015,4,143,14.6,9.5,20.2
2015,5,143,21.7,15.4,28.0
2015,6,143,22.9,18.3,28.5
2015,7,143,25.0,21.3,29.5
2015,8,143,26.0,22.0,31.2
2015,9,143,20.6,16.2,25.9
2015,10,143,15.8,10.4,22.2
2015,11,143,11.0,7.6,15.0
2015,12,143,4.5,0.5,9.0
2016,1,143,-0.2,-4.2,4.3
2016,2,143,3.1,-1.6,8.3
2016,3,143,8.8,3.5,14.5
2016,4,143,14.9,9.5,21.0
2016,5,143,20.0,13.6,26.7
2016,6,143,23.4,19.1,28.3
2016,7,143,26.4,22.6,31.5
2016,8,143,27.6,23.2,33.2
2016,9,143,21.9,18.7,25.9
2016,10,143,16.6,13.1,21.0
2016,11,143,8.8,4.1,14.0
2016,12,143,4.0,-0.6,8.7
2017,1,143,1.1,-3.7,6.3
2017,2,143,3.2,-2.2,8.8
2017,3,143,7.9,2.4,13.9
2017,4,143,15.7,9.6,22.0
2017,5,143,20.8,14.5,27.5
2017,6,143,23.3,17.9,30.0
2017,7,143,28.0,24.0,32.8
2017,8,143,26.4,22.5,31.4
2017,9,143,21.5,16.4,27.0
2017,10,143,16.2,12.0,21.2
2017,11,143,7.8,2.3,14.2
2017,12,143,0.7,-4.0,5.8
2018,1,143,-0.9,-5.2,4.0
2018,2,143,1.3,-4.2,7.1
2018,3,143,9.2,3.3,15.6
2018,4,143,15.0,8.9,21.4
2018,5,143,19.2,14.2,24.8
2018,6,143,23.6,18.7,28.7
2018,7,143,28.2,24.0,33.1
2018,8,143,27.7,23.7,32.9
2018,9,143,21.0,17.2,25.4
2018,10,143,14.3,9.3,20.0
2018,11,143,8.8,3.3,15.2
2018,12,143,2.0,-2.3,7.0
2019,1,143,1.7,-3.5,7.3
2019,2,143,4.0,-0.9,9.1
2019,3,143,9.4,3.6,15.5
2019,4,143,13.5,8.0,19.4
2019,5,143,20.7,13.6,27.5
2019,6,143,22.8,17.8,28.5
2019,7,143,25.8,22.3,30.0
2019,8,143,27.4,23.7,32.2
2019,9,143,22.6,19.1,27.0
2019,10,143,16.8,12.2,22.0
2019,11,143,9.8,4.3,16.3
2019,12,143,3.5,-1.0,9.0
2020,1,143,3.8,0.1,8.4
2020,2,143,4.9,0.2,10.4
2020,3,143,9.5,3.6,15.8
2020,4,143,12.6,6.5,19.0
2020,5,143,19.4,14.0,25.7
2020,6,143,24.5,19.3,30.5
2020,7,143,23.2,20.2,26.8
2020,8,143,28.6,24.8,33.3
2020,9,143,21.2,17.1,26.0
2020,10,143,15.4,10.1,21.3
2020,11,143,9.7,4.5,15.3
2020,12,143,1.6,-3.1,7.2
2021,1,143,0.5,-4.3,5.9
2021,2,143,4.8,-0.6,11.1
2021,3,143,10.2,4.7,16.1
2021,4,143,14.5,8.8,20.6
2021,5,143,18.3,12.8,24.3
2021,6,143,23.2,18.9,28.5
2021,7,143,26.9,22.9,32.1
2021,8,143,25.7,22.4,30.5
2021,9,143,22.1,18.7,26.4
2021,10,143,16.5,11.5,22.7
2021,11,143,9.5,4.4,15.7
2021,12,143,3.1,-2.1,8.9
2022,1,143,0.9,-4.1,6.8
2022,2,143,1.6,-3.4,7.4
2022,3,143,9.7,3.8,15.9
2022,4,143,15.9,9.4,22.7
2022,5,143,20.7,14.1,27.4
2022,6,143,24.3,19.8,29.7
2022,7,143,27.5,23.7,32.4
2022,8,143,26.9,23.4,31.4
2022,9,143,21.9,17.7,26.8
2022,10,143,15.5,10.1,21.6
2022,11,143,11.0,5.2,17.7
2022,12,143,0.4,-4.0,5.4
2023,1,143,0.9,-4.3,6.7
2023,2,143,4.4,-0.7,10.4
2023,3,143,11.8,5.4,18.8
2023,4,143,14.8,8.8,20.9
2023,5,143,19.3,13.8,25.1
2023,6,143,24.0,19.3,29.6
2023,7,143,26.7,23.1,31.1
2023,8,143,27.5,24.0,31.9
2023,9,143,23.5,20.0,27.9
2023,10,143,15.9,10.5,22.4
2023,11,143,9.2,4.1,15.1
2023,12,143,3.5,-1.3,8.6
2024,1,143,2.3,-2.1,7.6
2024,2,143,5.4,1.5,10.4
2024,3,143,8.5,3.2,14.3
2024,4,143,16.3,10.8,22.5
2024,5,143,19.4,12.9,26.2
2024,6,143,24.6,19.4,30.4
2024,7,143,27.8,24.5,31.7
2024,8,143,29.1,25.0,34.4
2024,9,143,25.4,21.6,30.4
2024,10,143,17.0,13.0,21.8
2024,11,143,10.7,6.0,16.3
2024,12,143,3.5,-0.8,8.3
