년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,133,-1.2,-5.2,3.3
2000,2,133,-1.1,-6.0,4.5
2000,3,133,6.1,-0.1,13.1
2000,4,133,11.9,5.9,18.4
2000,5,133,17.2,11.8,23.6
2000,6,133,22.2,17.8,27.6
2000,7,133,25.6,21.9,30.8
2000,8,133,25.8,22.6,30.5
2000,9,133,19.9,16.2,24.7
2000,10,133,14.5,9.3,21.0
2000,11,133,6.6,1.7,12.8
2000,12,133,1.4,-3.7,7.2
2001,1,133,-2.2,-6.6,2.4
2001,2,133,0.9,-3.5,6.3
2001,3,133,5.9,0.1,12.5
2001,4,133,13.7,6.7,21.3
2001,5,133,19.5,14.1,25.8
2001,6,133,23.0,18.9,28.0
2001,7,133,26.1,22.6,30.6
2001,8,133,25.8,21.6,31.0
2001,9,133,21.8,16.5,28.1
2001,10,133,15.7,11.1,21.4
2001,11,133,6.4,1.0,12.7
2001,12,133,0.0,-4.5,5.0
2002,1,133,1.7,-2.3,6.3
2002,2,133,2.4,-2.7,8.4
2002,3,133,8.6,2.8,15.0
2002,4,133,14.8,8.7,20.9
2002,5,133,18.1,13.1,23.5
2002,6,133,22.6,17.5,27.8
2002,7,133,25.8,22.8,29.6
2002,8,133,24.6,22.1,27.9
2002,9,133,21.0,16.9,25.9
2002,10,133,12.9,7.8,18.7
2002,11,133,4.9,0.0,10.1
2002,12,133,2.4,-1.5,7.1
2003,1,133,-1.7,-6.2,2.9
2003,2,133,2.9,-1.4,7.6
2003,3,133,6.9,1.7,12.1
2003,4,133,13.6,8.6,18.9
2003,5,133,19.4,13.6,25.1
2003,6,133,22.0,18.2,26.4
2003,7,133,23.4,20.7,26.7
2003,8,133,24.4,21.7,27.9
2003,9,133,21.6,17.9,25.9
2003,10,133,14.0,8.6,20.3
2003,11,133,10.0,5.4,15.1
2003,12,133,2.3,-1.9,6.8
2004,1,133,-0.5,-4.8,4.8
2004,2,133,3.6,-1.8,9.5
2004,3,133,7.0,1.1,13.1
2004,4,133,13.9,7.5,20.6
2004,5,133,18.6,13.9,23.9
2004,6,133,23.5,18.7,29.2
2004,7,133,26.1,23.0,29.7
2004,8,133,25.9,22.7,30.0
2004,9,133,21.4,17.5,26.0
2004,10,133,14.7,9.0,21.1
2004,11,133,9.1,3.9,14.7
2004,12,133,3.1,-1.4,8.5
2005,1,133,-1.4,-5.6,3.2
2005,2,133,-0.9,-5.1,3.6
2005,3,133,4.7,-0.4,10.5
2005,4,133,13.6,7.8,19.9
2005,5,133,17.3,11.5,23.5
2005,6,133,22.7,18.5,27.7
2005,7,133,25.4,22.3,29.1
2005,8,133,25.1,22.2,29.1
2005,9,133,22.1,18.6,26.3
2005,10,133,14.2,9.2,19.9
2005,11,133,8.3,2.6,14.6
2005,12,133,-2.9,-7.6,2.0
2006,1,133,0.3,-3.8,5.2
2006,2,133,0.9,-3.9,5.9
2006,3,133,6.1,0.4,12.1
2006,4,133,11.7,7.0,17.0
2006,5,133,18.5,13.4,24.0
2006,6,133,22.3,17.8,27.5
2006,7,133,23.1,20.7,26.2
2006,8,133,26.7,22.9,31.5
2006,9,133,20.0,15.3,25.2
2006,10,133,17.1,11.5,23.6
2006,11,133,8.8,3.8,14.2
2006,12,133,1.5,-2.8,7.0
2007,1,133,0.4,-3.9,5.7
2007,2,133,4.2,-1.2,10.4
2007,3,133,6.9,2.0,12.6
2007,4,133,12.0,6.0,18.0
2007,5,133,18.3,12.9,24.1
2007,6,133,22.5,18.1,27.5
2007,7,133,24.2,21.2,27.9
2007,8,133,26.1,23.1,30.1
2007,9,133,21.2,18.1,25.1
2007,10,133,14.8,10.3,20.4
2007,11,133,6.6,1.5,12.9
2007,12,133,2.0,-1.8,6.6
2008,1,133,-0.9,-4.5,3.4
2008,2,133,-0.8,-5.9,4.8
2008,3,133,7.6,2.2,13.7
2008,4,133,14.0,7.8,20.5
2008,5,133,18.1,12.4,24.2
2008,6,133,21.1,17.0,25.9
2008,7,133,26.1,22.9,30.0
2008,8,133,24.6,20.8,28.9
2008,9,133,21.4,17.3,26.7
2008,10,133,15.2,10.4,21.3
2008,11,133,7.6,2.6,13.3
2008,12,133,1.7,-3.1,7.1
2009,1,133,-1.7,-6.6,4.1
2009,2,133,3.5,-1.4,8.9
2009,3,133,6.7,1.1,12.7
2009,4,133,12.7,6.3,19.3
2009,5,133,18.3,12.2,24.5
2009,6,133,22.1,16.9,27.4
2009,7,133,22.9,19.5,27.1
2009,8,133,24.5,20.7,28.7
2009,9,133,21.4,17.0,26.6
2009,10,133,15.6,10.1,22.3
2009,11,133,7.4,3.6,11.9
2009,12,133,0.2,-4.0,4.8
2010,1,133,-2.7,-7.3,2.5
2010,2,133,2.1,-2.0,6.7
2010,3,133,5.3,1.0,9.7
2010,4,133,10.0,4.4,15.8
2010,5,133,17.8,12.0,23.5
2010,6,133,23.4,18.4,28.6
2010,7,133,25.7,22.7,29.8
2010,8,133,27.1,24.4,30.8
2010,9,133,21.9,18.4,26.6
2010,10,133,14.2,9.4,20.0
2010,11,133,6.9,1.3,13.1
2010,12,133,0.1,-4.7,5.3
2011,1,133,-5.7,-10.4,-0.6
2011,2,133,1.8,-3.3,7.6
2011,3,133,4.5,-0.7,10.5
2011,4,133,11.6,5.9,17.7
2011,5,133,18.1,13.1,23.6
2011,6,133,22.7,18.2,27.8
2011,7,133,25.7,23.2,29.0
2011,8,133,25.8,23.1,29.3
2011,9,133,21.2,17.2,25.9
2011,10,133,13.5,8.6,19.5
2011,11,133,11.2,7.1,16.1
2011,12,133,0.4,-3.6,4.9
2012,1,133,-1.5,-5.8,3.0
2012,2,133,-1.0,-5.9,4.5
2012,3,133,5.7,1.1,10.5
2012,4,133,13.2,7.1,19.6
2012,5,133,19.8,14.4,25.9
2012,6,133,23.8,19.2,29.0
2012,7,133,26.3,23.0,30.1
2012,8,133,27.1,23.8,31.0
2012,9,133,20.6,16.8,24.8
2012,10,133,14.3,8.9,20.7
2012,11,133,6.0,1.8,11.1
2012,12,133,-3.0,-7.2,1.5
2013,1,133,-2.6,-7.5,2.5
2013,2,133,0.0,-4.6,5.1
2013,3,133,6.6,0.0,13.7
2013,4,133,10.6,4.4,16.5
2013,5,133,18.8,13.0,24.8
2013,6,133,23.9,19.8,28.8
2013,7,133,26.8,24.0,30.1
2013,8,133,27.8,24.2,32.1
2013,9,133,21.4,17.6,26.1
2013,10,133,15.5,10.4,21.7
2013,11,133,6.7,2.3,12.0
2013,12,133,1.3,-2.8,5.9
2014,1,133,-0.1,-5.2,5.9
2014,2,133,2.7,-1.9,8.3
2014,3,133,8.3,3.0,13.9
2014,4,133,14.3,8.2,21.1
2014,5,133,19.4,13.3,25.9
2014,6,133,22.9,18.9,27.7
2014,7,133,25.9,22.5,30.2
2014,8,133,24.2,21.4,27.8
2014,9,133,21.6,17.1,26.9
2014,10,133,14.9,9.5,21.2
2014,11,133,8.5,4.0,13.9
2014,12,133,-1.3,-5.5,3.4
2015,1,133,0.0,-4.4,5.0
2015,2,133,1.9,-2.4,7.2
2015,3,133,7.2,0.6,14.3
2015,4,133,13.3,7.8,19.3
2015,5,133,19.5,13.0,26.0
2015,6,133,23.4,18.5,28.9
2015,7,133,25.4,22.1,29.5
2015,8,133,26.4,22.6,31.2
2015,9,133,21.7,16.5,27.7
2015,10,133,15.5,10.1,22.0
2015,11,133,10.1,6.9,13.8
2015,12,133,3.1,-0.8,7.9
2016,1,133,-1.3,-5.4,3.6
2016,2,133,1.5,-3.3,7.0
2016,3,133,7.5,1.6,14.1
2016,4,133,14.8,8.9,21.5
2016,5,133,19.8,13.5,26.4
2016,6,133,23.7,19.2,28.7
2016,7,133,26.6,23.1,30.7
2016,8,133,27.9,23.5,33.2
2016,9,133,22.4,19.0,26.6
2016,10,133,15.7,12.0,20.6
2016,11,133,7.2,2.4,12.8
2016,12,133,2.5,-2.0,7.6
2017,1,133,-0.4,-5.1,5.0
2017,2,133,1.2,-4.2,7.2
2017,3,133,6.8,0.9,13.4
2017,4,133,14.5,8.5,21.1
2017,5,133,19.6,13.5,26.3
2017,6,133,23.3,17.8,29.4
2017,7,133,27.1,24.2,30.7
2017,8,133,26.0,22.6,30.1
2017,9,133,21.1,16.5,26.3
2017,10,133,15.4,10.9,20.8
2017,11,133,6.4,1.0,12.3
2017,12,133,-0.4,-4.9,4.7
2018,1,133,-2.5,-6.6,2.4
2018,2,133,-0.4,-5.7,5.6
2018,3,133,8.7,3.1,14.9
2018,4,133,13.9,7.8,20.3
2018,5,133,19.2,14.0,24.7
2018,6,133,23.6,18.8,29.1
2018,7,133,27.9,24.0,32.4
2018,8,133,29.0,25.0,33.7
2018,9,133,21.2,17.3,25.7
2018,10,133,13.0,8.2,18.9
