년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,105,0.8,-2.4,4.9
2000,2,105,0.9,-3.1,5.9
2000,3,105,8.1,2.9,13.8
2000,4,105,12.6,7.2,18.1
2000,5,105,17.0,12.6,22.2
2000,6,105,21.7,17.2,27.0
2000,7,105,27.2,23.4,31.9
2000,8,105,25.4,22.5,29.4
2000,9,105,19.7,16.4,24.0
2000,10,105,15.5,11.3,20.8
2000,11,105,8.6,4.4,14.0
2000,12,105,4.1,-0.4,9.2
2001,1,105,-1.3,-4.9,2.9
2001,2,105,2.1,-2.0,7.0
2001,3,105,6.5,1.5,12.2
2001,4,105,14.0,8.4,20.0
2001,5,105,18.8,14.3,24.2
2001,6,105,22.1,18.8,26.6
2001,7,105,26.5,22.6,31.0
2001,8,105,24.6,21.2,29.0
2001,9,105,20.0,16.2,24.3
2001,10,105,16.3,12.4,20.9
2001,11,105,8.9,5.2,13.9
2001,12,105,2.1,-1.3,6.6
2002,1,105,1.5,-2.1,5.7
2002,2,105,4.8,0.5,9.3
2002,3,105,9.7,4.5,14.7
2002,4,105,14.3,9.5,19.6
2002,5,105,17.1,12.6,21.3
2002,6,105,21.3,16.9,25.7
2002,7,105,23.6,20.7,26.8
2002,8,105,23.4,21.2,26.4
2002,9,105,19.5,16.0,23.5
2002,10,105,14.0,9.8,18.5
2002,11,105,6.3,2.3,10.9
2002,12,105,2.6,-0.4,6.2
2003,1,105,-0.4,-4.0,3.7
2003,2,105,2.7,-0.8,6.4
2003,3,105,5.9,2.2,9.9
2003,4,105,12.8,8.1,17.5
2003,5,105,16.2,12.6,20.0
2003,6,105,21.2,17.8,24.9
2003,7,105,21.4,19.0,24.3
2003,8,105,23.2,20.3,26.8
2003,9,105,20.0,16.8,23.7
2003,10,105,14.8,10.5,19.8
2003,11,105,10.6,7.2,14.0
2003,12,105,3.8,0.3,8.0
2004,1,105,0.9,-2.4,5.2
2004,2,105,4.5,0.6,9.1
2004,3,105,7.9,3.2,12.6
2004,4,105,14.7,9.5,19.9
2004,5,105,18.2,14.0,22.9
2004,6,105,22.0,18.1,26.1
2004,7,105,24.5,21.8,27.8
2004,8,105,23.6,20.7,26.9
2004,9,105,20.6,17.6,24.5
2004,10,105,15.5,10.9,20.2
2004,11,105,11.4,7.3,16.1
2004,12,105,5.2,1.4,9.7
2005,1,105,0.5,-3.0,4.8
2005,2,105,-0.1,-3.8,3.9
