년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,100,-6.4,-11.2,-1.9
2000,2,100,-7.1,-12.7,-1.3
2000,3,100,0.7,-4.0,6.2
2000,4,100,6.0,0.4,11.6
2000,5,100,12.1,7.2,17.8
2000,6,100,16.4,11.2,21.8
2000,7,100,20.6,16.9,25.5
2000,8,100,19.7,17.0,23.2
2000,9,100,13.4,9.9,17.5
2000,10,100,8.9,3.9,14.3
2000,11,100,1.7,-3.0,6.6
2000,12,100,-3.7,-8.7,1.5
2001,1,100,-8.9,-13.7,-4.5
2001,2,100,-5.0,-10.0,-0.1
2001,3,100,-0.2,-5.4,4.8
2001,4,100,7.7,1.6,14.0
2001,5,100,13.4,8.3,19.3
2001,6,100,16.7,13.2,21.5
2001,7,100,22.1,18.1,27.0
2001,8,100,20.4,17.0,25.3
2001,9,100,15.2,10.4,19.9
2001,10,100,11.2,6.6,16.9
2001,11,100,2.4,-2.5,8.4
2001,12,100,-4.9,-9.8,0.6
2002,1,100,-5.1,-9.9,-0.5
2002,2,100,-2.2,-7.0,3.2
2002,3,100,3.3,-1.7,9.0
2002,4,100,9.6,3.1,16.1
2002,5,100,12.4,7.1,17.9
2002,6,100,16.2,11.0,21.8
2002,7,100,19.6,16.6,23.4
2002,8,100,18.8,16.4,22.1
2002,9,100,14.2,9.9,19.3
2002,10,100,7.6,2.8,13.9
2002,11,100,-0.7,-5.4,4.8
2002,12,100,-3.8,-7.7,0.8
2003,1,100,-8.0,-13.4,-2.8
2003,2,100,-3.6,-8.4,0.8
2003,3,100,-0.5,-5.3,4.0
2003,4,100,7.2,1.8,13.1
2003,5,100,12.4,6.7,18.6
2003,6,100,15.7,11.5,20.4
2003,7,100,17.0,14.5,20.3
2003,8,100,18.7,15.8,22.4
2003,9,100,14.9,11.3,19.5
2003,10,100,7.6,1.5,14.6
2003,11,100,4.3,-0.1,9.0
2003,12,100,-4.0,-8.6,1.2
2004,1,100,-6.9,-11.7,-1.6
2004,2,100,-2.9,-8.1,2.8
2004,3,100,1.0,-4.4,6.7
2004,4,100,8.3,2.3,14.8
