년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,106,0.8,-3.0,4.6
2000,2,106,0.6,-3.7,5.0
2000,3,106,7.6,2.6,12.6
2000,4,106,11.9,6.9,16.9
2000,5,106,15.5,11.6,19.8
2000,6,106,19.4,16.1,23.3
2000,7,106,24.9,21.3,29.1
2000,8,106,24.1,21.5,27.4
2000,9,106,18.7,15.4,22.4
2000,10,106,14.6,10.0,19.3
2000,11,106,8.4,4.0,12.9
2000,12,106,3.9,-0.8,8.5
2001,1,106,-0.9,-4.8,2.9
2001,2,106,2.2,-1.9,6.5
2001,3,106,6.3,1.6,11.3
2001,4,106,13.0,7.7,17.9
2001,5,106,17.6,13.6,22.2
2001,6,106,20.3,17.2,24.2
2001,7,106,24.2,20.6,28.3
2001,8,106,23.5,20.4,27.3
2001,9,106,19.2,15.3,23.4
2001,10,106,15.3,11.3,20.0
2001,11,106,8.2,3.5,13.0
2001,12,106,2.1,-1.8,6.3
2002,1,106,1.9,-1.8,6.0
2002,2,106,4.3,0.0,9.2
2002,3,106,8.7,3.7,13.6
2002,4,106,12.3,7.5,17.6
2002,5,106,15.1,10.9,19.4
2002,6,106,18.6,14.7,23.1
2002,7,106,20.9,18.1,24.5
2002,8,106,21.9,19.6,25.1
2002,9,106,17.9,13.9,22.0
2002,10,106,12.6,7.7,17.5
2002,11,106,5.5,0.9,10.4
2002,12,106,2.1,-1.2,6.2
2003,1,106,-0.8,-4.9,3.7
2003,2,106,2.2,-1.3,5.7
2003,3,106,5.3,1.6,9.2
2003,4,106,11.0,6.8,15.5
2003,5,106,14.5,11.5,17.9
2003,6,106,19.8,16.7,23.5
2003,7,106,20.7,18.6,23.7
2003,8,106,22.4,19.6,26.3
2003,9,106,19.3,16.0,23.5
2003,10,106,13.6,8.9,18.8
2003,11,106,9.6,5.6,13.7
2003,12,106,3.6,-0.7,8.3
2004,1,106,0.9,-2.9,5.7
2004,2,106,4.1,-0.4,9.2
2004,3,106,7.2,2.6,11.9
2004,4,106,13.5,8.5,19.1
2004,5,106,17.1,13.1,21.8
2004,6,106,20.6,17.0,25.1
2004,7,106,23.7,21.0,27.8
2004,8,106,22.9,20.0,26.6
2004,9,106,19.8,16.6,23.8
2004,10,106,14.6,9.8,19.7
2004,11,106,10.7,6.1,15.9
2004,12,106,4.9,0.4,9.9
2005,1,106,0.4,-3.5,5.1
2005,2,106,0.1,-3.9,4.5
2005,3,106,4.5,0.2,9.0
2005,4,106,13.1,8.3,18.1
2005,5,106,14.6,10.5,19.3
