년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,90,-0.4,-4.0,3.2
2000,2,90,-0.1,-4.4,4.1
2000,3,90,6.9,2.1,11.5
2000,4,90,11.2,6.5,16.0
2000,5,90,14.3,10.7,18.8
2000,6,90,19.2,15.6,23.2
2000,7,90,24.8,21.5,28.8
2000,8,90,24.0,21.6,27.2
2000,9,90,18.6,15.5,22.1
2000,10,90,14.5,10.3,18.5
2000,11,90,7.8,3.3,11.7
2000,12,90,3.2,-1.3,7.4
2001,1,90,-2.3,-5.8,1.2
2001,2,90,1.2,-2.7,5.3
2001,3,90,5.6,1.1,10.1
2001,4,90,12.3,7.1,17.2
2001,5,90,17.2,13.5,22.2
2001,6,90,20.0,17.0,23.6
2001,7,90,23.4,20.1,27.1
2001,8,90,22.4,18.8,26.3
2001,9,90,20.0,15.9,24.1
2001,10,90,15.9,12.0,20.3
2001,11,90,8.8,4.0,13.3
2001,12,90,1.4,-2.3,5.5
2002,1,90,0.8,-2.9,5.0
2002,2,90,4.2,-0.4,8.7
2002,3,90,8.7,3.6,13.5
2002,4,90,12.2,7.6,17.2
2002,5,90,15.6,11.1,20.1
2002,6,90,19.5,15.5,24.0
2002,7,90,21.9,19.2,25.5
2002,8,90,22.7,20.4,26.0
2002,9,90,19.1,15.3,23.3
2002,10,90,13.0,8.6,17.7
2002,11,90,5.1,0.7,9.6
2002,12,90,1.2,-2.6,4.9
2003,1,90,-1.6,-5.9,2.6
2003,2,90,1.6,-2.1,5.4
2003,3,90,4.5,0.8,8.8
2003,4,90,11.0,6.4,16.1
2003,5,90,14.8,11.3,19.0
2003,6,90,20.3,17.1,24.3
2003,7,90,20.8,18.6,23.7
2003,8,90,22.5,19.6,26.0
2003,9,90,19.7,16.2,23.6
2003,10,90,14.1,9.3,19.0
2003,11,90,9.3,5.4,12.6
2003,12,90,2.9,-1.2,7.0
2004,1,90,0.5,-3.3,4.6
2004,2,90,3.6,-0.5,7.9
2004,3,90,6.9,2.1,11.5
2004,4,90,12.7,7.5,18.8
2004,5,90,16.7,12.3,21.9
2004,6,90,20.8,17.1,25.2
2004,7,90,23.9,21.1,27.3
2004,8,90,23.1,20.1,26.6
2004,9,90,20.1,16.8,24.0
2004,10,90,14.8,10.2,19.5
2004,11,90,10.6,6.2,14.9
2004,12,90,4.2,0.1,8.7
2005,1,90,-0.1,-4.2,3.9
2005,2,90,-0.8,-4.8,3.1
2005,3,90,4.2,-0.2,8.4
2005,4,90,12.8,7.9,17.5
2005,5,90,14.4,10.4,19.3
2005,6,90,20.6,17.4,24.8
2005,7,90,24.0,21.3,27.5
2005,8,90,25.0,21.9,28.8
2005,9,90,20.0,16.7,23.6
2005,10,90,15.0,10.5,19.6
2005,11,90,9.8,5.7,14.2
2005,12,90,-1.4,-5.9,2.8
2006,1,90,0.2,-3.3,3.9
2006,2,90,1.5,-2.7,5.8
2006,3,90,6.0,0.9,10.9
2006,4,90,9.5,6.1,13.7
2006,5,90,14.4,10.5,19.6
2006,6,90,18.4,15.6,21.9
2006,7,90,21.0,18.8,24.1
2006,8,90,25.2,22.2,28.7
2006,9,90,19.1,15.1,23.3
2006,10,90,17.1,13.3,21.2
2006,11,90,8.5,4.6,12.3
2006,12,90,2.0,-1.8,6.6
2007,1,90,0.7,-2.9,5.0
