년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,121,-2.8,-7.5,2.3
2000,2,121,-3.3,-9.8,2.8
2000,3,121,4.3,-2.8,11.5
2000,4,121,10.4,3.3,17.5
2000,5,121,16.8,10.2,24.6
2000,6,121,21.6,15.7,29.3
2000,7,121,24.4,19.8,30.6
2000,8,121,23.8,20.1,29.2
2000,9,121,17.8,13.8,23.2
2000,10,121,11.9,6.5,19.4
2000,11,121,3.8,-1.6,10.8
2000,12,121,-1.6,-7.3,4.8
2001,1,121,-5.9,-11.1,-0.4
2001,2,121,-2.2,-7.7,3.7
2001,3,121,3.3,-2.9,10.0
2001,4,121,11.9,3.7,20.1
2001,5,121,17.3,10.0,25.0
2001,6,121,20.9,15.8,27.3
2001,7,121,24.1,19.7,30.1
2001,8,121,24.0,18.9,30.8
2001,9,121,18.6,12.1,26.3
2001,10,121,13.1,8.2,19.9
2001,11,121,3.3,-2.6,10.5
2001,12,121,-3.6,-9.6,3.2
2002,1,121,-2.4,-7.5,2.8
2002,2,121,-0.6,-7.4,6.4
2002,3,121,6.0,-1.1,13.0
2002,4,121,12.0,4.3,19.6
2002,5,121,15.8,9.4,22.7
2002,6,121,19.7,13.0,26.8
2002,7,121,23.5,19.5,28.6
2002,8,121,22.0,19.0,26.4
2002,9,121,17.9,13.3,24.2
2002,10,121,9.7,4.6,16.4
2002,11,121,1.3,-4.2,7.2
2002,12,121,-1.3,-6.0,4.3
2003,1,121,-5.4,-10.8,0.3
2003,2,121,-0.7,-5.7,5.1
2003,3,121,3.9,-2.0,10.2
2003,4,121,10.8,4.5,17.7
2003,5,121,16.6,9.3,24.5
2003,6,121,19.7,14.7,26.0
2003,7,121,21.7,17.7,27.2
2003,8,121,22.2,19.0,27.2
2003,9,121,18.8,15.0,24.2
2003,10,121,10.3,4.4,18.6
2003,11,121,7.2,1.8,13.5
2003,12,121,-1.4,-6.8,4.3
2004,1,121,-4.4,-10.3,2.3
2004,2,121,0.1,-6.0,6.6
2004,3,121,4.2,-3.0,11.4
2004,4,121,11.6,3.7,19.5
2004,5,121,16.4,10.4,22.9
2004,6,121,21.2,15.0,28.7
2004,7,121,23.8,20.4,28.8
2004,8,121,23.6,19.4,29.5
2004,9,121,19.0,14.5,25.3
2004,10,121,12.0,5.2,20.8
2004,11,121,6.4,0.5,13.7
2004,12,121,-0.3,-5.9,6.9
2005,1,121,-4.4,-10.4,2.0
2005,2,121,-3.4,-9.6,2.8
2005,3,121,3.0,-3.4,9.9
2005,4,121,12.3,4.0,19.8
2005,5,121,16.4,9.1,24.2
2005,6,121,21.6,16.4,28.3
2005,7,121,24.5,20.7,29.7
2005,8,121,24.2,20.7,29.7
2005,9,121,20.1,16.2,25.7
2005,10,121,12.0,7.3,19.1
2005,11,121,5.2,-1.2,12.8
2005,12,121,-6.6,-12.8,-0.2
2006,1,121,-2.6,-8.3,3.7
2006,2,121,-1.5,-7.1,4.8
2006,3,121,4.1,-2.6,11.1
2006,4,121,10.5,4.1,17.1
2006,5,121,17.1,10.9,24.0
2006,6,121,21.1,15.4,28.0
2006,7,121,22.0,19.3,26.3
