년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,114,-2.9,-7.3,1.8
2000,2,114,-3.1,-8.8,2.7
2000,3,114,4.8,-1.6,11.7
2000,4,114,10.6,3.9,17.7
2000,5,114,17.1,11.1,23.9
2000,6,114,22.4,16.9,29.0
2000,7,114,25.5,21.0,31.3
2000,8,114,25.0,21.3,30.2
2000,9,114,18.6,14.3,24.4
2000,10,114,12.7,7.2,19.8
2000,11,114,4.6,-0.7,11.2
2000,12,114,-0.8,-6.2,4.9
2001,1,114,-5.1,-10.0,0.2
2001,2,114,-1.7,-6.7,4.0
2001,3,114,3.8,-2.3,10.6
2001,4,114,12.3,4.4,20.2
2001,5,114,18.7,12.5,25.5
2001,6,114,22.5,18.0,27.7
2001,7,114,25.6,21.6,30.5
2001,8,114,25.3,20.6,31.0
2001,9,114,20.3,14.1,27.3
2001,10,114,14.3,9.4,20.6
2001,11,114,4.5,-0.9,11.3
2001,12,114,-2.0,-7.4,4.2
2002,1,114,-0.9,-5.6,3.9
2002,2,114,0.9,-4.6,7.1
2002,3,114,7.4,0.8,14.3
2002,4,114,13.6,6.6,20.5
2002,5,114,17.5,11.6,23.9
2002,6,114,21.4,15.6,27.5
2002,7,114,24.7,20.8,29.3
2002,8,114,23.4,20.6,27.2
2002,9,114,19.4,14.9,25.2
2002,10,114,11.1,5.9,17.5
2002,11,114,2.3,-2.9,7.9
2002,12,114,-0.5,-5.1,5.1
2003,1,114,-4.9,-9.9,0.4
2003,2,114,0.5,-4.5,6.1
2003,3,114,5.3,-0.4,11.4
2003,4,114,12.5,6.3,19.4
2003,5,114,18.0,11.1,25.3
2003,6,114,21.5,17.0,26.8
2003,7,114,23.6,19.6,28.5
2003,8,114,23.9,20.5,28.5
2003,9,114,20.1,16.2,25.4
2003,10,114,12.0,5.7,19.5
2003,11,114,8.2,3.1,13.9
2003,12,114,-0.4,-5.0,4.9
2004,1,114,-3.2,-8.3,3.0
2004,2,114,1.7,-4.2,8.3
2004,3,114,5.7,-0.8,12.7
2004,4,114,12.9,5.6,20.6
2004,5,114,18.1,12.8,23.9
2004,6,114,23.3,17.9,29.3
2004,7,114,25.3,22.1,29.5
2004,8,114,25.3,21.2,30.8
2004,9,114,20.6,15.9,26.5
2004,10,114,13.3,6.4,21.8
2004,11,114,7.6,1.9,14.6
2004,12,114,0.9,-4.6,7.5
2005,1,114,-3.3,-8.9,2.9
2005,2,114,-2.3,-8.0,3.7
2005,3,114,4.2,-1.9,11.0
2005,4,114,13.5,6.5,20.5
2005,5,114,17.5,11.2,24.2
2005,6,114,23.1,18.4,28.7
2005,7,114,25.5,22.2,30.0
2005,8,114,24.8,21.3,29.7
2005,9,114,21.0,17.1,26.2
2005,10,114,12.9,8.0,19.3
2005,11,114,6.3,0.6,13.1
2005,12,114,-5.8,-11.0,0.0
2006,1,114,-1.7,-6.3,3.9
2006,2,114,-0.7,-5.8,4.9
2006,3,114,4.9,-1.2,11.5
2006,4,114,11.3,5.5,17.7
2006,5,114,18.4,12.8,24.5
2006,6,114,22.0,17.2,27.9
2006,7,114,23.3,20.5,27.4
2006,8,114,26.9,22.6,32.8
2006,9,114,19.3,13.9,25.7
2006,10,114,16.0,10.5,23.1
2006,11,114,6.7,1.4,12.4
2006,12,114,-0.5,-4.8,5.1
2007,1,114,-1.1,-5.9,5.1
2007,2,114,2.5,-3.3,9.6
2007,3,114,5.6,0.5,11.8
2007,4,114,11.5,5.4,18.2
2007,5,114,18.0,12.5,24.6
2007,6,114,22.5,17.0,28.5
2007,7,114,23.9,20.5,28.3
2007,8,114,25.9,22.5,30.5
2007,9,114,20.7,17.5,25.0
2007,10,114,13.9,9.1,20.2
2007,11,114,4.9,0.0,11.2
2007,12,114,-0.1,-3.9,4.8
2008,1,114,-2.4,-6.6,2.5
2008,2,114,-2.3,-8.1,4.0
2008,3,114,6.2,0.9,12.5
2008,4,114,13.1,6.5,20.2
2008,5,114,17.5,11.3,24.2
2008,6,114,21.1,16.1,27.0
2008,7,114,26.0,22.5,30.4
2008,8,114,24.6,20.3,30.0
2008,9,114,21.0,16.3,27.3
2008,10,114,14.5,9.1,21.2
2008,11,114,6.0,0.9,12.2
2008,12,114,0.2,-4.6,5.6
2009,1,114,-3.7,-8.9,2.4
2009,2,114,2.5,-2.4,8.0
2009,3,114,6.2,0.2,12.4
2009,4,114,12.3,5.6,19.5
2009,5,114,18.4,12.1,25.2
2009,6,114,22.4,17.1,28.0
2009,7,114,24.0,20.2,29.0
2009,8,114,25.1,20.7,30.4
2009,9,114,20.6,15.6,26.9
2009,10,114,14.2,8.4,21.3
2009,11,114,6.2,1.9,11.1
2009,12,114,-1.5,-5.4,3.3
2010,1,114,-5.0,-10.1,0.4
2010,2,114,1.2,-3.2,6.3
2010,3,114,4.6,0.4,9.3
2010,4,114,10.0,4.1,15.9
2010,5,114,17.8,11.7,24.0
2010,6,114,23.4,17.9,29.5
2010,7,114,26.1,22.7,30.5
2010,8,114,27.1,24.1,31.3
2010,9,114,21.1,17.0,26.5
2010,10,114,13.7,8.9,19.8
2010,11,114,5.8,0.5,11.9
2010,12,114,-1.6,-6.4,3.7
2011,1,114,-7.7,-13.2,-2.2
2011,2,114,0.8,-4.2,6.9
2011,3,114,3.7,-1.8,9.7
2011,4,114,11.1,5.1,17.5
2011,5,114,18.3,12.6,24.1
2011,6,114,22.8,17.9,28.3
2011,7,114,25.5,22.4,29.5
2011,8,114,25.9,22.3,30.7
2011,9,114,20.5,16.0,26.1
2011,10,114,12.1,6.5,19.0
2011,11,114,9.6,4.9,14.9
2011,12,114,-2.0,-6.5,2.9
2012,1,114,-3.9,-8.9,1.7
2012,2,114,-2.6,-8.4,3.7
2012,3,114,4.9,0.2,10.2
2012,4,114,12.4,6.1,19.2
2012,5,114,18.7,12.7,25.2
2012,6,114,23.6,18.4,29.5
2012,7,114,25.6,21.8,30.2
2012,8,114,26.5,22.6,31.4
2012,9,114,19.5,15.2,24.9
2012,10,114,13.2,7.6,20.1
2012,11,114,4.3,-0.2,9.5
2012,12,114,-4.9,-9.3,0.0
2013,1,114,-4.9,-9.9,0.6
2013,2,114,-1.3,-6.4,4.1
2013,3,114,5.4,-0.9,12.3
2013,4,114,9.8,3.9,16.1
2013,5,114,18.3,12.3,24.7
2013,6,114,23.9,18.9,29.5
2013,7,114,26.0,23.2,29.7
2013,8,114,26.9,23.0,31.8
2013,9,114,20.5,16.3,25.8
2013,10,114,14.2,8.5,21.2
2013,11,114,4.9,0.2,10.4
2013,12,114,-1.2,-5.5,3.7
2014,1,114,-1.8,-6.7,3.5
2014,2,114,1.3,-3.5,7.0
2014,3,114,7.3,1.6,13.5
2014,4,114,13.8,7.5,20.4
2014,5,114,19.0,12.5,25.8
2014,6,114,22.9,18.5,28.6
2014,7,114,26.2,21.9,31.6
2014,8,114,24.6,21.1,29.1
2014,9,114,21.3,16.4,27.3
2014,10,114,14.1,7.8,21.2
2014,11,114,7.6,2.7,13.2
2014,12,114,-3.1,-7.8,2.0
2015,1,114,-1.0,-5.5,3.8
2015,2,114,1.3,-3.5,6.6
2015,3,114,6.7,0.0,13.8
2015,4,114,13.5,7.4,19.8
2015,5,114,19.9,13.1,26.6
2015,6,114,23.8,18.0,30.0
2015,7,114,26.2,22.2,30.7
2015,8,114,26.2,22.1,31.6
2015,9,114,20.7,15.6,26.5
2015,10,114,14.6,9.2,20.5
2015,11,114,9.2,6.0,12.9
2015,12,114,1.7,-2.0,5.9
2016,1,114,-2.5,-6.9,2.0
2016,2,114,0.8,-3.8,6.0
2016,3,114,7.1,1.6,12.8
2016,4,114,14.8,9.0,21.3
2016,5,114,19.3,13.0,25.9
2016,6,114,23.6,19.0,28.9
2016,7,114,25.7,22.4,29.7
2016,8,114,27.0,22.9,31.9
2016,9,114,21.8,18.1,26.4
2016,10,114,15.1,11.3,20.0
2016,11,114,6.7,2.2,11.7
2016,12,114,0.8,-3.4,5.4
2017,1,114,-2.2,-6.8,2.7
2017,2,114,-0.1,-5.1,5.0
2017,3,114,5.6,0.1,11.4
2017,4,114,13.6,7.5,19.8
2017,5,114,18.8,12.6,25.2
2017,6,114,22.1,16.6,28.1
2017,7,114,25.7,22.9,29.3
2017,8,114,24.2,20.8,28.4
2017,9,114,19.5,14.8,25.0
2017,10,114,14.6,10.0,20.4
2017,11,114,5.1,0.2,10.4
2017,12,114,-2.1,-6.2,2.1
2018,1,114,-3.8,-7.8,0.6
2018,2,114,-1.6,-6.8,3.7
2018,3,114,8.2,2.8,13.7
2018,4,114,13.2,7.3,19.5
2018,5,114,17.9,12.4,23.6
2018,6,114,23.0,18.1,28.4
2018,7,114,27.1,23.1,31.8
2018,8,114,27.4,23.6,32.4
2018,9,114,19.9,15.5,25.0
2018,10,114,11.6,6.7,17.3
2018,11,114,6.8,2.3,12.5
2018,12,114,-1.1,-5.4,3.9
2019,1,114,-1.6,-6.8,3.9
2019,2,114,1.3,-3.4,6.3
2019,3,114,6.9,1.4,12.6
2019,4,114,11.9,5.9,17.9
2019,5,114,19.2,12.4,25.9
2019,6,114,22.1,17.1,27.5
2019,7,114,25.2,21.6,29.7
2019,8,114,26.2,22.1,31.0
2019,9,114,21.4,17.5,26.2
2019,10,114,14.9,10.1,20.3
2019,11,114,7.1,2.3,13.1
2019,12,114,0.9,-3.0,5.4
2020,1,114,1.2,-2.7,6.0
2020,2,114,2.5,-1.9,7.5
2020,3,114,7.8,1.7,13.9
2020,4,114,11.0,4.7,17.2
2020,5,114,18.2,13.3,23.5
2020,6,114,24.1,19.5,29.2
2020,7,114,23.7,20.3,27.9
2020,8,114,26.1,23.3,30.0
2020,9,114,19.9,16.0,24.7
2020,10,114,12.7,7.4,18.9
2020,11,114,7.3,2.5,12.7
2020,12,114,-1.4,-5.8,3.6
2021,1,114,-2.9,-8.2,2.7
2021,2,114,2.5,-2.9,8.3
2021,3,114,8.8,3.2,14.8
2021,4,114,13.8,7.7,19.6
2021,5,114,16.5,11.4,21.9
2021,6,114,22.3,17.8,27.3
2021,7,114,26.7,22.5,31.7
2021,8,114,24.6,21.2,29.0
2021,9,114,21.1,17.0,25.9
2021,10,114,14.4,10.0,19.8
2021,11,114,7.3,2.7,12.8
2021,12,114,0.3,-4.2,5.0
2022,1,114,-2.4,-7.4,2.8
2022,2,114,-1.1,-6.3,4.3
2022,3,114,7.4,2.2,12.9
2022,4,114,14.1,7.8,20.5
2022,5,114,18.3,11.9,24.4
2022,6,114,23.0,18.7,27.7
2022,7,114,26.2,22.7,30.5
2022,8,114,24.9,22.2,28.3
2022,9,114,20.9,16.2,26.4
2022,10,114,13.2,8.3,19.1
2022,11,114,8.5,3.2,14.9
2022,12,114,-3.7,-8.0,1.1
2023,1,114,-2.3,-7.2,2.8
2023,2,114,1.9,-3.2,7.3
2023,3,114,9.5,2.9,16.4
2023,4,114,13.5,7.7,19.3
2023,5,114,18.6,12.6,24.4
2023,6,114,23.1,18.7,27.8
2023,7,114,25.9,22.6,30.1
2023,8,114,26.7,23.2,31.0
2023,9,114,22.7,19.0,27.2
2023,10,114,13.9,9.1,19.8
2023,11,114,6.9,2.1,12.1
2023,12,114,1.0,-3.2,5.6
2024,1,114,-0.2,-3.7,3.8
2024,2,114,4.1,-0.1,8.7
2024,3,114,7.1,1.9,12.6
2024,4,114,16.4,10.7,22.4
2024,5,114,18.6,12.9,24.5
2024,6,114,23.9,18.6,29.6
2024,7,114,26.6,23.6,30.3
2024,8,114,28.3,24.7,33.0
2024,9,114,24.5,20.7,29.3
2024,10,114,15.7,11.6,20.8
2024,11,114,9.1,4.3,14.8
2024,12,114,0.3,-3.9,4.7
