년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,211,-2.9,-7.7,2.1
2000,2,211,-3.5,-10.2,2.9
2000,3,211,4.4,-2.2,11.4
2000,4,211,10.3,3.4,16.9
2000,5,211,15.8,10.2,22.7
2000,6,211,21.3,15.4,28.5
2000,7,211,24.8,20.6,30.6
2000,8,211,23.7,20.4,29.0
2000,9,211,17.8,13.8,23.7
2000,10,211,12.1,6.7,19.9
2000,11,211,4.5,-1.0,11.5
2000,12,211,-0.5,-6.1,5.0
2001,1,211,-6.1,-11.8,-0.5
2001,2,211,-1.9,-8.0,4.3
2001,3,211,3.5,-2.5,10.0
2001,4,211,12.0,4.5,19.7
2001,5,211,17.5,10.9,24.7
2001,6,211,21.3,16.6,27.5
2001,7,211,24.4,20.3,29.7
2001,8,211,23.9,19.6,30.5
2001,9,211,18.1,12.3,25.6
2001,10,211,13.2,8.5,20.3
2001,11,211,3.7,-2.0,11.1
2001,12,211,-3.4,-9.5,3.5
2002,1,211,-2.8,-7.9,2.5
2002,2,211,0.3,-5.9,7.1
2002,3,211,6.7,0.2,13.4
2002,4,211,12.3,5.3,19.5
2002,5,211,16.0,9.8,23.3
2002,6,211,19.9,14.0,26.5
2002,7,211,23.3,19.7,27.7
2002,8,211,22.3,19.5,26.5
2002,9,211,18.0,13.7,24.4
2002,10,211,10.0,5.0,16.7
2002,11,211,1.8,-3.4,7.4
2002,12,211,-2.0,-6.8,3.9
2003,1,211,-5.8,-11.6,0.3
2003,2,211,-0.4,-5.3,5.5
2003,3,211,3.7,-1.7,10.1
2003,4,211,10.3,4.4,16.9
2003,5,211,16.3,9.6,24.3
2003,6,211,19.6,15.0,25.6
2003,7,211,21.7,18.0,26.6
2003,8,211,22.1,18.3,27.3
2003,9,211,18.3,14.8,23.4
2003,10,211,10.4,4.7,18.3
2003,11,211,6.9,2.2,12.6
2003,12,211,-1.7,-6.9,3.7
2004,1,211,-5.1,-10.9,1.4
2004,2,211,-0.4,-6.2,6.0
2004,3,211,4.2,-2.8,10.9
2004,4,211,11.3,4.1,18.5
2004,5,211,16.0,10.5,22.1
2004,6,211,20.8,15.4,27.3
2004,7,211,23.6,20.7,27.5
2004,8,211,22.9,19.1,28.2
2004,9,211,18.9,14.6,25.1
2004,10,211,11.4,4.9,20.0
2004,11,211,6.0,0.8,13.0
2004,12,211,-0.7,-5.8,6.0
2005,1,211,-5.4,-11.8,1.0
2005,2,211,-4.5,-10.4,1.4
2005,3,211,2.6,-3.5,8.9
2005,4,211,12.0,4.6,18.9
2005,5,211,15.4,8.7,23.1
2005,6,211,21.8,16.5,27.9
2005,7,211,23.9,20.6,28.6
2005,8,211,23.6,20.3,28.5
2005,9,211,19.6,15.9,24.7
2005,10,211,12.1,7.3,19.4
2005,11,211,5.1,-0.6,12.3
2005,12,211,-6.2,-12.2,-0.2
2006,1,211,-3.4,-8.7,2.8
2006,2,211,-1.5,-7.0,4.4
2006,3,211,3.7,-2.7,10.0
2006,4,211,9.5,4.0,15.6
2006,5,211,16.5,10.8,23.2
2006,6,211,20.3,15.5,26.7
2006,7,211,21.7,18.7,25.9
2006,8,211,25.0,21.2,30.4
2006,9,211,17.7,12.6,24.6
2006,10,211,14.4,9.2,21.4
2006,11,211,5.5,0.1,11.3
2006,12,211,-2.0,-6.6,4.0
2007,1,211,-2.7,-7.7,3.9
2007,2,211,0.8,-5.0,8.2
2007,3,211,4.0,-1.1,9.8
2007,4,211,9.5,3.1,16.2
2007,5,211,16.0,10.3,22.6
2007,6,211,20.6,14.2,27.5
2007,7,211,22.4,19.3,26.9
2007,8,211,24.2,20.7,29.1
2007,9,211,20.0,16.7,24.7
2007,10,211,13.0,8.5,19.7
2007,11,211,3.5,-2.0,10.2
2007,12,211,-1.6,-6.1,3.7
2008,1,211,-5.1,-10.8,1.0
2008,2,211,-4.4,-11.5,3.0
2008,3,211,4.2,-1.2,10.7
2008,4,211,11.4,4.7,18.6
2008,5,211,15.8,9.3,22.6
2008,6,211,18.6,13.4,24.8
2008,7,211,24.3,20.9,28.8
2008,8,211,22.9,18.4,28.9
2008,9,211,18.7,14.2,25.9
2008,10,211,12.9,7.5,20.8
2008,11,211,4.6,-0.7,10.6
2008,12,211,-1.2,-6.1,4.0
2009,1,211,-5.6,-11.5,1.4
2009,2,211,1.1,-4.3,7.0
2009,3,211,4.5,-1.2,10.7
2009,4,211,10.4,3.2,18.4
2009,5,211,16.9,10.6,24.0
2009,6,211,20.1,15.0,25.9
2009,7,211,22.4,18.6,27.7
2009,8,211,22.8,18.6,28.4
2009,9,211,18.3,13.6,25.1
2009,10,211,12.4,6.7,19.9
2009,11,211,5.0,0.8,9.5
2009,12,211,-1.2,-5.6,3.6
2010,1,211,-5.3,-11.6,1.0
2010,2,211,-0.3,-5.3,5.1
2010,3,211,3.6,-0.2,8.1
2010,4,211,8.9,3.1,15.3
2010,5,211,15.2,8.9,22.1
2010,6,211,20.8,14.5,28.2
2010,7,211,23.7,20.3,28.2
2010,8,211,24.4,21.4,28.8
2010,9,211,18.6,15.0,24.0
2010,10,211,11.6,6.8,18.3
2010,11,211,3.7,-1.9,10.0
2010,12,211,-2.8,-7.7,2.3
2011,1,211,-10.4,-17.5,-3.3
2011,2,211,-1.7,-7.8,5.7
2011,3,211,1.7,-4.0,7.6
2011,4,211,8.7,2.4,15.1
2011,5,211,15.4,9.8,22.0
2011,6,211,19.9,14.9,26.2
2011,7,211,22.6,19.6,26.6
2011,8,211,23.5,20.1,28.7
2011,9,211,17.8,13.6,23.8
2011,10,211,10.6,5.2,18.0
2011,11,211,7.5,3.2,12.9
2011,12,211,-3.4,-8.2,1.8
2012,1,211,-5.5,-11.1,0.6
2012,2,211,-4.5,-11.0,2.5
2012,3,211,3.3,-1.8,8.4
2012,4,211,11.1,4.8,18.1
2012,5,211,16.7,10.7,23.8
2012,6,211,21.2,16.5,27.9
2012,7,211,24.0,20.5,28.8
2012,8,211,24.7,21.0,29.8
2012,9,211,18.2,14.2,24.0
2012,10,211,12.0,6.6,19.6
2012,11,211,3.9,-0.9,9.3
2012,12,211,-5.6,-10.6,-0.1
2013,1,211,-6.4,-12.0,0.2
2013,2,211,-2.4,-8.0,3.4
2013,3,211,4.6,-1.9,11.2
2013,4,211,8.3,2.6,14.7
2013,5,211,17.0,11.0,23.8
2013,6,211,22.0,16.9,28.8
2013,7,211,24.8,22.1,28.6
2013,8,211,25.6,21.9,30.8
2013,9,211,19.0,15.2,24.7
2013,10,211,12.7,7.7,20.3
2013,11,211,4.3,-0.4,10.0
2013,12,211,-2.0,-6.7,3.3
2014,1,211,-2.1,-7.3,3.4
2014,2,211,-0.5,-5.5,5.6
2014,3,211,6.2,-0.1,12.8
2014,4,211,12.2,5.6,19.5
2014,5,211,17.6,10.6,25.1
2014,6,211,20.9,16.6,27.3
2014,7,211,24.3,19.7,30.5
2014,8,211,22.4,18.9,27.3
2014,9,211,18.7,14.5,25.3
2014,10,211,11.8,6.3,19.6
2014,11,211,5.9,0.6,12.1
2014,12,211,-4.6,-10.4,1.1
2015,1,211,-3.1,-8.7,2.7
2015,2,211,-0.7,-5.8,5.3
2015,3,211,4.8,-2.4,12.3
2015,4,211,10.9,4.4,18.0
2015,5,211,17.8,10.0,25.5
2015,6,211,20.7,14.8,28.3
2015,7,211,22.8,18.8,28.2
2015,8,211,23.4,19.5,29.4
2015,9,211,18.0,13.2,25.4
2015,10,211,12.1,6.4,19.6
2015,11,211,6.9,3.5,11.3
2015,12,211,-0.3,-4.6,5.0
2016,1,211,-4.7,-10.1,0.6
2016,2,211,-1.7,-7.2,4.0
2016,3,211,4.9,-1.5,11.5
2016,4,211,12.4,5.8,19.7
2016,5,211,17.1,10.0,24.7
