년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,95,-5.2,-10.3,0.1
2000,2,95,-4.7,-11.3,1.3
2000,3,95,3.8,-2.9,10.6
2000,4,95,9.7,2.5,16.6
2000,5,95,15.9,10.5,22.0
2000,6,95,21.9,16.2,28.0
2000,7,95,25.0,21.0,29.8
2000,8,95,24.2,20.6,29.1
2000,9,95,18.5,13.7,24.4
2000,10,95,11.6,5.2,18.9
2000,11,95,3.4,-2.5,10.5
2000,12,95,-2.3,-8.2,3.4
2001,1,95,-8.5,-15.5,-1.4
2001,2,95,-3.5,-9.9,2.9
2001,3,95,2.5,-4.1,9.1
2001,4,95,11.4,3.1,19.3
2001,5,95,17.8,11.5,24.3
2001,6,95,21.1,16.6,26.2
2001,7,95,24.2,20.7,28.6
2001,8,95,23.8,19.0,29.7
2001,9,95,19.0,12.2,25.9
2001,10,95,13.2,7.3,20.4
2001,11,95,3.3,-2.8,10.7
2001,12,95,-4.6,-10.7,2.3
2002,1,95,-3.9,-9.6,1.6
2002,2,95,-0.3,-6.6,6.2
2002,3,95,5.6,-1.4,12.9
2002,4,95,11.8,4.4,19.0
2002,5,95,16.6,10.3,23.1
2002,6,95,20.3,14.6,26.2
2002,7,95,23.1,19.5,27.5
2002,8,95,22.4,19.3,26.5
2002,9,95,18.1,12.6,24.7
2002,10,95,9.5,3.2,16.4
2002,11,95,0.7,-4.7,6.3
2002,12,95,-2.8,-7.7,3.1
2003,1,95,-7.1,-12.8,-1.3
2003,2,95,-0.8,-6.1,4.9
2003,3,95,3.9,-1.5,9.7
2003,4,95,10.6,4.5,16.8
2003,5,95,17.0,10.7,23.6
2003,6,95,20.0,15.6,24.8
2003,7,95,22.2,18.5,26.4
2003,8,95,22.1,18.7,26.2
2003,9,95,18.2,14.4,22.9
2003,10,95,10.3,3.8,17.6
2003,11,95,6.0,1.2,11.7
2003,12,95,-2.7,-8.2,2.9
2004,1,95,-5.8,-12.0,0.7
2004,2,95,-0.6,-6.8,5.6
2004,3,95,3.7,-3.0,10.2
2004,4,95,10.7,3.0,18.1
2004,5,95,15.8,10.8,20.9
2004,6,95,21.0,15.9,26.3
2004,7,95,22.8,19.8,26.3
2004,8,95,22.9,18.8,28.0
2004,9,95,18.8,13.6,24.9
2004,10,95,11.1,3.6,19.6
2004,11,95,5.4,0.1,12.1
2004,12,95,-2.1,-7.2,4.5
2005,1,95,-6.2,-13.2,0.6
2005,2,95,-5.4,-12.0,1.0
2005,3,95,1.8,-4.4,8.3
2005,4,95,10.9,3.8,17.8
2005,5,95,15.4,8.9,21.9
