년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,101,-3.0,-7.0,2.1
2000,2,101,-3.2,-9.2,3.1
2000,3,101,4.9,-1.9,12.2
2000,4,101,10.8,3.5,18.0
2000,5,101,16.7,11.1,23.4
2000,6,101,22.7,16.8,29.6
2000,7,101,26.0,21.6,31.5
2000,8,101,24.6,20.9,30.1
2000,9,101,18.5,14.2,24.6
2000,10,101,12.1,6.6,19.3
2000,11,101,4.1,-1.2,11.1
2000,12,101,-1.5,-6.8,4.0
2001,1,101,-6.7,-12.3,-1.0
2001,2,101,-2.5,-8.2,4.0
2001,3,101,3.3,-2.7,10.3
2001,4,101,12.3,3.9,20.8
2001,5,101,18.8,11.7,26.5
2001,6,101,22.5,17.4,28.5
2001,7,101,25.4,21.3,30.7
2001,8,101,25.2,20.4,31.6
2001,9,101,20.0,13.8,27.2
2001,10,101,14.2,9.4,20.7
2001,11,101,4.0,-1.4,11.0
2001,12,101,-2.9,-8.2,3.7
2002,1,101,-2.8,-7.6,2.3
2002,2,101,0.5,-5.5,7.6
2002,3,101,7.1,0.3,14.4
2002,4,101,13.2,5.8,20.7
2002,5,101,17.9,11.5,24.9
2002,6,101,21.7,15.8,28.0
2002,7,101,25.2,21.4,29.7
2002,8,101,24.1,21.0,28.1
2002,9,101,19.7,14.9,26.0
2002,10,101,11.0,5.7,17.7
2002,11,101,2.2,-3.2,8.0
2002,12,101,-1.0,-5.2,4.7
2003,1,101,-5.2,-9.8,0.4
2003,2,101,0.5,-4.2,6.5
2003,3,101,5.1,-0.6,11.5
2003,4,101,11.7,5.6,18.5
2003,5,101,18.2,11.5,25.7
2003,6,101,21.3,16.8,26.8
2003,7,101,23.7,19.8,28.4
2003,8,101,23.6,20.2,28.3
2003,9,101,19.8,16.1,24.9
2003,10,101,11.2,5.6,18.9
2003,11,101,7.4,2.7,13.0
2003,12,101,-1.5,-6.6,4.5
2004,1,101,-4.1,-9.5,2.5
2004,2,101,0.5,-5.4,7.0
2004,3,101,5.1,-1.7,12.3
2004,4,101,12.4,4.8,19.9
2004,5,101,17.3,11.9,23.0
2004,6,101,22.6,17.5,28.3
2004,7,101,24.7,21.8,28.5
2004,8,101,24.7,20.7,29.9
2004,9,101,20.4,15.7,26.5
2004,10,101,12.7,6.2,21.3
2004,11,101,6.9,2.0,13.3
2004,12,101,-0.1,-4.8,6.4
2005,1,101,-4.0,-10.2,2.6
2005,2,101,-3.1,-9.0,3.2
2005,3,101,3.9,-2.1,10.5
2005,4,101,12.9,5.7,20.1
2005,5,101,17.1,10.6,24.1
2005,6,101,23.0,17.9,28.5
2005,7,101,25.4,22.0,29.8
2005,8,101,24.5,21.0,29.3
2005,9,101,20.3,16.4,25.3
2005,10,101,12.8,8.0,19.7
2005,11,101,5.6,0.3,12.5
2005,12,101,-6.0,-11.6,0.3
2006,1,101,-2.8,-7.5,3.5
2006,2,101,-0.9,-6.0,5.1
2006,3,101,4.3,-2.0,11.0
2006,4,101,10.7,5.1,17.0
2006,5,101,17.6,11.9,23.9
2006,6,101,21.6,16.8,27.1
2006,7,101,23.1,20.4,26.7
2006,8,101,26.0,22.0,31.4
2006,9,101,18.9,13.9,25.6
2006,10,101,15.1,10.2,22.3
2006,11,101,6.0,0.7,12.0
2006,12,101,-1.4,-5.5,4.0
2007,1,101,-2.4,-7.3,4.3
2007,2,101,1.5,-4.5,9.1
2007,3,101,4.9,-0.3,10.9
2007,4,101,10.7,4.0,17.3
2007,5,101,17.6,11.9,23.9
2007,6,101,22.3,16.4,28.5
2007,7,101,23.9,20.6,28.1
2007,8,101,25.3,21.8,29.7
2007,9,101,20.4,17.1,24.7
2007,10,101,13.2,8.5,19.3
2007,11,101,4.4,-0.6,10.7
2007,12,101,-0.9,-5.0,4.3
2008,1,101,-3.7,-8.8,2.2
2008,2,101,-2.9,-9.6,4.2
2008,3,101,5.5,-0.2,12.1
2008,4,101,12.6,5.7,20.1
2008,5,101,16.8,10.6,23.2
2008,6,101,20.5,15.5,26.2
2008,7,101,25.1,22.0,29.0
2008,8,101,24.1,19.8,29.5
2008,9,101,19.7,15.4,25.9
2008,10,101,13.6,8.5,20.5
2008,11,101,5.1,0.0,11.2
2008,12,101,-1.1,-5.4,4.0
2009,1,101,-4.7,-10.4,2.1
2009,2,101,1.5,-3.9,7.7
2009,3,101,5.5,-0.9,11.9
2009,4,101,11.6,4.2,19.4
2009,5,101,18.2,11.7,25.4
2009,6,101,21.5,16.6,27.0
2009,7,101,23.8,20.0,28.6
2009,8,101,24.1,19.8,29.6
2009,9,101,19.6,14.9,25.9
2009,10,101,13.3,7.9,20.5
2009,11,101,5.5,1.3,10.1
2009,12,101,-2.5,-6.8,2.1
2010,1,101,-6.5,-12.1,-0.9
2010,2,101,-0.1,-4.8,5.4
2010,3,101,3.8,-0.5,8.4
2010,4,101,9.2,3.0,15.4
2010,5,101,17.2,10.8,23.4
2010,6,101,22.9,17.2,29.1
2010,7,101,25.5,22.0,29.9
2010,8,101,26.0,23.0,29.9
2010,9,101,20.3,16.6,25.4
2010,10,101,12.6,7.8,19.4
2010,11,101,4.2,-1.3,10.8
2010,12,101,-3.2,-7.8,2.1
2011,1,101,-9.5,-16.0,-2.1
2011,2,101,-0.6,-6.3,6.9
2011,3,101,3.2,-3.2,9.7
2011,4,101,10.1,3.3,16.7
2011,5,101,17.1,11.0,23.3
2011,6,101,21.9,17.0,27.2
2011,7,101,24.4,21.7,27.9
2011,8,101,25.1,22.1,29.5
2011,9,101,19.6,15.3,25.3
2011,10,101,11.8,6.5,18.6
2011,11,101,8.2,4.0,13.3
2011,12,101,-3.0,-7.3,2.2
2012,1,101,-5.2,-10.6,1.2
2012,2,101,-3.8,-10.7,3.4
2012,3,101,4.1,-1.4,9.7
2012,4,101,11.7,5.2,18.5
2012,5,101,18.2,12.1,24.9
2012,6,101,23.1,17.8,29.2
2012,7,101,25.0,21.5,29.1
2012,8,101,25.9,22.1,30.5
2012,9,101,19.1,15.0,24.3
2012,10,101,12.6,7.3,19.5
2012,11,101,3.7,-1.2,9.1
2012,12,101,-6.2,-10.9,-1.1
2013,1,101,-7.2,-12.3,-1.1
2013,2,101,-2.9,-8.4,3.0
2013,3,101,4.4,-2.4,11.8
2013,4,101,9.1,2.8,15.4
2013,5,101,17.9,11.8,24.4
2013,6,101,23.8,18.8,29.6
2013,7,101,25.3,22.8,28.4
2013,8,101,26.7,23.1,31.3
2013,9,101,20.3,16.5,25.2
2013,10,101,13.8,8.6,20.5
2013,11,101,4.5,-0.1,9.8
2013,12,101,-2.5,-7.0,2.6
2014,1,101,-2.3,-7.1,3.3
2014,2,101,0.4,-4.3,6.3
2014,3,101,7.0,0.3,13.7
2014,4,101,13.5,6.8,20.4
2014,5,101,18.9,12.1,25.8
2014,6,101,23.1,18.8,28.3
2014,7,101,25.7,21.7,31.0
2014,8,101,24.1,20.8,28.2
2014,9,101,20.3,15.9,26.1
2014,10,101,13.2,8.0,19.8
2014,11,101,6.8,1.7,12.6
2014,12,101,-5.1,-10.5,0.4
2015,1,101,-2.7,-7.8,2.7
2015,2,101,-0.3,-5.3,5.5
2015,3,101,5.5,-1.6,13.0
2015,4,101,12.3,5.9,18.9
2015,5,101,19.1,11.9,25.9
2015,6,101,23.4,17.8,29.9
2015,7,101,25.0,21.3,29.5
2015,8,101,25.6,21.6,30.9
2015,9,101,20.4,14.9,27.1
2015,10,101,13.7,7.8,20.6
2015,11,101,7.9,4.7,12.0
2015,12,101,0.0,-4.1,4.7
2016,1,101,-4.7,-10.1,1.1
2016,2,101,-1.2,-6.9,4.8
2016,3,101,5.9,-0.5,12.7
2016,4,101,14.0,7.3,21.2
2016,5,101,18.9,12.3,25.9
2016,6,101,23.4,18.4,29.0
2016,7,101,25.2,22.0,29.4
2016,8,101,26.5,22.5,31.8
2016,9,101,21.2,17.4,26.6
2016,10,101,14.6,10.2,20.3
2016,11,101,5.4,0.5,10.7
2016,12,101,0.1,-4.3,4.9
2017,1,101,-3.0,-8.5,3.1
2017,2,101,-1.2,-7.5,5.1
2017,3,101,5.0,-1.3,12.2
2017,4,101,13.6,6.5,20.5
2017,5,101,19.1,12.5,25.9
2017,6,101,22.8,16.9,29.2
2017,7,101,26.6,23.7,30.1
2017,8,101,24.5,21.2,28.8
2017,9,101,19.5,14.6,25.8
2017,10,101,13.9,9.1,20.3
2017,11,101,3.7,-1.5,9.5
2017,12,101,-3.9,-9.0,1.0
2018,1,101,-5.5,-10.6,0.3
2018,2,101,-3.0,-9.3,3.4
2018,3,101,7.3,1.0,13.5
2018,4,101,12.4,6.0,19.3
2018,5,101,17.7,11.8,23.5
2018,6,101,23.1,17.6,29.1
2018,7,101,26.7,22.6,31.5
2018,8,101,27.3,23.3,32.3
2018,9,101,19.6,15.0,25.3
2018,10,101,10.9,5.8,17.5
2018,11,101,5.6,1.2,11.7
2018,12,101,-2.8,-7.8,3.3
2019,1,101,-3.5,-9.8,4.1
2019,2,101,0.0,-5.8,6.4
2019,3,101,5.7,-0.8,12.5
2019,4,101,11.3,4.5,18.3
2019,5,101,19.0,11.4,26.5
2019,6,101,22.1,16.8,28.0
2019,7,101,25.6,22.0,29.9
2019,8,101,26.2,22.3,31.2
2019,9,101,21.3,17.6,26.4
2019,10,101,14.7,9.9,20.6
2019,11,101,5.6,1.0,11.6
2019,12,101,-0.1,-4.1,4.4
2020,1,101,-0.1,-4.6,5.7
2020,2,101,1.4,-3.8,7.2
2020,3,101,7.0,0.1,13.9
2020,4,101,10.5,3.2,17.5
2020,5,101,18.1,12.9,23.8
2020,6,101,24.2,19.2,29.8
2020,7,101,23.8,20.1,28.1
2020,8,101,26.1,23.6,29.5
2020,9,101,19.7,15.8,24.8
2020,10,101,11.9,6.2,19.4
2020,11,101,6.1,0.8,12.6
2020,12,101,-2.7,-7.9,3.8
2021,1,101,-4.7,-10.5,1.5
2021,2,101,1.2,-5.0,8.0
2021,3,101,7.8,1.8,14.8
2021,4,101,13.1,6.7,19.9
2021,5,101,16.4,11.0,22.3
2021,6,101,22.3,17.8,27.7
2021,7,101,27.3,23.1,32.8
2021,8,101,24.9,21.5,29.5
2021,9,101,21.3,17.2,26.7
2021,10,101,14.0,9.5,20.0
2021,11,101,6.3,1.2,12.8
2021,12,101,-1.2,-6.2,4.5
2022,1,101,-4.2,-10.4,3.0
2022,2,101,-2.4,-9.5,4.9
2022,3,101,6.6,0.3,13.2
2022,4,101,14.0,6.5,21.6
2022,5,101,18.1,10.8,25.3
2022,6,101,22.6,18.3,27.4
2022,7,101,26.6,23.0,31.3
2022,8,101,25.2,22.1,29.0
2022,9,101,20.5,15.8,26.7
2022,10,101,12.7,7.9,19.4
2022,11,101,7.5,1.8,14.7
2022,12,101,-4.9,-10.0,1.2
2023,1,101,-4.1,-9.5,2.2
2023,2,101,0.3,-5.5,6.9
2023,3,101,8.0,0.1,16.3
2023,4,101,12.5,6.2,18.7
2023,5,101,18.0,11.3,24.7
2023,6,101,22.5,17.4,28.1
2023,7,101,25.9,22.2,30.7
2023,8,101,26.0,22.3,30.6
2023,9,101,21.9,18.1,27.1
2023,10,101,12.9,7.8,19.6
2023,11,101,5.2,-0.2,11.1
2023,12,101,-0.8,-5.7,4.6
2024,1,101,-2.1,-7.1,3.5
2024,2,101,2.1,-2.6,7.8
