년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,216,-3.9,-8.5,0.8
2000,2,216,-4.4,-9.9,1.6
2000,3,216,3.0,-2.3,8.7
2000,4,216,8.4,2.4,14.2
2000,5,216,14.7,8.7,21.1
2000,6,216,18.7,13.0,24.9
2000,7,216,22.5,17.9,27.8
2000,8,216,21.6,18.0,26.3
2000,9,216,15.2,11.4,20.0
2000,10,216,10.8,4.7,17.7
2000,11,216,3.6,-1.4,9.9
2000,12,216,-1.4,-7.0,4.5
2001,1,216,-6.3,-11.1,-1.7
2001,2,216,-2.7,-8.0,3.0
2001,3,216,2.1,-3.4,7.4
2001,4,216,9.7,3.0,16.3
2001,5,216,15.6,10.3,21.4
2001,6,216,18.7,14.6,23.9
2001,7,216,22.9,18.5,28.1
2001,8,216,21.3,17.0,27.2
2001,9,216,15.4,10.6,21.2
2001,10,216,11.4,6.4,17.4
2001,11,216,3.6,-1.8,10.0
2001,12,216,-3.0,-8.0,2.4
2002,1,216,-3.0,-7.5,1.4
2002,2,216,-0.5,-5.7,5.0
2002,3,216,5.0,-0.8,10.6
2002,4,216,10.5,3.7,17.2
2002,5,216,13.3,7.6,19.5
2002,6,216,17.1,11.0,23.5
2002,7,216,21.1,17.6,25.6
2002,8,216,20.1,17.2,23.8
2002,9,216,15.1,10.6,20.4
2002,10,216,9.1,3.1,15.8
2002,11,216,1.1,-3.6,6.2
2002,12,216,-1.9,-5.8,2.6
2003,1,216,-5.7,-10.9,-0.7
2003,2,216,-2.0,-7.0,3.0
2003,3,216,1.4,-3.3,6.4
2003,4,216,9.0,3.4,15.0
2003,5,216,14.2,7.9,21.0
2003,6,216,17.7,12.9,22.9
2003,7,216,19.0,16.0,23.2
2003,8,216,20.5,17.3,24.2
2003,9,216,16.5,12.5,21.3
2003,10,216,9.5,3.5,16.3
2003,11,216,6.4,1.7,11.8
2003,12,216,-1.8,-6.4,3.3
2004,1,216,-4.9,-9.5,0.1
2004,2,216,-0.9,-6.6,4.5
2004,3,216,2.9,-2.7,8.6
2004,4,216,10.4,4.1,16.5
2004,5,216,15.1,9.5,21.0
2004,6,216,18.5,12.8,24.1
2004,7,216,22.5,18.9,27.0
2004,8,216,20.4,16.8,24.9
2004,9,216,16.5,12.3,21.6
2004,10,216,9.9,4.2,16.2
2004,11,216,5.5,0.1,12.1
2004,12,216,-0.5,-5.5,5.1
2005,1,216,-5.2,-10.3,-0.1
2005,2,216,-5.3,-10.3,-0.4
2005,3,216,0.9,-4.7,6.4
2005,4,216,10.6,4.5,16.5
2005,5,216,13.8,7.6,20.3
2005,6,216,19.7,14.7,25.6
2005,7,216,21.8,18.2,26.4
2005,8,216,21.5,18.0,25.9
