년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,212,-3.6,-8.2,2.0
2000,2,212,-3.7,-10.0,2.9
2000,3,212,4.2,-2.3,11.8
2000,4,212,9.8,2.5,17.5
2000,5,212,15.9,10.1,23.1
2000,6,212,21.3,15.5,28.8
2000,7,212,25.4,21.0,31.5
2000,8,212,24.5,21.0,30.3
2000,9,212,18.2,14.2,24.8
2000,10,212,11.8,6.7,19.6
2000,11,212,3.7,-1.8,11.4
2000,12,212,-1.9,-7.6,4.8
2001,1,212,-7.0,-12.9,0.1
2001,2,212,-2.9,-8.9,4.1
2001,3,212,2.7,-3.5,10.2
2001,4,212,11.5,3.1,20.4
2001,5,212,17.6,10.5,25.6
2001,6,212,21.4,16.4,27.8
2001,7,212,24.7,20.6,30.2
2001,8,212,24.4,19.5,31.1
2001,9,212,18.7,12.0,27.2
2001,10,212,12.9,8.0,20.7
2001,11,212,2.7,-3.0,11.0
2001,12,212,-4.3,-10.3,3.5
2002,1,212,-3.2,-8.3,2.5
2002,2,212,-0.7,-7.4,7.0
2002,3,212,5.8,-1.2,13.4
2002,4,212,11.8,4.1,19.9
2002,5,212,16.2,9.6,24.0
2002,6,212,20.0,13.6,27.3
2002,7,212,23.5,19.5,28.8
2002,8,212,22.4,19.2,27.1
2002,9,212,18.0,13.4,25.1
2002,10,212,9.4,4.4,16.7
2002,11,212,0.8,-4.5,7.0
2002,12,212,-2.2,-6.9,4.2
2003,1,212,-6.3,-11.4,0.1
2003,2,212,-1.1,-6.0,5.3
2003,3,212,4.0,-1.9,10.7
2003,4,212,11.0,4.6,18.6
2003,5,212,17.4,10.3,25.8
2003,6,212,20.6,15.9,26.8
2003,7,212,22.6,18.5,28.3
2003,8,212,22.9,19.5,28.0
2003,9,212,19.0,15.4,24.7
2003,10,212,10.4,4.7,18.7
2003,11,212,6.6,1.6,13.1
2003,12,212,-2.4,-7.5,3.7
2004,1,212,-5.6,-11.3,1.6
2004,2,212,-0.5,-6.5,6.5
2004,3,212,4.0,-3.1,11.5
2004,4,212,11.2,3.5,19.6
2004,5,212,16.4,10.7,22.8
2004,6,212,21.6,16.0,28.3
2004,7,212,24.2,21.1,28.3
2004,8,212,24.2,19.9,30.1
2004,9,212,19.6,15.1,26.2
2004,10,212,11.3,4.9,20.9
2004,11,212,5.7,0.5,13.1
2004,12,212,-1.2,-6.4,6.1
2005,1,212,-5.3,-11.6,1.7
2005,2,212,-4.1,-10.2,2.4
2005,3,212,2.8,-3.5,9.9
2005,4,212,12.1,4.5,20.0
2005,5,212,16.3,9.3,24.1
2005,6,212,22.3,17.0,28.5
2005,7,212,24.7,21.3,29.7
2005,8,212,24.0,20.6,29.4
2005,9,212,20.3,16.5,25.9
2005,10,212,12.1,7.7,19.6
2005,11,212,4.9,-0.8,12.8
2005,12,212,-7.0,-12.9,0.0
2006,1,212,-3.2,-8.4,3.5
2006,2,212,-1.6,-7.2,5.0
2006,3,212,4.0,-2.4,11.3
2006,4,212,10.4,4.4,17.3
2006,5,212,17.4,11.3,24.4
2006,6,212,21.2,16.3,27.7
2006,7,212,22.8,20.0,26.8
2006,8,212,26.0,22.0,31.9
2006,9,212,18.5,13.1,26.1
2006,10,212,14.7,9.3,22.8
2006,11,212,5.1,-0.2,11.8
2006,12,212,-2.1,-6.4,4.1
2007,1,212,-3.2,-8.4,4.2
2007,2,212,0.8,-5.3,9.0
2007,3,212,4.4,-1.0,11.0
2007,4,212,10.3,3.4,17.7
2007,5,212,17.1,11.1,24.5
2007,6,212,22.1,15.6,29.1
2007,7,212,23.8,20.1,28.8
2007,8,212,25.5,22.0,30.6
2007,9,212,19.9,16.4,24.8
2007,10,212,12.3,7.7,19.3
2007,11,212,3.7,-1.7,11.1
2007,12,212,-1.5,-5.8,4.3
2008,1,212,-4.2,-9.5,2.2
2008,2,212,-3.9,-10.8,3.8
2008,3,212,5.2,-0.8,12.4
2008,4,212,12.3,4.9,20.5
2008,5,212,16.7,9.9,24.1
2008,6,212,20.4,14.8,27.4
2008,7,212,25.3,21.8,30.0
2008,8,212,24.2,19.4,30.5
2008,9,212,19.6,15.0,26.8
2008,10,212,13.3,8.1,21.3
2008,11,212,4.7,-0.7,11.6
2008,12,212,-1.2,-6.0,4.7
2009,1,212,-5.5,-11.3,2.4
2009,2,212,1.4,-4.1,7.8
2009,3,212,5.2,-1.3,12.3
2009,4,212,11.5,3.9,19.9
2009,5,212,17.7,11.0,25.5
2009,6,212,21.4,16.0,27.8
2009,7,212,23.7,19.5,29.3
2009,8,212,24.1,19.5,30.4
2009,9,212,19.6,14.4,26.9
2009,10,212,12.9,6.9,21.4
2009,11,212,5.0,0.6,10.6
2009,12,212,-3.1,-7.3,1.9
2010,1,212,-6.8,-13.0,-0.3
2010,2,212,-0.4,-5.5,5.6
2010,3,212,3.5,-0.9,8.7
2010,4,212,9.1,2.6,15.9
2010,5,212,17.0,10.1,24.2
2010,6,212,22.6,16.4,30.1
2010,7,212,25.6,21.8,30.8
2010,8,212,26.1,23.1,30.9
2010,9,212,20.4,16.4,26.4
2010,10,212,12.7,7.9,19.9
2010,11,212,4.1,-1.5,11.5
2010,12,212,-3.0,-8.0,2.9
2011,1,212,-9.5,-16.4,-1.8
2011,2,212,-0.6,-6.5,7.2
2011,3,212,2.9,-3.4,9.8
2011,4,212,10.1,2.9,17.6
2011,5,212,17.2,10.6,24.5
2011,6,212,22.0,16.7,28.4
2011,7,212,24.7,21.6,29.1
2011,8,212,25.3,21.7,31.0
2011,9,212,19.5,14.5,26.3
2011,10,212,11.3,5.7,19.5
2011,11,212,8.3,3.7,14.1
2011,12,212,-3.0,-8.0,2.9
2012,1,212,-5.2,-11.0,1.7
2012,2,212,-3.6,-10.5,4.1
2012,3,212,4.4,-1.3,10.6
2012,4,212,11.8,4.8,19.5
2012,5,212,18.0,11.2,25.7
2012,6,212,22.9,17.1,30.0
2012,7,212,25.2,21.2,30.5
2012,8,212,26.2,21.8,31.7
2012,9,212,18.8,14.6,25.0
2012,10,212,12.0,6.4,19.9
2012,11,212,3.3,-1.4,9.4
2012,12,212,-6.2,-11.2,-0.8
2013,1,212,-6.8,-12.3,0.0
2013,2,212,-3.0,-8.8,3.4
2013,3,212,4.2,-2.4,12.0
2013,4,212,8.9,2.3,15.8
2013,5,212,17.5,10.9,24.8
2013,6,212,23.3,17.8,30.0
2013,7,212,25.4,22.4,29.4
2013,8,212,26.3,22.3,31.9
2013,9,212,19.6,15.3,25.7
2013,10,212,13.0,7.4,21.5
2013,11,212,4.0,-0.9,10.2
2013,12,212,-2.4,-7.0,3.7
2014,1,212,-2.9,-8.2,3.7
2014,2,212,-0.2,-5.4,6.7
2014,3,212,6.4,-0.3,13.9
2014,4,212,13.0,6.0,20.9
2014,5,212,18.4,10.8,26.6
2014,6,212,22.6,17.5,29.2
2014,7,212,25.5,20.8,31.7
2014,8,212,23.7,19.9,28.9
2014,9,212,19.9,15.1,27.0
2014,10,212,12.6,6.6,21.0
2014,11,212,6.2,0.9,13.1
2014,12,212,-4.8,-10.2,1.3
2015,1,212,-2.8,-8.0,3.3
2015,2,212,-0.3,-5.6,6.3
2015,3,212,5.2,-2.4,13.4
2015,4,212,12.1,5.2,19.8
2015,5,212,18.7,10.8,26.4
2015,6,212,22.8,16.6,30.4
2015,7,212,24.8,20.5,30.4
2015,8,212,25.4,21.0,31.8
2015,9,212,19.6,13.9,27.5
2015,10,212,13.1,7.0,21.1
2015,11,212,7.7,4.0,12.6
2015,12,212,-0.1,-4.3,5.3
2016,1,212,-4.7,-10.1,1.6
2016,2,212,-1.1,-6.9,5.6
2016,3,212,5.8,-0.9,13.3
2016,4,212,13.8,6.6,21.8
2016,5,212,18.7,11.2,26.8
2016,6,212,23.1,17.5,29.7
2016,7,212,25.3,21.4,30.4
2016,8,212,26.6,21.8,32.9
2016,9,212,21.0,16.7,27.4
2016,10,212,14.3,10.1,20.9
2016,11,212,5.1,-0.1,11.2
2016,12,212,-0.5,-5.0,5.1
2017,1,212,-3.7,-9.2,3.0
2017,2,212,-1.6,-7.8,4.9
2017,3,212,4.7,-1.8,12.0
2017,4,212,13.1,5.7,20.9
2017,5,212,18.5,11.1,26.2
2017,6,212,22.3,15.5,29.7
2017,7,212,26.1,22.8,30.7
2017,8,212,24.4,20.5,29.5
2017,9,212,19.1,14.0,26.3
2017,10,212,13.3,8.5,21.0
2017,11,212,3.4,-2.0,10.0
