년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,156,1.0,-2.6,5.3
2000,2,156,0.6,-3.6,5.6
2000,3,156,6.9,1.0,13.8
2000,4,156,12.6,6.5,19.6
2000,5,156,17.8,12.1,24.5
2000,6,156,22.5,18.5,27.8
2000,7,156,26.5,23.3,30.9
2000,8,156,26.3,22.8,30.9
2000,9,156,20.4,16.7,25.1
2000,10,156,15.9,11.2,21.6
2000,11,156,8.4,3.5,14.2
2000,12,156,3.2,-1.8,9.0
2001,1,156,0.1,-3.7,4.8
2001,2,156,2.4,-2.3,8.2
2001,3,156,6.3,1.2,12.6
2001,4,156,13.4,6.7,21.2
2001,5,156,19.2,14.3,25.3
2001,6,156,22.4,18.7,27.1
2001,7,156,26.3,23.0,30.7
2001,8,156,26.3,22.5,31.1
2001,9,156,22.3,17.6,28.2
2001,10,156,16.6,12.2,22.3
2001,11,156,8.0,3.0,14.2
2001,12,156,2.5,-1.0,7.1
2002,1,156,2.9,-0.8,7.4
2002,2,156,3.4,-1.7,9.7
2002,3,156,8.7,2.9,15.5
2002,4,156,14.4,8.9,20.5
2002,5,156,18.1,13.4,23.6
2002,6,156,22.5,17.8,28.3
2002,7,156,25.4,22.4,29.7
2002,8,156,24.7,22.2,28.4
2002,9,156,21.5,17.2,27.2
2002,10,156,14.5,9.5,20.6
2002,11,156,6.3,1.5,11.6
2002,12,156,4.0,0.0,8.9
2003,1,156,-0.5,-4.4,4.2
2003,2,156,3.8,-0.5,9.2
2003,3,156,7.1,2.4,12.6
2003,4,156,13.8,9.3,19.2
2003,5,156,19.1,14.2,24.6
2003,6,156,21.6,17.8,26.1
2003,7,156,23.0,20.5,26.4
2003,8,156,24.3,21.2,28.1
2003,9,156,22.0,18.1,26.7
2003,10,156,14.7,9.7,20.4
2003,11,156,11.0,6.8,15.7
2003,12,156,3.1,-0.6,7.3
2004,1,156,0.0,-3.8,5.1
2004,2,156,3.9,-1.1,9.9
2004,3,156,7.7,2.1,14.1
2004,4,156,13.7,7.2,20.5
2004,5,156,18.2,13.6,23.4
2004,6,156,22.6,18.4,27.7
2004,7,156,26.1,23.0,30.4
2004,8,156,26.3,22.6,31.3
2004,9,156,22.0,18.7,26.8
2004,10,156,15.9,10.6,22.0
2004,11,156,10.2,5.2,16.1
2004,12,156,4.9,0.8,9.8
2005,1,156,0.0,-3.4,4.0
2005,2,156,0.6,-2.9,5.0
2005,3,156,5.3,0.6,11.3
2005,4,156,14.2,8.3,21.0
2005,5,156,18.4,12.8,24.9
2005,6,156,23.7,19.7,28.9
2005,7,156,26.2,23.0,30.7
2005,8,156,26.1,22.9,30.4
2005,9,156,23.5,19.9,27.9
2005,10,156,15.7,11.0,21.4
2005,11,156,10.2,5.2,15.7
2005,12,156,-0.6,-4.3,3.7
2006,1,156,2.6,-1.1,7.0
2006,2,156,2.5,-1.9,7.5
2006,3,156,7.3,2.0,13.5
2006,4,156,12.2,7.4,17.9
2006,5,156,18.4,13.7,23.9
2006,6,156,22.6,18.4,27.7
2006,7,156,24.5,22.1,27.7
2006,8,156,27.0,23.7,31.8
2006,9,156,20.5,16.3,25.4
2006,10,156,18.2,13.2,24.4
2006,11,156,11.0,6.5,16.0
2006,12,156,3.6,-0.2,8.1
2007,1,156,2.4,-1.2,7.0
2007,2,156,5.9,1.0,11.7
2007,3,156,8.4,3.6,14.1
2007,4,156,12.5,7.2,18.7
2007,5,156,18.9,13.9,24.8
2007,6,156,22.9,19.2,27.6
2007,7,156,25.1,22.1,29.0
2007,8,156,26.9,24.0,30.9
2007,9,156,22.3,19.4,26.1
2007,10,156,16.3,11.9,21.8
2007,11,156,9.0,4.3,14.8
2007,12,156,4.9,1.3,9.1
2008,1,156,1.2,-1.8,5.1
2008,2,156,1.1,-3.1,6.3
2008,3,156,8.6,3.6,15.0
2008,4,156,14.5,9.1,21.0
2008,5,156,18.7,13.3,24.9
2008,6,156,22.2,18.7,26.7
2008,7,156,27.3,24.4,31.5
2008,8,156,26.3,22.7,30.9
2008,9,156,23.7,19.6,28.7
2008,10,156,17.8,13.0,23.7
2008,11,156,9.8,5.3,15.2
2008,12,156,4.1,-0.3,9.0
2009,1,156,1.1,-2.9,6.0
2009,2,156,5.8,1.3,11.0
2009,3,156,8.3,3.1,14.5
2009,4,156,13.9,8.0,21.0
2009,5,156,19.7,13.9,26.5
2009,6,156,23.4,18.9,28.9
2009,7,156,24.8,21.8,28.9
2009,8,156,26.1,22.6,30.6
2009,9,156,22.7,18.6,28.0
2009,10,156,17.3,12.3,23.6
2009,11,156,9.7,5.8,14.8
2009,12,156,2.8,-0.8,7.1
2010,1,156,0.5,-3.3,5.1
2010,2,156,4.4,0.6,9.0
2010,3,156,7.4,3.0,11.8
2010,4,156,11.2,6.2,17.1
2010,5,156,18.6,13.7,24.6
2010,6,156,23.7,19.5,29.3
2010,7,156,26.3,23.5,30.5
2010,8,156,28.1,25.1,32.2
2010,9,156,23.6,20.0,28.4
2010,10,156,15.7,11.1,21.3
2010,11,156,8.4,3.2,14.1
2010,12,156,2.5,-1.7,7.4
2011,1,156,-3.4,-7.1,0.7
2011,2,156,3.1,-1.5,9.1
2011,3,156,5.3,0.5,11.4
2011,4,156,12.2,6.5,18.8
2011,5,156,19.0,14.1,24.8
2011,6,156,23.3,19.3,28.7
2011,7,156,26.5,23.5,30.6
2011,8,156,25.9,23.1,30.0
2011,9,156,22.7,18.4,28.2
2011,10,156,15.4,10.4,21.7
2011,11,156,12.6,8.6,17.7
2011,12,156,2.2,-1.3,6.7
2012,1,156,0.4,-3.2,4.9
2012,2,156,0.4,-3.6,5.3
2012,3,156,6.5,2.2,11.7
2012,4,156,13.6,7.9,20.0
2012,5,156,20.0,14.9,26.5
2012,6,156,23.4,19.3,29.1
2012,7,156,26.4,23.2,30.8
2012,8,156,27.6,24.3,31.8
2012,9,156,21.3,17.6,26.2
2012,10,156,15.9,10.8,22.2
2012,11,156,8.1,4.2,13.0
2012,12,156,0.4,-3.3,4.8
2013,1,156,0.0,-3.9,4.7
2013,2,156,2.0,-2.4,7.0
2013,3,156,7.6,1.4,15.3
2013,4,156,11.4,5.6,17.9
2013,5,156,19.1,13.7,25.7
2013,6,156,23.9,20.1,29.1
2013,7,156,27.1,24.5,31.0
2013,8,156,28.4,24.7,33.4
2013,9,156,22.6,18.4,27.8
2013,10,156,16.8,12.0,22.7
2013,11,156,8.6,4.4,13.3
2013,12,156,2.9,-0.6,7.4
2014,1,156,2.1,-2.7,7.6
2014,2,156,4.2,-0.1,9.7
2014,3,156,8.6,3.8,14.5
2014,4,156,14.5,9.4,21.1
2014,5,156,19.2,13.3,25.8
2014,6,156,22.9,19.1,28.2
2014,7,156,25.2,21.8,29.8
2014,8,156,24.4,21.7,28.3
2014,9,156,22.3,18.1,27.6
2014,10,156,16.4,11.3,22.6
2014,11,156,10.3,6.2,15.3
2014,12,156,1.2,-2.4,5.6
2015,1,156,1.7,-2.1,6.2
2015,2,156,3.0,-0.9,7.8
2015,3,156,8.0,2.3,14.7
2015,4,156,13.9,8.9,20.5
2015,5,156,19.4,13.6,26.1
2015,6,156,22.5,18.7,27.7
2015,7,156,25.4,22.2,29.7
2015,8,156,26.0,22.7,30.5
2015,9,156,22.0,17.4,27.3
2015,10,156,16.9,12.1,22.7
2015,11,156,11.6,8.5,15.4
2015,12,156,5.3,1.8,9.4
2016,1,156,0.9,-2.1,4.9
2016,2,156,3.3,-1.0,8.2
2016,3,156,8.4,3.4,14.7
2016,4,156,15.5,10.5,21.9
2016,5,156,19.8,14.3,26.0
2016,6,156,23.0,19.5,27.6
2016,7,156,26.9,23.7,31.1
2016,8,156,27.8,23.8,33.1
2016,9,156,23.0,19.6,27.6
2016,10,156,17.2,13.6,21.5
2016,11,156,9.6,5.3,14.6
2016,12,156,4.7,0.7,9.4
2017,1,156,2.0,-1.9,6.7
2017,2,156,2.9,-1.7,8.4
2017,3,156,7.4,2.4,13.8
2017,4,156,15.1,9.5,21.9
2017,5,156,19.8,14.1,26.4
2017,6,156,23.1,18.5,29.4
2017,7,156,27.8,24.8,32.0
2017,8,156,27.0,23.4,31.6
2017,9,156,22.4,18.0,27.6
2017,10,156,17.0,12.8,22.1
2017,11,156,8.8,4.0,14.6
2017,12,156,1.9,-1.9,6.6
2018,1,156,-0.2,-3.8,4.5
2018,2,156,1.8,-2.8,7.1
2018,3,156,10.0,4.7,16.5
2018,4,156,15.1,9.7,21.5
2018,5,156,19.5,14.8,25.0
2018,6,156,23.6,19.2,29.5
2018,7,156,28.3,24.5,33.5
2018,8,156,28.4,24.9,33.7
2018,9,156,21.6,18.0,26.3
2018,10,156,14.5,10.1,19.9
2018,11,156,9.9,5.3,15.5
2018,12,156,3.2,-0.6,7.8
2019,1,156,1.8,-2.1,7.0
2019,2,156,3.6,-0.7,9.0
2019,3,156,8.4,3.4,14.7
2019,4,156,13.0,8.4,18.8
2019,5,156,19.2,13.1,26.2
2019,6,156,22.0,17.9,27.4
2019,7,156,25.3,22.4,29.4
2019,8,156,27.0,23.8,31.3
2019,9,156,22.9,19.6,27.2
2019,10,156,17.1,13.0,22.2
2019,11,156,10.8,6.0,16.9
2019,12,156,4.8,1.0,9.5
2020,1,156,4.6,1.2,9.0
2020,2,156,5.3,0.8,10.6
2020,3,156,9.0,3.8,15.2
2020,4,156,11.5,6.2,18.0
2020,5,156,18.8,14.2,24.4
2020,6,156,23.6,19.6,28.8
2020,7,156,23.4,20.8,26.8
2020,8,156,27.6,24.8,31.6
2020,9,156,21.3,17.9,25.7
2020,10,156,15.7,11.2,21.2
2020,11,156,10.5,6.4,15.6
2020,12,156,2.7,-1.1,7.8
2021,1,156,1.4,-2.6,6.4
2021,2,156,5.1,0.4,10.7
2021,3,156,10.6,5.6,17.0
2021,4,156,14.9,9.7,20.9
2021,5,156,18.4,13.4,24.0
2021,6,156,23.3,19.2,28.3
2021,7,156,27.0,23.6,31.4
2021,8,156,25.8,22.5,30.3
2021,9,156,22.9,19.5,27.2
2021,10,156,17.2,12.8,22.7
2021,11,156,10.2,5.8,15.8
2021,12,156,4.1,0.0,9.4
2022,1,156,1.6,-2.3,6.7
2022,2,156,1.8,-2.4,7.2
2022,3,156,9.6,4.5,15.6
2022,4,156,15.5,9.8,22.6
2022,5,156,19.3,13.8,26.1
2022,6,156,23.8,20.1,29.0
2022,7,156,27.0,23.8,31.1
2022,8,156,26.9,24.1,30.6
2022,9,156,23.1,19.1,28.0
2022,10,156,16.0,11.4,21.6
2022,11,156,11.8,6.8,18.1
2022,12,156,1.1,-2.6,5.5
2023,1,156,1.7,-2.5,6.7
2023,2,156,4.2,-0.5,10.1
2023,3,156,11.2,5.1,18.2
2023,4,156,14.7,9.4,20.8
2023,5,156,19.4,14.9,25.0
2023,6,156,23.4,19.5,28.8
2023,7,156,26.3,23.4,30.3
2023,8,156,27.3,24.0,32.0
2023,9,156,23.8,20.4,28.3
2023,10,156,16.6,12.2,22.0
2023,11,156,9.9,5.4,14.9
2023,12,156,4.8,1.2,9.0
2024,1,156,3.0,-0.5,7.3
2024,2,156,6.1,2.3,10.6
2024,3,156,8.2,3.4,14.1
2024,4,156,16.6,11.6,22.5
2024,5,156,19.2,14.0,25.3
2024,6,156,23.8,19.4,29.3
2024,7,156,26.9,24.3,30.5
2024,8,156,28.5,24.9,33.5
2024,9,156,26.3,22.5,31.0
2024,10,156,17.7,13.7,22.6
2024,11,156,11.5,7.5,16.5
2024,12,156,3.8,0.4,7.9
