년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,98,-3.3,-7.8,1.9
2000,2,98,-3.1,-9.1,3.2
2000,3,98,4.9,-1.3,11.6
2000,4,98,10.5,4.3,17.0
2000,5,98,16.3,11.2,22.8
2000,6,98,22.4,17.0,28.7
2000,7,98,25.4,21.4,30.5
2000,8,98,24.8,21.2,29.9
2000,9,98,19.1,14.4,25.2
2000,10,98,12.3,6.3,19.6
2000,11,98,4.1,-1.5,11.0
2000,12,98,-1.7,-7.2,3.8
2001,1,98,-7.1,-13.1,-0.8
2001,2,98,-2.7,-8.2,3.5
2001,3,98,3.0,-2.9,9.6
2001,4,98,11.8,4.2,19.9
2001,5,98,18.0,11.7,25.4
2001,6,98,21.5,16.8,27.9
2001,7,98,24.8,21.2,29.7
2001,8,98,25.3,20.3,31.6
2001,9,98,20.3,13.9,27.7
2001,10,98,14.0,8.4,21.6
2001,11,98,4.4,-1.7,12.2
2001,12,98,-3.2,-8.7,3.6
2002,1,98,-2.5,-7.5,3.1
2002,2,98,0.6,-5.1,7.7
2002,3,98,6.3,0.1,13.8
2002,4,98,12.7,5.6,20.2
2002,5,98,17.1,10.6,24.5
2002,6,98,20.9,14.9,27.8
2002,7,98,24.0,20.4,28.7
2002,8,98,23.2,20.0,27.5
2002,9,98,19.6,14.5,26.2
2002,10,98,10.7,4.9,18.0
2002,11,98,1.9,-3.5,8.0
2002,12,98,-0.9,-5.6,4.9
2003,1,98,-5.0,-9.9,0.7
2003,2,98,0.5,-4.6,6.7
2003,3,98,4.8,-0.6,11.6
2003,4,98,11.8,5.8,18.8
2003,5,98,18.4,11.5,26.2
2003,6,98,20.9,16.2,26.5
2003,7,98,23.5,19.5,28.4
2003,8,98,23.5,20.0,28.3
2003,9,98,19.3,15.2,24.8
2003,10,98,11.1,5.0,18.8
2003,11,98,6.7,1.9,12.8
2003,12,98,-2.0,-6.9,4.1
2004,1,98,-4.7,-9.8,1.9
2004,2,98,0.0,-5.7,7.0
2004,3,98,4.2,-2.0,11.6
2004,4,98,11.2,4.5,19.0
2004,5,98,15.9,10.8,21.8
2004,6,98,21.3,16.1,27.2
2004,7,98,23.1,20.1,26.9
2004,8,98,24.3,20.2,30.1
2004,9,98,20.1,14.9,26.8
2004,10,98,12.6,5.4,21.6
2004,11,98,6.7,1.2,14.0
2004,12,98,-0.6,-5.8,6.0
2005,1,98,-4.9,-10.6,2.0
2005,2,98,-3.9,-9.4,2.4
2005,3,98,2.8,-3.2,10.0
2005,4,98,11.9,5.4,19.4
2005,5,98,16.0,9.4,23.6
2005,6,98,21.6,17.0,27.8
2005,7,98,24.3,20.8,28.7
2005,8,98,24.0,20.8,28.8
2005,9,98,20.3,16.1,26.0
2005,10,98,12.3,6.7,19.8
2005,11,98,5.9,0.1,13.4
2005,12,98,-6.2,-11.9,0.7
