년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,119,-2.0,-6.1,2.1
2000,2,119,-2.1,-6.9,2.7
2000,3,119,5.6,-0.1,11.6
2000,4,119,11.6,5.9,17.7
2000,5,119,17.5,12.7,23.2
2000,6,119,23.3,19.1,28.7
2000,7,119,26.9,23.4,31.3
2000,8,119,25.9,22.9,30.0
2000,9,119,20.1,16.5,24.5
2000,10,119,14.1,9.1,19.4
2000,11,119,6.1,1.4,11.4
2000,12,119,0.3,-4.4,5.0
2001,1,119,-4.0,-8.3,0.4
2001,2,119,-0.6,-4.7,4.1
2001,3,119,4.2,-0.6,9.6
2001,4,119,12.1,6.2,18.7
2001,5,119,18.1,13.3,24.0
2001,6,119,21.8,18.3,26.3
2001,7,119,25.5,22.4,29.5
2001,8,119,25.7,22.1,30.2
2001,9,119,21.6,16.9,27.0
2001,10,119,15.4,11.0,20.6
2001,11,119,5.9,1.1,11.1
2001,12,119,-1.1,-5.5,3.6
2002,1,119,-0.4,-4.5,3.7
2002,2,119,0.4,-4.8,6.0
2002,3,119,6.2,0.7,12.1
2002,4,119,12.7,7.1,18.7
2002,5,119,16.4,11.5,22.0
2002,6,119,21.0,16.5,26.3
2002,7,119,24.7,21.5,28.5
2002,8,119,23.7,20.9,27.2
2002,9,119,20.6,16.6,25.4
2002,10,119,11.6,6.7,17.0
2002,11,119,2.7,-2.1,7.1
2002,12,119,0.4,-3.9,4.5
2003,1,119,-4.0,-8.2,0.5
2003,2,119,0.7,-3.8,5.3
2003,3,119,5.3,0.6,10.1
2003,4,119,12.4,7.6,17.9
2003,5,119,18.8,13.2,24.6
2003,6,119,21.3,17.5,25.8
2003,7,119,23.8,20.5,27.7
2003,8,119,24.2,21.3,27.9
2003,9,119,21.0,17.2,25.4
2003,10,119,13.6,8.4,19.4
2003,11,119,9.3,4.8,14.0
2003,12,119,0.6,-3.8,5.1
2004,1,119,-2.2,-6.5,2.6
2004,2,119,1.9,-3.0,7.5
2004,3,119,5.7,0.2,11.5
2004,4,119,12.2,6.5,18.6
2004,5,119,17.0,12.6,22.3
2004,6,119,22.6,18.1,27.6
2004,7,119,24.8,22.1,28.3
2004,8,119,26.1,22.6,30.4
2004,9,119,21.3,17.0,26.3
2004,10,119,14.4,8.6,20.7
2004,11,119,8.4,3.6,13.7
2004,12,119,1.8,-2.7,6.9
2005,1,119,-2.5,-6.6,2.2
2005,2,119,-1.6,-6.0,2.9
2005,3,119,4.1,-0.7,9.4
2005,4,119,12.6,7.0,18.7
2005,5,119,17.1,11.7,23.2
2005,6,119,22.4,18.6,27.3
2005,7,119,25.3,22.4,29.2
2005,8,119,25.4,22.4,29.4
2005,9,119,22.2,18.7,26.5
2005,10,119,14.4,9.9,19.9
2005,11,119,8.2,3.3,13.4
2005,12,119,-3.9,-8.2,0.5
2006,1,119,-0.4,-4.3,4.0
2006,2,119,-0.1,-4.5,4.6
2006,3,119,5.0,0.1,10.7
2006,4,119,11.3,6.5,16.5
2006,5,119,18.2,13.3,23.8
2006,6,119,21.7,17.7,26.9
2006,7,119,23.6,21.0,27.1
2006,8,119,27.5,23.7,32.3
2006,9,119,21.3,16.6,26.7
2006,10,119,17.6,12.8,23.6
2006,11,119,8.4,3.9,13.3
2006,12,119,1.2,-3.0,6.2
2007,1,119,-0.1,-4.4,4.8
2007,2,119,3.3,-1.6,9.1
2007,3,119,6.0,1.2,11.0
2007,4,119,11.1,6.1,16.6
2007,5,119,17.8,12.8,23.5
2007,6,119,22.6,18.2,27.5
2007,7,119,24.0,20.9,27.8
2007,8,119,26.1,23.3,29.8
2007,9,119,21.2,18.0,25.1
2007,10,119,14.8,10.2,20.1
2007,11,119,6.2,1.3,11.9
2007,12,119,1.6,-2.3,6.4
2008,1,119,-1.6,-5.8,2.8
2008,2,119,-1.6,-6.9,3.7
2008,3,119,6.8,2.1,12.5
2008,4,119,13.3,7.2,20.0
2008,5,119,17.6,12.3,23.5
2008,6,119,21.7,17.4,26.8
2008,7,119,25.7,22.7,29.6
2008,8,119,25.5,21.8,30.4
2008,9,119,22.3,17.9,27.8
2008,10,119,16.0,11.1,21.7
2008,11,119,7.4,2.4,12.7
2008,12,119,0.9,-3.7,5.8
2009,1,119,-2.6,-7.7,2.9
2009,2,119,2.4,-2.1,7.3
2009,3,119,6.1,0.9,11.6
2009,4,119,12.0,6.2,18.3
2009,5,119,18.3,12.8,24.5
2009,6,119,22.1,17.6,27.4
2009,7,119,24.2,20.5,28.6
2009,8,119,25.7,22.0,30.3
2009,9,119,21.6,17.0,26.8
2009,10,119,15.7,10.6,21.7
2009,11,119,6.9,3.1,11.3
2009,12,119,-0.7,-4.7,3.6
2010,1,119,-4.4,-9.6,0.7
2010,2,119,1.4,-2.7,5.8
2010,3,119,4.6,0.5,8.9
2010,4,119,9.6,4.6,14.8
2010,5,119,17.1,11.9,22.7
2010,6,119,23.1,18.4,28.4
2010,7,119,26.0,23.2,29.8
2010,8,119,26.9,23.8,30.7
2010,9,119,22.2,18.6,26.9
2010,10,119,14.4,9.5,20.2
2010,11,119,6.4,1.6,11.9
2010,12,119,-0.8,-5.6,4.1
2011,1,119,-7.2,-12.4,-2.3
2011,2,119,0.6,-4.4,6.2
2011,3,119,3.5,-1.2,8.8
2011,4,119,10.1,5.0,16.0
2011,5,119,16.2,11.2,21.9
2011,6,119,21.1,17.0,26.2
2011,7,119,25.3,22.4,29.1
2011,8,119,26.1,23.2,30.2
2011,9,119,21.7,17.4,26.7
2011,10,119,13.9,8.6,19.8
2011,11,119,11.2,6.8,15.7
2011,12,119,-0.4,-4.6,3.7
2012,1,119,-2.7,-7.3,2.1
2012,2,119,-1.9,-7.0,3.7
2012,3,119,5.1,0.9,9.8
2012,4,119,12.1,6.6,18.6
2012,5,119,19.1,13.7,25.2
2012,6,119,23.6,19.2,29.2
2012,7,119,25.5,22.2,29.6
2012,8,119,27.3,23.9,31.2
2012,9,119,20.8,16.9,25.4
2012,10,119,14.8,9.6,20.8
2012,11,119,5.7,1.5,10.2
2012,12,119,-3.9,-8.1,0.5
2013,1,119,-3.4,-7.9,1.6
2013,2,119,-1.0,-5.6,3.6
2013,3,119,4.8,-0.6,11.0
2013,4,119,9.7,4.7,15.2
2013,5,119,17.6,12.3,23.7
2013,6,119,23.5,19.0,28.8
2013,7,119,25.5,23.1,29.0
2013,8,119,27.4,23.8,32.1
2013,9,119,21.7,17.5,26.6
2013,10,119,15.7,10.4,21.9
2013,11,119,6.2,1.5,11.4
2013,12,119,0.0,-4.2,4.7
2014,1,119,-0.6,-5.8,4.4
2014,2,119,2.1,-2.3,7.4
2014,3,119,7.6,2.3,13.6
2014,4,119,13.3,7.9,19.9
2014,5,119,18.2,12.5,25.2
2014,6,119,22.9,18.8,28.1
2014,7,119,25.6,22.0,30.4
2014,8,119,24.7,21.5,28.9
2014,9,119,21.8,17.3,27.1
2014,10,119,15.2,10.0,21.5
2014,11,119,8.5,3.7,13.9
2014,12,119,-2.0,-6.1,2.6
2015,1,119,-0.5,-4.7,4.2
2015,2,119,1.3,-3.1,6.4
2015,3,119,6.0,0.0,12.8
2015,4,119,13.1,7.8,19.2
2015,5,119,18.2,12.2,24.9
2015,6,119,23.1,18.2,29.0
2015,7,119,25.5,22.1,30.0
2015,8,119,26.2,22.5,31.3
2015,9,119,22.1,16.9,27.9
2015,10,119,15.3,10.0,21.9
2015,11,119,9.5,5.9,13.5
2015,12,119,2.4,-1.8,7.3
2016,1,119,-2.1,-6.3,2.6
2016,2,119,0.9,-4.2,6.1
2016,3,119,7.0,1.8,13.4
2016,4,119,13.9,8.5,21.3
2016,5,119,19.1,13.1,25.9
2016,6,119,23.2,18.8,28.9
2016,7,119,26.0,22.9,30.2
2016,8,119,27.7,24.0,32.8
2016,9,119,22.7,18.9,27.6
2016,10,119,15.7,11.1,21.2
2016,11,119,7.0,2.2,12.3
2016,12,119,1.7,-2.9,6.9
2017,1,119,-1.5,-6.2,3.8
2017,2,119,0.0,-5.2,5.5
2017,3,119,5.7,0.1,12.5
2017,4,119,13.2,7.5,20.1
2017,5,119,18.4,12.4,25.3
2017,6,119,22.4,17.3,28.7
2017,7,119,26.5,23.7,30.5
2017,8,119,25.5,22.3,29.8
2017,9,119,21.2,16.3,27.1
2017,10,119,15.4,10.2,21.7
2017,11,119,5.7,0.4,11.5
2017,12,119,-1.4,-5.8,3.3
2018,1,119,-3.6,-7.8,1.3
2018,2,119,-1.6,-6.8,4.3
2018,3,119,7.9,2.9,14.2
2018,4,119,12.6,6.8,19.3
2018,5,119,17.9,12.6,23.7
2018,6,119,22.6,17.9,28.7
2018,7,119,27.5,23.5,32.5
