년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,202,-2.6,-6.8,2.1
2000,2,202,-2.4,-8.2,3.1
2000,3,202,5.2,-1.5,12.1
2000,4,202,11.0,3.8,18.1
2000,5,202,17.3,11.4,23.8
2000,6,202,23.0,17.3,29.6
2000,7,202,26.1,21.8,31.7
2000,8,202,25.2,21.5,30.4
2000,9,202,18.9,14.6,24.7
2000,10,202,12.7,7.4,19.5
2000,11,202,4.7,-0.6,11.5
2000,12,202,-0.4,-5.6,5.1
2001,1,202,-5.0,-9.9,0.1
2001,2,202,-1.3,-6.4,4.2
2001,3,202,4.2,-1.7,10.8
2001,4,202,12.6,4.7,20.4
2001,5,202,18.7,12.2,25.8
2001,6,202,22.5,17.7,27.9
2001,7,202,25.3,21.5,30.0
2001,8,202,25.4,20.8,31.3
2001,9,202,20.6,14.3,27.9
2001,10,202,14.2,9.6,20.7
2001,11,202,4.3,-1.1,11.1
2001,12,202,-2.3,-8.0,4.1
2002,1,202,-1.4,-6.2,3.5
2002,2,202,0.6,-5.1,7.2
2002,3,202,7.1,0.4,14.2
2002,4,202,13.2,6.1,20.4
2002,5,202,17.6,11.5,24.4
2002,6,202,21.5,15.5,28.0
2002,7,202,25.0,21.0,29.8
2002,8,202,23.7,20.8,28.0
2002,9,202,19.6,14.9,26.1
2002,10,202,10.9,5.9,17.6
2002,11,202,2.3,-2.7,8.0
2002,12,202,-0.1,-4.6,5.6
2003,1,202,-4.6,-9.4,0.9
2003,2,202,0.8,-4.2,6.6
2003,3,202,5.5,0.0,11.5
2003,4,202,12.3,6.5,18.9
2003,5,202,18.4,11.8,25.6
2003,6,202,21.3,16.9,26.8
2003,7,202,23.6,19.9,28.2
2003,8,202,24.0,20.8,28.6
2003,9,202,20.2,16.3,25.5
2003,10,202,11.8,6.1,19.2
2003,11,202,8.4,3.6,14.0
2003,12,202,-0.9,-5.2,4.1
2004,1,202,-3.6,-8.5,2.1
2004,2,202,1.2,-4.3,7.3
2004,3,202,5.2,-1.2,11.8
2004,4,202,12.0,4.9,19.5
2004,5,202,17.0,11.7,22.6
2004,6,202,21.9,16.5,28.0
2004,7,202,24.1,21.0,28.1
2004,8,202,24.5,20.4,29.9
2004,9,202,19.9,14.8,26.4
2004,10,202,12.6,5.8,21.2
2004,11,202,6.8,1.6,13.6
2004,12,202,0.4,-4.7,6.7
2005,1,202,-3.6,-8.9,2.0
2005,2,202,-2.4,-7.8,3.0
2005,3,202,3.9,-1.8,10.1
2005,4,202,12.7,5.6,19.9
2005,5,202,16.8,10.4,23.8
2005,6,202,22.3,17.6,28.0
2005,7,202,25.1,21.8,29.6
2005,8,202,24.5,21.2,29.5
2005,9,202,21.3,17.6,26.4
2005,10,202,13.0,8.5,20.1
2005,11,202,6.8,1.0,13.3
2005,12,202,-4.8,-10.0,0.6
2006,1,202,-1.1,-5.9,4.4
2006,2,202,0.0,-5.1,5.5
2006,3,202,5.3,-0.9,11.8
2006,4,202,11.7,6.0,18.0
2006,5,202,18.3,12.3,24.6
2006,6,202,21.8,16.9,27.6
2006,7,202,23.2,20.4,27.2
2006,8,202,26.3,22.2,32.1
2006,9,202,19.4,14.0,26.1
2006,10,202,15.8,10.3,23.1
2006,11,202,7.0,1.6,12.9
2006,12,202,-0.1,-4.5,5.7
2007,1,202,-1.0,-6.0,5.2
2007,2,202,2.7,-3.1,9.8
2007,3,202,5.9,0.4,11.9
2007,4,202,11.5,5.0,18.1
2007,5,202,17.9,12.2,24.8
2007,6,202,22.7,16.9,28.8
2007,7,202,24.0,20.6,28.5
2007,8,202,25.5,22.2,30.3
2007,9,202,20.8,17.5,25.4
2007,10,202,14.0,9.2,20.5
2007,11,202,5.0,-0.1,11.4
2007,12,202,0.4,-3.4,5.4
2008,1,202,-2.3,-7.0,2.8
2008,2,202,-2.4,-8.8,4.3
2008,3,202,5.6,-0.2,12.5
2008,4,202,12.6,5.4,20.3
2008,5,202,16.7,9.8,23.9
2008,6,202,21.1,16.0,27.1
2008,7,202,25.6,22.4,29.8
2008,8,202,24.7,20.4,30.2
2008,9,202,20.7,16.3,27.1
2008,10,202,14.2,9.2,21.4
2008,11,202,5.7,0.7,11.9
2008,12,202,-0.5,-5.3,4.9
2009,1,202,-4.4,-10.2,2.3
2009,2,202,1.7,-3.6,7.5
2009,3,202,6.0,-0.6,12.5
2009,4,202,12.1,4.9,19.8
2009,5,202,18.5,11.8,25.9
2009,6,202,22.3,17.0,28.0
2009,7,202,23.9,20.0,29.0
2009,8,202,24.7,20.4,30.0
2009,9,202,20.1,15.3,26.5
2009,10,202,13.7,8.0,21.4
2009,11,202,5.9,1.5,10.9
2009,12,202,-2.1,-6.3,2.5
2010,1,202,-6.1,-11.8,-0.3
2010,2,202,0.6,-4.3,5.8
2010,3,202,4.3,0.0,9.0
2010,4,202,9.6,3.4,16.1
2010,5,202,17.4,11.0,24.1
2010,6,202,22.9,17.4,29.2
2010,7,202,25.7,22.4,30.1
2010,8,202,26.2,23.5,30.5
2010,9,202,20.9,17.1,26.4
2010,10,202,13.1,8.2,20.0
2010,11,202,4.8,-0.5,11.1
2010,12,202,-2.4,-7.2,3.1
2011,1,202,-8.4,-14.7,-2.0
2011,2,202,0.0,-5.6,6.6
2011,3,202,3.6,-2.4,10.0
2011,4,202,10.5,4.1,17.6
2011,5,202,17.4,11.3,24.0
2011,6,202,22.1,17.2,27.8
2011,7,202,24.7,21.9,28.7
2011,8,202,25.4,22.1,30.2
2011,9,202,20.3,15.7,26.1
2011,10,202,12.1,6.5,19.2
2011,11,202,9.6,5.2,14.7
2011,12,202,-1.5,-6.2,3.3
2012,1,202,-3.6,-9.0,2.2
2012,2,202,-2.5,-8.5,3.9
2012,3,202,5.2,0.2,10.7
2012,4,202,12.1,5.6,19.0
2012,5,202,18.6,12.3,25.4
2012,6,202,23.7,18.4,29.7
2012,7,202,25.4,21.6,30.0
2012,8,202,26.4,22.6,31.0
2012,9,202,19.4,15.3,25.2
2012,10,202,12.9,7.5,20.0
2012,11,202,4.4,-0.1,9.6
2012,12,202,-5.1,-9.6,-0.4
2013,1,202,-5.1,-9.9,0.4
2013,2,202,-1.4,-6.5,3.8
2013,3,202,5.2,-1.0,12.3
2013,4,202,9.9,3.8,16.2
2013,5,202,17.9,11.9,24.5
2013,6,202,23.7,18.7,29.5
2013,7,202,25.5,22.8,29.2
2013,8,202,26.4,22.6,31.5
2013,9,202,20.4,16.1,26.0
2013,10,202,14.2,8.8,21.3
2013,11,202,4.9,0.3,10.3
2013,12,202,-1.4,-5.8,3.7
2014,1,202,-1.9,-6.9,3.6
2014,2,202,1.2,-3.6,7.1
2014,3,202,7.3,1.2,14.0
2014,4,202,13.6,7.1,20.6
2014,5,202,18.6,11.6,26.0
2014,6,202,22.8,18.3,28.4
2014,7,202,25.6,21.4,30.9
2014,8,202,24.3,20.8,28.6
2014,9,202,20.4,15.6,26.7
2014,10,202,13.6,7.8,20.6
2014,11,202,6.9,1.9,13.0
2014,12,202,-3.6,-8.3,1.4
2015,1,202,-1.6,-6.4,3.7
2015,2,202,0.6,-4.2,6.3
2015,3,202,6.0,-1.2,13.2
2015,4,202,12.8,6.7,19.3
2015,5,202,18.9,11.6,26.0
2015,6,202,23.2,17.6,29.5
2015,7,202,25.4,21.7,30.0
2015,8,202,25.6,21.5,31.1
2015,9,202,20.4,14.8,27.2
2015,10,202,13.7,7.8,21.1
2015,11,202,8.5,5.0,13.2
2015,12,202,0.8,-3.3,5.8
2016,1,202,-3.6,-8.8,1.7
2016,2,202,-0.2,-5.6,5.7
2016,3,202,6.5,0.0,13.3
2016,4,202,14.2,7.7,21.6
2016,5,202,18.9,12.3,26.2
2016,6,202,23.5,18.3,29.3
2016,7,202,25.4,21.9,29.9
2016,8,202,27.0,22.7,32.5
2016,9,202,21.8,17.8,27.3
2016,10,202,14.9,10.7,20.8
2016,11,202,6.2,1.2,11.8
2016,12,202,0.6,-4.0,5.8
2017,1,202,-2.5,-8.1,3.1
2017,2,202,-0.4,-6.2,5.4
2017,3,202,5.8,-0.8,12.6
2017,4,202,13.7,6.7,20.7
2017,5,202,19.0,12.1,26.1
2017,6,202,22.8,16.7,29.4
2017,7,202,26.3,23.2,30.3
2017,8,202,24.8,21.3,29.4
2017,9,202,20.0,14.8,26.5
2017,10,202,14.7,9.5,21.4
2017,11,202,4.4,-1.0,10.3
2017,12,202,-2.8,-7.2,1.7
2018,1,202,-4.7,-9.2,0.5
2018,2,202,-2.5,-8.4,3.7
2018,3,202,7.8,1.9,14.2
2018,4,202,12.9,6.2,19.8
2018,5,202,17.7,12.0,23.9
2018,6,202,23.0,17.5,29.2
2018,7,202,27.2,22.8,32.4
2018,8,202,27.8,23.4,33.3
2018,9,202,20.1,15.2,26.0
2018,10,202,11.3,6.1,18.2
2018,11,202,6.2,1.2,13.1
2018,12,202,-1.7,-6.8,4.0
2019,1,202,-2.4,-8.4,4.0
2019,2,202,0.5,-4.9,6.4
2019,3,202,6.4,0.3,13.1
2019,4,202,11.5,4.7,18.5
2019,5,202,18.8,11.1,26.4
2019,6,202,22.4,16.8,28.4
2019,7,202,25.6,21.8,30.5
2019,8,202,26.3,22.4,31.6
2019,9,202,21.3,17.3,26.7
2019,10,202,14.8,9.8,21.3
2019,11,202,6.6,1.4,13.1
2019,12,202,0.6,-3.4,5.1
2020,1,202,1.1,-3.3,6.4
2020,2,202,2.3,-2.6,7.6
2020,3,202,7.6,1.1,14.2
2020,4,202,10.8,3.8,17.7
2020,5,202,17.8,12.7,23.4
2020,6,202,23.5,18.7,28.9
2020,7,202,23.4,19.9,27.4
2020,8,202,25.6,23.0,29.5
2020,9,202,19.9,16.0,25.2
2020,10,202,12.5,6.9,19.6
2020,11,202,7.0,1.9,12.9
2020,12,202,-1.4,-5.9,3.9
2021,1,202,-3.3,-8.7,2.4
2021,2,202,2.1,-3.5,8.4
2021,3,202,8.6,2.6,15.0
2021,4,202,13.6,7.3,19.9
2021,5,202,16.2,11.0,21.8
2021,6,202,22.0,17.5,27.4
2021,7,202,26.3,22.4,31.3
2021,8,202,24.5,21.2,28.9
2021,9,202,21.1,17.0,26.3
2021,10,202,14.3,10.1,20.2
2021,11,202,7.0,2.4,13.1
2021,12,202,-0.2,-4.5,4.8
2022,1,202,-2.7,-8.1,3.0
2022,2,202,-1.3,-6.9,4.7
2022,3,202,7.2,1.9,13.2
2022,4,202,13.9,7.4,21.1
2022,5,202,18.1,11.5,24.9
2022,6,202,22.5,18.3,27.2
2022,7,202,26.0,22.6,30.4
2022,8,202,24.7,21.8,28.4
2022,9,202,20.3,16.0,26.4
2022,10,202,13.2,8.7,19.4
2022,11,202,8.2,2.9,14.9
2022,12,202,-4.0,-8.4,1.2
2023,1,202,-2.6,-7.6,3.0
2023,2,202,1.7,-3.8,7.9
2023,3,202,9.1,2.1,16.8
2023,4,202,13.2,7.3,19.2
2023,5,202,18.5,12.5,24.7
2023,6,202,22.9,18.4,27.8
2023,7,202,25.6,22.3,29.9
2023,8,202,26.3,22.8,30.7
2023,9,202,22.3,18.6,27.0
2023,10,202,13.5,9.0,19.7
2023,11,202,6.3,1.4,11.5
2023,12,202,0.2,-4.1,5.2
2024,1,202,-1.0,-4.9,3.4
2024,2,202,3.6,-0.6,8.5
2024,3,202,6.5,1.1,12.5
2024,4,202,15.6,9.8,22.1
2024,5,202,17.9,12.2,24.1
2024,6,202,23.1,17.4,29.3
2024,7,202,25.8,22.8,29.6
2024,8,202,27.9,24.3,32.6
2024,9,202,24.2,20.5,28.9
2024,10,202,15.2,11.2,20.6
2024,11,202,8.5,3.6,14.5
2024,12,202,-0.3,-4.8,4.7
