년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,203,-2.7,-7.1,2.2
2000,2,203,-2.2,-7.9,3.7
2000,3,203,5.3,-1.4,12.5
2000,4,203,10.7,3.3,17.9
2000,5,203,16.8,10.9,23.6
2000,6,203,22.2,17.0,28.2
2000,7,203,25.1,21.0,30.4
2000,8,203,24.6,21.2,29.6
2000,9,203,18.7,14.5,24.3
2000,10,203,12.5,6.8,19.7
2000,11,203,4.7,-1.0,11.7
2000,12,203,-0.7,-6.5,5.4
2001,1,203,-5.3,-11.0,0.7
2001,2,203,-1.6,-7.0,4.2
2001,3,203,3.9,-2.1,10.8
2001,4,203,12.2,4.1,20.0
2001,5,203,18.2,12.1,25.1
2001,6,203,21.8,17.2,27.1
2001,7,203,24.8,21.0,29.8
2001,8,203,24.5,19.9,30.4
2001,9,203,19.6,13.2,26.9
2001,10,203,13.5,8.5,20.1
2001,11,203,4.1,-1.8,11.2
2001,12,203,-2.3,-8.5,4.3
2002,1,203,-1.4,-6.5,3.8
2002,2,203,0.5,-5.4,7.4
2002,3,203,6.9,-0.1,14.6
2002,4,203,12.9,5.5,20.5
2002,5,203,16.9,10.8,23.7
2002,6,203,20.3,14.5,26.9
2002,7,203,24.3,20.1,29.0
2002,8,203,23.7,20.7,27.9
2002,9,203,19.6,14.7,26.0
2002,10,203,10.9,5.4,18.1
2002,11,203,2.4,-3.0,8.5
2002,12,203,0.1,-4.7,5.7
2003,1,203,-4.2,-9.7,1.6
2003,2,203,1.0,-4.3,6.9
2003,3,203,5.5,-0.4,12.2
2003,4,203,12.1,6.1,19.1
2003,5,203,18.6,12.0,25.5
2003,6,203,21.0,16.5,26.1
2003,7,203,23.1,19.3,27.5
2003,8,203,23.3,20.2,27.7
2003,9,203,19.5,15.4,24.8
2003,10,203,11.5,5.0,19.0
2003,11,203,7.7,2.7,13.1
2003,12,203,-0.7,-5.8,4.7
2004,1,203,-3.5,-9.0,2.7
2004,2,203,1.2,-4.9,8.2
2004,3,203,5.4,-1.5,12.6
2004,4,203,12.1,4.5,20.0
2004,5,203,17.2,11.8,23.0
2004,6,203,22.3,16.9,28.2
2004,7,203,24.5,21.2,28.4
2004,8,203,24.7,20.7,29.8
2004,9,203,19.8,15.0,25.7
2004,10,203,12.8,5.8,21.1
2004,11,203,7.1,1.2,14.0
2004,12,203,0.8,-4.9,7.2
2005,1,203,-3.1,-8.7,3.1
2005,2,203,-2.2,-7.9,3.6
2005,3,203,4.3,-1.9,11.1
2005,4,203,13.2,5.9,20.7
2005,5,203,17.6,10.7,24.8
2005,6,203,23.1,18.3,28.7
2005,7,203,25.5,22.0,30.0
2005,8,203,24.8,21.3,29.7
2005,9,203,21.3,17.3,26.3
2005,10,203,12.9,7.7,19.9
2005,11,203,6.8,0.6,13.8
2005,12,203,-4.9,-10.6,0.9
2006,1,203,-1.1,-6.3,4.7
2006,2,203,-0.4,-5.7,5.3
2006,3,203,5.1,-1.4,12.0
2006,4,203,11.4,5.6,17.9
2006,5,203,18.4,12.3,24.8
2006,6,203,21.9,17.1,27.7
2006,7,203,23.3,20.7,26.7
2006,8,203,26.6,22.4,32.1
2006,9,203,19.2,14.2,24.8
2006,10,203,16.7,11.5,22.7
2006,11,203,6.7,1.1,12.8
2006,12,203,-0.9,-5.8,4.9
2007,1,203,-1.6,-7.1,4.7
2007,2,203,2.0,-4.2,9.2
2007,3,203,5.2,-0.5,11.4
2007,4,203,10.8,4.3,17.7
2007,5,203,17.4,11.6,24.0
2007,6,203,21.9,16.4,27.7
2007,7,203,23.4,20.0,27.8
2007,8,203,25.1,21.8,30.0
2007,9,203,20.1,16.7,24.5
2007,10,203,13.5,8.2,20.6
2007,11,203,4.5,-1.3,11.4
2007,12,203,-0.4,-4.5,4.8
2008,1,203,-2.5,-7.5,2.6
2008,2,203,-2.4,-9.0,4.4
2008,3,203,5.7,-0.1,12.7
2008,4,203,12.5,5.2,20.3
2008,5,203,16.9,10.2,23.8
2008,6,203,20.5,15.5,26.3
2008,7,203,25.0,21.8,29.7
2008,8,203,23.9,19.5,29.6
2008,9,203,19.9,15.2,26.7
2008,10,203,13.7,8.0,21.3
2008,11,203,5.5,-0.1,12.2
2008,12,203,-0.5,-5.7,5.2
2009,1,203,-4.1,-10.0,2.7
2009,2,203,1.6,-3.7,7.4
2009,3,203,5.5,-0.9,12.4
2009,4,203,11.7,4.6,19.4
2009,5,203,18.0,11.3,25.4
2009,6,203,21.7,16.2,27.5
2009,7,203,23.5,19.4,28.4
2009,8,203,24.4,19.9,29.9
2009,9,203,19.6,14.4,26.4
2009,10,203,13.4,6.8,21.4
2009,11,203,5.5,0.8,10.8
2009,12,203,-2.2,-6.6,2.5
2010,1,203,-6.0,-11.8,-0.3
2010,2,203,0.3,-4.3,5.6
2010,3,203,3.7,-0.7,8.7
2010,4,203,9.2,3.0,15.7
2010,5,203,17.3,10.9,23.8
2010,6,203,22.7,17.1,28.8
2010,7,203,25.5,21.9,29.9
2010,8,203,26.1,22.9,30.5
2010,9,203,20.5,16.3,26.2
2010,10,203,12.5,7.1,19.5
2010,11,203,4.5,-1.5,11.5
2010,12,203,-2.6,-7.8,3.0
2011,1,203,-8.5,-15.2,-2.3
2011,2,203,-0.1,-6.2,6.5
2011,3,203,3.4,-2.7,9.9
2011,4,203,10.2,3.6,17.3
2011,5,203,17.4,11.3,23.7
2011,6,203,21.8,16.9,27.5
2011,7,203,24.5,21.7,28.5
2011,8,203,25.0,21.5,29.8
2011,9,203,19.6,14.8,25.8
2011,10,203,11.5,5.3,19.5
2011,11,203,9.3,4.3,15.1
2011,12,203,-1.8,-6.8,3.6
2012,1,203,-3.7,-9.6,2.3
2012,2,203,-2.7,-9.2,4.2
2012,3,203,4.6,-0.6,10.3
2012,4,203,11.9,5.4,18.8
2012,5,203,18.5,11.9,25.5
2012,6,203,23.2,17.4,29.8
2012,7,203,25.3,21.2,30.2
2012,8,203,26.1,22.1,31.3
2012,9,203,19.3,14.8,25.6
2012,10,203,12.6,6.1,20.6
2012,11,203,4.0,-1.0,9.8
2012,12,203,-5.4,-10.3,0.0
2013,1,203,-5.0,-10.5,0.9
2013,2,203,-1.6,-6.7,3.7
2013,3,203,4.7,-1.8,12.2
2013,4,203,9.5,3.2,16.2
2013,5,203,17.9,11.5,24.6
2013,6,203,23.3,18.1,29.3
2013,7,203,25.3,22.4,29.2
2013,8,203,26.0,21.7,31.7
2013,9,203,19.9,15.2,26.0
2013,10,203,13.7,7.5,21.3
2013,11,203,4.5,-0.5,10.3
2013,12,203,-1.7,-6.6,3.7
2014,1,203,-2.2,-7.5,3.6
2014,2,203,0.9,-4.3,6.8
2014,3,203,7.0,0.4,13.9
2014,4,203,13.2,6.5,20.6
2014,5,203,17.9,11.0,25.3
2014,6,203,22.1,17.2,28.1
2014,7,203,25.0,20.3,30.5
2014,8,203,23.6,20.0,28.5
2014,9,203,20.1,14.6,27.2
2014,10,203,12.9,6.3,20.9
2014,11,203,6.8,1.2,13.2
2014,12,203,-4.1,-9.1,1.4
2015,1,203,-1.9,-7.0,3.4
2015,2,203,0.2,-5.0,5.9
2015,3,203,5.6,-1.9,13.3
2015,4,203,12.2,5.8,19.1
2015,5,203,18.3,10.9,25.7
2015,6,203,22.5,16.8,29.0
2015,7,203,24.7,20.7,29.6
2015,8,203,25.1,20.6,31.2
2015,9,203,20.2,14.0,27.7
2015,10,203,13.5,6.7,21.4
2015,11,203,7.8,3.9,12.4
2015,12,203,0.4,-4.0,5.6
2016,1,203,-3.5,-8.7,2.0
2016,2,203,-0.3,-6.1,5.7
2016,3,203,6.3,-0.7,13.4
2016,4,203,13.8,7.2,21.5
2016,5,203,18.7,11.6,26.3
2016,6,203,23.2,17.6,29.5
2016,7,203,25.5,21.7,30.1
2016,8,203,26.8,21.9,32.6
2016,9,203,21.5,16.9,27.5
2016,10,203,14.4,9.6,20.9
2016,11,203,5.9,0.1,12.2
2016,12,203,0.3,-4.7,6.2
2017,1,203,-2.6,-8.4,3.5
2017,2,203,-0.4,-6.6,5.8
2017,3,203,5.6,-1.5,13.1
2017,4,203,13.1,5.8,20.8
2017,5,203,18.5,11.3,26.0
2017,6,203,22.2,15.7,29.3
2017,7,203,25.5,22.3,29.7
2017,8,203,24.2,20.5,29.2
2017,9,203,19.6,13.7,26.7
2017,10,203,14.1,8.1,21.7
2017,11,203,4.1,-2.0,10.7
2017,12,203,-3.1,-8.1,2.1
2018,1,203,-4.5,-9.3,1.0
2018,2,203,-2.5,-9.1,4.1
2018,3,203,7.2,0.8,14.2
2018,4,203,12.2,5.4,19.6
2018,5,203,17.2,11.1,23.8
2018,6,203,22.4,16.6,29.0
2018,7,203,26.8,22.0,32.6
2018,8,203,27.1,22.4,32.8
2018,9,203,19.6,14.3,26.3
2018,10,203,11.0,4.8,18.7
2018,11,203,5.9,0.0,13.1
2018,12,203,-1.9,-7.5,4.3
2019,1,203,-2.3,-9.0,4.7
2019,2,203,0.1,-5.7,6.6
2019,3,203,6.1,-0.4,13.2
2019,4,203,11.3,4.1,18.4
2019,5,203,18.8,10.8,26.7
2019,6,203,21.9,16.1,28.3
2019,7,203,25.1,20.9,30.4
2019,8,203,25.9,21.4,32.1
2019,9,203,20.8,16.4,26.9
2019,10,203,14.3,8.6,21.7
2019,11,203,5.9,-0.2,13.2
2019,12,203,0.1,-4.2,5.0
2020,1,203,0.9,-3.6,6.3
2020,2,203,2.0,-3.1,7.7
2020,3,203,7.4,0.3,14.6
2020,4,203,10.8,3.5,18.1
2020,5,203,17.8,12.4,23.9
2020,6,203,23.5,18.5,29.0
2020,7,203,23.2,19.6,27.6
2020,8,203,26.1,23.1,30.4
2020,9,203,19.9,15.6,25.6
2020,10,203,12.5,6.1,20.1
2020,11,203,6.8,1.1,13.2
2020,12,203,-1.5,-6.5,4.4
2021,1,203,-3.4,-9.2,2.5
2021,2,203,2.0,-4.4,8.8
2021,3,203,8.4,1.9,15.3
2021,4,203,13.5,6.6,20.3
2021,5,203,16.3,10.9,22.2
2021,6,203,22.3,17.3,28.1
2021,7,203,26.6,22.0,32.2
2021,8,203,24.7,20.8,29.7
2021,9,203,21.0,16.5,26.8
2021,10,203,14.1,9.0,20.7
2021,11,203,6.7,1.3,13.3
2021,12,203,-0.3,-5.4,5.3
2022,1,203,-2.8,-8.9,3.4
2022,2,203,-1.3,-7.7,5.2
2022,3,203,7.0,0.7,13.6
2022,4,203,13.8,6.6,21.6
2022,5,203,18.3,10.9,25.6
2022,6,203,22.8,18.0,28.0
2022,7,203,26.2,22.3,30.8
2022,8,203,25.0,21.9,28.9
2022,9,203,20.6,15.4,27.1
2022,10,203,12.9,7.4,19.8
2022,11,203,8.0,1.7,15.4
2022,12,203,-4.4,-9.7,1.3
2023,1,203,-2.7,-8.3,3.1
2023,2,203,1.6,-4.4,8.1
2023,3,203,9.2,1.0,17.5
2023,4,203,13.2,6.6,19.9
2023,5,203,18.6,12.0,25.2
2023,6,203,23.1,18.1,28.3
2023,7,203,25.9,22.4,30.4
2023,8,203,26.4,22.6,31.2
2023,9,203,22.2,18.2,27.3
2023,10,203,13.3,7.8,20.4
2023,11,203,6.2,0.6,12.3
2023,12,203,0.0,-5.0,5.2
2024,1,203,-1.2,-5.4,3.5
2024,2,203,3.0,-1.6,8.4
