년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,279,-0.3,-4.6,4.5
2000,2,279,0.3,-5.0,6.0
2000,3,279,7.2,0.2,14.5
2000,4,279,12.8,5.9,20.0
2000,5,279,18.7,11.8,25.9
2000,6,279,22.8,17.8,28.6
2000,7,279,26.1,21.6,31.8
2000,8,279,25.5,21.8,30.6
2000,9,279,19.6,15.6,24.9
2000,10,279,14.2,8.8,21.1
2000,11,279,6.4,1.3,13.0
2000,12,279,0.8,-4.6,7.6
2001,1,279,-2.1,-6.5,2.8
2001,2,279,1.3,-3.6,7.2
2001,3,279,6.5,0.1,13.5
2001,4,279,13.9,5.3,22.1
2001,5,279,18.9,12.6,25.8
2001,6,279,22.8,17.9,28.4
2001,7,279,26.2,21.6,32.0
2001,8,279,25.7,20.9,31.7
2001,9,279,20.5,14.9,27.1
2001,10,279,15.0,10.4,21.4
2001,11,279,6.4,0.5,14.1
2001,12,279,0.9,-4.0,6.5
2002,1,279,1.4,-2.6,6.4
2002,2,279,2.7,-3.5,9.8
2002,3,279,8.6,2.0,15.7
2002,4,279,14.4,7.5,21.3
2002,5,279,17.6,11.6,23.8
2002,6,279,22.1,15.9,28.5
2002,7,279,25.3,21.5,30.3
2002,8,279,24.1,21.2,28.1
2002,9,279,19.9,15.4,26.0
2002,10,279,12.5,7.4,19.2
2002,11,279,4.9,-1.2,11.4
2002,12,279,2.4,-1.8,7.5
2003,1,279,-1.3,-6.2,4.0
2003,2,279,2.5,-2.2,7.9
2003,3,279,6.8,1.2,12.6
2003,4,279,13.3,7.2,19.7
2003,5,279,18.1,11.9,24.7
2003,6,279,21.6,17.1,27.0
2003,7,279,22.5,19.3,26.8
2003,8,279,24.0,20.5,28.9
2003,9,279,21.3,17.3,26.6
2003,10,279,13.3,7.4,20.6
2003,11,279,9.2,4.5,15.0
2003,12,279,2.3,-2.7,7.8
2004,1,279,-0.4,-5.3,5.7
2004,2,279,3.5,-2.8,10.3
2004,3,279,7.6,1.0,14.4
2004,4,279,14.5,7.0,21.9
2004,5,279,18.6,13.0,24.5
2004,6,279,22.5,16.9,28.8
2004,7,279,26.4,22.3,31.5
2004,8,279,25.1,21.3,30.3
2004,9,279,20.6,16.6,26.2
2004,10,279,13.8,7.8,21.3
2004,11,279,8.6,2.8,15.8
2004,12,279,2.9,-2.1,9.0
2005,1,279,-1.0,-5.7,4.4
2005,2,279,-0.3,-5.0,4.8
2005,3,279,5.6,-0.6,12.1
2005,4,279,14.2,6.7,21.8
2005,5,279,18.2,11.4,25.2
2005,6,279,23.2,18.0,29.3
2005,7,279,25.5,21.6,30.4
2005,8,279,25.2,21.4,30.2
2005,9,279,21.4,17.4,26.6
2005,10,279,13.9,8.7,21.0
2005,11,279,7.8,1.3,15.1
2005,12,279,-2.2,-7.1,3.6
2006,1,279,0.7,-4.0,6.3
2006,2,279,1.4,-3.6,7.2
2006,3,279,6.7,0.3,13.6
2006,4,279,12.3,6.6,18.7
2006,5,279,18.1,12.1,24.4
2006,6,279,22.6,17.0,28.7
2006,7,279,23.2,20.3,27.2
2006,8,279,27.0,22.7,32.7
2006,9,279,18.8,14.1,25.0
2006,10,279,16.1,10.3,24.1
2006,11,279,8.1,2.9,14.4
2006,12,279,1.2,-3.5,7.4
2007,1,279,0.9,-4.2,7.2
2007,2,279,4.1,-1.8,11.3
2007,3,279,7.4,1.9,13.9
2007,4,279,12.8,6.0,19.6
2007,5,279,18.5,11.9,25.5
2007,6,279,22.1,16.7,27.9
2007,7,279,23.6,20.0,28.0
2007,8,279,25.9,22.4,30.7
2007,9,279,20.6,17.3,24.6
2007,10,279,14.1,9.3,20.6
2007,11,279,6.4,0.3,13.8
2007,12,279,1.9,-2.4,7.2
2008,1,279,0.0,-3.8,4.6
2008,2,279,0.3,-5.0,6.2
2008,3,279,8.0,1.8,14.5
2008,4,279,14.0,7.2,20.9
2008,5,279,18.7,12.2,25.5
2008,6,279,21.0,16.3,26.1
2008,7,279,27.2,23.3,32.1
2008,8,279,24.8,20.5,30.2
2008,9,279,21.4,16.9,27.2
2008,10,279,15.5,10.1,22.3
2008,11,279,7.4,2.3,13.6
2008,12,279,1.3,-3.8,7.4
2009,1,279,-1.2,-6.1,4.8
2009,2,279,4.4,-1.2,10.5
2009,3,279,7.8,1.5,14.1
2009,4,279,14.3,7.4,21.3
2009,5,279,19.7,13.0,27.0
2009,6,279,23.3,17.9,29.2
2009,7,279,24.4,20.5,29.0
2009,8,279,24.8,20.8,29.4
2009,9,279,21.4,16.5,27.4
2009,10,279,15.1,9.0,22.6
2009,11,279,7.5,3.1,12.8
2009,12,279,0.8,-3.3,6.0
2010,1,279,-1.7,-6.5,3.7
2010,2,279,2.6,-2.1,7.7
2010,3,279,5.8,1.4,10.6
2010,4,279,10.9,4.9,16.5
2010,5,279,18.6,11.8,25.3
2010,6,279,24.1,18.0,30.2
2010,7,279,26.4,22.6,31.0
2010,8,279,27.7,24.2,32.4
2010,9,279,21.9,17.8,27.7
2010,10,279,14.3,9.1,20.8
2010,11,279,6.5,0.6,13.6
2010,12,279,-0.1,-4.7,5.4
2011,1,279,-4.1,-9.0,0.6
2011,2,279,2.1,-3.4,8.4
2011,3,279,5.6,-0.6,11.6
2011,4,279,12.4,5.7,19.2
2011,5,279,17.9,12.1,23.8
2011,6,279,23.4,17.9,29.1
2011,7,279,25.9,22.4,30.3
2011,8,279,25.1,21.8,29.5
2011,9,279,21.0,16.5,26.6
2011,10,279,13.4,7.9,20.3
2011,11,279,10.1,5.9,15.2
2011,12,279,0.8,-3.6,5.8
2012,1,279,-1.0,-5.5,4.1
2012,2,279,-0.7,-5.7,4.9
2012,3,279,6.4,1.5,11.7
2012,4,279,13.7,6.9,20.6
2012,5,279,19.0,13.0,25.5
2012,6,279,22.5,17.8,27.8
2012,7,279,26.2,22.1,30.9
2012,8,279,26.6,22.8,31.4
2012,9,279,20.0,15.8,25.6
2012,10,279,13.6,7.7,20.9
2012,11,279,6.3,1.4,11.9
2012,12,279,-2.2,-6.4,2.4
2013,1,279,-2.2,-6.9,3.0
2013,2,279,1.1,-3.6,6.2
2013,3,279,7.7,0.5,15.5
2013,4,279,11.1,4.7,17.8
2013,5,279,19.2,12.5,26.0
2013,6,279,23.7,19.1,29.2
2013,7,279,27.0,23.0,31.9
2013,8,279,27.5,23.2,33.3
2013,9,279,21.1,16.7,26.8
2013,10,279,15.2,10.1,21.9
2013,11,279,7.0,2.2,12.6
2013,12,279,1.8,-3.1,7.0
2014,1,279,0.5,-5.1,7.1
2014,2,279,2.8,-2.4,8.6
2014,3,279,8.4,2.2,14.8
2014,4,279,14.5,8.0,21.4
2014,5,279,19.8,12.2,27.2
2014,6,279,22.9,18.3,28.1
2014,7,279,26.0,21.6,31.2
2014,8,279,23.9,20.8,28.1
2014,9,279,21.0,16.4,27.0
2014,10,279,14.2,8.9,21.1
2014,11,279,8.6,3.7,14.4
2014,12,279,-0.3,-4.7,4.6
2015,1,279,0.8,-3.8,5.8
2015,2,279,2.6,-2.2,8.2
2015,3,279,7.8,1.1,14.9
2015,4,279,13.6,7.8,19.9
2015,5,279,20.7,13.3,27.5
2015,6,279,23.3,17.8,29.0
2015,7,279,25.1,21.3,29.8
2015,8,279,25.5,21.4,31.0
2015,9,279,20.4,15.3,26.4
2015,10,279,15.2,9.4,22.1
2015,11,279,10.4,7.0,14.3
2015,12,279,3.6,-0.5,7.9
2016,1,279,-0.3,-4.6,4.2
2016,2,279,2.5,-2.6,8.0
2016,3,279,8.3,2.4,14.5
2016,4,279,14.9,9.0,21.4
2016,5,279,19.7,13.0,26.5
2016,6,279,23.5,18.6,28.6
2016,7,279,26.1,22.1,31.0
2016,8,279,27.3,22.5,33.1
2016,9,279,21.4,18.2,25.6
2016,10,279,15.7,12.1,20.3
2016,11,279,7.7,3.0,13.2
2016,12,279,3.1,-1.4,7.8
2017,1,279,0.5,-4.6,6.0
2017,2,279,2.6,-2.9,8.5
2017,3,279,7.6,1.5,14.0
2017,4,279,15.1,8.2,22.1
2017,5,279,20.3,13.3,27.2
2017,6,279,23.5,17.7,30.0
2017,7,279,26.9,23.4,31.6
2017,8,279,25.6,21.6,30.4
2017,9,279,20.4,15.2,26.6
2017,10,279,15.3,10.9,21.0
2017,11,279,6.9,1.3,13.2
2017,12,279,0.2,-4.5,5.5
2018,1,279,-1.3,-5.6,3.9
2018,2,279,0.7,-4.9,6.9
2018,3,279,8.9,2.8,15.6
2018,4,279,14.5,8.1,21.2
