년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,273,-1.1,-5.7,3.5
2000,2,273,-0.9,-6.1,4.4
2000,3,273,6.2,-0.2,12.9
2000,4,273,11.7,4.6,18.6
2000,5,273,17.5,11.0,24.4
2000,6,273,21.8,16.7,27.5
2000,7,273,24.9,20.5,30.6
2000,8,273,24.3,20.9,29.1
2000,9,273,18.2,14.0,23.9
2000,10,273,13.2,7.4,20.4
2000,11,273,5.7,0.3,12.4
2000,12,273,0.2,-5.6,6.4
2001,1,273,-3.1,-7.4,1.5
2001,2,273,0.1,-4.9,5.4
2001,3,273,4.7,-1.3,11.2
2001,4,273,12.6,4.3,19.9
2001,5,273,18.1,11.4,25.1
2001,6,273,21.4,16.5,27.0
2001,7,273,24.3,20.2,30.1
2001,8,273,24.2,19.3,30.2
2001,9,273,18.9,13.2,26.0
2001,10,273,14.0,9.0,20.5
2001,11,273,5.9,0.1,13.0
2001,12,273,-0.3,-4.8,4.7
2002,1,273,-0.4,-4.4,4.0
2002,2,273,1.4,-4.2,7.8
2002,3,273,7.2,0.7,13.6
2002,4,273,12.3,5.4,18.9
2002,5,273,16.0,9.9,21.8
2002,6,273,19.9,13.5,26.2
2002,7,273,23.5,19.8,28.0
2002,8,273,22.2,19.4,26.0
2002,9,273,17.9,13.4,24.2
2002,10,273,10.3,5.1,17.0
2002,11,273,2.8,-2.2,8.4
2002,12,273,0.8,-3.3,5.4
2003,1,273,-3.0,-7.6,1.7
2003,2,273,1.0,-3.4,5.7
2003,3,273,5.1,-0.5,10.8
2003,4,273,11.4,5.5,17.4
2003,5,273,16.2,9.9,22.7
2003,6,273,19.7,15.2,25.1
2003,7,273,20.7,17.7,24.8
2003,8,273,22.1,18.9,26.6
2003,9,273,19.1,15.2,24.2
2003,10,273,11.4,5.8,18.5
2003,11,273,7.8,2.8,13.1
2003,12,273,0.9,-3.5,5.7
2004,1,273,-2.0,-6.7,3.3
2004,2,273,1.5,-4.3,7.5
2004,3,273,5.4,-1.0,11.8
2004,4,273,13.0,5.8,20.2
2004,5,273,16.8,11.1,22.6
2004,6,273,21.2,15.3,27.4
2004,7,273,24.4,20.6,29.3
2004,8,273,23.6,19.9,28.7
2004,9,273,18.8,14.5,24.5
2004,10,273,12.3,6.2,19.8
2004,11,273,7.4,1.9,13.7
2004,12,273,1.1,-3.9,6.8
2005,1,273,-2.4,-7.0,2.4
2005,2,273,-2.2,-7.0,2.9
2005,3,273,4.3,-1.4,10.6
2005,4,273,12.8,5.5,19.8
2005,5,273,16.5,9.8,23.5
2005,6,273,21.7,16.6,27.8
2005,7,273,23.9,20.1,28.5
2005,8,273,23.5,20.0,28.7
2005,9,273,19.6,15.8,24.9
2005,10,273,12.2,7.4,18.7
2005,11,273,6.6,0.5,13.1
2005,12,273,-3.5,-8.1,1.3
2006,1,273,-0.6,-5.3,4.4
2006,2,273,-0.1,-4.8,5.1
2006,3,273,5.2,-0.9,11.6
2006,4,273,10.8,5.1,16.7
2006,5,273,16.9,10.9,23.2
2006,6,273,20.7,15.3,27.0
2006,7,273,21.6,19.1,25.5
2006,8,273,25.3,21.0,31.2
2006,9,273,17.5,12.3,24.2
2006,10,273,14.9,8.8,23.0
2006,11,273,6.9,1.9,12.6
2006,12,273,0.1,-4.7,5.8
2007,1,273,0.0,-4.8,5.5
2007,2,273,3.0,-2.8,9.6
2007,3,273,5.7,0.8,11.5
2007,4,273,11.2,4.7,17.7
2007,5,273,17.0,10.7,23.9
2007,6,273,20.8,15.2,27.1
2007,7,273,22.3,18.9,26.6
2007,8,273,24.8,21.3,29.6
2007,9,273,19.9,16.6,24.5
2007,10,273,13.3,8.4,20.2
2007,11,273,5.5,-0.2,12.3
2007,12,273,1.0,-3.2,5.7
2008,1,273,-1.4,-5.7,3.2
2008,2,273,-1.3,-6.8,4.6
2008,3,273,6.7,0.7,13.1
2008,4,273,12.9,5.8,20.2
2008,5,273,17.5,10.6,24.5
2008,6,273,20.1,15.1,25.6
2008,7,273,25.5,21.8,30.5
2008,8,273,23.6,19.4,28.9
2008,9,273,20.0,15.5,26.1
2008,10,273,14.2,8.8,20.8
2008,11,273,6.3,1.2,12.1
2008,12,273,0.4,-4.6,6.2
2009,1,273,-2.0,-7.1,3.8
2009,2,273,3.4,-2.0,8.9
2009,3,273,6.5,0.4,12.5
