기온분석,,,,
[검색조건],,,,
자료구분 : 월,,,,
자료형태 : 기본,,,,
지역/지점 : 봉화,,,,
기간 : 1973~2025 01~12,,,,
,,,,
년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
"			1988-01",271,-2.9,-8.8,4.5
"			1988-02",271,-3.3,-9.5,4.4
"			1988-03",271,2,-4.1,9.5
"			1988-04",271,9.8,1.9,18.6
"			1988-05",271,15.8,7.7,24.2
"			1988-06",271,20.5,14.5,27.4
"			1988-07",271,22.3,18.5,26.9
"			1988-08",271,24,19.2,31.2
"			1988-09",271,18.6,13.2,25.8
"			1988-10",271,11.3,4,20.9
"			1988-11",271,2.3,-5.3,10.7
"			1988-12",271,-2.8,-9.3,4.9
"			1989-01",271,-0.9,-5.7,4.8
"			1989-02",271,-0.1,-5.6,6.6
"			1989-03",271,3.1,-2.6,9.9
"			1989-04",271,10.8,1.8,20.3
"			1989-05",271,15.8,7.8,23.9
"			1989-06",271,18.1,12,25
"			1989-07",271,22,18,27.5
"			1989-08",271,22.2,16.8,27.8
"			1989-09",271,17.8,13,24
"			1989-10",271,9.7,2.7,18.9
"			1989-11",271,4.3,-1.1,11.2
"			1989-12",271,-0.3,-6.4,6.9
"			1990-01",271,-4.9,-11.1,1.6
"			1990-02",271,1.5,-2.7,6.6
"			1990-03",271,4.8,-1.4,11.8
"			1990-04",271,9.1,1.8,16.3
"			1990-05",271,14.4,8.1,21.1
"			1990-06",271,19.6,14.8,25.2
"			1990-07",271,23.7,19.8,28.9
"			1990-08",271,24.2,18.9,31.4
"			1990-09",271,18.3,13.6,24.5
"			1990-10",271,10.6,4,20.3
"			1990-11",271,6.3,0.3,14.2
"			1990-12",271,-2.5,-8.4,5.2
"			1991-01",271,-4.9,-11.3,2.4
"			1991-02",271,-3.5,-9.3,3.4
"			1991-03",271,2.9,-2.2,9.8
"			1991-04",271,9.7,0.8,19.5
"			1991-05",271,14.4,6.4,22.2
"			1991-06",271,20.6,14.3,27.4
"			1991-07",271,22.2,18.7,26.4
"			1991-08",271,21.9,17.3,27.4
"			1991-09",271,17.4,12.2,24.1
"			1991-10",271,9.8,2.6,18.9
"			1991-11",271,2.6,-4.6,12.1
"			1991-12",271,-0.1,-5.3,6.9
"			1992-01",271,-2.6,-8.6,4.6
"			1992-02",271,-2.4,-9.3,5.6
"			1992-03",271,3.9,-1.8,11.4
"			1992-04",271,9.2,2,17.3
"			1992-05",271,13.3,6,20.7
"			1992-06",271,17.9,11.3,25.8
"			1992-07",271,22.8,17.7,28.9
"			1992-08",271,22.1,18.1,27.2
"			1992-09",271,17.7,12.4,24.2
"			1992-10",271,10.2,3.6,18.6
"			1992-11",271,3.2,-3.9,11.7
"			1992-12",271,-0.7,-6.5,5.8
"			1993-01",271,-3.8,-9.5,2.9
"			1993-02",271,-0.7,-7,6.2
"			1993-03",271,2.4,-4.4,10.5
"			1993-04",271,9.4,1.1,17.6
"			1993-05",271,15,7.7,23.3
"			1993-06",271,19.8,14.9,25.8
"			1993-07",271,20.8,16.2,26
"			1993-08",271,20,15.6,25.7
"			1993-09",271,17.1,10.8,25.2
"			1993-10",271,9.4,1.6,18.8
"			1993-11",271,6.4,1,12.9
