년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000.0,1.0,271.0,-2.9,-8.4,3.2
2000.0,2.0,271.0,-3.7,-11.4,3.9
2000.0,3.0,271.0,3.2,-4.6,11.8
2000.0,4.0,271.0,8.9,1.1,17.0
2000.0,5.0,271.0,15.5,8.0,23.5
2000.0,6.0,271.0,19.9,13.7,27.4
2000.0,7.0,271.0,23.2,18.3,29.4
2000.0,8.0,271.0,22.7,18.4,28.4
2000.0,9.0,271.0,16.7,11.7,23.1
2000.0,10.0,271.0,10.8,4.2,19.8
2000.0,11.0,271.0,3.3,-2.8,11.9
2000.0,12.0,271.0,-2.6,-9.6,5.9
2001.0,1.0,271.0,-5.6,-11.7,0.6
2001.0,2.0,271.0,-2.0,-8.5,4.9
2001.0,3.0,271.0,2.8,-3.9,10.3
2001.0,4.0,271.0,10.0,0.4,19.6
2001.0,5.0,271.0,16.2,7.9,24.4
2001.0,6.0,271.0,19.8,13.9,26.8
2001.0,7.0,271.0,23.1,18.3,29.2
2001.0,8.0,271.0,22.3,17.0,29.0
2001.0,9.0,271.0,16.5,10.3,23.9
2001.0,10.0,271.0,11.8,6.2,19.3
2001.0,11.0,271.0,2.4,-4.5,11.3
2001.0,12.0,271.0,-4.3,-11.2,3.7
2002.0,1.0,271.0,-2.7,-8.1,3.1
2002.0,2.0,271.0,-1.1,-8.6,7.4
2002.0,3.0,271.0,4.7,-3.0,12.4
2002.0,4.0,271.0,10.1,1.9,18.0
2002.0,5.0,271.0,13.9,7.2,21.3
2002.0,6.0,271.0,17.8,10.4,25.4
2002.0,7.0,271.0,22.1,18.0,27.3
2002.0,8.0,271.0,20.8,17.5,25.3
2002.0,9.0,271.0,15.9,10.6,22.7
2002.0,10.0,271.0,8.5,2.3,16.4
2002.0,11.0,271.0,0.7,-5.6,8.0
2002.0,12.0,271.0,-1.2,-6.4,5.0
2003.0,1.0,271.0,-5.6,-12.2,1.2
2003.0,2.0,271.0,-1.1,-6.6,5.3
2003.0,3.0,271.0,2.6,-3.8,9.8
2003.0,4.0,271.0,9.5,2.6,16.7
2003.0,5.0,271.0,14.8,7.3,22.8
2003.0,6.0,271.0,18.3,13.1,24.5
2003.0,7.0,271.0,20.1,16.1,24.9
2003.0,8.0,271.0,21.0,17.3,26.1
2003.0,9.0,271.0,17.4,12.8,23.1
2003.0,10.0,271.0,8.7,1.9,18.0
2003.0,11.0,271.0,6.2,0.4,13.5
2003.0,12.0,271.0,-1.5,-7.8,5.3
2004.0,1.0,271.0,-4.9,-11.6,2.7
2004.0,2.0,271.0,-1.0,-7.7,6.7
2004.0,3.0,271.0,2.9,-4.7,11.0
2004.0,4.0,271.0,10.1,1.2,19.2
2004.0,5.0,271.0,15.0,8.1,21.8
2004.0,6.0,271.0,19.2,12.5,26.7
2004.0,7.0,271.0,22.8,18.6,28.0
2004.0,8.0,271.0,22.0,17.8,27.5
2004.0,9.0,271.0,17.5,12.3,23.6
2004.0,10.0,271.0,10.4,2.9,19.1
2004.0,11.0,271.0,5.3,-1.4,13.9
2004.0,12.0,271.0,-0.5,-6.6,7.2
2005.0,1.0,271.0,-4.6,-11.8,2.4
2005.0,2.0,271.0,-3.5,-9.7,2.8
2005.0,3.0,271.0,2.1,-4.9,9.4
