년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,136,-0.9,-5.8,4.4
2000,2,136,-0.9,-7.1,5.3
2000,3,136,6.4,-0.7,13.7
2000,4,136,11.9,4.7,18.9
2000,5,136,18.2,11.5,25.4
2000,6,136,22.1,16.7,28.5
2000,7,136,24.9,20.5,30.6
2000,8,136,24.3,20.7,29.1
2000,9,136,18.3,14.3,23.5
2000,10,136,12.9,7.6,19.9
2000,11,136,5.1,-0.1,12.0
2000,12,136,-0.8,-6.5,5.9
2001,1,136,-3.6,-8.3,1.4
2001,2,136,-0.5,-6.0,5.5
2001,3,136,4.8,-1.6,11.9
2001,4,136,12.7,4.3,20.6
2001,5,136,18.4,11.4,25.8
2001,6,136,21.9,16.9,28.3
2001,7,136,25.1,20.9,30.7
2001,8,136,24.6,19.9,30.3
2001,9,136,19.3,14.1,25.7
2001,10,136,14.0,9.6,20.2
2001,11,136,4.6,-0.9,12.3
2001,12,136,-1.3,-6.6,4.7
2002,1,136,-0.5,-4.9,4.6
2002,2,136,1.1,-5.2,8.2
2002,3,136,7.2,0.7,14.2
2002,4,136,12.6,5.6,19.7
2002,5,136,16.4,10.4,22.8
2002,6,136,21.3,14.9,28.1
2002,7,136,25.0,21.1,29.6
2002,8,136,23.7,20.6,27.6
2002,9,136,19.4,15.0,25.1
2002,10,136,11.6,6.4,18.3
2002,11,136,3.4,-2.4,10.0
2002,12,136,1.1,-3.5,6.6
2003,1,136,-2.9,-8.5,3.0
2003,2,136,1.5,-3.5,7.2
2003,3,136,5.7,-0.1,11.9
2003,4,136,12.3,6.2,18.8
2003,5,136,17.4,11.1,24.2
2003,6,136,20.3,15.9,25.7
2003,7,136,21.5,18.2,25.7
2003,8,136,22.9,19.7,27.4
2003,9,136,19.7,15.9,24.8
2003,10,136,11.8,5.8,19.7
2003,11,136,8.1,3.0,14.1
2003,12,136,0.4,-4.8,6.4
2004,1,136,-2.3,-7.9,4.1
2004,2,136,1.5,-4.8,8.5
2004,3,136,5.4,-1.7,12.6
2004,4,136,13.1,5.2,21.0
2004,5,136,17.2,11.4,23.3
2004,6,136,21.6,15.5,28.3
2004,7,136,24.9,21.0,29.7
2004,8,136,23.9,20.0,29.1
2004,9,136,19.5,15.4,25.2
2004,10,136,12.7,6.3,20.3
2004,11,136,7.2,1.4,14.6
2004,12,136,0.9,-4.4,7.3
2005,1,136,-2.6,-8.0,3.3
2005,2,136,-1.7,-7.1,3.8
2005,3,136,4.2,-2.2,10.8
2005,4,136,13.1,5.3,20.3
2005,5,136,16.8,10.1,24.0
2005,6,136,22.1,16.9,28.4
2005,7,136,24.2,20.5,28.7
2005,8,136,23.7,20.0,28.6
2005,9,136,20.1,16.2,25.1
2005,10,136,13.1,8.3,19.3
2005,11,136,6.5,0.0,13.8
2005,12,136,-3.7,-9.5,2.3
2006,1,136,-0.7,-6.1,5.2
2006,2,136,0.3,-4.7,5.8
2006,3,136,5.5,-0.7,12.0
2006,4,136,11.0,5.0,17.3
2006,5,136,17.4,11.6,23.6
2006,6,136,21.5,16.0,27.5
2006,7,136,22.5,20.0,26.1
2006,8,136,26.0,21.9,31.2
2006,9,136,18.4,13.4,24.3
2006,10,136,15.6,9.8,23.0
2006,11,136,7.1,1.8,13.1
2006,12,136,0.3,-4.7,6.5
2007,1,136,-0.4,-5.9,6.3
2007,2,136,3.3,-3.0,10.4
2007,3,136,5.9,0.7,12.1
2007,4,136,11.5,4.7,18.4
2007,5,136,18.0,11.6,25.0
2007,6,136,22.0,16.6,28.1
2007,7,136,23.2,19.9,27.5
2007,8,136,25.7,22.3,30.3
2007,9,136,20.9,17.6,24.8
2007,10,136,14.5,9.6,21.0
2007,11,136,5.8,-0.5,13.5
2007,12,136,1.1,-3.4,6.6
2008,1,136,-1.0,-5.6,4.2
2008,2,136,-1.1,-7.8,5.7
2008,3,136,6.7,0.6,13.5
2008,4,136,13.2,5.9,20.4
2008,5,136,18.1,11.1,24.9
2008,6,136,20.5,15.6,25.9
2008,7,136,26.6,22.6,31.6
2008,8,136,24.3,20.0,29.7
2008,9,136,20.8,16.2,26.8
2008,10,136,14.7,9.4,21.6
2008,11,136,6.3,1.0,12.6
2008,12,136,0.3,-5.3,6.7
2009,1,136,-2.6,-8.8,4.2
2009,2,136,3.5,-2.6,9.7
2009,3,136,7.0,0.7,13.5
2009,4,136,13.0,5.7,20.4
2009,5,136,18.5,11.5,26.1
2009,6,136,22.2,16.5,28.2
2009,7,136,23.6,19.9,28.4
2009,8,136,24.0,20.0,28.7
2009,9,136,20.5,15.6,26.6
2009,10,136,14.2,7.8,21.9
2009,11,136,6.8,2.0,12.5
2009,12,136,-0.2,-4.7,5.3
2010,1,136,-3.3,-9.1,2.5
2010,2,136,1.3,-3.6,6.8
2010,3,136,4.7,0.3,9.7
2010,4,136,9.8,3.6,16.1
2010,5,136,17.6,10.9,24.4
2010,6,136,23.2,17.0,29.9
2010,7,136,26.0,22.1,30.8
2010,8,136,27.3,23.6,32.2
2010,9,136,21.4,17.5,27.1
2010,10,136,13.8,8.9,20.5
2010,11,136,5.5,-0.6,13.0
2010,12,136,-0.7,-5.6,5.0
2011,1,136,-5.5,-11.5,0.4
2011,2,136,1.4,-4.7,8.1
2011,3,136,4.6,-1.7,10.9
2011,4,136,11.5,4.9,18.3
2011,5,136,17.5,11.6,23.7
2011,6,136,22.6,17.3,28.5
2011,7,136,25.5,22.3,29.8
2011,8,136,25.1,21.7,29.8
2011,9,136,20.7,16.2,26.4
2011,10,136,13.1,7.6,20.2
2011,11,136,9.8,5.2,15.1
2011,12,136,-0.4,-5.7,5.4
2012,1,136,-1.9,-7.4,4.0
2012,2,136,-1.2,-7.1,4.9
2012,3,136,5.7,0.3,11.2
2012,4,136,13.2,6.7,20.1
2012,5,136,18.6,12.3,25.4
2012,6,136,22.4,17.5,28.0
2012,7,136,26.1,22.1,30.8
2012,8,136,26.7,23.1,31.5
2012,9,136,20.3,16.0,25.8
2012,10,136,13.3,7.5,20.7
2012,11,136,5.6,0.3,11.5
2012,12,136,-3.0,-7.6,1.8
2013,1,136,-3.2,-9.0,2.7
2013,2,136,0.6,-4.7,6.4
2013,3,136,7.1,-0.5,14.9
2013,4,136,10.5,4.0,17.0
2013,5,136,18.7,11.9,25.8
2013,6,136,23.2,18.6,28.9
2013,7,136,26.8,23.6,31.5
2013,8,136,27.4,22.8,33.0
2013,9,136,19.9,15.0,26.2
2013,10,136,13.7,8.0,21.2
2013,11,136,4.5,-0.8,10.8
2013,12,136,0.0,-5.3,5.9
2014,1,136,-0.6,-6.9,6.1
2014,2,136,1.9,-3.8,8.1
2014,3,136,7.5,1.2,14.1
2014,4,136,13.9,6.9,21.0
2014,5,136,18.6,11.2,26.2
2014,6,136,21.7,17.1,27.5
2014,7,136,25.4,20.9,31.1
2014,8,136,23.2,20.0,27.8
2014,9,136,20.0,15.6,26.2
2014,10,136,13.2,7.7,20.3
2014,11,136,7.1,1.9,13.4
2014,12,136,-2.4,-7.1,2.9
2015,1,136,-0.8,-5.9,4.7
2015,2,136,1.2,-4.2,7.1
2015,3,136,6.6,-0.7,14.1
2015,4,136,12.6,6.8,18.8
2015,5,136,19.3,11.6,26.8
2015,6,136,22.0,16.4,28.4
2015,7,136,24.6,20.6,29.3
2015,8,136,24.9,20.6,30.8
2015,9,136,19.8,14.4,26.2
2015,10,136,14.1,7.9,21.6
2015,11,136,9.0,5.3,13.5
2015,12,136,1.9,-2.6,7.1
2016,1,136,-2.3,-7.5,3.2
2016,2,136,0.8,-4.8,6.9
2016,3,136,7.1,0.7,13.9
2016,4,136,14.0,7.6,20.9
2016,5,136,19.0,11.4,26.4
2016,6,136,23.2,17.9,28.8
2016,7,136,25.4,21.4,30.5
2016,8,136,26.7,21.8,33.4
2016,9,136,21.0,17.4,25.7
2016,10,136,15.0,11.5,20.3
2016,11,136,6.7,1.5,12.6
2016,12,136,1.7,-3.6,7.4
2017,1,136,-1.0,-6.7,5.2
2017,2,136,1.0,-5.5,7.4
2017,3,136,6.2,-0.2,13.2
2017,4,136,14.1,7.0,21.3
2017,5,136,19.4,12.2,26.8
2017,6,136,22.3,16.0,29.7
2017,7,136,26.1,22.5,30.9
2017,8,136,25.1,21.3,29.9
2017,9,136,20.0,14.7,26.4
