년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,277,1.5,-2.4,5.7
2000,2,277,0.8,-3.8,6.1
2000,3,277,7.4,1.7,13.0
2000,4,277,11.7,6.4,17.1
2000,5,277,16.4,11.1,22.2
2000,6,277,20.0,15.6,24.8
2000,7,277,24.6,20.7,29.3
2000,8,277,24.0,20.8,28.2
2000,9,277,18.6,15.3,22.4
2000,10,277,14.2,9.6,19.3
2000,11,277,8.2,3.7,13.1
2000,12,277,3.5,-1.3,8.7
2001,1,277,-0.6,-4.3,3.3
2001,2,277,2.7,-1.7,7.4
2001,3,277,6.3,1.0,12.0
2001,4,277,12.8,6.7,18.5
2001,5,277,18.0,13.2,23.2
2001,6,277,20.5,16.6,25.1
2001,7,277,24.9,20.6,30.0
2001,8,277,24.1,20.6,28.9
2001,9,277,19.6,15.8,24.2
2001,10,277,15.4,11.6,20.4
2001,11,277,8.3,3.6,13.7
2001,12,277,2.2,-1.3,6.6
2002,1,277,2.1,-1.6,6.2
2002,2,277,4.3,-0.5,9.6
2002,3,277,8.4,2.9,13.8
2002,4,277,12.7,7.2,18.5
2002,5,277,15.3,10.6,20.0
2002,6,277,19.4,14.1,25.2
2002,7,277,22.9,19.6,27.1
2002,8,277,22.2,19.7,25.7
2002,9,277,18.3,14.3,23.1
2002,10,277,12.9,7.9,18.4
2002,11,277,5.6,0.8,10.9
2002,12,277,3.2,-0.2,7.1
2003,1,277,-0.2,-4.0,4.3
2003,2,277,2.9,-1.2,7.4
2003,3,277,6.0,1.5,10.7
2003,4,277,11.8,7.2,16.7
2003,5,277,14.6,9.8,19.9
2003,6,277,19.6,15.5,24.1
2003,7,277,19.9,17.5,23.2
2003,8,277,22.2,19.4,26.0
2003,9,277,19.5,16.2,23.8
2003,10,277,13.2,8.4,18.9
2003,11,277,11.0,6.7,15.6
2003,12,277,3.5,-0.4,7.9
2004,1,277,0.6,-3.6,5.6
2004,2,277,4.5,-1.0,10.0
2004,3,277,7.3,1.5,13.0
2004,4,277,13.7,7.7,20.0
2004,5,277,17.4,12.4,22.6
2004,6,277,20.7,15.2,26.2
2004,7,277,24.8,21.1,29.7
2004,8,277,23.8,20.5,28.2
2004,9,277,20.2,16.5,24.5
2004,10,277,14.6,9.5,20.0
2004,11,277,10.4,5.3,16.2
2004,12,277,4.6,-0.1,9.7
2005,1,277,0.2,-3.7,4.6
2005,2,277,0.5,-3.7,4.9
2005,3,277,5.4,0.2,11.0
2005,4,277,13.6,6.8,19.9
2005,5,277,15.7,10.0,21.6
2005,6,277,22.0,17.3,27.5
2005,7,277,24.5,21.1,28.7
2005,8,277,24.9,21.5,29.6
2005,9,277,20.6,17.3,24.6
2005,10,277,15.0,10.3,20.1
2005,11,277,9.6,4.3,15.3
2005,12,277,-0.6,-5.0,4.1
2006,1,277,1.8,-1.8,6.4
2006,2,277,2.9,-1.7,7.5
2006,3,277,6.9,1.2,12.9
2006,4,277,11.3,5.8,17.2
2006,5,277,16.4,11.6,21.7
2006,6,277,20.3,16.1,25.5
2006,7,277,21.9,19.5,25.6
2006,8,277,25.7,21.8,30.7
2006,9,277,19.1,15.2,23.9
2006,10,277,17.6,13.0,23.0
2006,11,277,10.0,5.5,14.8
2006,12,277,3.9,-0.3,8.7
2007,1,277,3.2,-0.8,8.1
2007,2,277,5.6,0.8,10.9
2007,3,277,7.4,2.8,12.8
2007,4,277,12.2,6.7,18.1
2007,5,277,17.4,12.3,23.4
2007,6,277,20.4,15.9,25.4
2007,7,277,22.4,19.4,26.3
2007,8,277,25.8,22.0,30.6
2007,9,277,20.8,17.8,24.9
2007,10,277,15.3,11.0,20.6
2007,11,277,8.9,3.9,14.4
2007,12,277,4.3,0.5,8.4
2008,1,277,1.7,-1.9,6.0
2008,2,277,1.7,-2.9,7.2
2008,3,277,7.8,2.7,13.4
2008,4,277,13.1,7.4,18.7
2008,5,277,17.9,12.2,23.9
2008,6,277,19.6,16.0,23.8
2008,7,277,26.7,22.7,32.2
2008,8,277,23.9,20.1,28.6
2008,9,277,20.8,16.6,26.2
2008,10,277,16.7,11.7,22.7
2008,11,277,9.6,5.0,14.5
2008,12,277,3.8,-0.8,9.2
2009,1,277,1.0,-3.5,6.1
2009,2,277,6.0,1.5,11.1
2009,3,277,8.0,2.6,13.5
2009,4,277,13.5,7.2,20.1
2009,5,277,18.4,13.0,24.3
2009,6,277,22.0,17.1,27.7
2009,7,277,22.9,19.3,27.6
2009,8,277,23.6,20.3,27.9
2009,9,277,20.8,16.6,26.3
2009,10,277,16.4,11.2,22.7
2009,11,277,9.2,5.2,14.1
2009,12,277,2.9,-1.0,7.9
2010,1,277,0.2,-4.2,5.0
2010,2,277,3.1,-0.9,7.7
2010,3,277,5.8,1.7,10.4
2010,4,277,10.3,4.9,15.7
2010,5,277,17.1,11.5,22.9
2010,6,277,21.8,16.4,28.1
2010,7,277,25.7,22.2,30.4
2010,8,277,27.1,23.6,31.9
2010,9,277,21.4,17.0,26.8
2010,10,277,15.5,11.0,20.8
2010,11,277,8.9,3.3,14.8
2010,12,277,2.8,-2.1,7.9
2011,1,277,-2.6,-6.8,2.0
2011,2,277,3.5,-1.1,8.2
2011,3,277,5.8,0.3,11.8
2011,4,277,12.0,6.1,17.9
2011,5,277,16.5,11.8,21.7
