년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,272,-1.6,-6.1,2.9
2000,2,272,-1.5,-7.0,3.6
2000,3,272,5.7,-0.6,12.2
2000,4,272,11.4,4.4,18.2
2000,5,272,17.7,11.1,24.3
2000,6,272,22.1,16.7,28.1
2000,7,272,25.4,20.6,31.1
2000,8,272,24.5,20.7,29.9
2000,9,272,18.4,13.9,24.1
2000,10,272,13.0,6.8,20.3
2000,11,272,5.7,0.1,12.1
2000,12,272,-0.4,-6.4,5.8
2001,1,272,-3.9,-8.6,0.5
2001,2,272,-0.5,-5.6,4.5
2001,3,272,4.0,-1.9,10.3
2001,4,272,12.1,3.6,19.6
2001,5,272,17.9,10.7,24.6
2001,6,272,21.3,16.3,27.0
2001,7,272,24.4,19.8,29.9
2001,8,272,23.8,18.5,30.2
2001,9,272,18.1,11.9,25.5
2001,10,272,12.8,7.5,19.4
2001,11,272,4.2,-1.8,11.1
2001,12,272,-2.1,-7.2,3.2
2002,1,272,-1.4,-5.7,2.9
2002,2,272,0.3,-5.7,6.4
2002,3,272,6.4,-0.2,12.8
2002,4,272,11.8,4.5,18.9
2002,5,272,15.7,9.4,22.1
2002,6,272,19.9,13.2,26.7
2002,7,272,23.4,19.3,28.3
2002,8,272,22.7,19.9,26.5
2002,9,272,18.6,13.2,25.2
2002,10,272,10.7,4.8,17.5
2002,11,272,2.9,-2.3,8.2
2002,12,272,0.7,-3.6,5.3
2003,1,272,-3.4,-8.7,1.3
2003,2,272,1.2,-3.6,5.7
2003,3,272,4.8,-1.0,10.7
2003,4,272,11.7,5.3,18.2
2003,5,272,17.2,10.2,24.3
2003,6,272,20.7,15.6,26.4
2003,7,272,22.0,18.4,26.7
2003,8,272,23.1,19.4,28.0
2003,9,272,19.4,14.8,25.0
2003,10,272,11.3,4.8,18.9
2003,11,272,7.8,2.3,13.6
2003,12,272,0.3,-4.7,4.7
2004,1,272,-2.8,-7.8,2.5
2004,2,272,0.9,-5.0,6.9
2004,3,272,5.1,-1.5,11.5
2004,4,272,12.8,4.9,20.0
2004,5,272,17.0,10.8,22.9
2004,6,272,21.6,15.4,28.0
2004,7,272,24.7,20.6,29.7
2004,8,272,24.0,19.8,29.7
2004,9,272,19.3,14.2,25.8
2004,10,272,12.2,4.9,20.2
2004,11,272,7.4,1.1,14.1
2004,12,272,1.4,-4.0,7.2
2005,1,272,-2.5,-7.5,2.4
2005,2,272,-2.0,-7.4,3.0
2005,3,272,4.3,-1.6,10.2
2005,4,272,12.8,4.8,20.0
2005,5,272,17.0,10.1,23.9
2005,6,272,22.1,16.8,28.0
2005,7,272,24.1,20.2,28.5
2005,8,272,24.5,20.8,29.5
2005,9,272,20.7,16.6,25.8
2005,10,272,13.4,7.9,19.5
2005,11,272,6.5,0.3,12.8
2005,12,272,-3.7,-8.5,0.7
2006,1,272,-0.6,-5.5,4.3
2006,2,272,0.3,-4.6,5.0
2006,3,272,5.2,-1.0,11.5
2006,4,272,10.9,5.2,16.8
2006,5,272,17.3,11.2,23.5
2006,6,272,21.6,15.9,27.6
2006,7,272,22.2,19.6,26.1
2006,8,272,25.5,21.1,31.0
2006,9,272,18.1,12.6,24.7
2006,10,272,15.2,8.9,22.8
2006,11,272,7.0,1.9,12.7
2006,12,272,0.5,-4.4,5.9
2007,1,272,0.0,-5.3,5.5
2007,2,272,3.2,-2.8,9.6
2007,3,272,5.8,0.9,11.3
2007,4,272,11.5,5.1,17.6
2007,5,272,17.4,11.2,23.9
2007,6,272,21.4,16.1,27.4
2007,7,272,22.8,19.4,26.9
2007,8,272,25.1,21.4,30.0
2007,9,272,20.6,17.2,25.1
2007,10,272,13.9,8.4,20.1
2007,11,272,5.4,-0.8,11.7
2007,12,272,0.8,-3.5,5.1
2008,1,272,-1.2,-5.7,3.0
2008,2,272,-1.5,-7.3,4.1
2008,3,272,5.8,-0.6,12.3
2008,4,272,12.1,4.4,19.6
2008,5,272,17.1,9.6,23.9
2008,6,272,19.9,14.5,25.6
2008,7,272,25.3,21.3,30.3
2008,8,272,23.4,18.7,29.3
2008,9,272,19.7,14.6,26.6
2008,10,272,13.8,7.7,21.1
2008,11,272,5.9,0.2,11.8
2008,12,272,-0.2,-5.2,5.6
2009,1,272,-2.9,-8.9,2.9
2009,2,272,2.9,-3.2,8.4
2009,3,272,6.0,-0.1,12.0
2009,4,272,12.0,4.6,19.1
2009,5,272,17.8,10.6,25.1
2009,6,272,21.3,15.8,27.4
2009,7,272,22.9,19.1,27.7
2009,8,272,23.2,18.7,28.6
2009,9,272,19.4,13.7,26.2
2009,10,272,13.0,6.2,20.9
2009,11,272,6.1,0.8,11.5
2009,12,272,-0.9,-5.5,4.1
2010,1,272,-3.9,-9.6,1.2
2010,2,272,0.5,-4.0,5.6
2010,3,272,4.0,-0.1,8.5
2010,4,272,8.9,2.5,15.3
2010,5,272,16.7,10.1,23.5
2010,6,272,22.1,15.7,29.1
2010,7,272,24.8,21.2,29.4
2010,8,272,26.0,22.9,31.1
2010,9,272,20.2,15.9,26.0
2010,10,272,12.6,6.7,19.8
2010,11,272,4.7,-1.7,11.6
2010,12,272,-1.3,-6.4,4.2
2011,1,272,-6.1,-11.5,-1.5
2011,2,272,0.7,-5.8,7.2
2011,3,272,3.9,-1.7,9.6
2011,4,272,10.6,3.5,17.4
2011,5,272,16.7,10.7,22.9
2011,6,272,21.8,16.1,27.9
2011,7,272,24.5,21.3,28.6
2011,8,272,24.3,20.9,28.9
2011,9,272,19.6,14.7,25.6
2011,10,272,12.1,5.7,19.4
2011,11,272,9.0,4.2,14.2
2011,12,272,-0.7,-5.5,3.7
2012,1,272,-2.3,-7.3,2.5
2012,2,272,-2.0,-7.4,3.7
2012,3,272,5.1,0.2,10.0
2012,4,272,12.2,5.6,18.8
2012,5,272,17.6,11.3,24.4
2012,6,272,21.6,16.3,27.7
2012,7,272,24.9,20.8,29.7
2012,8,272,25.3,21.6,30.4
2012,9,272,18.9,14.2,24.7
2012,10,272,12.3,5.7,19.8
2012,11,272,4.7,-0.3,9.9
2012,12,272,-3.9,-8.3,0.9
2013,1,272,-4.2,-9.5,1.0
2013,2,272,-0.3,-5.2,4.8
2013,3,272,6.0,-1.2,13.1
2013,4,272,9.4,3.2,15.7
2013,5,272,17.6,10.5,24.6
2013,6,272,22.4,17.5,28.5
2013,7,272,25.2,22.1,29.6
2013,8,272,25.5,20.9,31.4
2013,9,272,19.4,14.4,25.5
2013,10,272,13.8,7.5,21.3
2013,11,272,4.9,0.0,10.7
2013,12,272,-0.1,-4.8,4.6
2014,1,272,-0.8,-6.8,4.5
2014,2,272,1.2,-4.6,7.2
2014,3,272,6.7,0.1,12.9
2014,4,272,13.1,5.8,20.2
2014,5,272,18.1,10.6,25.7
2014,6,272,21.6,16.9,27.4
2014,7,272,24.8,20.4,30.4
2014,8,272,22.9,19.4,27.6
2014,9,272,19.4,13.8,26.1
2014,10,272,12.4,5.9,20.1
2014,11,272,7.1,1.6,13.1
2014,12,272,-2.6,-7.2,2.0
2015,1,272,-0.9,-6.0,3.9
2015,2,272,0.9,-3.9,6.0
2015,3,272,6.2,-0.9,13.0
2015,4,272,12.3,6.2,18.1
2015,5,272,18.9,11.2,26.2
2015,6,272,21.9,15.7,28.7
2015,7,272,24.0,20.0,29.1
2015,8,272,24.4,19.6,31.0
2015,9,272,19.1,12.9,26.5
2015,10,272,13.6,7.2,21.1
