년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,281,-0.1,-5.2,5.4
2000,2,281,0.2,-5.5,6.4
2000,3,281,6.7,-0.8,14.2
2000,4,281,12.5,5.1,19.9
2000,5,281,19.0,11.5,26.8
2000,6,281,22.1,16.7,28.3
2000,7,281,26.1,21.5,31.5
2000,8,281,25.8,21.9,30.8
2000,9,281,19.8,15.5,25.0
2000,10,281,14.0,8.1,21.1
2000,11,281,6.7,0.8,13.8
2000,12,281,0.4,-6.1,8.1
2001,1,281,-1.8,-6.4,3.2
2001,2,281,1.4,-4.6,7.8
2001,3,281,6.5,-0.8,14.0
2001,4,281,13.2,3.8,21.8
2001,5,281,18.5,11.5,25.7
2001,6,281,22.3,17.5,28.1
2001,7,281,26.3,21.4,32.3
2001,8,281,25.4,20.9,31.5
2001,9,281,20.0,14.8,26.6
2001,10,281,15.1,9.9,21.8
2001,11,281,5.9,-0.7,14.2
2001,12,281,0.5,-4.6,6.5
2002,1,281,1.2,-3.8,6.7
2002,2,281,2.1,-5.0,10.0
2002,3,281,8.2,1.1,15.5
2002,4,281,13.6,6.2,20.5
2002,5,281,16.6,10.5,23.1
2002,6,281,21.3,14.4,28.4
2002,7,281,25.0,21.1,29.7
2002,8,281,24.0,20.8,28.1
2002,9,281,19.2,14.2,25.7
2002,10,281,12.3,6.2,19.6
2002,11,281,4.5,-1.9,11.4
2002,12,281,2.1,-2.7,7.4
2003,1,281,-1.9,-7.8,4.2
2003,2,281,2.0,-3.6,8.2
2003,3,281,6.0,-0.1,12.2
2003,4,281,12.5,6.2,18.9
2003,5,281,16.7,10.2,23.6
2003,6,281,21.3,16.6,26.7
2003,7,281,21.9,19.1,25.8
2003,8,281,24.0,20.2,28.7
2003,9,281,20.9,16.6,26.4
2003,10,281,12.8,6.4,20.8
2003,11,281,9.4,4.0,15.8
2003,12,281,2.1,-3.2,7.8
2004,1,281,-1.0,-6.4,5.6
2004,2,281,2.9,-4.5,10.4
2004,3,281,6.7,-0.8,14.4
2004,4,281,13.7,5.4,22.1
2004,5,281,18.1,11.7,24.2
2004,6,281,21.7,15.8,28.1
2004,7,281,26.3,21.9,31.7
2004,8,281,24.8,20.8,30.2
2004,9,281,20.4,16.1,25.7
2004,10,281,13.6,6.6,21.2
2004,11,281,8.1,1.6,16.2
2004,12,281,2.6,-3.2,9.6
2005,1,281,0.3,-5.0,6.3
2005,2,281,-0.3,-5.4,5.2
2005,3,281,5.3,-1.5,12.0
2005,4,281,13.9,5.4,21.9
2005,5,281,17.2,9.9,25.2
2005,6,281,23.4,17.5,30.0
2005,7,281,25.4,21.5,30.2
2005,8,281,25.4,21.3,30.8
2005,9,281,21.3,17.3,26.3
2005,10,281,13.7,7.4,21.0
2005,11,281,6.9,-0.5,15.5
2005,12,281,-2.4,-7.9,3.6
2006,1,281,0.2,-5.3,6.2
2006,2,281,1.4,-4.3,7.5
2006,3,281,6.2,-1.0,13.7
2006,4,281,11.6,5.4,18.1
2006,5,281,17.2,11.3,23.7
2006,6,281,21.8,16.1,28.3
2006,7,281,23.3,20.4,27.3
2006,8,281,27.0,22.1,33.4
2006,9,281,18.8,13.8,24.9
2006,10,281,16.1,9.7,24.4
2006,11,281,8.1,2.0,14.8
2006,12,281,1.1,-4.7,8.1
2007,1,281,0.6,-5.3,7.6
2007,2,281,3.8,-2.7,11.4
2007,3,281,7.0,1.1,13.9
2007,4,281,12.2,4.4,19.6
2007,5,281,17.8,11.0,25.3
2007,6,281,21.5,16.2,27.2
2007,7,281,23.6,19.7,28.3
2007,8,281,26.5,22.3,31.9
2007,9,281,21.3,17.7,25.6
2007,10,281,14.6,9.0,21.3
2007,11,281,6.1,-1.1,14.4
2007,12,281,2.2,-2.9,7.8
2008,1,281,0.2,-4.3,5.3
2008,2,281,0.1,-6.3,6.8
2008,3,281,6.7,-0.2,14.1
2008,4,281,12.6,5.2,19.9
2008,5,281,17.6,10.5,24.7
2008,6,281,19.6,15.3,24.3
2008,7,281,26.6,22.3,32.0
2008,8,281,24.2,20.0,29.5
2008,9,281,21.0,15.9,27.2
2008,10,281,15.3,8.9,23.1
2008,11,281,7.3,1.0,14.1
2008,12,281,1.0,-4.9,8.2
2009,1,281,-1.6,-7.8,5.2
2009,2,281,4.4,-1.6,11.2
2009,3,281,7.5,0.7,14.1
2009,4,281,13.2,5.0,21.4
2009,5,281,18.3,11.0,26.0
2009,6,281,21.9,16.1,27.9
2009,7,281,23.0,19.4,27.6
2009,8,281,23.5,19.4,28.2
2009,9,281,20.0,14.9,26.4
2009,10,281,14.3,7.4,22.6
2009,11,281,7.2,1.8,13.5
2009,12,281,0.6,-4.4,6.6
2010,1,281,-1.6,-7.4,4.5
2010,2,281,2.2,-2.9,8.1
2010,3,281,5.5,0.8,10.5
2010,4,281,9.8,3.6,16.4
2010,5,281,17.1,10.2,24.0
2010,6,281,22.2,16.0,28.6
2010,7,281,25.2,21.4,30.1
2010,8,281,27.2,23.2,32.7
2010,9,281,21.3,16.4,27.6
2010,10,281,14.4,8.2,21.2
2010,11,281,5.9,-1.4,14.7
2010,12,281,0.1,-5.6,6.5
2011,1,281,-3.7,-8.9,1.7
2011,2,281,1.9,-4.2,8.8
2011,3,281,5.2,-1.6,12.2
2011,4,281,11.8,4.3,18.9
2011,5,281,16.8,10.8,22.9
2011,6,281,22.6,17.3,28.4
2011,7,281,25.3,21.6,30.1
2011,8,281,24.8,21.4,29.1
2011,9,281,20.9,16.0,26.8
2011,10,281,13.3,6.8,20.7
2011,11,281,10.2,5.3,15.9
2011,12,281,0.7,-4.3,6.4
2012,1,281,-0.7,-5.6,4.8
2012,2,281,-0.5,-6.0,5.5
2012,3,281,6.3,1.1,12.1
2012,4,281,13.2,6.0,20.4
2012,5,281,17.9,11.7,25.0
2012,6,281,21.5,16.7,26.9
2012,7,281,26.0,21.7,30.9
2012,8,281,26.3,22.6,31.1
2012,9,281,20.0,15.1,26.0
2012,10,281,13.3,6.3,21.6
2012,11,281,6.4,0.3,12.8
2012,12,281,-1.6,-6.5,3.5
2013,1,281,-2.0,-7.6,4.0
2013,2,281,1.2,-4.0,7.1
2013,3,281,7.7,-0.4,15.7
2013,4,281,10.7,3.8,17.7
2013,5,281,18.2,11.3,25.7
2013,6,281,22.2,17.9,27.8
2013,7,281,26.9,22.8,32.0
2013,8,281,27.0,22.3,33.1
2013,9,281,20.8,15.9,26.8
2013,10,281,15.0,9.2,22.3
2013,11,281,6.8,0.9,13.5
2013,12,281,1.3,-4.0,7.4
2014,1,281,0.3,-6.4,7.6
2014,2,281,2.3,-2.9,8.2
2014,3,281,7.6,1.1,14.4
