년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,115,1.9,-0.3,4.3
2000,2,115,0.8,-1.6,4.2
2000,3,115,6.6,2.9,11.8
2000,4,115,11.9,7.7,18.1
2000,5,115,17.2,12.2,23.3
2000,6,115,19.5,15.7,24.3
2000,7,115,23.9,21.2,27.2
2000,8,115,23.5,21.3,26.7
2000,9,115,18.7,16.4,21.9
2000,10,115,15.1,12.4,19.5
2000,11,115,9.2,6.4,13.1
2000,12,115,4.7,1.7,8.7
2001,1,115,-0.1,-2.4,3.0
2001,2,115,2.2,-0.2,5.7
2001,3,115,5.4,2.2,9.0
2001,4,115,12.1,7.9,16.9
2001,5,115,16.4,12.8,21.0
2001,6,115,19.2,16.6,23.1
2001,7,115,23.5,20.8,27.1
2001,8,115,23.9,21.6,27.9
2001,9,115,19.6,17.1,23.4
2001,10,115,16.0,13.6,19.7
2001,11,115,9.8,7.3,13.6
2001,12,115,3.3,1.3,5.9
2002,1,115,2.2,-0.2,5.0
2002,2,115,4.1,1.5,7.9
2002,3,115,7.5,4.4,11.3
2002,4,115,12.1,8.7,16.5
2002,5,115,14.9,11.9,19.0
2002,6,115,19.1,16.1,23.0
2002,7,115,22.2,19.9,25.2
2002,8,115,22.0,19.9,24.9
2002,9,115,18.7,16.2,22.5
2002,10,115,14.3,11.6,17.8
2002,11,115,6.6,3.8,10.4
2002,12,115,3.2,1.1,5.8
2003,1,115,0.4,-1.9,3.5
2003,2,115,2.5,0.2,5.7
2003,3,115,5.0,2.5,8.9
2003,4,115,10.4,7.4,14.5
2003,5,115,14.6,11.4,18.6
2003,6,115,19.2,16.6,23.3
2003,7,115,19.7,17.8,22.6
2003,8,115,22.2,19.9,25.6
2003,9,115,19.6,17.3,22.7
2003,10,115,14.7,12.1,18.7
2003,11,115,11.1,8.7,14.4
2003,12,115,5.0,2.4,8.1
2004,1,115,1.6,-0.5,4.7
2004,2,115,4.3,1.5,7.6
2004,3,115,5.9,3.1,10.0
2004,4,115,12.1,8.0,16.8
2004,5,115,15.8,12.8,19.2
2004,6,115,20.0,16.9,23.8
2004,7,115,23.7,21.3,26.7
2004,8,115,22.5,20.3,25.8
2004,9,115,19.8,17.4,22.9
2004,10,115,14.8,12.3,18.7
2004,11,115,11.4,8.7,15.2
2004,12,115,5.7,3.4,9.0
2005,1,115,1.6,-0.8,4.7
2005,2,115,0.3,-2.1,3.1
2005,3,115,4.3,1.3,7.9
2005,4,115,11.6,8.1,16.1
2005,5,115,14.2,10.8,18.1
2005,6,115,20.4,17.6,24.1
2005,7,115,23.1,20.7,26.4
2005,8,115,24.6,22.4,27.8
2005,9,115,20.2,18.1,23.2
2005,10,115,15.5,13.1,18.6
2005,11,115,10.7,8.5,14.1
2005,12,115,0.3,-2.0,3.1
2006,1,115,1.6,-0.5,4.4
2006,2,115,2.4,-0.2,5.8
2006,3,115,4.9,1.4,8.8
2006,4,115,8.6,5.6,12.2
2006,5,115,14.0,11.0,17.5
2006,6,115,18.1,15.6,21.4
2006,7,115,20.7,18.6,23.4
2006,8,115,24.8,22.2,28.3
2006,9,115,18.8,16.6,21.9
2006,10,115,17.1,14.8,20.5
2006,11,115,10.1,7.5,13.2
2006,12,115,4.9,2.8,7.7
2007,1,115,3.9,1.7,7.1
2007,2,115,5.2,2.8,8.4
2007,3,115,6.0,3.2,9.7
2007,4,115,10.4,7.4,13.9
2007,5,115,15.8,12.4,19.7
2007,6,115,19.1,16.5,22.4
2007,7,115,20.8,18.8,23.5
2007,8,115,25.3,23.1,28.2
2007,9,115,20.7,18.7,23.5
2007,10,115,16.2,13.9,19.1
2007,11,115,10.8,8.5,13.9
2007,12,115,6.7,4.7,9.3
2008,1,115,3.0,1.2,5.2
2008,2,115,2.6,0.5,5.1
2008,3,115,7.6,4.9,11.0
2008,4,115,12.7,10.2,16.1
2008,5,115,15.9,13.0,19.4
2008,6,115,17.2,14.5,20.5
2008,7,115,23.7,21.3,26.5
2008,8,115,22.2,20.0,25.3
2008,9,115,20.0,17.6,23.7
2008,10,115,16.9,14.4,20.6
2008,11,115,9.9,7.4,12.9
2008,12,115,4.6,1.8,7.9
2009,1,115,1.9,-0.4,4.6
2009,2,115,4.6,2.2,8.0
2009,3,115,5.9,3.0,9.4
2009,4,115,11.7,8.3,16.2
2009,5,115,16.4,13.0,20.9
2009,6,115,19.3,16.8,22.6
2009,7,115,20.8,18.9,23.5
2009,8,115,21.8,19.8,24.5
2009,9,115,19.6,17.3,22.8
2009,10,115,16.0,13.9,19.2
2009,11,115,8.7,6.4,11.7
2009,12,115,3.7,1.7,6.4
2010,1,115,1.0,-1.1,3.6
2010,2,115,2.1,0.3,4.9
2010,3,115,3.8,1.5,6.8
2010,4,115,8.9,5.9,12.4
2010,5,115,15.2,12.3,18.4
2010,6,115,20.2,17.6,23.3
2010,7,115,23.4,21.5,25.7
2010,8,115,25.9,23.6,28.8
2010,9,115,21.1,18.7,24.1
2010,10,115,15.2,13.1,17.9
2010,11,115,9.8,7.2,12.9
2010,12,115,4.2,1.4,7.1
2011,1,115,-1.3,-3.2,1.1
2011,2,115,2.9,0.8,5.4
2011,3,115,3.8,1.2,7.1
2011,4,115,9.6,6.4,13.2
2011,5,115,14.1,11.5,17.3
2011,6,115,19.8,17.1,23.0
2011,7,115,22.5,20.6,25.0
2011,8,115,24.1,22.2,26.6
2011,9,115,19.9,17.7,22.6
2011,10,115,15.2,12.9,18.3
2011,11,115,11.5,9.0,14.5
2011,12,115,2.5,0.7,4.8
2012,1,115,0.3,-1.3,2.2
2012,2,115,-0.2,-2.5,2.7
2012,3,115,4.3,1.7,7.4
2012,4,115,11.0,7.5,15.0
2012,5,115,15.5,12.6,19.2
2012,6,115,18.4,16.2,21.3
2012,7,115,23.4,21.4,26.1
2012,8,115,24.7,22.8,27.4
2012,9,115,19.8,17.6,22.8
2012,10,115,15.4,13.1,18.7
2012,11,115,8.2,5.7,11.0
2012,12,115,1.5,-0.7,4.4
2013,1,115,0.5,-1.5,3.1
2013,2,115,1.2,-1.3,4.5
2013,3,115,6.2,2.8,10.6
2013,4,115,9.1,5.8,13.1
2013,5,115,15.7,12.4,19.5
2013,6,115,19.6,17.4,22.5
2013,7,115,24.7,22.3,27.5
2013,8,115,26.6,24.1,29.8
2013,9,115,20.7,18.4,23.7
2013,10,115,16.1,13.9,19.0
2013,11,115,8.9,6.4,11.8
2013,12,115,3.4,1.5,5.8
2014,1,115,1.9,-0.5,4.8
2014,2,115,1.4,-0.4,3.6
2014,3,115,6.5,3.6,10.0
2014,4,115,12.0,8.8,16.1
2014,5,115,17.3,13.9,21.1
2014,6,115,19.7,17.4,23.0
2014,7,115,24.0,21.7,27.0
2014,8,115,22.2,20.6,24.6
2014,9,115,20.2,17.8,23.9
2014,10,115,15.2,12.9,18.7
2014,11,115,10.8,8.4,13.5
2014,12,115,2.2,-0.4,4.7
2015,1,115,2.3,0.3,4.8
2015,2,115,2.6,0.1,5.3
2015,3,115,6.6,3.4,10.2
2015,4,115,11.2,8.1,14.9
2015,5,115,17.9,14.2,21.9
2015,6,115,19.4,16.8,22.7
2015,7,115,22.3,19.9,25.1
2015,8,115,24.4,22.1,27.5
2015,9,115,19.2,17.2,22.3
2015,10,115,15.4,12.7,18.9
2015,11,115,10.4,8.4,13.1
2015,12,115,5.4,3.4,7.9
2016,1,115,1.3,-0.8,3.7
2016,2,115,2.1,-0.2,4.6
2016,3,115,6.7,3.6,10.6
2016,4,115,12.3,9.0,16.3
2016,5,115,17.3,14.2,20.9
2016,6,115,20.5,17.9,23.6
2016,7,115,23.0,21.0,25.6
2016,8,115,24.5,22.3,27.4
2016,9,115,20.3,18.5,22.7
2016,10,115,15.5,13.4,18.2
2016,11,115,9.3,6.8,12.5
2016,12,115,5.9,3.1,8.9
2017,1,115,2.6,0.5,5.1
2017,2,115,2.6,0.2,5.5
2017,3,115,6.1,3.4,9.9
2017,4,115,12.7,9.5,16.5
2017,5,115,17.6,14.1,21.3
