년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,130,1.9,-2.3,6.4
2000,2,130,1.4,-3.4,6.5
2000,3,130,7.7,2.4,12.9
2000,4,130,12.2,7.2,17.6
2000,5,130,16.0,11.6,21.1
2000,6,130,19.0,15.7,22.5
2000,7,130,23.9,20.6,28.3
2000,8,130,23.4,21.0,26.6
2000,9,130,18.4,15.1,22.1
2000,10,130,14.6,10.1,19.2
2000,11,130,8.6,3.8,13.5
2000,12,130,4.2,-1.3,9.6
2001,1,130,-0.3,-4.3,4.4
2001,2,130,2.8,-1.8,7.8
2001,3,130,6.5,1.3,11.8
2001,4,130,12.8,7.3,18.2
2001,5,130,18.0,14.3,23.1
2001,6,130,20.7,17.6,25.0
2001,7,130,24.3,21.0,28.5
2001,8,130,24.0,21.0,27.8
2001,9,130,20.0,16.2,24.0
2001,10,130,16.1,11.8,20.7
2001,11,130,8.8,3.5,14.3
2001,12,130,3.1,-1.0,8.0
2002,1,130,2.7,-1.1,7.0
2002,2,130,5.1,0.2,10.4
2002,3,130,9.0,3.8,14.3
2002,4,130,12.5,7.5,17.7
2002,5,130,15.6,11.0,20.0
2002,6,130,19.0,15.1,23.4
2002,7,130,22.6,19.6,26.3
2002,8,130,22.8,20.4,26.1
2002,9,130,19.0,15.1,23.7
2002,10,130,13.9,8.8,18.9
2002,11,130,6.5,1.2,11.9
2002,12,130,3.6,0.0,8.1
2003,1,130,0.4,-3.7,5.4
2003,2,130,3.1,-0.8,7.3
2003,3,130,6.4,2.0,10.8
2003,4,130,12.0,7.3,17.1
2003,5,130,15.0,11.2,18.9
2003,6,130,19.7,16.2,23.6
2003,7,130,20.6,18.4,23.3
2003,8,130,22.7,20.0,26.5
2003,9,130,19.9,16.6,23.9
2003,10,130,14.4,9.3,20.2
2003,11,130,11.2,6.9,15.8
2003,12,130,4.5,0.4,9.5
2004,1,130,1.4,-2.7,6.5
2004,2,130,4.9,-0.2,10.1
2004,3,130,7.5,2.4,12.6
2004,4,130,13.6,8.2,19.6
2004,5,130,16.7,13.0,21.4
2004,6,130,20.3,16.4,24.7
2004,7,130,23.8,20.8,27.8
2004,8,130,23.1,20.3,26.4
2004,9,130,19.8,16.6,23.8
2004,10,130,14.8,9.9,19.6
2004,11,130,10.9,5.8,16.4
2004,12,130,5.5,1.0,10.4
2005,1,130,1.3,-2.9,6.2
2005,2,130,1.0,-3.2,5.4
2005,3,130,5.7,1.1,10.4
2005,4,130,13.3,7.9,18.8
2005,5,130,14.6,10.4,19.2
2005,6,130,20.2,16.6,24.6
2005,7,130,23.5,20.7,26.9
2005,8,130,24.2,21.1,28.3
2005,9,130,20.3,17.2,24.1
2005,10,130,15.0,10.7,19.9
2005,11,130,9.8,4.4,15.1
2005,12,130,0.1,-4.6,5.7
2006,1,130,1.9,-2.0,6.5
2006,2,130,3.1,-1.1,7.7
2006,3,130,7.3,1.5,12.6
2006,4,130,10.9,6.0,16.3
2006,5,130,14.9,11.4,19.5
2006,6,130,18.5,15.7,22.4
2006,7,130,21.0,19.0,24.1
2006,8,130,24.4,21.7,28.1
2006,9,130,19.1,15.2,23.5
2006,10,130,17.3,13.1,21.9
2006,11,130,9.6,5.0,14.5
2006,12,130,4.1,-0.7,9.7
2007,1,130,3.3,-0.9,8.6
2007,2,130,6.0,1.5,11.0
2007,3,130,7.4,2.6,12.6
2007,4,130,12.1,7.4,17.0
2007,5,130,17.2,12.7,22.4
2007,6,130,19.7,15.9,23.7
2007,7,130,22.3,19.8,25.5
2007,8,130,24.7,21.5,29.0
2007,9,130,21.0,18.2,24.8
2007,10,130,16.1,12.1,21.2
2007,11,130,9.4,4.1,15.5
2007,12,130,4.7,0.6,10.1
2008,1,130,2.1,-1.7,7.1
2008,2,130,2.2,-2.6,7.9
2008,3,130,7.3,2.4,12.5
2008,4,130,12.7,8.0,17.7
2008,5,130,16.5,12.1,21.3
2008,6,130,18.6,15.4,22.3
2008,7,130,24.9,21.8,29.4
2008,8,130,22.8,19.6,26.4
2008,9,130,20.2,16.0,24.4
2008,10,130,16.2,11.1,21.6
2008,11,130,9.3,4.8,14.6
2008,12,130,4.4,-0.4,10.0
2009,1,130,1.4,-3.2,7.1
2009,2,130,6.1,1.6,10.6
2009,3,130,7.4,2.7,12.1
2009,4,130,12.4,7.2,18.0
2009,5,130,17.1,13.1,22.1
2009,6,130,20.1,16.2,24.3
2009,7,130,21.3,18.4,25.1
2009,8,130,22.8,19.9,26.1
2009,9,130,20.1,16.2,24.2
2009,10,130,15.9,11.0,20.9
2009,11,130,8.6,4.5,13.2
2009,12,130,2.7,-1.7,7.7
2010,1,130,0.4,-4.1,5.4
2010,2,130,2.4,-1.8,6.6
2010,3,130,4.9,1.3,8.6
2010,4,130,9.0,4.4,13.2
2010,5,130,15.2,11.0,20.0
2010,6,130,19.4,15.6,23.4
2010,7,130,23.9,20.9,28.0
2010,8,130,25.0,22.3,28.3
2010,9,130,20.0,16.4,24.2
2010,10,130,14.6,10.0,19.4
2010,11,130,8.9,2.9,15.7
2010,12,130,3.5,-1.7,9.9
2011,1,130,-2.3,-6.9,3.2
2011,2,130,2.8,-1.7,7.1
2011,3,130,5.1,-0.3,10.6
2011,4,130,10.9,5.8,16.1
2011,5,130,14.8,10.9,19.5
2011,6,130,19.8,16.1,23.9
2011,7,130,22.1,19.5,25.5
2011,8,130,23.9,21.2,27.2
2011,9,130,19.9,16.4,23.6
2011,10,130,14.0,9.0,19.3
2011,11,130,11.4,7.2,16.0
2011,12,130,2.1,-2.3,7.1
2012,1,130,0.5,-3.4,5.3
2012,2,130,0.5,-4.3,5.4
2012,3,130,5.9,1.9,10.1
2012,4,130,12.3,7.2,17.6
2012,5,130,15.8,11.5,20.0
2012,6,130,18.9,16.0,22.3
2012,7,130,23.5,20.4,27.4
2012,8,130,24.1,21.5,27.0
2012,9,130,18.8,15.1,23.2
2012,10,130,14.6,9.2,20.3
2012,11,130,7.7,2.8,12.9
2012,12,130,0.6,-4.1,5.8
2013,1,130,-0.4,-4.9,5.0
2013,2,130,2.1,-2.9,7.0
2013,3,130,7.5,2.2,12.8
2013,4,130,10.1,4.6,15.8
2013,5,130,15.8,11.3,20.9
2013,6,130,19.3,16.5,22.4
2013,7,130,24.7,20.7,29.3
2013,8,130,27.0,23.4,31.3
2013,9,130,20.3,16.5,24.5
2013,10,130,15.6,11.3,20.1
2013,11,130,8.2,3.4,13.5
2013,12,130,2.9,-1.7,7.8
2014,1,130,2.0,-3.0,7.2
2014,2,130,2.1,-1.4,6.0
2014,3,130,7.7,2.7,12.7
2014,4,130,12.4,7.4,17.0
2014,5,130,17.9,12.5,23.1
2014,6,130,19.6,16.8,22.9
2014,7,130,24.2,21.1,27.9
2014,8,130,22.3,19.7,25.5
2014,9,130,20.0,15.8,24.1
2014,10,130,15.2,9.9,20.1
2014,11,130,9.8,4.8,14.9
2014,12,130,1.3,-3.6,6.5
2015,1,130,2.3,-2.1,6.9
2015,2,130,3.0,-1.6,7.9
2015,3,130,7.3,1.7,12.7
2015,4,130,11.8,7.1,17.0
2015,5,130,17.6,12.3,23.4
2015,6,130,18.9,15.7,22.4
2015,7,130,22.2,19.0,25.8
2015,8,130,24.3,20.8,28.0
2015,9,130,19.5,15.5,23.3
2015,10,130,15.3,10.0,20.7
2015,11,130,10.3,6.5,13.9
2015,12,130,5.3,0.9,10.0
2016,1,130,0.8,-3.5,6.1
2016,2,130,2.6,-2.2,7.2
2016,3,130,7.1,2.0,11.8
2016,4,130,12.5,7.9,17.5
2016,5,130,16.6,11.5,22.4
2016,6,130,20.4,17.1,24.1
2016,7,130,23.0,20.5,26.3
2016,8,130,24.9,21.7,28.4
2016,9,130,20.6,17.8,23.8
2016,10,130,15.6,11.9,19.7
2016,11,130,9.1,4.4,14.5
2016,12,130,5.5,0.7,10.8
2017,1,130,2.1,-2.4,7.3
2017,2,130,3.6,-1.2,9.0
2017,3,130,6.6,1.3,11.6
2017,4,130,13.8,8.8,19.3
2017,5,130,18.2,13.4,23.3
2017,6,130,19.2,15.4,23.0
2017,7,130,24.8,21.9,28.6
2017,8,130,24.1,21.1,27.4
2017,9,130,20.5,16.0,24.9
2017,10,130,15.3,11.3,19.5
2017,11,130,8.9,3.3,14.5
2017,12,130,1.5,-3.4,7.1
2018,1,130,0.1,-4.3,5.4
2018,2,130,0.8,-4.3,6.3
2018,3,130,8.8,3.7,13.9
2018,4,130,13.6,8.2,19.4
2018,5,130,16.4,12.0,20.7
2018,6,130,20.2,16.4,25.0
2018,7,130,24.7,21.8,28.1
2018,8,130,25.5,22.4,28.9
2018,9,130,19.9,16.2,24.0
2018,10,130,13.5,8.6,19.0
2018,11,130,8.9,3.9,14.4
2018,12,130,3.2,-1.5,8.5
2019,1,130,2.9,-1.8,8.8
2019,2,130,4.3,-0.4,8.9
2019,3,130,8.7,3.3,14.1
2019,4,130,11.6,6.6,16.4
2019,5,130,18.1,13.2,23.5
2019,6,130,19.3,15.9,23.5
2019,7,130,24.2,21.3,28.0
2019,8,130,25.1,22.2,28.9
2019,9,130,21.1,17.6,24.9
2019,10,130,16.2,11.8,20.9
2019,11,130,10.1,5.2,15.5
2019,12,130,5.1,0.3,10.6
2020,1,130,4.4,0.7,8.9
2020,2,130,4.9,0.4,9.9
2020,3,130,8.3,3.0,13.3
2020,4,130,11.4,5.7,16.8
2020,5,130,17.2,12.6,21.7
2020,6,130,21.1,17.5,25.4
2020,7,130,20.8,18.3,24.0
2020,8,130,25.5,22.6,29.2
2020,9,130,20.0,16.5,24.2
2020,10,130,14.3,9.7,19.5
2020,11,130,10.1,4.9,15.3
2020,12,130,2.4,-2.5,8.3
2021,1,130,0.6,-4.7,5.9
2021,2,130,4.8,-0.5,10.3
2021,3,130,8.9,4.0,13.5
2021,4,130,12.1,7.1,16.6
2021,5,130,16.0,11.4,20.7
2021,6,130,19.9,16.9,23.5
2021,7,130,24.7,21.7,28.1
2021,8,130,24.0,21.1,27.5
2021,9,130,21.0,17.6,25.0
2021,10,130,15.7,11.5,20.7
2021,11,130,10.0,4.6,15.9
2021,12,130,3.8,-1.3,9.7
2022,1,130,1.1,-3.5,6.9
2022,2,130,1.4,-3.4,7.0
2022,3,130,7.9,3.1,12.7
2022,4,130,14.0,9.0,19.0
2022,5,130,17.8,12.7,23.3
2022,6,130,20.9,17.3,25.2
2022,7,130,24.2,21.7,27.6
2022,8,130,25.0,22.0,28.4
2022,9,130,20.3,16.3,24.3
2022,10,130,14.3,10.0,18.9
