년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,278,-1.8,-7.7,4.9
2000,2,278,-2.0,-10.1,6.1
2000,3,278,5.2,-3.6,14.2
2000,4,278,11.1,2.7,19.6
2000,5,278,17.3,9.1,25.8
2000,6,278,22.0,15.7,29.0
2000,7,278,25.4,20.5,31.7
2000,8,278,24.9,20.6,30.7
2000,9,278,18.7,13.7,24.7
2000,10,278,12.6,6.0,21.0
2000,11,278,4.5,-1.9,13.0
2000,12,278,-1.6,-8.4,7.4
2001,1,278,-3.6,-9.4,2.8
2001,2,278,-0.7,-7.4,6.8
2001,3,278,4.0,-4.0,12.7
2001,4,278,11.5,1.7,21.2
2001,5,278,17.4,9.1,25.8
2001,6,278,21.5,15.5,28.2
2001,7,278,25.0,19.9,31.5
2001,8,278,24.2,18.7,31.4
2001,9,278,18.7,12.6,26.4
2001,10,278,13.2,7.9,20.7
2001,11,278,2.9,-4.0,12.9
2001,12,278,-2.6,-9.0,5.4
2002,1,278,-1.1,-6.7,5.4
2002,2,278,-0.3,-8.1,8.6
2002,3,278,6.1,-1.9,14.7
2002,4,278,12.2,3.9,20.5
2002,5,278,15.8,8.7,23.1
2002,6,278,20.3,12.7,28.1
2002,7,278,24.2,19.9,29.6
2002,8,278,22.9,19.3,27.5
2002,9,278,18.1,12.3,25.2
2002,10,278,10.1,3.7,18.2
2002,11,278,1.5,-5.9,10.0
2002,12,278,-0.4,-5.5,6.1
2003,1,278,-4.8,-11.6,3.1
2003,2,278,0.0,-5.6,6.9
2003,3,278,4.4,-2.0,11.6
2003,4,278,10.8,3.9,18.2
2003,5,278,15.7,8.5,23.6
2003,6,278,20.1,15.3,26.2
2003,7,278,21.6,18.0,26.4
2003,8,278,23.3,19.8,28.5
2003,9,278,20.3,16.1,26.2
2003,10,278,11.2,4.1,20.5
2003,11,278,7.9,2.1,15.0
2003,12,278,-0.2,-6.3,7.5
2004,1,278,-3.0,-9.6,5.4
2004,2,278,1.2,-6.7,10.0
2004,3,278,5.4,-2.4,13.8
2004,4,278,12.4,3.6,21.7
2004,5,278,17.0,10.4,24.0
2004,6,278,21.0,14.4,28.2
2004,7,278,25.3,20.9,30.8
2004,8,278,24.2,20.0,29.8
2004,9,278,19.7,15.1,25.8
2004,10,278,11.9,4.8,20.6
2004,11,278,6.5,0.0,15.2
2004,12,278,0.3,-6.0,8.5
2005,1,278,-3.2,-10.2,4.4
2005,2,278,-1.7,-8.2,5.0
