년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,138,2.7,-0.9,7.4
2000,2,138,2.3,-2.0,7.7
2000,3,138,8.9,4.0,14.7
2000,4,138,13.9,9.2,19.4
2000,5,138,18.7,14.1,24.5
2000,6,138,21.9,18.6,26.4
2000,7,138,26.5,23.3,31.1
2000,8,138,26.1,23.7,29.9
2000,9,138,20.9,18.4,24.5
2000,10,138,16.8,13.2,21.3
2000,11,138,10.1,6.3,15.2
2000,12,138,5.0,0.7,10.2
2001,1,138,1.0,-2.1,5.1
2001,2,138,4.2,0.2,9.1
2001,3,138,8.7,3.9,14.0
2001,4,138,15.1,9.9,20.8
2001,5,138,19.7,15.7,24.9
2001,6,138,22.6,19.4,26.7
2001,7,138,27.2,23.4,31.8
2001,8,138,26.3,23.4,30.4
2001,9,138,22.4,19.4,26.3
2001,10,138,17.8,14.5,22.0
2001,11,138,10.0,5.8,15.3
2001,12,138,3.5,0.0,8.5
2002,1,138,3.8,0.3,7.4
2002,2,138,5.6,1.3,10.8
2002,3,138,10.3,5.9,15.3
2002,4,138,14.9,10.1,20.1
2002,5,138,17.1,13.7,21.0
2002,6,138,21.6,17.6,26.3
2002,7,138,24.7,22.0,28.0
2002,8,138,24.2,22.0,27.3
2002,9,138,20.8,17.6,24.9
2002,10,138,15.5,11.3,20.5
2002,11,138,7.4,3.0,12.5
2002,12,138,4.9,1.8,8.6
2003,1,138,1.2,-2.7,5.7
2003,2,138,4.5,1.1,8.7
2003,3,138,7.8,3.8,12.0
2003,4,138,14.2,10.4,19.0
2003,5,138,16.5,13.0,20.7
2003,6,138,21.6,18.5,25.4
2003,7,138,21.9,20.0,24.7
2003,8,138,24.8,22.1,28.3
2003,9,138,22.1,19.2,25.6
2003,10,138,15.9,11.6,21.0
2003,11,138,12.6,8.9,16.6
2003,12,138,4.6,0.8,9.1
2004,1,138,2.0,-1.6,6.7
2004,2,138,6.0,1.3,11.2
2004,3,138,8.9,4.1,14.0
2004,4,138,15.2,10.4,20.9
2004,5,138,19.0,15.1,23.6
2004,6,138,22.0,18.3,26.6
2004,7,138,26.7,23.5,30.8
2004,8,138,25.5,22.8,28.7
2004,9,138,22.0,19.1,25.3
2004,10,138,16.5,12.3,21.1
2004,11,138,11.9,7.6,16.9
2004,12,138,5.9,1.8,10.7
2005,1,138,1.1,-2.7,5.6
2005,2,138,1.6,-2.2,5.9
2005,3,138,6.8,2.3,12.0
2005,4,138,15.2,10.2,21.0
2005,5,138,17.6,13.1,22.8
2005,6,138,23.7,19.8,28.4
2005,7,138,25.8,22.9,29.3
2005,8,138,26.4,23.4,30.4
2005,9,138,22.5,19.9,25.6
2005,10,138,16.8,13.1,21.0
2005,11,138,10.9,6.5,16.2
2005,12,138,0.1,-3.9,4.7
2006,1,138,2.9,-0.6,7.2
2006,2,138,3.6,-0.7,8.1
2006,3,138,7.9,3.0,13.2
2006,4,138,12.7,8.4,17.6
2006,5,138,17.4,13.8,21.6
2006,6,138,21.5,18.0,25.9
2006,7,138,23.3,21.0,26.5
2006,8,138,27.4,24.3,31.3
2006,9,138,21.1,18.1,24.6
2006,10,138,19.2,15.6,23.6
2006,11,138,11.1,7.3,15.6
2006,12,138,4.7,0.8,9.4
2007,1,138,4.1,0.6,8.6
2007,2,138,6.7,2.6,11.4
2007,3,138,8.6,4.5,13.6
2007,4,138,13.5,9.0,18.6
2007,5,138,18.6,14.2,24.0
2007,6,138,21.4,18.1,25.1
2007,7,138,23.3,20.8,26.3
2007,8,138,27.0,23.4,31.1
2007,9,138,21.8,19.2,24.8
2007,10,138,16.5,13.0,20.7
