년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,294,2.9,-1.2,7.3
2000,2,294,2.2,-2.5,7.5
2000,3,294,7.7,2.1,13.5
2000,4,294,12.5,7.3,17.5
2000,5,294,16.9,11.8,22.4
2000,6,294,20.6,16.8,25.4
2000,7,294,25.0,22.0,28.8
2000,8,294,25.7,22.4,29.4
2000,9,294,20.4,16.9,24.5
2000,10,294,16.2,12.4,20.8
2000,11,294,9.5,5.1,14.6
2000,12,294,4.6,-0.1,10.0
2001,1,294,1.4,-2.5,5.5
2001,2,294,3.7,-0.7,8.8
2001,3,294,7.9,3.0,12.8
2001,4,294,13.2,7.5,19.1
2001,5,294,17.8,13.5,22.6
2001,6,294,20.8,17.4,24.8
2001,7,294,25.1,21.9,28.7
2001,8,294,25.5,22.0,29.6
2001,9,294,21.1,17.1,25.6
2001,10,294,16.9,12.9,21.5
2001,11,294,9.3,4.5,15.0
2001,12,294,3.9,-0.2,8.4
2002,1,294,4.2,0.1,8.7
2002,2,294,5.0,0.0,10.9
2002,3,294,9.6,4.4,14.7
2002,4,294,13.8,8.9,18.7
2002,5,294,16.8,12.3,21.8
2002,6,294,20.9,16.0,26.2
2002,7,294,23.9,21.1,27.4
2002,8,294,24.0,21.3,27.4
2002,9,294,20.7,16.4,25.7
2002,10,294,14.8,10.0,20.3
2002,11,294,7.3,2.2,12.6
2002,12,294,5.2,1.1,9.7
2003,1,294,1.4,-2.8,6.2
2003,2,294,4.6,0.3,9.8
2003,3,294,7.6,2.9,12.5
2003,4,294,13.1,8.8,18.0
2003,5,294,16.8,12.2,21.6
2003,6,294,20.8,16.8,25.2
2003,7,294,21.8,19.3,24.9
2003,8,294,24.3,21.3,28.0
2003,9,294,22.2,18.5,26.8
2003,10,294,15.4,10.3,21.2
2003,11,294,12.0,7.9,16.5
2003,12,294,4.9,0.5,9.9
2004,1,294,2.1,-2.1,7.7
2004,2,294,5.4,-0.4,11.1
2004,3,294,8.1,2.6,13.7
2004,4,294,13.7,7.9,19.4
2004,5,294,17.5,13.2,22.0
2004,6,294,20.8,16.0,26.2
2004,7,294,25.4,22.5,28.9
2004,8,294,25.4,21.9,29.8
2004,9,294,22.2,18.7,26.2
2004,10,294,16.3,11.6,21.5
2004,11,294,11.6,6.7,17.4
2004,12,294,6.7,2.0,11.5
2005,1,294,2.2,-1.7,6.6
2005,2,294,2.6,-1.3,7.4
2005,3,294,7.4,2.3,12.5
2005,4,294,14.2,9.2,19.3
2005,5,294,17.6,11.8,23.4
2005,6,294,22.2,18.1,26.6
2005,7,294,24.8,21.8,28.5
2005,8,294,25.8,22.8,29.5
2005,9,294,23.1,20.0,26.8
2005,10,294,16.5,11.9,21.6
2005,11,294,10.9,6.1,16.1
2005,12,294,2.0,-2.5,6.8
2006,1,294,3.7,-0.2,8.1
2006,2,294,4.1,-0.6,8.7
2006,3,294,8.1,3.0,13.1
2006,4,294,12.8,8.2,17.2
2006,5,294,17.1,13.3,21.6
2006,6,294,21.0,17.1,25.6
2006,7,294,23.7,21.3,26.4
2006,8,294,27.1,23.4,31.7
2006,9,294,20.2,16.2,24.6
2006,10,294,18.0,13.6,23.4
2006,11,294,11.6,7.4,15.6
2006,12,294,4.7,0.8,9.5
2007,1,294,3.7,-0.3,8.4
2007,2,294,6.5,1.5,11.9
2007,3,294,8.5,4.0,13.2
2007,4,294,12.7,7.5,17.8
2007,5,294,18.0,13.6,22.7
2007,6,294,21.1,17.8,24.7
2007,7,294,23.6,20.9,27.2
2007,8,294,26.6,23.6,30.2
2007,9,294,22.3,19.4,26.0
2007,10,294,16.8,12.7,22.1
2007,11,294,9.9,5.1,15.3
2007,12,294,5.7,1.9,10.1
2008,1,294,3.1,-0.3,7.2
2008,2,294,2.3,-2.1,7.6
2008,3,294,8.6,3.6,13.9
2008,4,294,13.5,8.3,18.8
2008,5,294,17.7,12.6,23.2
2008,6,294,20.1,16.6,24.2
2008,7,294,26.6,24.0,29.9
2008,8,294,25.6,22.3,29.6
2008,9,294,22.8,19.3,26.9
2008,10,294,18.0,13.5,23.5
2008,11,294,9.9,5.8,14.9
2008,12,294,4.8,0.1,9.9
2009,1,294,1.5,-2.4,6.5
2009,2,294,6.3,2.0,11.2
2009,3,294,8.8,4.1,13.6
2009,4,294,13.6,8.4,19.7
2009,5,294,18.3,13.1,24.1
2009,6,294,21.5,17.7,26.0
2009,7,294,23.8,21.1,27.0
2009,8,294,24.8,21.7,28.7
2009,9,294,22.1,18.4,26.9
2009,10,294,17.3,12.5,23.0
2009,11,294,10.3,6.6,14.8
2009,12,294,4.5,0.6,9.2
2010,1,294,2.2,-2.4,7.3
2010,2,294,5.0,1.0,9.6
2010,3,294,7.6,3.6,11.4
2010,4,294,11.1,6.6,16.0
2010,5,294,17.1,12.7,22.1
2010,6,294,21.8,17.6,27.0
2010,7,294,25.4,22.9,28.9
