년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,284,-0.5,-6.0,5.5
2000,2,284,-0.5,-7.1,6.5
2000,3,284,5.6,-2.3,14.0
2000,4,284,11.5,3.4,19.3
2000,5,284,16.9,8.9,25.1
2000,6,284,20.9,15.5,27.1
2000,7,284,24.6,20.4,30.2
2000,8,284,24.0,20.2,29.2
2000,9,284,18.0,13.8,23.8
2000,10,284,12.6,6.8,20.3
2000,11,284,5.3,-0.5,13.2
2000,12,284,0.2,-6.2,8.1
2001,1,284,-3.1,-8.6,2.9
2001,2,284,0.5,-5.2,7.3
2001,3,284,5.2,-1.4,12.6
2001,4,284,12.3,3.3,20.9
2001,5,284,17.4,10.9,24.5
2001,6,284,21.1,16.0,26.8
2001,7,284,24.6,20.2,30.5
2001,8,284,23.7,19.2,29.9
2001,9,284,18.8,13.1,25.9
2001,10,284,13.6,8.2,20.8
2001,11,284,5.2,-1.6,13.9
2001,12,284,-0.1,-5.5,6.6
2002,1,284,1.0,-4.0,6.7
2002,2,284,1.6,-5.3,9.9
2002,3,284,7.4,-0.1,15.5
2002,4,284,12.9,5.4,20.7
2002,5,284,16.7,10.6,23.1
2002,6,284,21.2,15.1,28.0
2002,7,284,25.0,21.3,29.9
2002,8,284,24.0,20.8,28.5
2002,9,284,18.7,13.8,25.7
2002,10,284,11.2,5.1,19.3
2002,11,284,3.7,-2.9,11.2
2002,12,284,1.3,-4.1,7.8
2003,1,284,-2.8,-8.9,4.3
2003,2,284,1.5,-4.3,8.4
2003,3,284,5.4,-1.0,12.4
2003,4,284,12.1,5.7,19.3
2003,5,284,16.8,10.7,23.9
2003,6,284,20.3,15.5,26.1
2003,7,284,21.5,18.5,25.8
2003,8,284,23.2,19.6,28.5
2003,9,284,20.4,15.8,26.5
2003,10,284,11.7,5.0,20.5
2003,11,284,8.5,2.9,15.4
2003,12,284,1.1,-5.4,8.6
2004,1,284,-1.8,-8.5,6.2
2004,2,284,1.8,-5.8,10.2
2004,3,284,5.8,-2.0,14.2
2004,4,284,12.1,3.2,20.7
2004,5,284,16.9,10.5,23.5
2004,6,284,21.5,15.5,28.3
2004,7,284,25.4,21.1,30.9
2004,8,284,24.4,20.5,29.9
2004,9,284,19.6,15.5,25.7
2004,10,284,12.5,5.3,21.4
2004,11,284,7.6,1.1,16.3
2004,12,284,2.3,-4.1,10.3
2005,1,284,-1.4,-7.4,5.1
2005,2,284,-0.3,-5.6,5.9
2005,3,284,4.9,-2.0,12.3
2005,4,284,13.4,5.3,21.6
2005,5,284,17.6,9.8,25.3
2005,6,284,22.7,17.0,29.3
2005,7,284,24.9,20.7,30.5
2005,8,284,24.5,20.6,30.1
2005,9,284,21.4,17.4,26.9
2005,10,284,13.1,6.8,21.2
2005,11,284,7.3,-0.1,16.0
2005,12,284,-1.9,-7.9,4.7
2006,1,284,0.2,-5.6,7.3
2006,2,284,1.1,-5.0,7.9
2006,3,284,6.3,-1.0,14.2
2006,4,284,11.8,5.2,18.5
2006,5,284,17.5,11.2,24.3
2006,6,284,21.8,15.8,28.4
2006,7,284,23.4,20.7,27.4
2006,8,284,26.3,22.2,32.2
2006,9,284,18.4,13.5,25.0
2006,10,284,15.4,8.6,24.9
2006,11,284,8.0,1.8,15.4
2006,12,284,1.3,-4.3,8.8
