년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,295,2.1,-1.9,6.6
2000,2,295,1.8,-3.4,7.5
2000,3,295,7.8,1.8,14.3
2000,4,295,13.1,7.4,19.3
2000,5,295,17.9,12.1,24.3
2000,6,295,22.0,17.8,27.2
2000,7,295,26.3,23.0,30.9
2000,8,295,26.6,23.4,31.1
2000,9,295,20.8,17.6,25.0
2000,10,295,16.2,12.4,21.2
2000,11,295,9.2,5.0,14.4
2000,12,295,4.2,-0.8,9.8
2001,1,295,0.7,-3.2,5.0
2001,2,295,3.5,-1.6,9.2
2001,3,295,7.7,2.3,13.2
2001,4,295,13.3,7.2,20.0
2001,5,295,18.2,13.4,23.4
2001,6,295,21.8,17.9,26.5
2001,7,295,26.0,22.3,30.6
2001,8,295,25.9,22.4,30.9
2001,9,295,21.7,17.8,27.0
2001,10,295,17.4,13.7,22.5
2001,11,295,9.3,4.2,15.0
2001,12,295,3.5,-0.5,8.1
2002,1,295,3.9,0.0,8.3
2002,2,295,4.7,-0.6,11.1
2002,3,295,9.3,3.6,15.2
2002,4,295,13.9,8.6,19.5
2002,5,295,16.9,12.5,22.1
2002,6,295,21.2,16.2,26.8
2002,7,295,24.3,21.2,28.4
2002,8,295,24.6,22.0,28.3
2002,9,295,21.1,16.9,26.7
2002,10,295,14.7,10.3,20.1
2002,11,295,7.2,2.3,12.3
2002,12,295,4.5,0.5,9.1
2003,1,295,0.6,-3.8,5.4
2003,2,295,4.3,-0.1,9.4
2003,3,295,7.4,2.7,12.5
2003,4,295,13.1,8.9,18.2
2003,5,295,16.2,11.9,21.8
2003,6,295,21.1,17.1,26.1
2003,7,295,23.1,20.3,26.7
2003,8,295,25.5,22.4,29.7
2003,9,295,23.4,19.9,28.3
2003,10,295,16.3,11.2,22.3
2003,11,295,12.1,8.2,16.9
2003,12,295,5.0,0.4,9.9
2004,1,295,2.2,-2.1,7.3
2004,2,295,5.8,0.0,11.8
2004,3,295,9.0,3.5,15.1
2004,4,295,14.6,8.3,21.4
2004,5,295,18.8,14.2,23.9
2004,6,295,22.4,17.9,28.2
2004,7,295,27.0,23.4,31.7
2004,8,295,26.7,23.1,31.7
2004,9,295,22.7,19.5,27.4
2004,10,295,16.5,11.9,22.1
2004,11,295,11.4,6.6,17.2
2004,12,295,5.5,1.2,10.1
2005,1,295,1.0,-3.2,5.4
2005,2,295,1.5,-2.5,6.2
2005,3,295,6.6,1.4,12.4
2005,4,295,14.1,8.3,20.1
2005,5,295,17.7,12.6,24.0
2005,6,295,22.3,18.4,27.5
2005,7,295,24.8,21.6,29.1
2005,8,295,25.3,22.2,29.5
2005,9,295,22.6,19.6,26.7
2005,10,295,16.0,11.9,21.3
2005,11,295,10.2,5.5,15.6
2005,12,295,1.0,-3.6,5.8
2006,1,295,2.6,-1.3,7.3
2006,2,295,3.1,-1.7,7.9
2006,3,295,7.4,1.9,13.4
2006,4,295,12.3,7.3,17.3
2006,5,295,17.0,12.8,22.3
2006,6,295,21.0,17.0,26.2
2006,7,295,23.6,21.1,27.2
2006,8,295,26.7,23.2,31.8
2006,9,295,20.1,16.7,24.8
2006,10,295,18.1,14.1,24.0
2006,11,295,11.1,6.8,15.5
2006,12,295,4.2,0.2,9.1
2007,1,295,3.1,-0.9,8.1
2007,2,295,5.8,0.9,11.6
2007,3,295,8.5,3.9,13.7
2007,4,295,12.9,7.5,18.5
2007,5,295,18.6,13.7,24.2
2007,6,295,21.7,18.2,26.2
2007,7,295,24.1,21.1,28.2
