년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,288,1.4,-3.9,7.7
2000,2,288,1.2,-5.4,8.4
2000,3,288,7.3,-0.5,15.0
2000,4,288,12.5,5.1,19.9
2000,5,288,17.5,10.7,24.9
2000,6,288,22.2,17.0,28.2
2000,7,288,25.8,21.5,30.9
2000,8,288,25.6,21.8,30.5
2000,9,288,20.2,16.1,25.3
2000,10,288,14.8,9.4,21.5
2000,11,288,7.9,2.2,14.8
2000,12,288,1.6,-4.2,9.7
2001,1,288,-0.2,-5.2,5.3
2001,2,288,2.5,-3.5,9.1
2001,3,288,7.1,0.1,14.3
2001,4,288,13.2,4.6,21.8
2001,5,288,18.4,12.3,25.1
2001,6,288,22.2,17.2,28.0
2001,7,288,25.7,21.6,30.9
2001,8,288,25.5,21.1,31.2
2001,9,288,20.8,15.7,27.1
2001,10,288,15.6,10.4,22.2
2001,11,288,6.8,0.2,15.2
2001,12,288,1.9,-3.5,8.6
2002,1,288,2.3,-3.1,8.4
2002,2,288,3.4,-3.5,11.7
2002,3,288,9.0,1.9,16.3
2002,4,288,14.1,7.2,20.8
2002,5,288,17.3,11.5,23.6
2002,6,288,21.9,15.8,28.3
2002,7,288,24.9,21.4,29.3
2002,8,288,24.3,20.8,28.4
2002,9,288,20.2,15.0,26.4
2002,10,288,13.1,7.3,20.5
2002,11,288,5.4,-1.2,12.7
2002,12,288,3.6,-1.6,9.8
2003,1,288,-0.5,-6.1,6.4
2003,2,288,3.7,-1.9,10.0
2003,3,288,7.3,1.7,13.4
2003,4,288,13.4,7.8,19.7
2003,5,288,17.9,12.0,24.5
2003,6,288,21.8,17.3,27.3
2003,7,288,22.7,19.6,26.6
2003,8,288,24.7,21.0,29.6
2003,9,288,21.8,17.5,27.4
2003,10,288,14.0,7.2,21.7
2003,11,288,10.9,5.6,16.9
2003,12,288,2.2,-3.8,10.0
2004,1,288,-0.5,-7.1,7.3
2004,2,288,4.2,-3.5,12.4
2004,3,288,8.2,0.8,15.9
2004,4,288,14.5,6.1,23.1
2004,5,288,18.9,13.0,25.1
2004,6,288,23.0,17.1,29.6
2004,7,288,27.3,22.9,32.7
2004,8,288,26.1,21.9,31.6
2004,9,288,22.3,17.6,28.3
2004,10,288,15.6,8.9,23.6
2004,11,288,9.6,2.9,18.7
2004,12,288,4.1,-2.2,12.2
2005,1,288,0.1,-5.9,7.2
2005,2,288,1.6,-4.1,7.8
2005,3,288,6.5,-0.7,13.9
2005,4,288,14.4,6.2,22.8
2005,5,288,18.2,10.8,26.4
2005,6,288,23.3,18.1,29.6
2005,7,288,25.3,21.1,30.5
2005,8,288,25.5,21.2,31.0
2005,9,288,22.5,18.3,27.7
2005,10,288,14.6,8.5,22.3
2005,11,288,7.8,0.9,16.9
2005,12,288,-1.5,-7.7,6.2
2006,1,288,1.2,-4.7,8.2
