년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,289,0.5,-4.4,6.3
2000,2,289,1.0,-4.3,7.3
2000,3,289,6.8,-0.2,14.5
2000,4,289,12.4,5.1,20.1
2000,5,289,17.7,10.8,25.8
2000,6,289,21.9,17.0,28.1
2000,7,289,25.7,21.7,31.2
2000,8,289,25.3,21.7,30.3
2000,9,289,19.4,15.5,25.0
2000,10,289,14.2,8.9,21.5
2000,11,289,7.3,1.9,14.8
2000,12,289,2.0,-3.9,9.6
2001,1,289,-0.8,-5.1,4.4
2001,2,289,1.9,-3.7,8.7
2001,3,289,6.4,0.3,13.3
2001,4,289,13.1,4.7,21.5
2001,5,289,18.1,12.2,24.7
2001,6,289,21.8,17.4,27.5
2001,7,289,25.4,21.4,31.1
2001,8,289,24.6,20.4,30.6
2001,9,289,19.9,14.8,27.0
2001,10,289,14.9,10.3,21.7
2001,11,289,6.9,0.8,14.9
2001,12,289,1.7,-2.9,7.6
2002,1,289,2.4,-1.8,7.1
2002,2,289,2.9,-3.4,10.8
2002,3,289,8.3,1.6,16.0
2002,4,289,13.9,7.0,20.8
2002,5,289,17.0,11.2,23.4
2002,6,289,21.4,15.6,28.1
2002,7,289,24.5,21.2,29.0
2002,8,289,23.9,21.1,27.9
2002,9,289,19.7,15.2,26.5
2002,10,289,12.5,7.2,19.9
2002,11,289,5.3,-0.5,12.0
2002,12,289,2.9,-1.7,8.7
2003,1,289,-0.8,-5.6,4.6
2003,2,289,3.0,-2.3,9.2
2003,3,289,6.3,0.3,12.9
2003,4,289,13.3,7.4,19.7
2003,5,289,17.5,12.1,24.2
2003,6,289,21.0,16.7,26.6
2003,7,289,22.3,19.5,26.4
2003,8,289,23.8,20.5,28.5
2003,9,289,21.3,17.1,27.4
2003,10,289,13.2,7.4,21.2
2003,11,289,9.5,4.4,16.1
2003,12,289,3.3,-1.7,9.2
2004,1,289,0.3,-4.7,6.5
2004,2,289,3.4,-3.0,10.7
2004,3,289,7.2,0.6,14.6
2004,4,289,13.3,5.4,21.4
2004,5,289,17.5,12.0,23.7
2004,6,289,21.7,16.4,28.0
2004,7,289,25.6,21.8,30.8
2004,8,289,24.9,21.0,30.4
2004,9,289,20.2,16.6,26.1
2004,10,289,13.7,7.3,22.2
2004,11,289,8.9,3.0,16.8
2004,12,289,2.8,-2.6,9.6
2005,1,289,-0.7,-5.1,4.5
2005,2,289,0.0,-4.4,5.3
2005,3,289,5.0,-0.8,11.6
2005,4,289,13.1,6.0,20.7
2005,5,289,17.3,10.7,24.4
2005,6,289,22.2,17.3,28.2
2005,7,289,24.8,21.1,29.4
2005,8,289,25.2,21.6,30.2
2005,9,289,22.1,18.6,27.3
2005,10,289,14.4,9.0,21.6
2005,11,289,8.5,2.1,16.2
2005,12,289,-0.2,-5.0,5.5
2006,1,289,1.9,-3.0,7.8
2006,2,289,2.4,-3.0,8.4
2006,3,289,7.1,0.3,14.5
2006,4,289,12.2,6.6,18.6
2006,5,289,17.8,12.1,23.9
2006,6,289,21.9,16.5,28.1
2006,7,289,23.6,20.9,27.3
2006,8,289,26.6,22.9,32.5
2006,9,289,18.9,14.6,25.3
2006,10,289,16.2,10.2,25.0
2006,11,289,9.0,3.6,15.5
2006,12,289,2.6,-2.3,8.9
2007,1,289,1.8,-3.1,8.1
2007,2,289,4.8,-1.4,12.2
2007,3,289,8.1,2.8,14.4
2007,4,289,12.6,5.6,19.8
2007,5,289,18.5,12.0,25.4
2007,6,289,22.4,17.8,28.0
2007,7,289,24.3,20.8,28.7
2007,8,289,26.3,23.0,30.6
2007,9,289,21.3,18.4,25.6
2007,10,289,15.0,10.1,21.8
2007,11,289,7.3,0.7,15.3
2007,12,289,3.7,-0.8,8.9
2008,1,289,0.9,-3.1,5.8
2008,2,289,0.6,-4.8,7.1
2008,3,289,7.8,1.2,15.0
2008,4,289,13.1,6.5,20.1
2008,5,289,17.7,10.8,25.2
2008,6,289,20.2,15.9,25.3
2008,7,289,26.4,22.8,31.4
2008,8,289,24.6,20.5,30.6
2008,9,289,21.5,16.6,28.1
2008,10,289,15.6,9.6,23.8
2008,11,289,7.9,2.4,14.8
2008,12,289,1.9,-3.6,9.1
2009,1,289,-0.3,-5.7,6.3
2009,2,289,5.0,-1.0,11.6
2009,3,289,7.7,1.2,14.4
2009,4,289,13.5,6.7,20.9
2009,5,289,18.6,11.5,26.4
2009,6,289,22.2,17.0,28.0
2009,7,289,23.6,20.2,28.2
2009,8,289,24.2,20.2,29.1
2009,9,289,21.1,16.3,27.5
2009,10,289,14.7,8.5,23.0
2009,11,289,8.1,3.2,14.1
2009,12,289,1.9,-2.5,7.6
2010,1,289,-0.3,-5.2,5.7
2010,2,289,3.2,-1.4,8.5
2010,3,289,6.1,1.3,10.7
2010,4,289,10.2,4.5,16.2
2010,5,289,17.6,11.2,24.4
2010,6,289,22.7,17.2,29.1
2010,7,289,25.1,21.9,29.8
2010,8,289,26.8,23.7,31.5
