년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,192,1.1,-4.3,7.4
2000,2,192,1.2,-5.5,8.5
2000,3,192,7.0,-1.4,15.5
2000,4,192,12.7,4.6,20.6
2000,5,192,18.4,11.3,26.1
2000,6,192,22.3,17.3,28.4
2000,7,192,26.5,22.8,31.3
2000,8,192,26.4,22.9,31.3
2000,9,192,20.5,16.3,25.5
2000,10,192,15.2,9.6,21.9
2000,11,192,7.5,1.5,14.9
2000,12,192,1.6,-4.9,9.9
2001,1,192,-0.7,-6.1,5.3
2001,2,192,2.3,-3.8,9.2
2001,3,192,7.0,-0.2,14.3
2001,4,192,13.1,4.0,21.9
2001,5,192,18.8,12.6,25.4
2001,6,192,22.5,17.8,28.1
2001,7,192,26.5,22.4,31.8
2001,8,192,26.2,21.7,31.8
2001,9,192,21.4,16.1,27.8
2001,10,192,15.9,10.2,22.9
2001,11,192,6.5,-0.6,16.0
2001,12,192,1.7,-4.4,8.7
2002,1,192,2.3,-3.3,8.4
2002,2,192,3.1,-4.0,11.6
2002,3,192,8.7,1.1,16.4
2002,4,192,14.1,7.2,20.8
2002,5,192,17.5,11.9,23.7
2002,6,192,22.0,15.8,28.5
2002,7,192,25.4,22.1,29.7
2002,8,192,25.0,22.0,29.0
2002,9,192,20.9,15.7,27.3
2002,10,192,13.4,7.3,21.0
2002,11,192,5.3,-1.6,12.8
2002,12,192,3.2,-2.5,9.8
2003,1,192,-0.9,-7.0,5.9
2003,2,192,3.3,-2.8,10.1
2003,3,192,6.9,0.6,13.4
2003,4,192,13.4,7.5,19.9
2003,5,192,17.7,11.9,24.2
2003,6,192,21.9,17.4,27.1
2003,7,192,22.9,20.1,26.7
2003,8,192,24.8,21.2,29.4
2003,9,192,22.4,18.1,27.8
2003,10,192,13.9,7.1,21.9
2003,11,192,10.3,4.7,16.7
2003,12,192,2.3,-3.9,10.0
2004,1,192,-0.2,-6.8,7.3
2004,2,192,3.6,-4.0,11.7
2004,3,192,7.6,0.1,15.0
2004,4,192,13.6,5.5,21.6
2004,5,192,18.2,12.6,24.0
2004,6,192,22.2,16.7,28.4
2004,7,192,26.9,23.1,31.8
2004,8,192,26.2,22.4,31.4
2004,9,192,21.9,17.7,27.2
2004,10,192,14.7,7.7,22.3
2004,11,192,9.0,2.3,17.7
2004,12,192,3.8,-2.6,11.1
2005,1,192,-0.1,-5.8,6.4
2005,2,192,1.2,-4.1,7.2
2005,3,192,5.9,-1.1,13.3
2005,4,192,13.8,6.1,21.3
2005,5,192,18.2,11.1,25.6
2005,6,192,23.4,18.5,29.3
2005,7,192,25.8,22.2,30.6
2005,8,192,25.9,22.1,30.8
2005,9,192,22.9,19.0,28.0
2005,10,192,15.1,8.7,22.6
2005,11,192,8.2,1.1,16.7
2005,12,192,-0.8,-7.2,6.1
2006,1,192,1.0,-4.6,7.5
2006,2,192,2.1,-4.1,8.3
2006,3,192,6.9,-0.3,13.9
2006,4,192,12.3,6.2,18.1
2006,5,192,17.7,12.4,23.6
2006,6,192,22.0,16.9,27.9
2006,7,192,24.2,21.7,27.7
2006,8,192,27.6,23.7,33.1
2006,9,192,20.2,15.1,25.8
2006,10,192,17.5,11.2,25.2
2006,11,192,9.6,3.4,16.1
2006,12,192,2.3,-3.4,9.6
2007,1,192,1.1,-5.1,8.9
2007,2,192,4.3,-2.8,12.3
2007,3,192,8.0,1.9,14.4
2007,4,192,12.5,5.4,19.4
2007,5,192,18.7,11.9,25.3
2007,6,192,22.4,17.8,27.6
2007,7,192,24.7,21.2,29.1
2007,8,192,27.1,24.0,31.4
2007,9,192,22.2,18.9,26.4
2007,10,192,16.3,10.6,22.7
2007,11,192,7.4,0.5,15.8
2007,12,192,3.4,-2.0,10.0
2008,1,192,1.8,-3.2,7.6
2008,2,192,1.1,-5.8,8.3
2008,3,192,8.1,0.9,15.7
2008,4,192,13.8,7.1,20.5
2008,5,192,18.2,11.6,24.9
2008,6,192,20.9,16.8,25.7
2008,7,192,27.3,24.0,31.7
2008,8,192,25.9,21.6,31.1
2008,9,192,22.9,18.0,28.8
2008,10,192,16.8,10.3,24.5
2008,11,192,8.6,2.5,15.6
2008,12,192,2.5,-4.2,10.5
2009,1,192,-0.4,-7.0,7.3
2009,2,192,5.9,-0.2,12.8
2009,3,192,8.7,1.7,15.1
2009,4,192,13.9,6.6,21.2
2009,5,192,19.3,12.4,26.6
2009,6,192,22.3,17.5,27.6
2009,7,192,23.7,20.4,27.9
2009,8,192,24.5,20.6,29.0
2009,9,192,21.6,16.9,27.4
2009,10,192,15.3,8.6,23.3
2009,11,192,8.4,3.1,14.8
2009,12,192,1.8,-3.9,8.8
2010,1,192,-0.5,-7.0,6.8
2010,2,192,3.5,-1.7,9.0
2010,3,192,6.5,1.5,11.3
2010,4,192,10.4,4.7,16.3
2010,5,192,17.3,11.3,23.6
2010,6,192,22.0,16.8,28.1
2010,7,192,25.1,22.1,29.2
2010,8,192,27.0,24.0,31.4
2010,9,192,22.7,18.1,28.4
2010,10,192,15.3,9.5,22.1
2010,11,192,6.7,-0.6,15.3
2010,12,192,1.7,-4.5,8.6
2011,1,192,-3.1,-10.0,3.9
2011,2,192,2.6,-4.1,10.2
2011,3,192,5.4,-1.8,12.2
2011,4,192,12.0,4.9,18.9
2011,5,192,17.5,11.9,23.2
2011,6,192,22.2,18.0,27.4
2011,7,192,25.4,22.2,29.7
2011,8,192,25.1,22.4,29.0
2011,9,192,21.9,17.1,27.5
2011,10,192,14.1,7.8,21.3
2011,11,192,11.2,6.3,17.0
2011,12,192,1.3,-4.1,7.9
2012,1,192,0.1,-5.9,6.2
2012,2,192,0.2,-5.6,6.2
2012,3,192,6.5,0.6,12.2
2012,4,192,12.9,6.2,19.3
2012,5,192,18.3,12.4,25.0
2012,6,192,21.7,17.5,26.8
2012,7,192,25.7,22.3,29.9
2012,8,192,26.5,22.9,31.0
2012,9,192,20.3,15.5,26.1
2012,10,192,14.0,7.2,22.1
2012,11,192,6.8,0.9,13.2
2012,12,192,-0.2,-5.0,5.4
2013,1,192,-1.1,-6.9,5.9
2013,2,192,1.7,-4.3,8.1
2013,3,192,8.2,0.5,15.7
2013,4,192,10.8,3.5,17.7
2013,5,192,18.0,11.3,25.1
2013,6,192,22.3,18.2,27.5
2013,7,192,26.4,23.5,30.4
2013,8,192,27.4,23.2,32.9
2013,9,192,21.7,16.8,27.6
2013,10,192,15.9,10.0,22.7
2013,11,192,7.3,1.0,14.7
2013,12,192,1.8,-4.3,9.0
2014,1,192,0.7,-6.2,8.9
2014,2,192,3.8,-2.0,10.0
2014,3,192,8.2,2.1,14.5
2014,4,192,13.1,6.2,20.8
2014,5,192,18.3,11.2,25.5
2014,6,192,21.4,17.2,26.6
2014,7,192,24.5,20.9,29.0
2014,8,192,23.7,20.8,27.7
2014,9,192,20.8,16.0,26.8
2014,10,192,14.8,9.1,21.8
2014,11,192,8.6,3.0,15.7
2014,12,192,0.6,-4.8,7.1
2015,1,192,0.9,-5.0,7.8
2015,2,192,2.0,-4.2,8.9
2015,3,192,7.1,0.1,14.5
2015,4,192,12.7,7.1,18.9
2015,5,192,18.5,12.0,25.4
2015,6,192,20.9,16.6,26.1
2015,7,192,23.9,20.4,28.4
2015,8,192,24.9,20.8,30.2
2015,9,192,20.2,15.1,26.1
2015,10,192,14.7,8.4,22.8
2015,11,192,10.7,6.4,15.9
2015,12,192,4.2,-1.4,10.3
2016,1,192,-0.2,-5.5,6.3
2016,2,192,2.7,-3.6,9.4
2016,3,192,7.9,1.8,14.4
2016,4,192,13.9,8.2,20.4
2016,5,192,18.2,11.3,25.3
2016,6,192,21.9,17.8,26.9
2016,7,192,25.6,22.1,30.4
2016,8,192,26.7,21.9,33.0
2016,9,192,21.5,17.8,26.0
2016,10,192,16.0,11.6,21.3
2016,11,192,8.3,2.6,15.0
2016,12,192,3.2,-2.7,10.1
2017,1,192,0.8,-5.3,7.8
2017,2,192,2.9,-4.1,9.8
2017,3,192,6.6,-0.4,14.0
2017,4,192,14.4,7.3,21.4
2017,5,192,18.4,10.8,26.1
2017,6,192,21.7,15.7,28.6
2017,7,192,27.0,23.4,32.1
2017,8,192,26.3,22.0,31.5
2017,9,192,20.7,15.1,27.0
2017,10,192,15.9,11.0,22.1
2017,11,192,7.4,0.4,15.5
2017,12,192,0.4,-6.0,7.8
2018,1,192,-0.5,-6.3,6.1
2018,2,192,1.2,-5.8,8.4
2018,3,192,8.2,1.5,15.3
2018,4,192,13.6,7.1,20.3
2018,5,192,18.0,12.0,23.8
2018,6,192,21.9,16.9,27.9
2018,7,192,26.6,22.3,31.8
2018,8,192,27.0,22.6,32.6
2018,9,192,20.6,16.2,25.5
2018,10,192,13.2,7.0,20.6
2018,11,192,7.8,1.5,16.0
2018,12,192,2.6,-2.8,9.0
2019,1,192,0.9,-5.8,9.2
2019,2,192,3.7,-2.2,10.9
2019,3,192,8.4,1.3,15.5
2019,4,192,12.4,5.8,18.9
2019,5,192,18.4,10.6,26.4
2019,6,192,21.5,16.7,27.4
2019,7,192,24.9,21.3,28.9
2019,8,192,26.4,22.1,31.5
2019,9,192,22.1,18.4,26.8
2019,10,192,16.1,10.8,22.5
2019,11,192,9.4,3.1,17.2
2019,12,192,2.9,-2.8,10.2
2020,1,192,3.0,-2.2,9.8
2020,2,192,4.5,-1.6,11.2
2020,3,192,8.7,1.5,15.8
2020,4,192,11.4,3.5,18.7
2020,5,192,18.2,12.5,24.3
2020,6,192,23.0,17.9,29.1
2020,7,192,22.7,20.1,26.5
2020,8,192,27.3,24.1,31.7
2020,9,192,20.7,16.3,25.8
2020,10,192,14.5,8.5,21.9
2020,11,192,9.1,2.8,16.3
2020,12,192,1.3,-4.4,8.6
2021,1,192,0.6,-5.6,7.3
2021,2,192,4.8,-2.1,12.0
2021,3,192,9.8,2.9,16.9
2021,4,192,13.6,6.3,21.1
2021,5,192,17.6,11.3,23.8
2021,6,192,22.2,17.5,27.5
