년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,155,3.3,-0.6,7.6
2000,2,155,3.0,-1.6,8.2
2000,3,155,8.9,3.9,14.7
2000,4,155,13.4,8.9,19.1
2000,5,155,17.9,13.6,23.5
2000,6,155,21.4,18.3,26.0
2000,7,155,26.0,23.1,30.1
2000,8,155,26.7,23.8,30.7
2000,9,155,21.9,18.6,26.2
2000,10,155,17.4,13.8,22.1
2000,11,155,10.5,6.6,15.4
2000,12,155,5.4,1.3,10.2
2001,1,155,1.8,-1.6,5.6
2001,2,155,4.5,0.6,9.0
2001,3,155,8.5,4.2,13.2
2001,4,155,14.2,9.7,20.0
2001,5,155,19.2,15.6,24.0
2001,6,155,21.8,19.3,25.7
2001,7,155,26.3,23.5,29.9
2001,8,155,27.1,24.3,31.0
2001,9,155,22.8,19.6,27.2
2001,10,155,18.3,14.8,22.6
2001,11,155,10.6,6.7,15.2
2001,12,155,4.5,1.0,8.3
2002,1,155,4.6,0.9,8.6
2002,2,155,6.1,1.9,11.2
2002,3,155,10.6,6.5,15.7
2002,4,155,14.9,10.9,19.2
2002,5,155,18.0,14.3,22.6
2002,6,155,22.1,18.7,26.3
2002,7,155,25.1,22.7,28.5
2002,8,155,25.2,23.0,28.3
2002,9,155,22.1,18.6,26.8
2002,10,155,16.2,12.2,20.9
2002,11,155,8.3,4.0,12.8
2002,12,155,5.9,2.5,9.9
2003,1,155,1.9,-1.8,6.4
2003,2,155,5.6,2.0,10.0
2003,3,155,8.5,5.0,12.9
2003,4,155,14.4,11.0,19.0
2003,5,155,18.1,14.7,22.3
2003,6,155,22.2,19.3,26.2
2003,7,155,22.8,20.8,25.8
2003,8,155,25.4,22.8,28.9
2003,9,155,23.5,20.7,27.5
2003,10,155,17.0,12.7,22.1
2003,11,155,12.9,9.5,16.9
2003,12,155,5.3,1.6,9.9
2004,1,155,3.1,-0.6,7.6
2004,2,155,6.4,1.8,11.4
2004,3,155,9.1,4.8,14.1
2004,4,155,14.7,10.5,20.1
2004,5,155,18.9,15.7,22.9
2004,6,155,22.3,18.7,27.0
2004,7,155,26.7,24.0,30.5
2004,8,155,26.7,23.8,30.8
2004,9,155,23.3,20.3,27.1
2004,10,155,17.6,13.8,22.0
2004,11,155,12.5,8.3,17.5
2004,12,155,6.7,3.1,11.0
2005,1,155,1.8,-1.8,6.2
2005,2,155,2.3,-1.4,6.7
2005,3,155,7.0,2.4,12.2
2005,4,155,14.2,9.8,19.2
2005,5,155,17.8,13.5,22.8
2005,6,155,22.3,19.1,26.4
2005,7,155,24.7,22.1,28.4
2005,8,155,25.9,23.2,29.6
2005,9,155,23.0,20.1,26.6
2005,10,155,16.9,13.4,21.4
2005,11,155,11.2,7.2,16.0
2005,12,155,1.3,-2.7,6.3
2006,1,155,3.6,0.3,7.6
2006,2,155,3.7,-0.3,8.4
2006,3,155,7.9,3.3,13.2
2006,4,155,12.9,8.7,17.3
2006,5,155,17.5,13.9,22.2
2006,6,155,21.3,17.9,25.7
2006,7,155,23.7,21.4,26.8
2006,8,155,27.4,24.2,31.7
2006,9,155,21.0,17.6,25.2
2006,10,155,18.6,15.2,23.5
2006,11,155,11.5,7.8,15.5
2006,12,155,4.9,1.2,9.1
2007,1,155,4.0,0.5,8.5
2007,2,155,6.6,2.2,11.8
2007,3,155,8.7,4.7,13.4
2007,4,155,13.2,8.6,18.6
2007,5,155,18.5,14.1,24.1
2007,6,155,21.5,18.3,25.5
2007,7,155,23.8,21.2,27.8
2007,8,155,26.6,23.8,30.4
2007,9,155,22.5,19.9,26.2
2007,10,155,17.1,13.5,21.8
2007,11,155,10.0,5.9,14.9
2007,12,155,5.4,2.0,9.5
2008,1,155,2.9,-0.2,6.8
2008,2,155,2.5,-1.7,7.7
2008,3,155,9.0,4.6,14.3
2008,4,155,14.1,9.8,19.2
2008,5,155,18.1,13.7,23.6
2008,6,155,20.7,17.4,24.7
2008,7,155,26.5,23.9,30.4
2008,8,155,25.8,22.5,30.3
2008,9,155,23.2,19.9,27.5
2008,10,155,18.7,14.7,24.0
2008,11,155,10.8,6.9,15.4
2008,12,155,5.3,0.9,10.3
2009,1,155,2.3,-1.7,7.1
2009,2,155,7.3,3.2,12.1
2009,3,155,9.5,5.1,14.4
2009,4,155,14.5,9.9,20.6
2009,5,155,19.1,14.4,25.1
2009,6,155,21.9,18.5,26.5
2009,7,155,24.0,21.2,27.6
2009,8,155,25.3,22.4,28.9
