년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,162,3.9,-0.2,8.7
2000,2,162,3.0,-1.7,8.4
2000,3,162,8.6,3.7,13.8
2000,4,162,13.1,8.7,18.0
2000,5,162,17.2,13.4,21.9
2000,6,162,20.9,18.0,25.0
2000,7,162,25.2,22.6,29.1
2000,8,162,26.6,23.9,30.2
2000,9,162,21.5,18.6,25.4
2000,10,162,17.2,13.9,21.5
2000,11,162,10.6,6.6,15.5
2000,12,162,5.9,1.5,11.3
2001,1,162,2.2,-1.5,6.3
2001,2,162,4.7,0.5,9.7
2001,3,162,8.6,4.2,13.8
2001,4,162,13.9,9.3,19.1
2001,5,162,18.2,14.9,22.7
2001,6,162,21.1,18.5,25.0
2001,7,162,25.4,22.7,29.0
2001,8,162,26.4,23.5,30.4
2001,9,162,22.5,19.3,27.1
2001,10,162,18.4,14.9,23.0
2001,11,162,10.8,6.3,16.5
2001,12,162,4.9,1.0,9.8
2002,1,162,5.1,1.1,9.7
2002,2,162,6.1,1.5,11.7
2002,3,162,10.5,6.2,15.4
2002,4,162,14.6,10.4,19.2
2002,5,162,17.4,14.0,21.9
2002,6,162,21.3,17.7,26.0
2002,7,162,24.3,22.1,27.6
2002,8,162,25.0,22.7,28.3
2002,9,162,22.3,18.7,27.2
2002,10,162,16.5,12.2,21.8
2002,11,162,8.7,4.0,14.2
2002,12,162,6.4,2.6,11.5
2003,1,162,2.4,-2.0,7.7
2003,2,162,6.0,1.9,11.2
2003,3,162,8.8,4.8,13.8
2003,4,162,14.2,10.6,18.8
2003,5,162,18.0,14.5,22.9
2003,6,162,21.8,19.0,25.7
2003,7,162,23.0,20.7,26.2
2003,8,162,25.4,22.9,29.0
2003,9,162,23.6,20.6,28.1
2003,10,162,17.4,13.0,22.6
2003,11,162,13.6,10.1,17.9
2003,12,162,6.0,1.5,11.3
2004,1,162,3.4,-0.9,9.0
2004,2,162,6.9,1.7,12.1
2004,3,162,9.3,4.7,14.7
2004,4,162,13.5,9.0,18.8
2004,5,162,17.2,14.1,21.2
2004,6,162,20.8,17.2,25.7
2004,7,162,24.9,22.5,28.3
2004,8,162,25.7,22.8,29.9
2004,9,162,22.9,20.3,26.8
2004,10,162,17.6,13.8,22.3
2004,11,162,13.0,8.7,18.4
2004,12,162,8.4,4.2,13.2
2005,1,162,1.6,-2.0,6.2
2005,2,162,2.2,-1.3,6.6
2005,3,162,7.3,3.0,11.9
2005,4,162,13.9,10.0,18.5
2005,5,162,16.9,13.1,21.8
2005,6,162,20.9,18.2,24.8
2005,7,162,23.3,21.0,26.7
2005,8,162,25.0,22.5,28.4
2005,9,162,22.5,20.0,26.1
2005,10,162,16.8,13.2,21.6
2005,11,162,11.1,6.9,15.9
2005,12,162,2.3,-1.7,7.3
