년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,285,0.8,-4.4,7.3
2000,2,285,1.0,-5.7,8.5
2000,3,285,7.3,-0.7,15.7
2000,4,285,13.1,5.2,20.8
2000,5,285,18.4,11.1,26.3
2000,6,285,22.4,17.3,28.6
2000,7,285,25.9,21.6,31.4
2000,8,285,25.7,22.0,30.8
2000,9,285,19.9,16.0,25.0
2000,10,285,14.5,9.4,21.9
2000,11,285,7.2,1.9,14.5
2000,12,285,1.8,-4.1,9.8
2001,1,285,-1.1,-6.0,5.0
2001,2,285,2.5,-3.2,9.3
2001,3,285,6.1,-0.4,13.2
2001,4,285,12.3,4.0,20.6
2001,5,285,17.1,11.1,23.6
2001,6,285,22.1,17.4,27.5
2001,7,285,25.4,21.3,30.8
2001,8,285,24.7,20.2,30.8
2001,9,285,20.3,15.2,27.0
2001,10,285,15.3,10.7,21.8
2001,11,285,7.0,1.2,15.4
2001,12,285,1.4,-3.8,8.3
2002,1,285,2.0,-3.2,8.2
2002,2,285,2.7,-4.3,11.4
2002,3,285,8.6,1.5,16.5
2002,4,285,14.2,6.9,21.5
2002,5,285,17.6,11.6,24.2
2002,6,285,22.1,15.6,29.1
2002,7,285,25.1,21.4,29.8
2002,8,285,24.4,21.2,28.8
2002,9,285,20.5,15.6,27.0
2002,10,285,13.3,7.9,20.9
2002,11,285,5.5,-0.9,13.2
2002,12,285,3.0,-2.0,9.6
2003,1,285,-0.8,-6.5,6.4
2003,2,285,3.4,-2.1,10.3
2003,3,285,7.2,1.4,13.8
2003,4,285,13.6,7.6,20.4
2003,5,285,17.8,12.0,24.9
2003,6,285,21.6,17.0,27.5
2003,7,285,22.5,19.5,26.7
2003,8,285,24.5,20.9,29.4
2003,9,285,21.7,17.8,27.7
2003,10,285,13.6,7.3,21.9
2003,11,285,10.1,4.9,16.6
2003,12,285,2.8,-3.0,10.2
2004,1,285,0.0,-6.0,7.7
2004,2,285,4.0,-3.0,12.1
2004,3,285,7.9,0.8,15.7
2004,4,285,14.2,5.8,22.8
2004,5,285,18.5,12.6,24.9
2004,6,285,22.4,16.6,29.2
2004,7,285,26.5,22.3,32.2
2004,8,285,25.3,21.3,31.0
2004,9,285,21.5,17.4,27.1
2004,10,285,14.6,8.0,22.7
2004,11,285,9.3,3.5,17.8
2004,12,285,3.6,-2.2,11.4
2005,1,285,0.1,-5.8,6.9
2005,2,285,1.3,-4.1,7.6
2005,3,285,6.6,-0.4,14.1
2005,4,285,14.8,7.0,22.8
2005,5,285,18.8,11.4,26.7
2005,6,285,23.8,18.3,30.6
2005,7,285,25.9,21.8,31.2
2005,8,285,25.6,21.7,31.1
2005,9,285,22.7,18.9,28.0
2005,10,285,14.9,9.2,22.3
2005,11,285,8.4,1.7,17.1
2005,12,285,-0.9,-7.0,6.6
2006,1,285,1.4,-4.2,8.5
2006,2,285,2.7,-3.3,9.3
2006,3,285,7.6,0.3,15.4
2006,4,285,12.9,6.5,19.5
2006,5,285,18.3,12.4,24.8
2006,6,285,22.5,17.0,29.4
2006,7,285,24.1,21.4,28.2
2006,8,285,27.4,23.0,33.6
2006,9,285,19.7,15.2,25.8
2006,10,285,17.0,11.4,25.5
2006,11,285,9.2,3.2,16.4
2006,12,285,2.5,-2.9,9.9
2007,1,285,1.5,-4.5,9.5
2007,2,285,5.0,-1.9,13.2
2007,3,285,8.6,2.4,15.8
2007,4,285,13.2,5.5,21.0
2007,5,285,19.4,12.2,26.9
2007,6,285,22.9,17.6,29.0
2007,7,285,25.1,21.4,29.9
2007,8,285,27.3,23.7,32.1
2007,9,285,22.0,18.9,26.4
2007,10,285,15.9,10.9,22.8
2007,11,285,7.3,0.9,16.3
2007,12,285,3.5,-1.5,10.2
2008,1,285,0.4,-4.3,6.3
2008,2,285,0.0,-7.0,8.0
2008,3,285,7.6,0.1,15.9
2008,4,285,13.6,6.1,21.2
2008,5,285,18.1,10.7,26.0
2008,6,285,20.5,15.6,26.0
2008,7,285,27.2,23.0,32.6
2008,8,285,25.0,20.3,30.8
2008,9,285,21.9,16.6,28.5
2008,10,285,15.7,9.2,24.3
2008,11,285,7.5,1.6,15.4
2008,12,285,1.2,-5.2,9.6
2009,1,285,-1.4,-8.0,7.0
2009,2,285,4.7,-1.6,12.4
2009,3,285,8.1,1.1,15.1
2009,4,285,14.2,6.3,22.2
2009,5,285,19.2,11.4,27.7
2009,6,285,23.0,17.4,29.5
2009,7,285,24.2,20.8,29.1
2009,8,285,24.9,20.6,30.1
2009,9,285,21.8,16.4,28.5
2009,10,285,15.1,8.2,24.0
2009,11,285,8.1,2.9,14.8
2009,12,285,1.3,-4.1,8.3
2010,1,285,-1.2,-7.5,6.7
2010,2,285,2.9,-2.5,9.4
2010,3,285,6.4,1.3,11.7
2010,4,285,10.6,4.4,17.2
2010,5,285,18.3,11.3,25.5
2010,6,285,23.5,17.3,30.5
2010,7,285,26.0,22.5,30.9
2010,8,285,27.6,24.2,33.0
2010,9,285,22.5,18.0,28.9
2010,10,285,14.9,9.4,22.3
2010,11,285,6.5,-0.3,15.8
2010,12,285,0.9,-5.0,8.3
2011,1,285,-3.9,-10.5,3.8
2011,2,285,2.2,-4.3,10.3
2011,3,285,5.6,-1.8,13.4
2011,4,285,12.8,5.0,20.4
2011,5,285,18.0,11.8,24.5
2011,6,285,23.6,18.3,30.1
2011,7,285,26.1,22.4,31.0
2011,8,285,25.8,22.5,30.2
2011,9,285,22.0,17.1,28.2
2011,10,285,14.0,7.9,21.8
2011,11,285,10.9,6.5,16.9
2011,12,285,0.9,-4.6,7.9
2012,1,285,-0.5,-6.1,6.2
2012,2,285,0.0,-5.8,6.7
2012,3,285,6.8,0.8,13.0
2012,4,285,13.8,6.4,21.0
2012,5,285,19.2,12.6,26.6
2012,6,285,22.4,17.7,28.0
2012,7,285,26.8,22.7,31.8
2012,8,285,26.9,22.9,32.2
2012,9,285,20.5,16.1,26.5
2012,10,285,13.8,7.1,22.6
2012,11,285,6.6,0.9,13.5
2012,12,285,-1.0,-5.6,4.7
2013,1,285,-1.7,-7.4,5.5
2013,2,285,1.4,-4.4,8.2
2013,3,285,8.5,0.0,17.3
2013,4,285,11.2,3.8,18.7
2013,5,285,18.8,11.3,26.7
2013,6,285,23.0,18.2,28.8
2013,7,285,26.7,22.8,31.4
2013,8,285,27.4,22.9,33.8
2013,9,285,21.0,16.4,27.4
2013,10,285,15.0,9.7,22.3
2013,11,285,6.7,1.1,14.0
2013,12,285,1.3,-4.4,8.3
2014,1,285,-0.2,-6.9,8.4
2014,2,285,3.0,-3.0,10.0
2014,3,285,8.0,1.4,14.9
2014,4,285,13.5,6.3,21.5
2014,5,285,18.7,10.8,27.0
2014,6,285,22.1,17.3,27.9
2014,7,285,25.0,20.9,30.4
2014,8,285,23.7,20.5,28.1
2014,9,285,20.7,16.0,27.0
2014,10,285,14.3,8.6,21.8
2014,11,285,8.1,2.6,15.6
2014,12,285,-0.1,-5.3,6.4
2015,1,285,0.4,-5.3,7.1
2015,2,285,1.9,-3.8,8.8
2015,3,285,7.3,-0.2,15.2
2015,4,285,13.0,6.9,19.7
2015,5,285,19.1,11.6,26.8
2015,6,285,21.7,16.6,27.5
2015,7,285,24.6,20.5,29.8
2015,8,285,25.1,20.6,31.3
2015,9,285,19.9,14.9,26.6
2015,10,285,14.3,8.0,23.1
2015,11,285,10.3,6.4,15.4
2015,12,285,3.3,-1.7,9.6
2016,1,285,-1.1,-6.3,5.5
2016,2,285,2.0,-3.9,9.2
2016,3,285,7.9,1.5,15.3
2016,4,285,14.3,8.0,21.6
2016,5,285,18.9,11.4,26.8
2016,6,285,22.6,17.6,28.5
2016,7,285,26.2,22.1,31.6
2016,8,285,27.1,22.1,33.9
2016,9,285,21.4,18.1,26.1
2016,10,285,15.8,12.0,21.3
2016,11,285,7.5,2.0,14.7
2016,12,285,2.4,-3.2,9.5
2017,1,285,0.3,-5.8,7.7
2017,2,285,2.4,-4.8,9.9
2017,3,285,6.9,0.0,14.3
2017,4,285,14.6,7.1,22.1
2017,5,285,19.4,11.2,27.6
2017,6,285,22.9,16.0,30.6
2017,7,285,27.1,22.8,32.7
2017,8,285,25.9,21.3,32.0
2017,9,285,20.3,14.6,27.2
2017,10,285,15.4,10.6,22.0
2017,11,285,6.5,-0.4,15.4
2017,12,285,-0.3,-6.5,7.2
2018,1,285,-1.6,-7.2,5.4
2018,2,285,0.4,-6.7,8.3
2018,3,285,8.5,1.3,16.4
2018,4,285,14.1,6.8,21.5
2018,5,285,18.8,12.5,25.2
2018,6,285,22.9,17.0,29.4
2018,7,285,27.6,22.6,33.4
2018,8,285,27.3,22.2,33.6
2018,9,285,20.3,15.7,26.0
2018,10,285,12.7,6.7,20.5
2018,11,285,7.2,1.3,15.7
2018,12,285,1.4,-4.2,8.3
2019,1,285,0.3,-6.0,8.8
2019,2,285,3.1,-3.1,10.5
2019,3,285,8.3,1.0,16.0
2019,4,285,12.9,6.0,19.9
2019,5,285,19.1,10.7,27.7
2019,6,285,22.3,16.6,29.0
2019,7,285,25.0,20.8,30.1
2019,8,285,26.4,21.7,32.2
2019,9,285,21.6,17.7,27.4
2019,10,285,15.5,10.3,22.4
2019,11,285,8.6,2.6,16.7
2019,12,285,2.7,-2.7,9.8
2020,1,285,2.6,-2.1,9.1
2020,2,285,4.3,-1.5,11.3
2020,3,285,8.8,1.7,16.0
2020,4,285,11.8,3.8,19.2
2020,5,285,18.6,12.6,24.9
2020,6,285,23.5,18.0,29.8
2020,7,285,22.7,19.8,26.5
2020,8,285,27.0,23.5,31.7
2020,9,285,20.1,16.0,25.4
2020,10,285,13.8,7.9,21.4
2020,11,285,8.4,2.3,16.0
2020,12,285,0.7,-5.1,8.4
2021,1,285,0.1,-5.8,7.1
2021,2,285,4.3,-2.4,12.1
2021,3,285,9.7,3.4,16.4
2021,4,285,14.0,6.8,21.2
2021,5,285,17.7,11.7,24.1
2021,6,285,22.5,17.7,28.0
2021,7,285,25.9,21.7,31.5
2021,8,285,25.0,21.4,30.3
2021,9,285,21.3,17.7,26.1
2021,10,285,15.4,10.3,22.6
2021,11,285,8.1,2.4,16.0
2021,12,285,2.4,-3.5,9.7
2022,1,285,0.1,-6.0,7.9
2022,2,285,1.2,-5.4,8.3
2022,3,285,9.2,2.0,16.3
2022,4,285,14.9,7.5,22.5
2022,5,285,19.5,11.4,27.2
2022,6,285,23.3,18.5,29.0
2022,7,285,26.7,22.4,32.1
2022,8,285,25.6,22.1,30.1
2022,9,285,21.0,16.5,26.8
2022,10,285,14.2,8.2,21.8
2022,11,285,9.4,3.1,17.8
2022,12,285,-0.3,-5.7,6.5
2023,1,285,-0.1,-6.3,7.7
2023,2,285,3.4,-3.1,11.1
2023,3,285,10.5,2.9,18.7
2023,4,285,14.0,7.0,20.9
2023,5,285,18.4,12.5,24.8
2023,6,285,23.2,18.0,29.2
2023,7,285,25.8,22.3,30.1
2023,8,285,27.0,23.2,32.1
2023,9,285,23.1,19.6,28.1
2023,10,285,15.1,9.5,22.8
2023,11,285,8.7,2.5,15.8
2023,12,285,3.2,-2.0,9.7
2024,1,285,1.9,-3.4,8.6
2024,2,285,5.3,0.8,10.8
2024,3,285,8.3,1.9,14.8
2024,4,285,15.8,9.7,22.6
2024,5,285,19.1,11.9,26.4
2024,6,285,23.6,17.6,30.1
2024,7,285,27.3,24.0,31.6
2024,8,285,28.7,24.3,34.7
2024,9,285,25.5,21.4,30.9
2024,10,285,16.6,12.3,22.6
2024,11,285,10.0,5.2,16.8
2024,12,285,2.6,-3.0,9.5
