년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,201,-3.6,-7.8,0.7
2000,2,201,-3.2,-8.2,1.7
2000,3,201,4.2,-1.3,9.8
2000,4,201,9.7,4.5,14.9
2000,5,201,14.7,10.6,19.7
2000,6,201,20.7,16.6,25.7
2000,7,201,24.3,21.1,28.6
2000,8,201,24.6,21.5,28.8
2000,9,201,19.3,15.3,24.0
2000,10,201,12.8,7.6,18.5
2000,11,201,4.9,-0.5,10.3
2000,12,201,-0.8,-5.7,4.2
2001,1,201,-6.2,-11.3,-1.3
2001,2,201,-2.4,-7.2,2.4
2001,3,201,3.2,-1.4,8.2
2001,4,201,11.0,5.0,16.9
2001,5,201,16.2,11.6,21.7
2001,6,201,20.3,16.7,25.1
2001,7,201,23.8,21.0,27.9
2001,8,201,24.6,20.4,29.9
2001,9,201,20.6,15.4,26.6
2001,10,201,14.6,9.6,20.5
2001,11,201,5.4,0.2,11.0
2001,12,201,-2.1,-6.9,2.7
2002,1,201,-1.4,-5.6,2.8
2002,2,201,0.7,-4.1,5.9
2002,3,201,5.7,0.6,11.0
2002,4,201,11.6,6.3,16.8
2002,5,201,15.6,10.6,21.2
2002,6,201,19.6,14.7,24.9
2002,7,201,23.1,20.1,27.4
2002,8,201,22.5,19.3,26.4
2002,9,201,19.5,14.8,25.1
2002,10,201,11.0,5.5,16.8
2002,11,201,2.4,-2.6,7.3
2002,12,201,-0.3,-5.0,4.6
2003,1,201,-4.5,-9.2,0.4
2003,2,201,0.5,-4.3,5.8
2003,3,201,4.1,-0.8,9.0
2003,4,201,11.3,6.2,16.4
2003,5,201,17.2,11.5,23.5
2003,6,201,19.7,15.9,24.1
2003,7,201,22.6,19.2,27.2
2003,8,201,22.9,19.5,27.3
2003,9,201,19.7,15.7,24.6
2003,10,201,12.8,7.2,18.9
2003,11,201,7.8,3.4,12.6
2003,12,201,-0.8,-5.5,3.9
2004,1,201,-3.5,-8.1,1.4
2004,2,201,0.6,-4.6,5.8
2004,3,201,4.3,-1.2,9.5
2004,4,201,10.6,5.1,16.2
2004,5,201,15.0,11.0,19.8
2004,6,201,20.4,16.2,25.7
2004,7,201,22.7,20.3,25.9
2004,8,201,24.6,21.0,29.2
2004,9,201,20.4,15.5,26.0
2004,10,201,13.7,7.4,20.8
2004,11,201,7.7,2.5,13.6
2004,12,201,0.5,-4.3,5.8
2005,1,201,-3.9,-8.9,1.8
2005,2,201,-3.1,-7.9,2.0
2005,3,201,2.9,-2.0,8.0
2005,4,201,11.4,6.1,16.8
2005,5,201,15.8,10.5,21.4
2005,6,201,20.8,17.2,25.4
2005,7,201,24.0,21.2,27.9
2005,8,201,24.1,21.0,28.1
2005,9,201,20.7,16.7,26.1
2005,10,201,13.4,7.9,19.7
2005,11,201,7.4,1.9,12.6
2005,12,201,-4.7,-9.5,0.2
2006,1,201,-1.8,-6.5,3.2
2006,2,201,-1.3,-6.4,3.9
2006,3,201,3.7,-1.5,8.9
2006,4,201,10.0,5.7,15.0
2006,5,201,16.3,11.7,21.6
2006,6,201,19.4,15.7,24.2
2006,7,201,22.2,19.8,25.4
2006,8,201,25.5,21.9,30.0
2006,9,201,19.4,14.5,24.9
2006,10,201,16.3,11.3,21.9
2006,11,201,7.5,2.4,12.4
2006,12,201,0.0,-4.6,4.9
2007,1,201,-1.3,-6.2,3.9
2007,2,201,2.1,-3.1,7.8
2007,3,201,4.9,0.0,9.7
2007,4,201,10.0,5.1,14.8
2007,5,201,15.8,11.1,20.8
2007,6,201,21.2,16.7,26.2
2007,7,201,22.6,19.6,26.6
2007,8,201,25.1,22.2,28.8
2007,9,201,21.0,17.5,25.2
2007,10,201,13.8,9.2,19.4
2007,11,201,5.4,0.1,10.9
2007,12,201,0.7,-3.7,5.5
2008,1,201,-3.0,-7.7,1.6
2008,2,201,-1.9,-7.5,3.0
2008,3,201,6.0,1.2,11.1
2008,4,201,12.3,6.7,18.0
2008,5,201,15.7,11.1,20.8
2008,6,201,20.2,16.2,25.1
2008,7,201,23.7,21.1,27.0
2008,8,201,24.5,20.5,29.0
2008,9,201,20.6,15.9,26.2
2008,10,201,15.0,9.8,20.8
2008,11,201,6.5,1.2,11.9
2008,12,201,0.4,-4.6,5.1
2009,1,201,-3.0,-8.0,2.4
2009,2,201,1.7,-3.5,6.5
2009,3,201,4.9,-0.4,10.0
2009,4,201,10.7,5.4,16.3
2009,5,201,17.0,12.2,22.2
2009,6,201,20.2,15.9,24.8
2009,7,201,22.8,19.2,27.4
2009,8,201,24.2,20.1,28.9
2009,9,201,19.9,14.9,25.7
2009,10,201,14.5,9.1,20.6
2009,11,201,5.7,1.5,9.9
2009,12,201,-2.1,-6.5,2.4
2010,1,201,-5.8,-10.8,-0.8
2010,2,201,-0.1,-4.7,4.4
2010,3,201,3.6,-1.0,8.0
2010,4,201,8.2,3.5,13.1
2010,5,201,15.4,11.0,20.4
2010,6,201,21.5,16.8,26.7
2010,7,201,24.5,21.7,28.2
2010,8,201,25.5,22.5,29.6
2010,9,201,20.9,17.2,25.7
2010,10,201,13.1,7.9,19.1
2010,11,201,5.4,0.0,11.1
2010,12,201,-1.8,-6.9,3.3
2011,1,201,-8.2,-13.6,-3.1
2011,2,201,-0.7,-5.7,4.8
2011,3,201,3.1,-1.8,8.2
2011,4,201,9.0,3.9,14.1
2011,5,201,16.2,11.1,21.6
2011,6,201,19.8,15.9,24.4
2011,7,201,23.6,20.9,27.2
2011,8,201,24.5,21.6,28.5
2011,9,201,20.4,15.9,25.5
2011,10,201,12.9,7.3,18.4
2011,11,201,9.8,5.6,13.9
2011,12,201,-1.8,-6.3,2.5
2012,1,201,-4.1,-9.4,0.8
2012,2,201,-3.3,-8.8,2.2
2012,3,201,3.9,-0.7,8.5
2012,4,201,10.6,5.4,16.1
2012,5,201,17.2,12.0,23.0
2012,6,201,21.9,17.3,27.6
2012,7,201,23.9,21.0,27.4
2012,8,201,25.7,22.0,29.6
2012,9,201,19.5,15.3,24.4
2012,10,201,13.9,8.6,19.6
2012,11,201,4.6,-0.2,9.1
2012,12,201,-5.4,-10.0,-0.9
2013,1,201,-4.9,-9.7,-0.3
2013,2,201,-2.7,-7.4,1.6
2013,3,201,3.2,-2.1,8.7
2013,4,201,8.5,3.2,13.6
2013,5,201,15.3,10.4,20.7
2013,6,201,21.8,17.5,26.8
2013,7,201,24.1,21.9,27.0
2013,8,201,26.1,22.4,30.1
2013,9,201,20.3,16.0,25.3
2013,10,201,14.3,8.7,20.2
2013,11,201,5.1,-0.1,10.2
2013,12,201,-1.6,-6.4,3.2
2014,1,201,-1.8,-7.1,3.1
2014,2,201,0.2,-4.2,5.2
2014,3,201,6.4,0.7,11.7
2014,4,201,11.7,6.5,17.5
2014,5,201,16.2,11.1,22.2
2014,6,201,21.4,17.7,25.9
2014,7,201,24.4,20.7,29.1
2014,8,201,23.9,20.3,28.1
2014,9,201,20.4,15.4,25.9
2014,10,201,14.2,8.5,20.4
2014,11,201,7.6,2.3,12.8
2014,12,201,-3.5,-8.3,1.3
2015,1,201,-2.2,-6.7,2.7
2015,2,201,0.1,-4.6,4.9
2015,3,201,4.5,-1.9,10.4
2015,4,201,11.8,6.2,17.2
2015,5,201,16.2,10.4,22.1
2015,6,201,21.2,16.4,26.6
2015,7,201,24.0,20.5,28.3
2015,8,201,24.8,20.9,29.4
2015,9,201,20.7,15.3,26.3
2015,10,201,14.2,8.5,19.9
2015,11,201,8.0,4.3,12.0
2015,12,201,0.7,-3.8,5.6
2016,1,201,-3.8,-8.7,0.9
2016,2,201,-0.4,-6.0,4.6
2016,3,201,5.6,0.0,10.9
2016,4,201,11.9,6.5,18.1
2016,5,201,17.5,12.2,23.2
2016,6,201,21.1,16.9,25.9
2016,7,201,24.4,21.3,28.2
2016,8,201,26.3,22.3,30.8
2016,9,201,21.4,16.9,26.7
2016,10,201,14.6,9.4,20.1
2016,11,201,6.3,1.5,10.9
2016,12,201,0.8,-3.8,5.5
2017,1,201,-2.3,-7.5,2.8
2017,2,201,-0.7,-6.0,4.2
2017,3,201,5.0,-0.7,10.8
2017,4,201,11.9,6.7,17.2
2017,5,201,16.9,11.5,22.5
2017,6,201,21.0,16.5,25.8
2017,7,201,25.2,22.5,28.7
2017,8,201,24.4,20.9,28.5
2017,9,201,20.2,15.0,25.7
2017,10,201,14.5,9.0,20.1
2017,11,201,4.6,-0.7,9.9
2017,12,201,-2.7,-7.8,1.9
2018,1,201,-5.0,-9.6,-0.4
2018,2,201,-2.6,-8.7,2.6
2018,3,201,6.1,1.2,11.4
2018,4,201,11.0,5.9,16.4
2018,5,201,16.2,11.5,21.4
2018,6,201,20.5,16.4,25.4
2018,7,201,25.5,21.8,29.7
2018,8,201,26.7,22.9,31.1
2018,9,201,20.0,15.2,24.9
2018,10,201,12.1,6.5,17.9
2018,11,201,6.7,1.5,12.5
2018,12,201,-1.5,-6.5,3.6
2019,1,201,-1.9,-7.6,3.6
2019,2,201,0.0,-5.5,5.3
2019,3,201,5.6,0.1,11.3
2019,4,201,10.7,4.8,16.4
2019,5,201,16.9,10.8,22.8
2019,6,201,20.5,16.2,25.3
