년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,112,-1.5,-4.9,2.0
2000,2,112,-1.2,-4.3,2.7
2000,3,112,6.0,2.4,10.8
2000,4,112,11.5,7.9,16.2
2000,5,112,16.5,12.9,21.3
2000,6,112,22.3,18.6,27.5
2000,7,112,26.1,23.1,30.5
2000,8,112,26.5,23.8,30.5
2000,9,112,21.3,18.1,25.5
2000,10,112,15.6,11.7,20.4
2000,11,112,7.4,3.4,12.2
2000,12,112,1.5,-2.4,5.9
2001,1,112,-3.8,-7.5,0.2
2001,2,112,-0.3,-3.6,3.7
2001,3,112,4.9,1.3,9.3
2001,4,112,12.5,8.3,18.2
2001,5,112,18.1,14.3,23.7
2001,6,112,22.0,19.1,26.6
2001,7,112,25.6,23.1,29.3
2001,8,112,26.6,23.2,31.0
2001,9,112,22.9,18.3,28.7
2001,10,112,17.3,13.5,22.1
2001,11,112,8.1,4.2,12.7
2001,12,112,0.2,-3.1,4.4
2002,1,112,0.8,-2.2,4.6
2002,2,112,2.7,-0.7,7.3
2002,3,112,7.6,4.1,12.6
2002,4,112,13.7,9.4,18.9
2002,5,112,17.5,13.4,23.3
2002,6,112,21.7,17.8,27.2
2002,7,112,25.2,22.3,29.5
2002,8,112,24.5,21.9,28.4
2002,9,112,22.2,18.2,27.5
2002,10,112,13.8,9.7,19.0
2002,11,112,4.8,0.9,9.2
2002,12,112,2.1,-1.5,6.5
2003,1,112,-2.0,-5.3,2.0
2003,2,112,2.7,-0.5,7.2
2003,3,112,6.3,2.6,11.1
2003,4,112,12.2,8.5,17.2
2003,5,112,18.1,13.5,24.1
2003,6,112,20.4,17.3,24.6
2003,7,112,23.0,20.2,26.9
2003,8,112,23.4,20.7,26.8
2003,9,112,20.8,17.5,25.3
2003,10,112,14.8,10.7,20.0
2003,11,112,9.4,5.8,13.8
2003,12,112,1.2,-2.2,5.1
2004,1,112,-1.2,-4.6,2.9
2004,2,112,2.3,-1.4,6.9
2004,3,112,5.6,1.7,11.0
2004,4,112,12.0,8.0,17.6
2004,5,112,16.2,12.5,21.3
2004,6,112,21.8,18.0,27.2
2004,7,112,23.6,21.3,27.1
2004,8,112,25.3,22.1,30.1
2004,9,112,21.5,17.5,26.7
2004,10,112,15.2,10.6,21.0
2004,11,112,9.5,5.7,14.2
2004,12,112,2.5,-1.3,7.2
2005,1,112,-1.1,-5.2,4.0
2005,2,112,-0.6,-4.6,4.3
2005,3,112,4.8,0.8,10.4
2005,4,112,12.4,8.1,18.5
2005,5,112,17.3,12.4,24.4
2005,6,112,21.4,18.1,26.4
2005,7,112,24.2,21.6,28.4
2005,8,112,24.7,22.0,28.7
2005,9,112,21.4,17.9,26.0
2005,10,112,14.5,10.2,20.0
2005,11,112,8.6,4.7,13.5
2005,12,112,-3.6,-6.9,0.2
2006,1,112,-0.3,-3.3,3.3
2006,2,112,0.0,-3.7,3.9
2006,3,112,4.9,1.2,9.3
2006,4,112,10.9,7.7,15.0
2006,5,112,17.1,13.5,21.8
2006,6,112,20.3,17.2,24.3
2006,7,112,22.4,20.4,25.0
2006,8,112,26.3,23.5,30.3
2006,9,112,21.2,17.6,25.4
2006,10,112,17.9,14.5,22.3
2006,11,112,9.1,5.6,12.7
2006,12,112,2.3,-1.1,5.9
2007,1,112,0.9,-2.2,4.5
2007,2,112,4.1,0.6,8.2
2007,3,112,6.2,2.9,9.9
2007,4,112,10.8,8.2,14.5
2007,5,112,16.6,13.3,20.8
2007,6,112,21.6,18.5,25.4
2007,7,112,23.0,20.8,26.1
2007,8,112,25.5,23.4,28.1
2007,9,112,21.3,18.7,24.3
2007,10,112,15.2,11.9,19.2
2007,11,112,7.4,3.8,11.5
2007,12,112,2.5,-0.8,5.9
2008,1,112,-1.5,-4.6,1.8
2008,2,112,-0.7,-4.1,3.0
2008,3,112,7.0,4.0,11.1
2008,4,112,13.1,9.3,17.9
2008,5,112,16.6,13.2,20.8
2008,6,112,20.7,17.5,24.6
2008,7,112,24.1,21.9,26.8
2008,8,112,24.8,22.0,28.2
2008,9,112,21.9,18.6,25.9
2008,10,112,16.6,13.2,20.6
2008,11,112,8.5,4.8,12.4
2008,12,112,2.1,-1.5,5.8
2009,1,112,-1.2,-4.8,2.8
2009,2,112,2.9,-0.7,6.9
2009,3,112,6.0,2.1,10.0
2009,4,112,11.5,8.0,15.8
2009,5,112,17.3,14.1,21.4
2009,6,112,20.8,18.1,24.4
2009,7,112,23.3,20.9,26.5
2009,8,112,25.1,22.4,28.2
2009,9,112,21.4,18.0,25.1
2009,10,112,16.3,12.7,20.4
2009,11,112,7.6,4.5,10.7
2009,12,112,0.1,-3.0,3.3
2010,1,112,-3.2,-6.7,0.3
2010,2,112,1.7,-1.3,5.2
2010,3,112,5.1,1.4,8.7
2010,4,112,9.6,6.5,13.3
2010,5,112,16.1,13.1,20.2
2010,6,112,21.9,18.5,25.9
2010,7,112,24.7,22.7,27.7
2010,8,112,26.1,24.1,28.9
2010,9,112,22.1,19.3,25.4
2010,10,112,15.1,11.5,19.1
2010,11,112,7.7,4.0,11.8
2010,12,112,0.1,-3.5,4.2
2011,1,112,-5.6,-8.6,-2.4
2011,2,112,1.4,-2.2,5.9
2011,3,112,4.2,1.1,8.1
2011,4,112,10.0,7.0,14.0
2011,5,112,16.8,13.4,20.9
2011,6,112,20.0,17.1,23.8
2011,7,112,23.9,21.6,26.6
2011,8,112,25.0,22.9,28.0
2011,9,112,21.7,18.5,25.4
2011,10,112,14.8,11.2,18.8
2011,11,112,11.4,8.3,14.8
2011,12,112,0.4,-2.7,3.5
2012,1,112,-1.9,-5.3,2.0
2012,2,112,-1.2,-4.7,3.3
2012,3,112,5.2,2.1,8.9
2012,4,112,11.7,8.0,16.2
2012,5,112,18.1,14.7,22.5
2012,6,112,22.9,19.2,27.6
2012,7,112,24.5,22.2,27.5
2012,8,112,26.7,24.0,29.9
2012,9,112,21.0,18.0,24.5
2012,10,112,15.6,11.6,20.0
2012,11,112,6.1,2.6,9.6
2012,12,112,-3.7,-7.0,-0.3
2013,1,112,-2.9,-6.2,0.4
2013,2,112,-1.4,-4.9,2.2
2013,3,112,4.1,0.3,8.8
2013,4,112,8.9,5.6,12.9
2013,5,112,16.0,12.4,20.2
2013,6,112,22.2,18.9,26.1
2013,7,112,24.1,22.4,26.4
2013,8,112,26.9,24.6,29.8
2013,9,112,21.5,18.4,25.0
2013,10,112,15.9,12.0,19.9
2013,11,112,6.8,3.4,10.3
2013,12,112,0.4,-2.3,3.4
2014,1,112,-0.3,-3.9,3.0
2014,2,112,1.4,-1.6,5.1
2014,3,112,7.0,3.7,11.1
2014,4,112,12.3,8.8,16.7
2014,5,112,16.9,13.2,21.5
2014,6,112,21.8,19.2,25.4
2014,7,112,24.8,22.3,28.4
2014,8,112,24.5,22.1,27.6
2014,9,112,22.0,18.8,25.6
2014,10,112,15.9,12.0,20.0
2014,11,112,9.2,5.8,12.7
2014,12,112,-2.1,-5.3,1.4
2015,1,112,-0.8,-3.9,2.8
2015,2,112,1.2,-1.9,4.9
2015,3,112,5.4,1.5,10.0
2015,4,112,12.5,8.9,16.7
2015,5,112,17.0,13.3,21.5
2015,6,112,21.8,18.4,26.0
2015,7,112,24.5,22.0,27.9
2015,8,112,25.8,23.2,29.3
2015,9,112,22.5,18.7,26.7
2015,10,112,16.0,12.5,19.8
2015,11,112,9.4,6.9,12.3
2015,12,112,2.4,-0.7,5.7
2016,1,112,-2.2,-5.1,1.1
2016,2,112,0.9,-2.5,4.6
2016,3,112,6.4,3.0,10.5
2016,4,112,12.7,9.0,17.7
2016,5,112,18.3,14.4,23.0
2016,6,112,22.1,19.0,25.8
2016,7,112,25.2,22.9,28.2
2016,8,112,27.4,24.6,30.9
2016,9,112,22.9,19.8,26.7
2016,10,112,16.2,12.6,20.1
2016,11,112,7.4,4.0,11.0
2016,12,112,2.2,-1.2,5.6
2017,1,112,-0.9,-4.1,2.8
2017,2,112,0.2,-3.1,3.9
2017,3,112,5.8,2.5,10.3
2017,4,112,12.4,9.1,16.8
2017,5,112,17.6,14.0,22.3
2017,6,112,21.7,18.5,25.7
2017,7,112,25.8,23.8,28.6
2017,8,112,25.4,23.1,28.3
2017,9,112,21.9,18.5,25.5
2017,10,112,15.7,12.1,19.9
2017,11,112,5.9,2.3,9.9
2017,12,112,-1.3,-4.7,2.1
2018,1,112,-3.8,-6.6,-0.6
2018,2,112,-1.8,-5.2,2.0
2018,3,112,6.9,3.5,11.1
2018,4,112,11.9,8.2,16.3
2018,5,112,17.0,13.3,21.1
2018,6,112,21.2,18.0,25.4
2018,7,112,26.6,23.7,30.2
2018,8,112,28.1,25.2,31.5
2018,9,112,21.6,18.5,25.0
2018,10,112,13.8,10.4,17.7
2018,11,112,8.5,5.3,12.1
2018,12,112,-0.2,-3.5,3.4
2019,1,112,-0.5,-3.8,3.3
2019,2,112,0.8,-2.5,4.8
2019,3,112,6.4,3.2,10.5
2019,4,112,11.3,7.8,15.7
2019,5,112,17.6,13.8,22.3
2019,6,112,21.3,18.3,25.2
2019,7,112,25.0,22.4,28.1
2019,8,112,26.9,24.0,30.3
2019,9,112,22.5,19.5,26.0
2019,10,112,16.8,13.0,20.8
2019,11,112,8.2,4.4,12.3
2019,12,112,2.0,-1.6,5.4
2020,1,112,1.8,-0.8,5.0
2020,2,112,2.5,-0.6,6.2
2020,3,112,7.1,3.3,11.2
