년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,185,5.9,3.4,8.3
2000,2,185,4.3,2.0,6.8
2000,3,185,9.0,6.1,12.5
2000,4,185,12.3,9.2,16.0
2000,5,185,16.0,13.3,19.2
2000,6,185,20.5,18.3,23.1
2000,7,185,25.4,23.3,27.8
2000,8,185,26.8,24.3,29.9
2000,9,185,21.9,19.6,24.9
2000,10,185,18.1,15.3,21.1
2000,11,185,12.5,9.8,15.6
2000,12,185,8.6,5.4,11.7
2001,1,185,5.7,2.9,8.6
2001,2,185,6.4,3.5,10.1
2001,3,185,9.0,6.0,13.0
2001,4,185,13.9,10.6,17.7
2001,5,185,17.4,15.0,21.0
2001,6,185,20.5,18.4,23.3
2001,7,185,25.8,23.4,28.6
2001,8,185,26.4,23.8,29.6
2001,9,185,23.0,19.9,27.0
2001,10,185,19.1,16.5,22.4
2001,11,185,12.6,10.2,15.3
2001,12,185,7.3,5.0,9.7
2002,1,185,7.6,5.1,10.4
2002,2,185,7.2,4.2,10.3
2002,3,185,10.8,7.6,14.2
2002,4,185,13.7,10.9,17.1
2002,5,185,16.5,14.2,19.9
2002,6,185,20.9,18.1,24.4
2002,7,185,23.5,21.3,26.6
2002,8,185,24.9,22.5,27.7
2002,9,185,22.4,19.7,26.0
2002,10,185,17.2,14.4,20.4
2002,11,185,10.8,7.7,13.8
2002,12,185,8.4,6.1,10.9
2003,1,185,4.9,2.4,7.3
2003,2,185,6.9,4.4,9.6
2003,3,185,8.5,5.7,11.4
2003,4,185,13.2,10.3,16.9
2003,5,185,17.4,14.6,20.8
2003,6,185,20.5,18.1,23.6
2003,7,185,23.1,21.2,25.5
2003,8,185,25.5,23.3,28.3
2003,9,185,23.6,21.0,26.7
2003,10,185,17.7,14.9,20.9
2003,11,185,14.3,11.4,17.4
2003,12,185,8.0,5.8,10.2
2004,1,185,5.0,2.8,7.5
2004,2,185,8.1,5.0,11.4
2004,3,185,9.6,6.4,13.0
2004,4,185,13.6,10.4,17.1
2004,5,185,17.1,14.6,20.1
2004,6,185,22.0,18.8,25.3
2004,7,185,25.1,22.9,27.9
2004,8,185,27.3,24.6,30.8
2004,9,185,23.4,20.6,26.4
2004,10,185,18.5,15.9,21.4
2004,11,185,14.1,11.5,17.6
