년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,189,8.1,5.1,11.3
2000,2,189,6.4,2.9,10.2
2000,3,189,11.0,7.3,14.7
2000,4,189,14.8,11.2,18.7
2000,5,189,18.6,15.4,22.2
2000,6,189,22.4,20.2,25.1
2000,7,189,27.2,25.1,29.8
2000,8,189,28.3,25.9,31.1
2000,9,189,23.8,21.3,27.0
2000,10,189,20.3,17.4,23.8
2000,11,189,14.7,11.2,18.4
2000,12,189,10.6,7.0,14.2
2001,1,189,7.1,3.8,10.7
2001,2,189,8.6,5.4,12.1
2001,3,189,11.2,7.5,15.2
2001,4,189,15.7,12.1,19.4
2001,5,189,19.8,17.0,23.1
2001,6,189,22.2,20.2,24.9
2001,7,189,27.4,24.9,30.3
2001,8,189,27.9,25.3,31.3
2001,9,189,24.4,21.9,27.7
2001,10,189,20.9,17.8,24.4
2001,11,189,14.2,10.8,18.4
2001,12,189,9.2,6.4,12.4
2002,1,189,9.1,6.0,12.7
2002,2,189,9.7,6.2,13.8
2002,3,189,13.0,9.4,16.6
2002,4,189,15.9,12.9,19.3
2002,5,189,19.2,16.3,22.7
2002,6,189,22.5,19.5,26.0
2002,7,189,25.4,23.2,28.5
2002,8,189,26.7,24.5,29.5
2002,9,189,23.9,20.8,27.5
2002,10,189,19.2,15.8,23.0
2002,11,189,12.5,8.9,16.5
2002,12,189,10.3,7.4,13.9
2003,1,189,6.2,2.6,10.0
2003,2,189,9.3,5.9,13.0
2003,3,189,11.1,7.8,14.7
2003,4,189,16.0,12.9,19.8
2003,5,189,19.4,16.7,22.6
2003,6,189,22.5,19.9,25.9
2003,7,189,24.6,22.8,27.0
2003,8,189,27.7,25.1,30.8
2003,9,189,25.6,22.9,28.9
2003,10,189,19.5,15.9,23.8
2003,11,189,17.1,14.0,20.7
2003,12,189,9.9,6.4,13.6
2004,1,189,7.2,3.8,11.3
2004,2,189,9.9,6.3,13.6
2004,3,189,11.8,8.3,15.9
2004,4,189,16.1,12.3,20.1
2004,5,189,19.3,16.5,22.5
2004,6,189,23.6,20.8,26.8
2004,7,189,27.3,25.0,30.2
2004,8,189,28.9,26.3,32.3
2004,9,189,24.8,22.2,28.0
2004,10,189,19.5,15.9,23.6
2004,11,189,14.4,11.0,18.7
2004,12,189,10.9,7.5,14.6
2005,1,189,5.8,2.9,9.4
2005,2,189,6.5,3.3,9.8
2005,3,189,8.9,5.0,13.1
2005,4,189,14.9,11.5,18.6
2005,5,189,18.1,14.5,21.9
2005,6,189,22.3,19.8,25.4
2005,7,189,25.6,23.5,28.5
2005,8,189,26.2,23.9,29.0
2005,9,189,24.8,22.7,28.0
2005,10,189,19.7,16.7,23.4
2005,11,189,15.1,11.6,19.3
2005,12,189,6.6,3.1,10.2
2006,1,189,8.3,5.3,11.9
2006,2,189,8.0,4.7,11.4
2006,3,189,11.0,7.1,15.0
2006,4,189,14.9,11.6,18.8
2006,5,189,17.8,15.0,21.5
2006,6,189,21.6,19.3,24.6
2006,7,189,25.4,23.6,27.9
2006,8,189,28.6,26.0,31.7
2006,9,189,23.1,20.7,26.9
2006,10,189,21.1,17.7,25.4
2006,11,189,15.5,12.2,19.4
2006,12,189,9.9,6.7,13.7
2007,1,189,7.9,4.9,11.9
2007,2,189,10.2,6.4,14.2
2007,3,189,11.5,8.1,15.3
2007,4,189,14.9,11.0,19.2
2007,5,189,19.4,16.1,23.5
2007,6,189,21.8,19.5,25.0
2007,7,189,25.4,23.0,28.5
2007,8,189,28.2,25.7,31.3
2007,9,189,25.1,22.7,28.3
2007,10,189,20.1,17.2,23.9
2007,11,189,13.9,10.0,18.1
2007,12,189,10.3,7.4,13.8
2008,1,189,7.8,5.2,11.2
2008,2,189,6.0,2.4,9.9
2008,3,189,11.1,7.5,15.1
2008,4,189,15.2,12.0,18.6
2008,5,189,18.6,15.2,22.3
2008,6,189,20.8,18.8,23.2
2008,7,189,27.2,25.0,30.3
2008,8,189,27.1,24.3,30.8
2008,9,189,24.7,22.3,27.9
2008,10,189,20.7,17.5,24.7
2008,11,189,14.0,10.7,17.9
2008,12,189,9.8,6.3,13.6
2009,1,189,6.7,3.7,9.9
2009,2,189,10.8,8.0,14.1
2009,3,189,11.7,8.0,15.4
2009,4,189,15.2,11.4,19.2
2009,5,189,20.0,16.4,24.1
2009,6,189,22.1,19.7,25.1
2009,7,189,25.5,23.5,28.0
2009,8,189,26.6,24.5,29.5
2009,9,189,24.5,21.8,27.9
2009,10,189,20.6,17.2,24.8
2009,11,189,13.8,10.9,17.4
2009,12,189,8.9,5.7,12.7
2010,1,189,7.5,4.2,11.2
2010,2,189,9.3,6.2,12.3
2010,3,189,10.8,7.2,14.2
2010,4,189,13.3,10.4,16.7
2010,5,189,18.3,15.5,21.9
2010,6,189,22.0,19.8,25.1
2010,7,189,25.9,24.0,28.7
2010,8,189,28.3,26.1,30.9
2010,9,189,25.5,23.2,28.8
2010,10,189,19.5,16.4,23.1
2010,11,189,14.0,9.8,18.1
2010,12,189,8.9,5.3,12.5
2011,1,189,4.0,1.0,7.3
2011,2,189,9.0,5.7,12.7
2011,3,189,9.3,5.8,13.1
2011,4,189,14.2,10.6,18.1
2011,5,189,18.7,16.2,21.9
2011,6,189,21.7,19.8,24.1
2011,7,189,26.7,24.8,29.2
2011,8,189,26.3,24.7,29.0
2011,9,189,25.1,22.2,28.3
2011,10,189,19.9,16.9,23.5
2011,11,189,17.2,14.4,20.7
2011,12,189,8.3,5.2,12.0
2012,1,189,6.8,4.0,10.2
2012,2,189,6.6,3.6,9.7
2012,3,189,10.8,7.6,14.1
2012,4,189,15.5,12.0,19.0
2012,5,189,19.9,16.8,23.7
2012,6,189,22.4,20.2,25.4
2012,7,189,26.1,24.1,28.6
2012,8,189,27.9,25.7,30.6
2012,9,189,23.0,20.3,26.6
2012,10,189,19.7,16.3,23.7
2012,11,189,13.2,10.0,16.7
2012,12,189,7.9,4.8,11.5
2013,1,189,7.0,3.7,10.5
2013,2,189,8.5,5.0,11.9
2013,3,189,12.2,7.9,16.2
2013,4,189,14.3,10.5,18.4
2013,5,189,19.2,16.0,22.9
2013,6,189,22.2,20.1,25.1
2013,7,189,27.3,25.8,29.8
2013,8,189,29.1,26.6,32.2
2013,9,189,25.4,22.4,29.0
2013,10,189,21.1,18.0,24.9
2013,11,189,13.9,10.4,17.5
2013,12,189,8.7,5.5,12.6
2014,1,189,8.2,4.6,11.9
2014,2,189,8.6,5.8,12.1
2014,3,189,11.9,8.6,15.4
2014,4,189,15.7,12.5,19.6
2014,5,189,19.5,16.1,23.6
2014,6,189,21.6,19.3,24.7
2014,7,189,25.3,23.2,28.2
2014,8,189,25.5,23.5,28.1
2014,9,189,24.3,21.6,27.5
2014,10,189,20.1,17.0,23.8
2014,11,189,15.0,11.8,19.0
2014,12,189,7.7,4.3,11.4
2015,1,189,8.4,5.0,12.0
2015,2,189,8.1,4.9,12.0
2015,3,189,11.1,7.6,14.9
2015,4,189,15.0,12.2,18.4
2015,5,189,19.0,16.0,22.9
2015,6,189,21.2,19.1,24.0
2015,7,189,24.2,22.3,26.9
2015,8,189,26.2,23.9,29.0
2015,9,189,22.8,20.2,25.9
2015,10,189,18.9,15.3,22.8
2015,11,189,15.4,12.6,18.2
2015,12,189,10.1,7.1,13.1
2016,1,189,6.2,3.4,9.3
2016,2,189,7.4,4.2,10.9
2016,3,189,11.1,7.7,14.6
2016,4,189,15.8,12.9,19.4
2016,5,189,18.9,15.9,22.1
2016,6,189,21.7,19.5,24.3
2016,7,189,25.8,24.0,28.1
