년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,188,5.8,2.6,8.8
2000,2,188,4.2,0.7,8.1
2000,3,188,9.0,4.0,13.7
2000,4,188,12.8,7.8,17.9
2000,5,188,16.9,12.2,22.0
2000,6,188,21.0,17.8,24.4
2000,7,188,26.1,23.4,29.3
2000,8,188,27.2,24.2,30.6
2000,9,188,22.2,19.3,25.5
2000,10,188,18.2,15.0,22.0
2000,11,188,12.2,8.9,16.2
2000,12,188,7.7,3.7,12.1
2001,1,188,4.9,1.2,8.6
2001,2,188,5.4,1.1,9.4
2001,3,188,8.6,3.8,13.4
2001,4,188,13.4,8.4,18.0
2001,5,188,17.9,14.1,21.9
2001,6,188,20.6,17.6,23.6
2001,7,188,25.7,22.8,29.3
2001,8,188,26.1,23.4,29.6
2001,9,188,22.8,20.3,25.8
2001,10,188,18.1,14.7,21.7
2001,11,188,9.5,5.3,14.1
2001,12,188,4.6,1.5,8.0
2002,1,188,6.1,2.5,9.9
2002,2,188,6.3,1.8,11.1
2002,3,188,11.1,6.1,15.5
2002,4,188,15.6,11.6,19.0
2002,5,188,18.6,15.6,22.3
2002,6,188,21.2,17.7,25.0
2002,7,188,24.1,22.0,26.7
2002,8,188,25.2,22.9,27.8
2002,9,188,22.5,19.2,25.9
2002,10,188,17.5,12.9,21.7
2002,11,188,11.1,6.9,15.1
2002,12,188,9.6,6.6,12.6
2003,1,188,5.7,2.3,9.1
2003,2,188,8.2,4.8,11.9
2003,3,188,10.2,6.5,13.6
2003,4,188,15.8,12.0,19.7
2003,5,188,19.8,16.8,22.9
2003,6,188,22.7,19.4,25.9
2003,7,188,25.0,22.9,27.4
2003,8,188,27.3,24.8,30.4
2003,9,188,24.9,21.8,28.5
2003,10,188,17.1,13.1,21.4
2003,11,188,14.4,10.9,18.1
2003,12,188,7.2,3.5,11.1
2004,1,188,4.5,1.0,8.3
2004,2,188,7.2,2.4,12.0
2004,3,188,9.1,4.7,13.7
2004,4,188,13.7,8.6,18.7
2004,5,188,17.5,13.8,21.4
2004,6,188,21.4,17.8,25.2
2004,7,188,25.8,22.9,29.1
2004,8,188,27.2,24.3,30.5
2004,9,188,23.0,20.1,26.1
2004,10,188,18.0,14.2,21.9
2004,11,188,12.9,8.1,17.7
2004,12,188,8.7,4.8,12.7
2005,1,188,4.2,1.4,7.5
2005,2,188,4.6,1.3,8.0
2005,3,188,7.6,3.1,12.4
2005,4,188,14.3,9.5,18.9
2005,5,188,17.6,13.0,22.1
2005,6,188,22.2,18.4,25.9
2005,7,188,25.9,23.1,29.2
2005,8,188,26.7,23.8,30.5
2005,9,188,24.9,22.2,28.3
2005,10,188,18.4,15.1,22.3
2005,11,188,13.0,8.8,17.4
2005,12,188,4.5,1.1,8.2
2006,1,188,6.7,3.5,9.9
2006,2,188,5.7,1.9,9.4
2006,3,188,9.3,4.8,13.7
2006,4,188,13.6,9.7,17.3
2006,5,188,16.6,13.7,19.8
2006,6,188,20.3,17.2,23.1
2006,7,188,24.2,22.2,26.7
2006,8,188,27.3,24.5,30.7
2006,9,188,22.1,20.0,24.6
2006,10,188,19.7,16.1,23.7
2006,11,188,14.3,10.5,17.7
2006,12,188,8.5,5.2,11.9
2007,1,188,6.9,4.0,10.3
2007,2,188,9.1,5.2,13.1
2007,3,188,10.8,7.1,14.2
2007,4,188,13.8,9.5,18.0
2007,5,188,18.4,14.2,22.4
2007,6,188,21.0,18.5,23.7
2007,7,188,24.4,21.8,27.3
2007,8,188,27.0,24.5,30.0
2007,9,188,23.9,21.6,26.5
2007,10,188,18.7,15.8,21.9
2007,11,188,12.3,8.9,15.8
2007,12,188,9.5,6.4,12.5
2008,1,188,6.5,4.1,9.5
2008,2,188,4.8,1.5,8.5
2008,3,188,10.2,6.2,14.3
2008,4,188,14.3,10.5,17.9
2008,5,188,17.6,13.5,21.4
2008,6,188,20.1,17.8,22.6
2008,7,188,25.9,23.2,29.2
2008,8,188,25.5,23.1,28.7
2008,9,188,23.2,21.0,26.0
2008,10,188,18.7,15.4,22.4
2008,11,188,12.4,9.1,15.8
2008,12,188,8.1,4.3,11.9
2009,1,188,5.3,1.9,8.5
2009,2,188,8.9,5.4,12.2
2009,3,188,9.8,5.9,13.6
2009,4,188,13.6,8.8,18.2
2009,5,188,18.4,14.0,23.1
2009,6,188,21.0,17.8,24.5
2009,7,188,24.1,21.8,26.9
2009,8,188,25.0,22.8,27.8
2009,9,188,22.6,20.3,25.7
2009,10,188,18.5,14.8,22.1
2009,11,188,11.3,8.3,14.7
2009,12,188,6.3,3.3,9.4
2010,1,188,4.5,0.9,8.0
2010,2,188,6.6,3.2,9.8
2010,3,188,8.5,4.7,11.7
2010,4,188,10.7,7.1,14.1
2010,5,188,16.1,12.7,19.9
2010,6,188,19.6,17.0,22.7
2010,7,188,24.8,22.6,27.8
2010,8,188,27.7,25.3,30.5
2010,9,188,24.8,22.2,27.7
2010,10,188,18.1,15.1,21.3
2010,11,188,12.1,7.7,16.5
2010,12,188,7.2,3.5,11.3
2011,1,188,2.4,0.3,5.1
2011,2,188,7.4,4.0,11.0
2011,3,188,7.6,3.4,11.5
2011,4,188,13.1,8.3,17.5
2011,5,188,18.0,15.1,21.4
2011,6,188,20.9,18.8,23.3
2011,7,188,26.1,23.8,29.2
2011,8,188,25.5,23.9,28.1
2011,9,188,23.5,20.7,27.1
2011,10,188,17.9,14.5,21.6
2011,11,188,16.0,12.9,19.4
2011,12,188,6.3,3.2,9.7
2012,1,188,5.0,2.2,8.1
2012,2,188,4.9,1.7,8.0
2012,3,188,9.2,5.5,12.9
2012,4,188,14.4,9.5,18.7
2012,5,188,18.6,14.5,23.0
2012,6,188,21.6,19.4,24.3
2012,7,188,25.6,23.1,28.7
2012,8,188,27.4,25.2,30.5
2012,9,188,22.0,19.0,25.5
2012,10,188,18.3,14.7,22.4
2012,11,188,11.4,7.3,15.0
2012,12,188,6.0,2.9,9.4
2013,1,188,4.9,1.2,8.4
2013,2,188,5.9,1.8,9.6
2013,3,188,9.9,4.4,15.2
2013,4,188,13.1,8.4,17.3
2013,5,188,18.3,14.3,22.4
2013,6,188,21.1,19.1,24.0
2013,7,188,26.9,24.6,29.8
2013,8,188,28.3,24.9,32.3
2013,9,188,24.0,21.0,27.3
2013,10,188,19.4,16.3,22.4
2013,11,188,11.9,7.8,15.8
2013,12,188,6.9,3.3,10.4
2014,1,188,6.0,1.7,9.9
2014,2,188,7.2,4.0,10.3
2014,3,188,10.4,6.3,14.2
2014,4,188,14.4,10.3,18.5
2014,5,188,18.1,13.1,22.9
2014,6,188,20.8,17.8,24.0
2014,7,188,24.5,22.1,27.3
2014,8,188,24.8,22.8,27.4
2014,9,188,23.5,20.6,26.6
2014,10,188,18.8,15.5,22.3
2014,11,188,13.3,9.6,17.2
2014,12,188,5.9,2.2,9.6
2015,1,188,6.3,2.5,10.0
2015,2,188,6.4,2.7,10.1
