년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,184,6.0,3.4,8.5
2000,2,184,4.6,2.1,7.3
2000,3,184,9.4,5.9,12.9
2000,4,184,13.5,9.7,17.6
2000,5,184,17.2,13.9,21.2
2000,6,184,21.6,18.7,25.1
2000,7,184,26.4,23.8,29.7
2000,8,184,28.0,25.0,30.9
2000,9,184,22.2,19.7,24.6
2000,10,184,18.2,15.5,21.0
2000,11,184,12.4,9.6,15.5
2000,12,184,8.4,5.2,11.8
2001,1,184,5.6,2.8,8.4
2001,2,184,6.6,3.5,10.4
2001,3,184,9.5,5.9,13.6
2001,4,184,14.1,10.4,18.0
2001,5,184,18.5,15.6,22.3
2001,6,184,22.3,19.7,25.5
2001,7,184,26.7,23.8,30.4
2001,8,184,26.8,24.3,29.9
2001,9,184,23.1,20.8,25.5
2001,10,184,19.5,17.0,22.2
2001,11,184,12.5,9.6,15.6
2001,12,184,7.4,5.1,9.6
2002,1,184,7.7,5.3,10.6
2002,2,184,7.3,4.0,10.5
2002,3,184,11.4,7.9,14.7
2002,4,184,15.2,11.9,18.5
2002,5,184,17.4,15.2,20.0
2002,6,184,21.6,18.8,24.9
2002,7,184,24.5,22.2,27.3
2002,8,184,25.6,23.5,28.1
2002,9,184,22.6,20.1,25.2
2002,10,184,17.5,14.5,20.6
2002,11,184,10.7,7.7,13.8
2002,12,184,8.5,6.3,10.7
2003,1,184,4.9,2.5,7.3
2003,2,184,7.2,4.4,9.8
2003,3,184,9.1,6.2,12.7
2003,4,184,14.1,10.8,18.6
2003,5,184,17.9,15.1,21.4
2003,6,184,21.4,18.8,24.9
2003,7,184,24.2,21.6,27.8
2003,8,184,25.9,23.5,29.3
2003,9,184,23.9,21.2,27.3
2003,10,184,17.6,14.7,21.3
2003,11,184,14.4,11.4,17.7
2003,12,184,8.3,5.7,10.9
2004,1,184,5.5,3.2,8.4
2004,2,184,8.1,4.5,12.4
2004,3,184,10.0,6.2,14.2
2004,4,184,14.3,10.4,18.5
2004,5,184,18.1,14.7,22.1
2004,6,184,21.5,18.8,24.7
2004,7,184,27.4,24.3,31.2
2004,8,184,27.2,24.8,30.5
2004,9,184,23.2,20.9,26.3
2004,10,184,18.5,15.4,22.0
2004,11,184,13.9,10.8,17.6
2004,12,184,9.5,6.6,12.4
2005,1,184,5.4,3.4,7.5
2005,2,184,5.4,3.0,8.0
2005,3,184,8.4,5.1,12.2
2005,4,184,15.4,11.6,19.7
2005,5,184,18.0,14.7,22.1
2005,6,184,23.2,20.4,26.6
2005,7,184,26.9,24.7,29.7
2005,8,184,27.4,24.9,30.3
2005,9,184,25.1,22.8,27.9
2005,10,184,19.1,16.7,22.1
2005,11,184,14.2,11.1,17.3
2005,12,184,6.0,3.5,8.6
2006,1,184,7.3,5.1,9.7
2006,2,184,6.3,3.5,9.2
2006,3,184,9.7,6.3,13.3
2006,4,184,13.9,10.3,17.7
2006,5,184,17.6,14.5,21.1
2006,6,184,21.1,18.4,24.3
2006,7,184,25.6,23.1,28.8
2006,8,184,27.9,25.1,30.9
2006,9,184,21.7,19.7,24.2
2006,10,184,19.9,16.6,23.5
2006,11,184,14.8,12.2,17.8
2006,12,184,9.0,6.6,11.7
2007,1,184,7.2,5.0,9.3
2007,2,184,9.1,5.9,12.7
2007,3,184,10.8,7.5,14.5
2007,4,184,13.9,10.4,17.6
2007,5,184,18.9,15.4,22.9
2007,6,184,21.5,18.9,24.4
2007,7,184,24.8,22.6,27.4
2007,8,184,28.1,25.6,31.2
2007,9,184,23.3,21.3,25.7
2007,10,184,18.3,15.8,21.2
2007,11,184,12.0,9.2,15.1
2007,12,184,9.6,7.5,11.8
