년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,262,2.4,-2.1,6.5
2000,2,262,2.0,-2.7,7.0
2000,3,262,7.3,1.1,13.7
2000,4,262,12.2,5.5,18.6
2000,5,262,17.0,10.8,23.2
2000,6,262,21.0,16.8,25.7
2000,7,262,25.1,21.8,29.1
2000,8,262,25.7,22.3,29.7
2000,9,262,20.4,16.2,24.6
2000,10,262,15.6,10.5,21.2
2000,11,262,8.7,3.3,14.9
2000,12,262,3.8,-1.9,10.5
2001,1,262,1.5,-3.1,5.9
2001,2,262,3.4,-2.1,9.4
2001,3,262,7.1,1.5,12.7
2001,4,262,13.0,6.0,19.7
2001,5,262,18.1,13.4,23.4
2001,6,262,21.0,17.5,25.3
2001,7,262,25.3,21.9,29.2
2001,8,262,25.3,21.5,29.7
2001,9,262,21.5,16.9,26.7
2001,10,262,16.9,12.1,22.3
2001,11,262,8.4,2.2,15.5
2001,12,262,3.8,-0.9,8.7
2002,1,262,4.3,0.1,8.6
2002,2,262,4.4,-2.0,11.1
2002,3,262,9.2,2.7,15.5
2002,4,262,13.7,7.9,19.4
2002,5,262,17.3,12.5,22.6
2002,6,262,21.3,15.9,27.0
2002,7,262,24.2,21.0,28.4
2002,8,262,24.4,21.5,28.2
2002,9,262,20.9,16.1,26.9
2002,10,262,14.5,8.7,20.9
2002,11,262,6.7,0.7,12.9
2002,12,262,4.2,-0.6,9.3
2003,1,262,0.5,-4.2,5.4
2003,2,262,3.8,-1.4,9.3
2003,3,262,6.5,1.0,12.2
2003,4,262,12.9,7.9,18.4
2003,5,262,16.8,12.1,22.3
2003,6,262,20.3,16.0,25.1
2003,7,262,21.5,18.9,24.9
2003,8,262,23.7,20.3,27.9
2003,9,262,21.7,17.5,26.6
2003,10,262,14.5,8.7,21.2
2003,11,262,11.5,6.1,17.2
2003,12,262,4.1,-1.0,9.5
2004,1,262,1.1,-3.8,6.8
2004,2,262,4.3,-2.1,10.9
2004,3,262,7.3,0.8,13.7
2004,4,262,12.9,5.7,19.6
2004,5,262,17.1,12.4,21.9
2004,6,262,20.9,16.1,26.4
2004,7,262,25.5,22.1,29.8
2004,8,262,25.5,21.8,30.1
2004,9,262,21.8,18.0,26.2
2004,10,262,15.2,8.9,22.1
2004,11,262,9.7,3.6,16.5
2004,12,262,5.0,-0.4,10.8
2005,1,262,0.6,-3.7,5.2
2005,2,262,1.5,-3.0,6.1
2005,3,262,5.6,0.1,11.6
2005,4,262,13.0,6.6,19.2
2005,5,262,17.0,11.1,23.2
2005,6,262,22.0,17.8,27.1
2005,7,262,24.7,21.5,28.7
2005,8,262,25.4,22.2,29.3
2005,9,262,23.0,19.8,27.0
2005,10,262,15.6,10.3,21.8
2005,11,262,9.5,3.5,16.1
2005,12,262,0.6,-4.4,5.8
2006,1,262,2.5,-2.3,7.8
2006,2,262,2.7,-2.7,8.1
2006,3,262,7.1,0.9,13.4
2006,4,262,11.8,6.0,17.1
2006,5,262,16.8,12.0,22.2
2006,6,262,20.8,16.5,25.8
2006,7,262,23.8,21.3,27.2
2006,8,262,27.0,23.4,31.9
2006,9,262,20.3,15.8,25.7
2006,10,262,17.5,11.5,25.3
2006,11,262,10.9,5.5,16.3
2006,12,262,4.1,-1.0,9.9
2007,1,262,2.9,-2.5,8.8
2007,2,262,5.7,-0.3,12.5
2007,3,262,8.1,2.8,13.7
2007,4,262,11.9,5.5,17.9
2007,5,262,17.1,11.6,22.8
2007,6,262,21.0,17.4,25.2
2007,7,262,24.0,21.0,28.1
2007,8,262,26.8,23.7,30.8
2007,9,262,22.7,19.5,26.8
2007,10,262,16.6,11.4,22.9
2007,11,262,8.7,2.3,15.7
2007,12,262,5.2,0.3,10.1
2008,1,262,2.2,-2.0,7.1
2008,2,262,1.6,-4.2,7.9
2008,3,262,8.0,1.9,14.4
