년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,165,1.9,-1.2,5.4
2000,2,165,1.1,-2.2,5.2
2000,3,165,6.7,2.4,12.3
2000,4,165,11.9,7.4,17.6
2000,5,165,16.8,12.7,21.9
2000,6,165,21.7,18.4,26.1
2000,7,165,25.8,23.2,29.5
2000,8,165,26.6,23.4,30.9
2000,9,165,20.7,17.8,24.5
2000,10,165,16.4,12.8,21.1
2000,11,165,9.0,5.2,13.8
2000,12,165,4.3,0.3,9.1
2001,1,165,1.0,-2.4,4.7
2001,2,165,2.4,-1.2,7.3
2001,3,165,6.1,2.0,11.3
2001,4,165,12.6,7.9,18.4
2001,5,165,18.0,14.4,23.1
2001,6,165,21.2,18.5,25.1
2001,7,165,25.7,23.0,29.3
2001,8,165,26.0,22.9,30.3
2001,9,165,22.6,18.5,27.5
2001,10,165,17.5,13.9,21.7
2001,11,165,9.5,5.8,14.2
2001,12,165,3.6,0.6,7.0
2002,1,165,3.8,1.0,7.5
2002,2,165,3.3,-0.4,8.0
2002,3,165,8.3,4.0,13.1
2002,4,165,13.6,9.6,18.2
2002,5,165,16.9,13.6,21.4
2002,6,165,21.8,18.2,26.3
2002,7,165,24.7,22.3,27.9
2002,8,165,24.8,22.6,27.7
2002,9,165,21.7,18.5,26.1
2002,10,165,15.7,11.9,20.0
2002,11,165,7.6,3.7,11.8
2002,12,165,4.4,1.5,8.0
2003,1,165,0.7,-2.4,4.3
2003,2,165,3.7,0.4,7.6
2003,3,165,6.6,3.0,10.8
2003,4,165,12.9,9.3,17.1
2003,5,165,18.3,14.5,22.6
2003,6,165,21.3,18.2,25.1
2003,7,165,23.1,21.0,25.7
2003,8,165,25.0,22.4,28.2
2003,9,165,22.7,19.6,26.6
2003,10,165,15.7,11.9,20.4
2003,11,165,11.6,7.9,15.6
2003,12,165,4.4,1.1,7.9
2004,1,165,1.0,-1.8,5.2
2004,2,165,4.3,0.3,9.2
2004,3,165,6.8,2.4,12.2
2004,4,165,12.5,7.8,17.9
2004,5,165,17.0,13.6,21.1
2004,6,165,21.6,18.3,25.9
2004,7,165,25.5,23.0,28.8
2004,8,165,26.1,23.1,30.3
2004,9,165,21.9,19.0,25.9
2004,10,165,15.6,11.2,20.9
2004,11,165,10.5,6.5,15.2
2004,12,165,4.8,1.2,9.1
2005,1,165,0.0,-2.7,3.4
2005,2,165,-0.1,-3.2,3.8
2005,3,165,4.3,0.5,9.0
2005,4,165,12.4,8.0,17.7
