년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,168,3.1,0.0,6.6
2000,2,168,2.5,-1.3,7.2
2000,3,168,8.3,4.5,13.2
2000,4,168,12.8,9.2,17.4
2000,5,168,17.5,14.2,21.8
2000,6,168,20.9,18.5,24.3
2000,7,168,24.9,22.7,28.3
2000,8,168,26.2,23.9,29.3
2000,9,168,21.3,18.9,24.3
2000,10,168,17.3,14.6,20.6
2000,11,168,10.8,7.9,14.4
2000,12,168,6.0,2.7,10.0
2001,1,168,2.0,-1.1,5.5
2001,2,168,4.5,1.1,8.9
2001,3,168,8.1,4.3,12.7
2001,4,168,13.9,10.0,18.6
2001,5,168,18.6,15.7,22.6
2001,6,168,20.9,19.0,24.3
2001,7,168,25.4,23.1,28.7
2001,8,168,26.1,23.7,29.5
2001,9,168,23.0,20.6,26.1
2001,10,168,18.8,16.4,21.9
2001,11,168,11.3,7.9,15.6
2001,12,168,5.1,2.5,8.5
2002,1,168,5.0,2.2,8.3
2002,2,168,6.2,2.7,10.6
2002,3,168,10.6,7.0,14.8
2002,4,168,14.5,11.2,18.2
2002,5,168,17.8,15.1,21.1
2002,6,168,21.8,19.2,25.1
2002,7,168,24.4,22.5,26.9
2002,8,168,24.8,23.1,27.1
2002,9,168,22.3,19.6,25.6
2002,10,168,16.4,13.4,20.2
2002,11,168,8.6,5.4,12.3
2002,12,168,6.3,3.7,9.5
2003,1,168,2.1,-1.0,5.6
2003,2,168,5.6,2.6,9.4
2003,3,168,8.3,5.2,11.7
2003,4,168,14.2,11.5,17.7
2003,5,168,17.7,15.1,21.2
2003,6,168,21.3,19.1,24.3
2003,7,168,22.0,20.4,24.1
2003,8,168,24.7,22.6,27.5
2003,9,168,22.9,20.9,26.0
2003,10,168,16.8,13.6,20.8
2003,11,168,12.9,10.2,15.9
2003,12,168,5.5,2.3,9.3
2004,1,168,2.9,0.0,6.8
2004,2,168,5.8,2.0,10.5
2004,3,168,8.6,5.1,12.9
2004,4,168,14.0,10.3,18.3
2004,5,168,17.6,15.0,20.8
2004,6,168,21.4,18.6,25.1
2004,7,168,25.2,23.1,28.2
2004,8,168,25.6,23.4,28.8
2004,9,168,22.6,20.3,25.5
2004,10,168,17.1,13.9,20.5
2004,11,168,12.1,8.9,16.2
2004,12,168,6.7,3.8,10.3
2005,1,168,1.3,-1.5,4.9
2005,2,168,1.9,-1.3,5.7
2005,3,168,6.2,2.2,10.9
2005,4,168,13.4,10.1,17.6
2005,5,168,17.3,14.3,21.2
2005,6,168,21.7,19.5,24.8
2005,7,168,24.1,22.2,26.7
2005,8,168,25.3,23.2,28.0
2005,9,168,23.1,21.1,25.8
2005,10,168,17.1,14.3,20.8
2005,11,168,11.6,8.4,15.7
2005,12,168,1.4,-1.8,5.6
2006,1,168,3.7,1.0,7.0
2006,2,168,3.3,-0.3,7.1
2006,3,168,7.2,3.7,11.5
2006,4,168,12.1,9.0,15.7
2006,5,168,16.6,13.9,20.0
2006,6,168,20.4,18.2,23.5
2006,7,168,23.1,21.3,25.4
2006,8,168,26.9,24.5,30.2
2006,9,168,21.3,18.7,24.3
2006,10,168,19.6,16.9,23.1
2006,11,168,12.2,9.3,15.4
2006,12,168,5.6,2.7,9.0
2007,1,168,4.0,1.4,7.5
2007,2,168,6.4,3.0,10.5
2007,3,168,8.3,5.3,11.9
2007,4,168,12.7,9.4,16.2
2007,5,168,17.6,14.6,21.4
2007,6,168,20.4,18.4,22.9
2007,7,168,23.3,21.5,25.7
2007,8,168,26.1,24.2,28.4
2007,9,168,22.1,20.1,24.5
2007,10,168,17.6,15.0,20.8
2007,11,168,10.5,7.4,14.3
2007,12,168,6.1,3.6,9.2
2008,1,168,3.3,0.8,6.4
2008,2,168,2.2,-1.3,6.5
2008,3,168,8.7,5.5,12.6
2008,4,168,13.5,10.4,17.1
2008,5,168,17.5,14.5,21.1
2008,6,168,20.0,18.1,22.6
2008,7,168,25.7,23.9,28.4
2008,8,168,25.3,23.2,28.3
2008,9,168,23.2,21.1,25.9
2008,10,168,18.6,15.9,22.2
2008,11,168,11.1,8.3,14.2
2008,12,168,5.3,1.8,9.1
2009,1,168,2.1,-0.9,5.8
2009,2,168,6.9,3.6,10.7
2009,3,168,8.7,5.0,12.5
2009,4,168,13.7,10.3,17.7
2009,5,168,18.2,15.0,22.2
2009,6,168,21.0,18.9,23.8
2009,7,168,23.6,21.7,26.1
2009,8,168,24.8,22.9,27.3
2009,9,168,22.5,20.3,25.4
2009,10,168,18.1,15.2,21.8
2009,11,168,10.4,7.6,13.8
2009,12,168,4.7,1.8,8.2
2010,1,168,2.1,-1.3,6.1
2010,2,168,5.0,2.1,8.4
2010,3,168,7.6,4.4,10.6
2010,4,168,11.2,7.9,14.7
2010,5,168,17.1,14.4,20.3
2010,6,168,21.6,19.4,24.7
2010,7,168,24.7,23.0,27.0
2010,8,168,26.7,24.9,29.3
2010,9,168,23.4,21.1,26.3
2010,10,168,17.2,14.6,20.4
2010,11,168,10.3,6.9,14.1
2010,12,168,4.2,0.7,8.2
2011,1,168,-1.5,-4.7,2.6
2011,2,168,4.9,1.7,8.8
2011,3,168,6.3,2.5,10.4
2011,4,168,12.3,8.9,16.0
2011,5,168,17.1,14.7,20.5
2011,6,168,21.1,19.2,23.7
2011,7,168,25.1,23.2,27.4
2011,8,168,25.3,23.6,27.5
2011,9,168,23.3,20.6,26.4
2011,10,168,17.0,14.2,20.7
2011,11,168,13.5,10.9,16.5
2011,12,168,3.8,0.9,7.4
2012,1,168,2.2,-0.8,5.8
2012,2,168,1.8,-1.3,5.5
2012,3,168,7.4,4.2,11.0
2012,4,168,13.1,9.8,16.9
2012,5,168,18.6,15.9,22.2
2012,6,168,21.5,19.5,24.7
2012,7,168,25.1,23.2,27.9
2012,8,168,27.1,24.9,29.9
2012,9,168,21.9,19.2,25.3
2012,10,168,17.2,13.8,21.1
2012,11,168,9.5,6.8,12.9
2012,12,168,2.3,-0.8,5.6
2013,1,168,1.8,-1.4,5.5
2013,2,168,3.6,0.1,7.3
2013,3,168,9.1,4.8,13.8
2013,4,168,11.9,8.0,16.3
2013,5,168,18.0,14.9,22.0
2013,6,168,21.8,19.8,24.9
2013,7,168,25.8,23.9,28.8
2013,8,168,27.0,24.5,30.5
2013,9,168,23.2,20.5,26.6
2013,10,168,18.4,15.5,22.2
2013,11,168,10.3,7.0,14.6
2013,12,168,4.9,1.7,8.7
2014,1,168,3.8,0.1,7.9
2014,2,168,5.3,2.3,8.6
2014,3,168,9.2,5.9,13.1
2014,4,168,14.2,10.9,18.3
2014,5,168,18.6,15.2,22.5
2014,6,168,21.6,19.4,24.4
2014,7,168,24.4,22.5,27.0
2014,8,168,24.3,22.6,26.5
2014,9,168,22.5,20.1,25.5
2014,10,168,17.7,14.8,21.1
2014,11,168,11.9,9.2,15.4
2014,12,168,3.1,-0.3,7.0
2015,1,168,3.5,0.4,7.2
2015,2,168,4.2,0.8,8.1
2015,3,168,8.3,4.6,12.7
2015,4,168,13.3,10.6,16.7
2015,5,168,18.6,15.2,22.5
2015,6,168,20.8,18.7,23.7
2015,7,168,23.9,22.0,26.3
2015,8,168,25.7,23.3,28.6
2015,9,168,22.1,19.6,25.3
2015,10,168,17.7,14.7,21.7
2015,11,168,13.1,11.0,15.8
2015,12,168,7.0,4.2,10.1
2016,1,168,2.5,-0.1,5.9
2016,2,168,4.3,0.8,8.6
2016,3,168,9.0,5.7,12.9
2016,4,168,14.5,11.6,18.2
2016,5,168,18.9,15.6,22.8
2016,6,168,21.9,19.9,24.4
2016,7,168,25.3,23.4,27.8
2016,8,168,27.7,24.9,31.3
2016,9,168,23.0,21.1,25.5
2016,10,168,18.3,16.0,21.0
2016,11,168,11.4,8.2,14.9
2016,12,168,6.4,3.1,10.2
2017,1,168,3.4,0.2,7.2
2017,2,168,4.3,0.3,8.7
2017,3,168,8.3,4.8,12.5
2017,4,168,14.9,11.5,19.1
2017,5,168,19.2,15.7,23.6
2017,6,168,21.7,19.1,25.3
2017,7,168,26.1,24.2,28.9
2017,8,168,27.2,24.8,30.2
2017,9,168,22.7,20.0,26.0
2017,10,168,18.1,15.5,21.1
2017,11,168,10.6,6.8,15.0
2017,12,168,3.3,-0.4,7.4
2018,1,168,1.4,-1.8,5.2
2018,2,168,3.1,-0.5,7.4
2018,3,168,9.4,5.7,13.4
2018,4,168,14.2,10.7,18.1
2018,5,168,18.2,15.3,21.6
2018,6,168,21.9,19.5,25.0
2018,7,168,26.9,24.5,29.9
2018,8,168,28.1,26.0,31.0
2018,9,168,22.1,19.8,24.9
2018,10,168,16.4,13.3,20.2
2018,11,168,12.2,9.3,16.0
2018,12,168,5.2,2.1,8.6
2019,1,168,3.7,0.0,8.3
2019,2,168,5.5,2.1,9.7
2019,3,168,9.8,6.0,14.2
2019,4,168,13.0,9.8,16.7
2019,5,168,19.1,15.3,23.6
2019,6,168,21.3,18.9,24.7
2019,7,168,24.4,22.7,26.8
2019,8,168,27.0,24.7,29.9
2019,9,168,23.1,21.1,25.8
2019,10,168,18.5,15.8,21.8
2019,11,168,12.8,9.7,16.8
2019,12,168,6.4,3.3,10.2
2020,1,168,5.8,3.2,9.2
2020,2,168,6.4,3.0,10.5
2020,3,168,9.9,5.9,14.1
2020,4,168,12.5,8.6,17.0
2020,5,168,18.0,15.2,21.3
