년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,170,2.2,-0.9,5.4
2000,2,170,1.5,-2.0,5.7
2000,3,170,7.0,2.2,12.5
2000,4,170,11.9,7.3,17.5
2000,5,170,16.7,11.7,22.4
2000,6,170,20.5,17.0,24.9
2000,7,170,24.5,21.5,28.8
2000,8,170,25.3,22.2,29.5
2000,9,170,20.1,16.8,24.2
2000,10,170,15.7,11.9,20.4
2000,11,170,9.0,4.9,13.9
2000,12,170,4.3,-0.1,9.3
2001,1,170,1.4,-2.1,4.8
2001,2,170,3.0,-1.2,8.1
2001,3,170,6.3,2.0,11.4
2001,4,170,11.9,6.4,17.9
2001,5,170,17.5,13.4,22.5
2001,6,170,20.7,17.6,25.1
2001,7,170,25.1,21.8,29.4
2001,8,170,25.1,21.7,29.6
2001,9,170,21.6,17.5,27.1
2001,10,170,16.9,13.0,21.8
2001,11,170,9.3,5.0,14.0
2001,12,170,3.7,0.3,7.3
2002,1,170,3.9,0.7,7.7
2002,2,170,4.2,-0.5,9.6
2002,3,170,8.8,3.8,14.1
2002,4,170,12.6,8.0,18.3
2002,5,170,16.2,12.2,21.3
2002,6,170,21.3,16.9,26.6
2002,7,170,23.7,21.1,27.6
2002,8,170,24.3,21.7,28.1
2002,9,170,21.3,17.4,26.6
2002,10,170,15.2,11.1,20.4
2002,11,170,7.5,3.3,12.1
2002,12,170,5.0,1.5,8.8
2003,1,170,1.3,-2.0,4.8
2003,2,170,4.4,0.7,8.6
2003,3,170,6.9,2.7,11.8
2003,4,170,13.3,9.0,18.5
2003,5,170,17.4,13.4,22.3
2003,6,170,21.1,17.2,25.9
2003,7,170,22.2,20.0,25.7
2003,8,170,24.6,21.6,28.5
2003,9,170,22.6,19.0,27.3
2003,10,170,15.8,11.5,21.2
2003,11,170,11.7,7.8,16.1
2003,12,170,5.0,1.5,8.6
2004,1,170,2.1,-1.2,6.3
2004,2,170,4.9,0.2,10.1
2004,3,170,7.9,3.0,14.1
2004,4,170,13.4,8.0,19.6
2004,5,170,17.3,13.3,21.8
2004,6,170,21.4,17.4,26.5
2004,7,170,26.0,22.6,30.5
2004,8,170,26.4,22.9,31.5
2004,9,170,22.7,19.4,27.3
2004,10,170,16.6,12.0,22.5
2004,11,170,11.4,7.0,16.6
2004,12,170,6.1,2.2,10.4
2005,1,170,1.5,-1.2,4.9
2005,2,170,1.9,-1.4,6.0
2005,3,170,5.9,1.9,11.0
2005,4,170,13.6,8.7,19.6
2005,5,170,17.5,12.6,23.4
2005,6,170,22.6,18.9,27.6
2005,7,170,25.2,22.2,29.5
2005,8,170,26.0,23.0,30.4
2005,9,170,23.8,20.6,28.3
2005,10,170,16.6,12.3,21.9
2005,11,170,10.8,6.5,15.7
2005,12,170,1.3,-2.1,5.2
2006,1,170,3.3,0.0,7.1
2006,2,170,3.0,-1.1,7.5
2006,3,170,6.7,1.6,12.3
2006,4,170,11.8,7.3,16.7
2006,5,170,16.6,12.6,21.7
2006,6,170,20.6,17.0,25.2
2006,7,170,23.7,21.3,27.2
2006,8,170,26.9,23.7,31.5
2006,9,170,20.6,16.7,25.4
2006,10,170,18.7,14.0,24.8
2006,11,170,12.0,8.0,16.2
2006,12,170,5.4,1.8,9.8
2007,1,170,3.7,0.1,7.9
2007,2,170,6.4,1.9,12.1
2007,3,170,8.5,4.2,13.9
2007,4,170,12.7,7.5,18.7
2007,5,170,17.8,13.4,23.4
2007,6,170,21.0,17.7,25.5
2007,7,170,23.9,21.1,28.1
2007,8,170,26.1,23.3,30.3
2007,9,170,21.8,18.9,25.3
2007,10,170,15.7,11.6,20.7
2007,11,170,9.5,5.2,14.6
2007,12,170,5.4,2.3,9.0
2008,1,170,2.3,-0.5,5.7
2008,2,170,1.7,-2.1,6.5
2008,3,170,7.9,3.6,13.3
2008,4,170,13.2,8.8,18.5
2008,5,170,17.2,12.5,22.8
2008,6,170,20.0,17.4,23.9
2008,7,170,26.1,23.1,30.4
2008,8,170,25.5,22.3,30.2
2008,9,170,23.0,19.6,27.9
2008,10,170,17.8,13.3,23.4
2008,11,170,10.2,6.1,15.0
2008,12,170,4.7,0.8,9.5
2009,1,170,1.9,-1.4,6.2
2009,2,170,5.8,1.5,10.9
2009,3,170,7.8,3.2,13.3
2009,4,170,13.1,8.0,19.2
2009,5,170,18.4,13.0,24.6
2009,6,170,21.5,17.6,26.4
2009,7,170,24.3,21.3,28.1
2009,8,170,25.1,22.0,29.0
2009,9,170,22.3,18.5,27.2
2009,10,170,17.6,13.1,22.8
2009,11,170,9.9,6.5,14.5
2009,12,170,4.0,0.5,7.8
2010,1,170,1.5,-2.0,5.8
2010,2,170,4.4,1.0,8.6
2010,3,170,7.2,3.1,11.3
2010,4,170,10.6,6.3,15.6
2010,5,170,17.2,12.7,22.8
2010,6,170,21.7,18.0,26.8
2010,7,170,24.9,22.3,28.8
2010,8,170,27.3,24.6,31.2
2010,9,170,23.5,20.4,28.0
2010,10,170,16.4,12.2,21.6
2010,11,170,9.3,4.4,14.6
2010,12,170,4.1,0.1,8.4
2011,1,170,-1.4,-4.2,1.8
2011,2,170,4.1,0.0,9.4
2011,3,170,5.9,1.8,10.6
2011,4,170,11.9,6.9,17.3
2011,5,170,17.6,13.7,22.5
2011,6,170,21.7,18.5,26.0
2011,7,170,25.7,22.6,29.6
2011,8,170,25.3,23.0,28.6
2011,9,170,22.7,18.7,28.0
2011,10,170,16.1,11.6,21.6
2011,11,170,13.2,9.7,17.4
2011,12,170,3.7,0.3,7.1
2012,1,170,1.7,-1.8,5.7
2012,2,170,1.1,-2.4,5.3
2012,3,170,6.9,2.8,11.5
2012,4,170,12.9,8.2,18.1
2012,5,170,19.0,14.7,24.6
2012,6,170,22.1,18.9,26.6
2012,7,170,25.7,22.8,29.8
2012,8,170,27.5,24.7,31.3
2012,9,170,21.7,18.1,26.1
2012,10,170,16.6,12.1,21.8
2012,11,170,9.4,5.7,13.2
2012,12,170,2.4,-1.1,6.2
2013,1,170,1.3,-2.1,5.2
2013,2,170,2.9,-1.1,7.2
2013,3,170,7.8,2.1,14.6
2013,4,170,11.7,6.7,16.9
2013,5,170,18.1,13.4,23.7
2013,6,170,22.3,19.2,26.7
2013,7,170,27.2,23.9,31.1
2013,8,170,28.3,24.5,33.3
2013,9,170,23.2,19.0,28.3
2013,10,170,17.9,13.5,23.1
2013,11,170,9.8,5.9,14.6
2013,12,170,4.5,0.7,8.4
2014,1,170,3.1,-1.4,8.0
2014,2,170,4.5,0.6,9.0
2014,3,170,8.5,4.2,13.2
2014,4,170,14.0,9.6,19.5
2014,5,170,18.1,13.0,23.6
2014,6,170,21.6,18.4,25.9
2014,7,170,24.2,21.6,27.8
2014,8,170,24.3,21.8,27.7
2014,9,170,22.3,18.3,27.1
2014,10,170,17.6,13.1,22.9
2014,11,170,11.9,8.0,16.3
2014,12,170,3.4,-0.2,7.2
2015,1,170,3.4,0.0,7.4
2015,2,170,3.6,0.0,7.6
2015,3,170,7.9,3.1,13.6
