년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,260,1.3,-3.1,5.7
2000,2,260,0.8,-4.3,6.3
2000,3,260,6.2,-0.8,13.6
2000,4,260,11.1,3.3,18.6
2000,5,260,16.4,10.0,23.3
2000,6,260,20.9,16.6,25.9
2000,7,260,25.2,21.9,29.6
2000,8,260,25.5,21.9,30.0
2000,9,260,19.7,15.4,25.0
2000,10,260,14.9,9.5,21.4
2000,11,260,7.8,2.0,14.7
2000,12,260,2.5,-3.4,9.9
2001,1,260,0.5,-4.3,5.5
2001,2,260,2.3,-3.5,9.1
2001,3,260,5.8,-0.2,12.3
2001,4,260,11.9,3.3,19.9
2001,5,260,17.6,12.0,23.9
2001,6,260,21.0,17.2,26.2
2001,7,260,24.9,21.3,29.2
2001,8,260,24.6,20.2,29.9
2001,9,260,20.4,14.7,27.1
2001,10,260,15.7,10.1,22.4
2001,11,260,6.8,0.0,14.9
2001,12,260,2.6,-2.3,7.9
2002,1,260,3.1,-1.3,8.2
2002,2,260,3.1,-3.6,10.4
2002,3,260,7.8,0.7,15.1
2002,4,260,13.0,6.6,19.3
2002,5,260,16.9,12.0,22.4
2002,6,260,20.9,15.5,26.7
2002,7,260,23.7,21.0,27.7
2002,8,260,23.7,20.9,27.7
2002,9,260,19.7,14.7,26.4
2002,10,260,13.1,6.8,20.4
2002,11,260,5.5,-1.0,12.2
2002,12,260,3.6,-1.6,9.1
2003,1,260,-0.1,-5.0,4.8
2003,2,260,3.5,-1.8,9.0
2003,3,260,6.2,0.7,12.0
2003,4,260,12.8,7.3,18.5
2003,5,260,17.3,12.4,22.8
2003,6,260,20.7,16.5,25.3
2003,7,260,22.1,19.6,25.2
2003,8,260,23.8,20.2,28.0
2003,9,260,21.3,16.8,26.8
2003,10,260,13.4,7.1,21.0
2003,11,260,10.5,5.2,16.3
2003,12,260,3.1,-2.1,8.5
2004,1,260,0.2,-4.9,6.3
2004,2,260,3.5,-3.0,10.3
2004,3,260,6.7,-0.2,13.7
2004,4,260,12.1,4.2,19.7
2004,5,260,16.8,11.7,21.8
2004,6,260,20.9,16.3,26.0
2004,7,260,25.3,22.1,29.5
2004,8,260,25.3,21.1,30.4
2004,9,260,21.5,17.5,26.7
2004,10,260,14.3,7.3,22.2
2004,11,260,8.9,2.7,16.4
2004,12,260,4.4,-1.2,10.3
2005,1,260,0.3,-3.9,4.9
2005,2,260,1.3,-2.9,5.9
2005,3,260,4.8,-1.2,11.3
2005,4,260,12.3,5.0,19.4
2005,5,260,16.9,10.7,23.3
2005,6,260,22.1,18.0,27.4
2005,7,260,24.9,21.6,29.4
2005,8,260,25.1,21.6,30.0
2005,9,260,22.6,18.6,28.3
2005,10,260,14.8,8.8,22.6
2005,11,260,8.6,2.1,16.2
2005,12,260,-0.5,-5.6,5.3
2006,1,260,1.8,-3.3,7.6
2006,2,260,1.8,-3.8,7.9
2006,3,260,6.3,-0.9,13.8
2006,4,260,11.3,4.6,17.8
2006,5,260,16.7,11.7,22.4
2006,6,260,20.9,16.6,26.3
2006,7,260,23.8,21.3,27.6
2006,8,260,26.5,22.8,31.9
2006,9,260,19.4,14.4,25.5
2006,10,260,16.7,10.1,25.6
2006,11,260,10.0,4.0,16.4
2006,12,260,3.2,-1.9,9.4
2007,1,260,1.7,-3.8,7.8
2007,2,260,4.9,-1.9,12.2
2007,3,260,7.3,1.3,13.7
2007,4,260,11.3,3.6,18.4
2007,5,260,17.2,11.5,23.5
2007,6,260,21.2,17.7,25.5
2007,7,260,23.9,20.8,28.0
2007,8,260,26.1,23.0,30.3
2007,9,260,21.8,18.6,25.9
2007,10,260,15.3,9.5,22.0
2007,11,260,7.7,1.0,15.3
2007,12,260,4.1,-0.9,9.7
2008,1,260,1.5,-2.3,6.3
2008,2,260,0.7,-5.2,7.1
2008,3,260,7.2,0.0,14.3
2008,4,260,12.7,6.1,19.3
2008,5,260,17.0,10.5,23.5
2008,6,260,20.7,17.6,24.4
2008,7,260,26.2,23.2,30.2
2008,8,260,25.4,21.4,29.9
2008,9,260,22.2,17.7,27.6
2008,10,260,16.3,10.0,24.0
2008,11,260,8.6,2.7,15.6
2008,12,260,3.2,-2.6,9.8
2009,1,260,1.0,-4.3,6.9
2009,2,260,5.3,-0.6,11.6
2009,3,260,7.7,1.2,14.1
2009,4,260,12.4,5.1,20.0
2009,5,260,18.2,11.3,25.3
2009,6,260,21.9,17.5,26.6
2009,7,260,24.5,21.3,28.2
2009,8,260,25.0,21.1,29.3
2009,9,260,21.8,17.1,27.8
2009,10,260,15.3,8.9,23.1
2009,11,260,9.1,4.4,14.9
2009,12,260,2.9,-1.8,7.9
2010,1,260,0.7,-4.3,6.1
2010,2,260,3.9,-1.0,9.1
2010,3,260,7.2,2.1,11.8
2010,4,260,10.5,4.5,16.2
2010,5,260,17.4,11.8,23.5
2010,6,260,22.4,18.0,27.4
2010,7,260,25.4,22.7,29.0
2010,8,260,27.2,24.2,30.9
2010,9,260,23.0,18.8,28.3
2010,10,260,15.5,9.5,22.2
2010,11,260,7.7,0.8,15.2
2010,12,260,2.8,-3.0,8.9
2011,1,260,-2.4,-7.1,2.2
2011,2,260,3.1,-3.0,10.0
2011,3,260,5.2,-1.2,12.0
2011,4,260,11.6,4.2,18.6
2011,5,260,18.0,12.7,23.5
2011,6,260,22.5,18.7,27.0
2011,7,260,26.0,23.0,29.6
2011,8,260,25.6,23.0,29.1
2011,9,260,22.1,17.0,28.3
2011,10,260,14.9,8.4,22.2
2011,11,260,12.4,7.8,17.7
2011,12,260,2.5,-2.2,7.5
2012,1,260,0.8,-4.4,6.0
2012,2,260,0.6,-3.9,5.6
2012,3,260,6.6,1.7,12.0
2012,4,260,12.7,6.2,18.6
2012,5,260,18.8,13.2,25.2
2012,6,260,22.3,18.6,26.6
2012,7,260,25.6,22.6,29.5
2012,8,260,26.9,23.9,30.3
2012,9,260,20.7,16.3,25.9
2012,10,260,15.1,8.6,22.3
2012,11,260,8.2,2.9,13.4
2012,12,260,1.3,-3.1,6.0
2013,1,260,0.2,-4.9,5.4
2013,2,260,2.4,-2.7,7.7
2013,3,260,7.2,0.2,15.0
2013,4,260,10.9,4.0,17.3
2013,5,260,17.9,11.3,24.5
2013,6,260,22.6,19.1,27.0
2013,7,260,26.7,23.7,30.3
2013,8,260,27.4,23.4,32.4
2013,9,260,22.0,17.1,27.8
2013,10,260,16.4,10.7,23.1
2013,11,260,8.2,2.5,14.8
2013,12,260,3.0,-1.9,8.6
2014,1,260,1.6,-4.8,8.4
2014,2,260,4.0,-1.3,9.8
2014,3,260,7.9,1.8,14.0
2014,4,260,13.4,7.0,20.3
2014,5,260,17.8,11.0,24.7
2014,6,260,21.9,18.3,26.6
2014,7,260,24.5,21.4,28.4
2014,8,260,24.3,21.5,28.1
2014,9,260,21.4,16.6,27.3
2014,10,260,15.6,9.3,22.9
2014,11,260,10.0,4.7,16.4
2014,12,260,1.9,-2.5,6.8
2015,1,260,2.2,-2.8,7.5
2015,2,260,3.2,-2.0,8.5
2015,3,260,7.4,0.5,14.6
2015,4,260,12.9,7.5,19.3
2015,5,260,18.3,11.8,25.1
2015,6,260,21.2,17.6,25.5
2015,7,260,24.5,21.1,28.7
2015,8,260,25.1,21.1,30.1
2015,9,260,20.4,15.1,26.3
2015,10,260,15.1,9.0,22.3
2015,11,260,11.4,7.3,16.0
2015,12,260,5.1,0.3,10.1
2016,1,260,1.0,-3.1,5.5
2016,2,260,2.9,-2.5,8.5
2016,3,260,7.4,0.8,14.2
2016,4,260,14.1,8.2,20.3
2016,5,260,18.2,12.1,24.1
2016,6,260,21.9,18.7,25.7
2016,7,260,25.7,22.5,29.5
2016,8,260,26.7,22.2,32.2
2016,9,260,22.1,18.2,26.8
2016,10,260,17.1,12.9,21.8
2016,11,260,9.3,4.0,15.1
2016,12,260,4.8,-0.2,10.6
2017,1,260,2.1,-3.3,7.7
2017,2,260,2.9,-3.0,9.0
2017,3,260,6.9,0.0,14.1
2017,4,260,14.3,7.1,21.6
2017,5,260,18.9,11.6,26.0
2017,6,260,21.8,16.9,27.1
2017,7,260,26.7,23.6,30.7
2017,8,260,26.2,22.0,30.8
2017,9,260,21.0,16.0,26.6
2017,10,260,16.0,11.1,22.1
2017,11,260,7.6,1.0,14.9
2017,12,260,1.4,-4.4,7.4
2018,1,260,-0.3,-5.1,4.9
2018,2,260,1.3,-4.8,7.8
2018,3,260,8.6,2.3,15.1
2018,4,260,13.5,6.9,19.7
2018,5,260,18.1,12.8,23.3
2018,6,260,22.2,18.0,27.4
2018,7,260,26.9,23.1,31.4
2018,8,260,27.6,23.9,31.7
2018,9,260,21.1,16.6,26.1
2018,10,260,13.9,7.5,20.8
2018,11,260,9.0,2.4,16.6
2018,12,260,3.5,-1.2,8.7
2019,1,260,2.1,-3.3,7.9
2019,2,260,3.9,-1.6,9.7
2019,3,260,8.1,1.3,15.1
2019,4,260,12.3,5.9,18.4
2019,5,260,18.0,10.6,25.6
2019,6,260,21.5,17.2,26.6
2019,7,260,25.2,22.0,29.4
2019,8,260,26.3,22.4,30.8
