년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,261,2.8,-1.2,6.7
2000,2,261,1.6,-3.2,6.7
2000,3,261,6.9,-0.1,13.8
2000,4,261,11.8,4.1,19.2
2000,5,261,17.0,11.0,23.6
2000,6,261,21.7,17.5,26.6
2000,7,261,26.0,22.8,30.2
2000,8,261,26.5,22.4,31.1
2000,9,261,20.5,15.8,25.6
2000,10,261,16.0,10.4,21.9
2000,11,261,8.6,2.8,15.4
2000,12,261,3.5,-2.8,10.4
2001,1,261,1.6,-3.3,6.2
2001,2,261,2.9,-2.7,9.5
2001,3,261,6.7,1.0,12.9
2001,4,261,12.6,4.6,20.1
2001,5,261,18.3,13.1,24.2
2001,6,261,21.6,18.0,26.5
2001,7,261,26.0,22.6,30.5
2001,8,261,25.7,21.4,31.0
2001,9,261,21.6,15.9,28.3
2001,10,261,16.3,10.6,22.3
2001,11,261,6.5,-0.1,14.0
2001,12,261,2.1,-2.7,7.0
2002,1,261,2.8,-1.6,7.7
2002,2,261,2.2,-4.2,9.1
2002,3,261,7.1,0.5,13.6
2002,4,261,12.4,6.5,18.4
2002,5,261,16.1,11.6,22.0
2002,6,261,20.7,15.6,26.5
2002,7,261,23.4,20.5,27.7
2002,8,261,23.9,21.0,27.9
2002,9,261,20.4,14.9,27.0
2002,10,261,14.0,7.6,20.8
2002,11,261,6.4,-0.3,12.7
2002,12,261,4.2,-1.0,9.5
2003,1,261,0.5,-4.4,5.4
2003,2,261,3.9,-1.1,9.1
2003,3,261,6.7,1.4,12.0
2003,4,261,12.8,7.3,18.5
2003,5,261,17.8,13.2,23.0
2003,6,261,21.1,16.9,25.9
2003,7,261,22.9,20.5,26.1
2003,8,261,24.7,21.3,28.6
2003,9,261,22.0,17.3,27.4
2003,10,261,14.6,8.3,21.4
2003,11,261,11.3,6.1,16.5
2003,12,261,3.9,-0.8,8.8
2004,1,261,0.8,-4.2,6.5
