년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,169,2.7,0.8,4.7
2000,2,169,1.8,0.0,3.6
2000,3,169,5.9,3.6,9.3
2000,4,169,10.0,7.1,14.0
2000,5,169,13.9,11.2,17.5
2000,6,169,19.0,16.2,22.4
2000,7,169,23.5,20.6,26.8
2000,8,169,24.6,22.1,28.1
2000,9,169,19.5,17.8,21.8
2000,10,169,15.7,14.3,17.8
2000,11,169,10.1,8.5,12.2
2000,12,169,6.0,4.1,8.9
2001,1,169,2.6,0.6,4.8
2001,2,169,3.1,1.3,5.9
2001,3,169,6.0,3.2,9.7
2001,4,169,11.0,8.0,15.0
2001,5,169,15.7,12.8,19.3
2001,6,169,19.2,16.4,22.9
2001,7,169,23.5,21.0,26.7
2001,8,169,25.0,22.6,28.3
2001,9,169,22.0,20.2,24.4
2001,10,169,17.5,16.0,19.3
2001,11,169,11.1,9.4,13.0
2001,12,169,5.1,3.4,6.8
2002,1,169,4.8,2.9,7.3
2002,2,169,4.6,2.7,7.1
2002,3,169,7.8,5.0,11.3
2002,4,169,11.4,8.5,15.2
2002,5,169,14.4,12.0,17.8
2002,6,169,19.4,16.7,23.6
2002,7,169,22.0,20.0,25.1
2002,8,169,23.0,21.1,26.0
2002,9,169,21.2,19.1,23.8
2002,10,169,15.9,13.7,18.7
2002,11,169,8.7,6.4,11.4
2002,12,169,5.6,4.0,7.3
2003,1,169,2.3,0.4,4.4
2003,2,169,4.3,2.7,6.2
2003,3,169,5.8,3.8,8.7
2003,4,169,10.9,8.3,14.4
2003,5,169,15.4,12.7,18.8
2003,6,169,19.0,16.4,22.3
2003,7,169,20.7,18.7,23.6
2003,8,169,23.2,21.2,25.9
2003,9,169,21.4,19.7,24.1
2003,10,169,16.3,14.6,18.8
2003,11,169,11.7,9.9,14.0
2003,12,169,5.9,3.9,7.7
2004,1,169,2.8,1.0,4.8
2004,2,169,5.1,2.6,8.6
2004,3,169,6.0,3.5,9.6
2004,4,169,10.7,7.7,14.6
2004,5,169,14.5,11.8,18.1
2004,6,169,19.2,16.4,22.7
2004,7,169,22.4,20.3,25.2
2004,8,169,24.6,22.2,27.8
2004,9,169,21.5,19.7,24.1
2004,10,169,16.4,14.9,18.6
2004,11,169,12.1,10.2,15.0
2004,12,169,6.9,5.3,9.1
2005,1,169,2.3,0.5,4.1
2005,2,169,1.1,-0.6,3.0
2005,3,169,4.3,1.7,7.4
2005,4,169,10.5,7.4,14.5
2005,5,169,14.6,11.8,18.9
2005,6,169,19.4,17.1,22.7
2005,7,169,23.4,21.0,26.3
2005,8,169,24.3,22.2,27.4
2005,9,169,21.9,20.1,24.9
2005,10,169,16.8,15.1,18.8
2005,11,169,12.4,10.6,15.2
2005,12,169,3.1,0.8,5.6
2006,1,169,3.5,1.9,5.4
2006,2,169,2.3,0.1,4.7
2006,3,169,5.6,2.7,9.6
2006,4,169,9.2,6.5,13.2
2006,5,169,14.0,11.2,18.3
2006,6,169,18.2,15.3,22.5
2006,7,169,22.2,20.1,25.1
2006,8,169,26.0,23.3,29.8
2006,9,169,20.6,18.7,23.2
2006,10,169,18.4,16.6,21.1
2006,11,169,12.3,10.2,14.7
