년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,140,0.3,-2.7,3.4
2000,2,140,0.0,-3.4,3.5
2000,3,140,5.9,2.0,11.1
2000,4,140,11.2,7.2,16.0
2000,5,140,16.3,12.8,21.0
2000,6,140,21.5,18.7,25.4
2000,7,140,25.3,22.9,28.9
2000,8,140,25.7,23.0,29.7
2000,9,140,20.2,17.5,23.9
2000,10,140,15.3,11.6,19.8
2000,11,140,8.1,4.5,12.6
2000,12,140,2.8,-1.0,7.2
2001,1,140,-0.8,-4.0,2.9
2001,2,140,1.5,-1.8,5.5
2001,3,140,5.2,1.5,9.7
2001,4,140,11.8,7.3,17.4
2001,5,140,17.9,14.2,22.6
2001,6,140,21.7,19.4,25.1
2001,7,140,26.1,23.6,29.8
2001,8,140,26.1,23.2,29.9
2001,9,140,22.6,18.8,27.4
2001,10,140,16.9,13.6,21.1
2001,11,140,8.5,4.9,12.3
2001,12,140,2.2,-0.7,5.7
2002,1,140,2.8,-0.3,6.6
2002,2,140,2.6,-0.9,7.1
2002,3,140,7.4,3.3,12.5
2002,4,140,13.4,9.2,18.8
2002,5,140,16.3,13.1,20.9
2002,6,140,21.5,18.3,25.8
2002,7,140,25.1,22.8,28.6
2002,8,140,24.8,22.6,27.7
2002,9,140,21.5,18.4,25.8
2002,10,140,13.9,10.1,18.3
2002,11,140,5.6,1.8,10.1
2002,12,140,2.7,-0.5,6.6
2003,1,140,-1.7,-5.0,2.3
2003,2,140,2.0,-1.2,6.2
2003,3,140,5.5,1.9,10.3
2003,4,140,12.0,8.3,17.0
2003,5,140,17.7,14.0,23.2
2003,6,140,20.7,17.8,24.9
2003,7,140,22.9,20.6,26.2
2003,8,140,24.0,21.5,27.7
2003,9,140,21.3,18.1,25.6
2003,10,140,14.5,10.4,19.7
2003,11,140,10.3,6.6,14.6
2003,12,140,2.2,-1.5,6.0
2004,1,140,-1.2,-5.2,3.1
2004,2,140,2.4,-1.8,7.7
2004,3,140,5.6,0.6,11.3
2004,4,140,11.4,5.8,17.7
2004,5,140,16.6,12.5,21.7
2004,6,140,21.8,18.1,26.7
2004,7,140,25.1,22.4,28.8
2004,8,140,25.9,22.6,30.7
2004,9,140,21.3,17.3,26.3
2004,10,140,15.0,9.7,21.2
2004,11,140,9.3,4.8,14.5
2004,12,140,3.6,-0.5,8.2
2005,1,140,-0.8,-4.7,3.3
2005,2,140,-0.6,-4.2,3.2
2005,3,140,3.8,-0.5,8.7
2005,4,140,12.5,7.2,18.8
2005,5,140,16.8,11.7,23.2
2005,6,140,22.2,18.8,26.9
2005,7,140,25.2,22.4,29.1
2005,8,140,25.7,22.7,29.7
2005,9,140,22.6,19.2,27.2
2005,10,140,15.0,10.2,20.4
2005,11,140,9.6,4.1,15.1
2005,12,140,-2.3,-6.1,2.0
2006,1,140,0.9,-2.7,5.0
2006,2,140,1.0,-3.3,5.4
2006,3,140,5.4,0.4,11.0
2006,4,140,10.6,6.5,15.4
2006,5,140,17.7,13.2,23.2
2006,6,140,21.9,18.0,27.4
2006,7,140,24.4,22.0,27.9
2006,8,140,27.4,23.8,32.4
2006,9,140,20.8,16.2,26.4
2006,10,140,17.8,13.1,23.6
2006,11,140,10.1,5.7,15.1
2006,12,140,2.9,-1.0,7.7
2007,1,140,1.4,-2.4,5.9
2007,2,140,3.9,-0.5,9.3
2007,3,140,6.6,2.1,11.8
2007,4,140,10.9,6.2,16.0
2007,5,140,17.3,12.8,22.4
2007,6,140,21.9,18.4,26.4
2007,7,140,23.9,21.5,27.4
2007,8,140,26.2,23.3,30.0
2007,9,140,21.1,18.3,24.8
2007,10,140,15.0,10.8,20.1
2007,11,140,7.6,3.0,12.8
2007,12,140,3.4,-0.1,7.7
2008,1,140,0.1,-3.3,3.8
2008,2,140,-0.2,-4.3,4.2
2008,3,140,6.7,2.2,12.3
2008,4,140,12.7,7.8,19.0
2008,5,140,17.2,12.5,23.0
2008,6,140,21.2,17.8,26.3
2008,7,140,26.0,23.2,30.0
2008,8,140,25.2,21.8,29.6
2008,9,140,22.4,18.6,27.7
2008,10,140,16.4,11.9,22.0
2008,11,140,8.8,4.3,13.8
2008,12,140,3.0,-1.4,7.8
2009,1,140,-0.1,-4.4,4.5
2009,2,140,3.5,-0.9,8.0
2009,3,140,6.4,1.5,11.7
2009,4,140,11.2,6.2,17.1
2009,5,140,17.4,12.6,22.8
2009,6,140,21.7,17.7,26.5
2009,7,140,23.8,20.8,27.6
2009,8,140,25.0,21.7,29.6
2009,9,140,21.2,17.3,26.2
2009,10,140,16.3,11.0,22.4
2009,11,140,8.3,4.4,12.8
2009,12,140,1.2,-2.5,5.1
2010,1,140,-1.5,-5.3,2.9
2010,2,140,2.5,-1.2,6.8
2010,3,140,5.5,1.5,9.9
2010,4,140,9.5,4.9,14.8
2010,5,140,16.6,12.1,22.1
2010,6,140,22.0,18.3,27.1
2010,7,140,25.6,22.8,29.6
2010,8,140,27.3,24.4,31.1
2010,9,140,22.6,19.2,27.0
2010,10,140,14.9,10.7,19.8
2010,11,140,7.9,2.9,13.1
2010,12,140,1.7,-2.7,6.5
2011,1,140,-4.5,-9.0,-0.1
2011,2,140,1.3,-3.0,6.4
2011,3,140,4.0,0.0,8.4
2011,4,140,10.1,5.3,15.3
2011,5,140,17.5,13.0,22.6
2011,6,140,21.1,17.7,25.8
2011,7,140,25.1,22.5,28.5
2011,8,140,24.9,22.3,28.7
2011,9,140,20.7,16.9,25.3
2011,10,140,13.5,8.6,18.9
2011,11,140,11.4,7.3,16.0
2011,12,140,1.0,-2.6,5.0
2012,1,140,-1.1,-4.7,3.1
2012,2,140,-0.7,-5.1,4.0
2012,3,140,4.7,0.7,8.8
2012,4,140,11.7,6.4,17.2
2012,5,140,17.7,13.6,23.4
2012,6,140,22.4,18.7,27.4
2012,7,140,25.2,22.2,29.1
2012,8,140,26.7,23.6,30.8
2012,9,140,20.3,16.9,24.2
2012,10,140,14.7,9.8,20.1
2012,11,140,7.1,3.1,11.3
2012,12,140,-1.6,-5.5,2.3
2013,1,140,-1.8,-6.2,2.4
2013,2,140,0.2,-4.0,4.5
2013,3,140,4.8,-0.5,10.9
2013,4,140,9.1,3.9,14.9
2013,5,140,16.6,11.7,22.3
2013,6,140,22.3,18.7,27.2
2013,7,140,26.3,23.6,29.9
2013,8,140,27.3,23.9,31.6
2013,9,140,21.4,17.6,26.2
2013,10,140,15.8,11.0,21.4
2013,11,140,7.6,3.3,12.3
2013,12,140,2.0,-1.7,6.2
2014,1,140,0.6,-4.2,5.8
2014,2,140,2.8,-1.3,7.8
2014,3,140,7.0,2.3,12.5
2014,4,140,12.5,7.7,18.5
2014,5,140,17.3,12.4,23.3
2014,6,140,22.1,18.6,26.8
2014,7,140,24.9,21.9,29.0
2014,8,140,23.7,21.1,27.6
2014,9,140,21.3,17.2,26.7
2014,10,140,15.5,10.6,21.5
2014,11,140,8.9,4.7,13.7
2014,12,140,-0.2,-4.0,3.7
2015,1,140,0.5,-3.4,4.6
2015,2,140,2.0,-1.8,6.0
2015,3,140,5.6,0.3,11.5
2015,4,140,12.3,7.5,17.9
2015,5,140,17.2,12.2,23.0
2015,6,140,21.5,17.7,26.5
2015,7,140,24.4,21.6,28.2
2015,8,140,25.6,22.1,30.3
2015,9,140,21.2,16.8,26.6
2015,10,140,15.6,11.1,21.0
2015,11,140,10.6,7.6,13.9
2015,12,140,4.1,0.5,8.0
2016,1,140,-0.5,-3.9,3.1
2016,2,140,2.2,-2.3,6.6
2016,3,140,6.6,1.6,12.3
2016,4,140,13.0,8.4,19.1
2016,5,140,18.2,13.2,23.9
2016,6,140,22.2,18.9,26.5
2016,7,140,26.0,22.9,30.0
2016,8,140,27.1,23.5,31.5
2016,9,140,22.3,18.9,27.0
2016,10,140,16.2,12.6,20.9
2016,11,140,8.4,4.0,13.4
2016,12,140,3.6,-0.7,8.4
2017,1,140,0.5,-3.9,5.5
2017,2,140,1.5,-3.5,6.5
2017,3,140,5.7,0.5,11.8
2017,4,140,12.9,8.0,18.6
2017,5,140,17.9,12.9,23.7
2017,6,140,21.9,17.3,27.5
2017,7,140,26.6,24.1,30.3
2017,8,140,25.8,22.5,29.9
2017,9,140,21.0,16.8,26.1
2017,10,140,15.8,11.6,20.9
2017,11,140,7.2,2.4,12.4
2017,12,140,0.9,-3.2,5.4
2018,1,140,-1.8,-5.8,2.7
2018,2,140,-0.1,-4.7,5.0
2018,3,140,7.8,2.7,13.7
2018,4,140,12.6,7.5,18.1
2018,5,140,17.7,13.3,22.7
2018,6,140,22.0,18.2,26.9
2018,7,140,26.9,23.4,31.2
2018,8,140,27.7,24.1,32.2
2018,9,140,21.2,17.5,25.7
2018,10,140,13.6,9.2,18.9
2018,11,140,8.7,4.3,14.0
2018,12,140,1.9,-2.0,6.1
2019,1,140,0.3,-4.2,5.0
2019,2,140,2.0,-2.4,6.8
2019,3,140,6.8,2.0,12.2
2019,4,140,11.6,6.8,17.0
2019,5,140,17.5,12.1,23.6
2019,6,140,20.8,17.1,25.4
2019,7,140,25.0,22.0,29.0
2019,8,140,26.5,23.1,30.9
2019,9,140,22.0,18.6,26.4
2019,10,140,16.3,12.0,21.4
2019,11,140,9.6,4.5,15.0
2019,12,140,3.8,-0.3,8.3
2020,1,140,3.2,-0.5,7.5
2020,2,140,3.6,-0.8,8.6
2020,3,140,7.5,2.4,13.2
2020,4,140,10.3,5.2,15.7
2020,5,140,17.4,13.2,22.7
2020,6,140,22.4,18.9,27.2
2020,7,140,23.0,20.4,26.5
2020,8,140,26.9,24.3,30.9
2020,9,140,21.0,17.6,25.5
2020,10,140,14.5,9.7,20.1
2020,11,140,9.3,4.9,14.2
2020,12,140,1.6,-2.4,6.5
2021,1,140,0.0,-4.6,4.9
2021,2,140,3.8,-1.0,9.0
2021,3,140,8.3,3.7,14.0
2021,4,140,13.3,8.3,18.9
2021,5,140,16.6,12.2,21.8
2021,6,140,22.1,18.5,26.8
2021,7,140,26.6,23.4,30.9
2021,8,140,25.5,22.4,29.6
2021,9,140,22.3,19.0,26.5
2021,10,140,16.0,11.5,21.6
2021,11,140,9.6,5.3,14.6
2021,12,140,3.1,-1.2,8.1
2022,1,140,-0.3,-5.0,4.6
2022,2,140,0.4,-4.2,5.3
2022,3,140,7.0,1.9,12.4
2022,4,140,12.8,7.8,18.5
2022,5,140,17.4,12.2,22.9
2022,6,140,22.8,19.4,27.1
2022,7,140,26.4,23.4,30.1
2022,8,140,25.7,22.9,29.0
2022,9,140,22.0,18.0,27.0
2022,10,140,14.3,10.0,19.9
2022,11,140,10.4,5.3,16.5
2022,12,140,-0.8,-4.8,4.1
2023,1,140,-0.1,-4.8,5.2
2023,2,140,1.9,-3.1,7.3
2023,3,140,8.3,2.4,15.1
2023,4,140,12.9,7.6,18.5
2023,5,140,18.2,13.6,23.7
2023,6,140,22.2,18.7,26.7
2023,7,140,25.8,23.1,29.5
2023,8,140,26.9,23.6,31.1
2023,9,140,23.2,19.9,27.3
2023,10,140,15.7,11.1,21.1
2023,11,140,8.6,4.1,13.5
2023,12,140,3.2,-0.4,7.5
2024,1,140,1.2,-2.5,5.4
2024,2,140,4.4,0.5,8.7
2024,3,140,6.7,2.0,11.8
2024,4,140,14.2,9.8,19.8
2024,5,140,17.2,12.5,22.3
2024,6,140,22.5,18.4,27.5
2024,7,140,26.8,24.0,30.3
2024,8,140,28.6,25.3,33.0
2024,9,140,25.9,22.2,30.6
2024,10,140,16.7,12.8,21.4
2024,11,140,10.3,5.8,15.7
2024,12,140,2.5,-1.2,6.8
