년도,월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
2000,1,247,-0.7,-6.1,5.3
2000,2,247,-0.9,-7.4,6.2
2000,3,247,5.1,-3.4,14.5
2000,4,247,11.1,1.7,20.3
2000,5,247,17.1,9.0,25.5
2000,6,247,22.1,17.0,28.1
2000,7,247,26.0,22.0,31.3
2000,8,247,25.5,21.6,31.1
2000,9,247,19.5,15.1,25.3
2000,10,247,13.6,7.4,21.5
2000,11,247,6.0,0.0,14.0
2000,12,247,0.2,-5.7,8.4
2001,1,247,-1.9,-7.2,4.0
2001,2,247,1.0,-5.0,8.1
2001,3,247,4.9,-1.9,12.7
2001,4,247,12.1,2.6,21.7
2001,5,247,18.5,12.1,25.6
2001,6,247,22.6,17.9,28.0
2001,7,247,26.0,21.9,31.3
2001,8,247,25.1,20.3,31.2
2001,9,247,20.7,14.4,28.0
2001,10,247,14.7,9.3,22.0
2001,11,247,5.5,-1.0,14.0
2001,12,247,0.5,-4.5,6.5
2002,1,247,1.1,-3.8,6.7
2002,2,247,1.3,-5.3,9.4
2002,3,247,7.2,-0.6,15.8
2002,4,247,13.4,6.1,21.0
2002,5,247,17.5,11.6,23.9
2002,6,247,21.9,15.6,28.8
2002,7,247,25.4,21.8,30.1
2002,8,247,24.5,21.5,28.6
2002,9,247,20.1,14.9,27.2
2002,10,247,12.2,5.7,20.3
2002,11,247,4.1,-2.3,11.2
2002,12,247,2.1,-3.3,8.4
2003,1,247,-2.9,-8.5,3.3
2003,2,247,2.1,-3.3,8.8
2003,3,247,6.0,-0.2,12.9
2003,4,247,13.2,6.9,20.0
2003,5,247,18.8,12.7,25.6
2003,6,247,21.7,16.9,27.2
2003,7,247,23.2,20.0,27.5
2003,8,247,24.2,20.5,29.0
2003,9,247,21.9,17.2,28.1
2003,10,247,12.2,5.4,21.0
2003,11,247,9.2,3.6,16.2
2003,12,247,0.8,-4.3,7.3
2004,1,247,-2.1,-7.9,5.0
2004,2,247,1.8,-5.2,9.5
2004,3,247,5.9,-1.6,13.7
2004,4,247,11.8,3.0,20.7
2004,5,247,17.1,11.2,23.1
2004,6,247,22.0,16.6,28.0
2004,7,247,25.4,21.6,30.4
2004,8,247,25.0,20.7,30.8
2004,9,247,20.4,15.8,26.4
2004,10,247,12.8,5.3,21.8
2004,11,247,7.0,0.9,15.4
2004,12,247,2.0,-4.1,9.3
2005,1,247,-2.3,-7.8,3.6
2005,2,247,-1.1,-6.2,4.7
2005,3,247,3.8,-3.2,11.4
2005,4,247,12.8,4.1,21.6
2005,5,247,17.7,9.8,25.6
2005,6,247,23.4,18.0,29.6
2005,7,247,25.8,21.8,31.0
2005,8,247,25.2,21.6,30.2
2005,9,247,22.6,18.2,28.2
2005,10,247,13.1,6.5,21.4
2005,11,247,6.4,-0.5,15.2
2005,12,247,-3.1,-9.0,3.2
2006,1,247,0.7,-4.4,7.0
2006,2,247,1.1,-4.6,7.3
2006,3,247,5.9,-1.4,13.7
2006,4,247,11.2,4.4,18.1
2006,5,247,18.4,12.5,24.8
2006,6,247,22.8,17.4,28.8
2006,7,247,24.2,21.3,28.1
2006,8,247,26.5,22.5,32.5
2006,9,247,18.8,13.4,25.7
2006,10,247,15.5,8.5,25.0
2006,11,247,8.2,1.8,15.5
2006,12,247,0.8,-4.4,8.0
2007,1,247,0.0,-5.1,6.6
2007,2,247,3.7,-2.7,11.9
2007,3,247,7.1,0.8,14.3
2007,4,247,11.1,3.2,19.2
2007,5,247,17.7,10.8,24.9
2007,6,247,22.8,17.7,28.2
2007,7,247,24.9,21.2,29.8
2007,8,247,26.6,23.2,31.4
2007,9,247,21.4,17.9,26.2
2007,10,247,13.9,8.1,21.5
2007,11,247,5.3,-1.3,13.9
2007,12,247,1.5,-3.4,7.6
2008,1,247,-0.5,-4.6,4.8
2008,2,247,-1.3,-7.7,5.9
2008,3,247,6.6,-0.9,14.6
2008,4,247,12.7,4.9,20.5
2008,5,247,17.4,9.8,25.0
2008,6,247,21.3,16.7,26.4
2008,7,247,26.4,22.6,31.5
2008,8,247,24.6,20.1,30.4
2008,9,247,21.7,16.0,28.8
2008,10,247,15.0,8.1,24.0
2008,11,247,6.9,0.6,14.9
2008,12,247,1.2,-4.6,8.4
2009,1,247,-1.6,-7.7,5.6
2009,2,247,4.1,-2.3,11.3
2009,3,247,7.1,-0.1,14.6
2009,4,247,12.3,3.9,21.1
2009,5,247,18.1,10.0,26.4
2009,6,247,22.3,16.6,28.4
2009,7,247,24.3,20.7,28.8
2009,8,247,24.9,20.3,30.1
2009,9,247,20.5,14.9,27.5
2009,10,247,13.2,6.1,22.2
2009,11,247,5.8,0.3,12.6
2009,12,247,-1.2,-6.3,4.7
2010,1,247,-3.4,-9.2,3.1
2010,2,247,1.0,-4.0,6.7
2010,3,247,4.6,-0.8,9.9
2010,4,247,8.3,1.6,15.1
2010,5,247,16.0,9.1,23.0
2010,6,247,21.9,16.3,28.4
2010,7,247,24.3,21.1,29.1
2010,8,247,26.6,23.3,31.6
2010,9,247,21.8,17.1,28.0
2010,10,247,13.5,7.4,21.0
2010,11,247,5.1,-2.1,13.7
2010,12,247,-0.4,-5.9,6.3
2011,1,247,-6.3,-12.6,0.1
2011,2,247,0.7,-5.5,8.5
2011,3,247,3.4,-3.5,10.9
2011,4,247,10.7,2.6,18.6
2011,5,247,17.7,11.3,24.1
2011,6,247,22.9,17.5,28.9
2011,7,247,25.6,22.2,30.2
2011,8,247,25.1,21.7,29.8
2011,9,247,21.0,15.8,27.6
2011,10,247,12.6,5.6,21.1
2011,11,247,10.4,5.4,16.7
2011,12,247,0.0,-5.0,5.6
